SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,39.08,775.00,777.00,760.00,765.00,765.50,761.00,776.00,"582,545.20",31,-11.00,17.00,-1.42,2.24,-0.07,767.50,798.43,"1,426.00",675.00
2,ACLBSLP,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share,43.36,437.00,437.00,437.00,437.00,437.00,"23,767.00",0.00,"10,386,179.00",1,437.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,437.00
3,ADBL,Agricultural Development Bank Limited,37.51,290.20,298.00,290.20,295.00,295.52,"23,137.00",296.10,"6,837,342.50",251,-1.10,7.80,-0.37,2.69,-0.17,316.42,320.83,415.00,290.20
4,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,38.92,"2,200.00","2,310.00","2,165.00","2,170.00","2,192.62",870.00,"2,220.00","1,907,580.00",57,-50.00,145.00,-2.25,6.70,-1.04,0.00,0.00,"2,705.00",256.80
5,AHPC,Arun Valley Hydropower Development Company Limited,31.78,306.00,311.00,301.00,303.00,304.92,"43,010.00",311.00,"13,114,558.40",207,-8.00,10.00,-2.57,3.32,-0.63,304.15,326.91,573.00,250.00
6,AIL,Ajod Insurance Limited,29.78,485.00,490.00,478.00,478.00,481.23,"2,798.00",490.00,"1,346,492.50",93,-12.00,12.00,-2.45,2.51,-0.68,509.96,577.11,768.90,344.00
7,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,36.16,"1,130.00","1,138.00","1,114.10","1,119.00","1,122.22",700.00,"1,130.10","785,554.40",42,-11.10,23.90,-0.98,2.15,-0.29,811.75,0.00,"1,907.00",391.50
8,AKJCL,Ankhukhola Hydropower Company Limited,28.55,233.10,236.00,226.00,229.00,229.59,"72,078.00",233.50,"16,548,320.20",307,-4.50,10.00,-1.93,4.42,-0.26,198.13,201.81,335.00,159.80
9,AKPL,Arun Kabeli Power Limited,32.58,413.00,413.00,402.20,403.00,406.41,"47,463.00",413.00,"19,289,511.90",287,-10.00,10.80,-2.42,2.69,-0.85,397.69,416.74,566.00,325.00
10,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,33.49,980.00,"1,000.00",973.20,990.00,992.54,"1,074.00",992.20,"1,065,984.40",34,-2.20,26.80,-0.22,2.75,-0.26,"1,020.09","1,097.93","1,569.90",874.30
11,ALICL,Asian Life Insurance Company Limited,32.18,665.00,670.00,655.00,656.00,660.52,"20,959.00",666.00,"13,843,803.30",136,-10.00,15.00,-1.50,2.29,-0.69,558.66,566.92,"1,007.70",428.00
12,API,Api Power Company Limited,33.32,271.00,271.30,263.00,264.00,266.73,"192,595.00",266.05,"51,371,353.40",954,-2.05,8.30,-0.77,3.16,-1.04,240.22,247.21,544.00,200.00
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.72,707.40,719.00,700.00,711.00,708.57,"2,811.00",720.00,"1,991,791.50",115,-9.00,19.00,-1.25,2.71,0.34,0.00,0.00,963.00,316.00
14,BARUN,Barun Hydropower Company Limited,29.75,264.00,270.00,259.30,261.00,262.48,"40,266.00",266.60,"10,569,068.30",195,-5.60,10.70,-2.10,4.13,-0.57,238.23,292.95,579.90,190.30
15,BBC,Bishal Bazar Company Limited,35.49,"3,266.00","3,267.00","3,242.10","3,242.10","3,261.53",271.00,"3,262.00","883,875.20",16,-19.90,24.90,-0.61,0.77,-0.60,"3,385.06","3,466.40","4,990.00","3,083.00"
16,BFC,Best Finance Company Limited,31.80,339.00,345.00,336.00,337.00,337.81,"7,770.00",340.00,"2,624,760.50",57,-3.00,9.00,-0.88,2.68,-0.24,344.57,356.39,499.00,292.50
17,BHDC,Bindhyabasini Hydropower Development Company Limited,41.44,410.00,421.10,410.00,410.00,415.64,"9,496.00",413.00,"3,946,929.90",167,-3.00,11.10,-0.73,2.71,-1.38,388.35,0.00,520.00,310.00
18,BHL,Balephi Hydropower Limited,35.63,347.00,351.00,336.20,344.00,342.83,"9,400.00",347.00,"3,222,555.20",169,-3.00,14.80,-0.86,4.40,0.34,289.03,0.00,397.00,104.70
19,BHPL,Barahi Hydropower Public Limited,41.46,641.70,647.00,600.10,640.00,619.36,"21,239.00",654.70,"13,154,589.00",276,-14.70,46.90,-2.25,7.82,3.22,0.00,0.00,654.70,194.30
20,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,33.36,424.90,437.00,415.00,421.00,425.04,"4,710.00",432.90,"2,001,916.20",85,-11.90,22.00,-2.75,5.30,-0.96,387.67,389.01,736.00,306.00
21,BNT,Bottlers Nepal (Terai) Limited,30.50,"12,900.00","12,900.00","12,900.00","12,900.00","12,900.00",45.00,"13,000.00","580,500.00",4,-100.00,0.00,-0.77,0.00,0.00,"12,984.04","13,058.19","15,371.30","11,396.00"
22,BOKD86,8.5% BOK Debenture 2086,52.94,761.00,761.00,761.00,761.00,761.00,100.00,760.00,"76,100.00",2,1.00,0.00,0.13,0.00,0.00,0.00,0.00,980.00,738.50
23,BPCL,Butwal Power Company Limited,33.58,331.50,338.00,318.10,318.10,321.43,"13,473.00",325.00,"4,330,596.90",120,-6.90,19.90,-2.12,6.26,-1.05,313.83,319.50,449.30,288.00
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,37.16,"1,199.00","1,199.50","1,175.00","1,177.00","1,183.34","8,581.00","1,186.00","10,154,274.90",194,-9.00,24.50,-0.76,2.09,-0.54,"1,091.72","1,070.38","1,314.00",882.00
25,CBL,Civil Bank Limited,38.09,216.00,219.00,215.20,215.50,216.34,"22,412.00",216.00,"4,848,562.50",153,-0.50,3.80,-0.23,1.77,-0.39,216.68,225.68,251.30,194.00
26,CFCL,Central Finance Limited,28.75,336.00,336.00,321.50,326.00,326.25,"11,872.00",330.00,"3,873,190.30",85,-4.00,14.50,-1.21,4.51,-0.08,327.62,319.58,482.60,237.00
27,CGH,Chandragiri Hills Limited,35.28,"1,245.00","1,265.00","1,225.00","1,235.00","1,243.33","3,945.00","1,255.00","4,904,921.40",114,-20.00,40.00,-1.59,3.27,-0.67,"1,080.42","1,075.77","1,487.00",900.20
28,CHCL,Chilime Hydro power Company Limited,30.78,455.20,462.00,455.00,458.50,457.24,"18,948.00",461.50,"8,663,725.60",137,-3.00,7.00,-0.65,1.54,0.28,395.30,398.43,529.00,347.90
29,CHDC,CEDB Hydropower Development Company Limited,30.51,750.00,750.00,740.40,740.40,746.95,"6,030.00",750.50,"4,504,118.50",112,-10.10,9.60,-1.35,1.30,-0.88,689.32,705.74,"1,025.00",590.00
30,CHL,Chhyangdi Hydropower Company Limited,40.38,332.00,341.70,332.00,336.00,337.10,"47,466.00",333.50,"16,000,902.30",170,2.50,9.70,0.75,2.92,-0.33,245.52,254.48,510.00,193.10
31,CIT,Citizen Investment Trust,32.56,"2,035.00","2,056.90","2,014.00","2,015.00","2,029.90","5,616.00","2,040.00","11,399,924.10",178,-25.00,42.90,-1.23,2.13,-0.74,"1,980.50","2,175.42","3,297.00","1,780.00"
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,38.23,855.00,855.20,840.00,849.00,847.92,"1,340.00",861.00,"1,136,218.80",31,-12.00,15.20,-1.39,1.81,0.13,839.44,826.07,"1,072.00",662.50
33,CMF1,Citizens Mutual Fund-1,27.47,9.00,9.00,8.16,8.48,8.63,"1,200.00",9.00,"10,351.00",8,-0.52,0.84,-5.78,10.29,-1.72,8.13,8.28,10.25,6.75
34,CMF2,Citizens Mutual Fund - 2,33.50,8.04,8.35,8.04,8.35,8.23,"4,900.00",8.20,"40,347.50",9,0.15,0.31,1.83,3.86,1.39,8.36,8.68,10.76,7.24
35,CORBL,Corporate Development Bank Limited,33.73,340.00,342.10,330.00,332.00,336.33,"5,655.00",345.00,"1,901,956.00",43,-13.00,12.10,-3.77,3.67,-1.30,294.98,300.49,618.00,211.30
36,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,40.58,"1,785.10","1,826.00","1,785.10","1,800.00","1,803.27","1,207.00","1,820.00","2,176,551.00",66,-20.00,40.90,-1.10,2.29,-0.18,0.00,0.00,"2,734.80",382.20
37,CZBIL,Citizens Bank International Limited,39.43,186.00,189.70,185.00,186.00,185.98,"40,614.00",187.10,"7,553,475.50",174,-1.10,4.70,-0.59,2.54,0.01,191.90,198.82,290.00,175.00
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,37.94,902.00,913.80,901.10,902.70,903.22,"7,680.00",903.00,"6,936,728.30",133,-0.30,12.70,-0.03,1.41,-0.06,968.31,974.05,"1,236.90",861.00
39,DHPL,Dibyashwari Hydropower Company Limited,29.57,230.30,235.00,227.00,228.00,230.73,"13,610.00",233.90,"3,140,226.20",104,-5.90,8.00,-2.52,3.52,-1.20,199.29,204.31,381.40,160.10
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,32.92,"1,298.90","1,298.90","1,220.10","1,220.10","1,233.64",790.00,"1,274.00","974,574.00",41,-53.90,78.80,-4.23,6.46,-1.11,0.00,0.00,"1,662.00",177.70
41,DORDI,Dordi Khola Hydropower Company Limited,30.12,302.20,311.00,297.20,300.00,301.58,"17,015.00",308.00,"5,131,356.10",200,-8.00,13.80,-2.60,4.64,-0.53,281.46,0.00,408.00,217.00
42,EBL,Everest Bank Limited,32.49,517.10,522.00,516.20,517.00,518.89,"26,769.00",524.00,"13,890,086.40",162,-7.00,5.80,-1.34,1.12,-0.36,498.68,486.35,601.00,411.00
43,EDBL,Excel Development Bank Limited,30.96,338.20,345.00,338.10,343.00,339.30,"10,478.00",345.00,"3,555,237.40",84,-2.00,6.90,-0.58,2.04,1.08,327.75,338.87,535.50,291.20
44,EHPL,Eastern Hydropower Limited,32.82,464.60,498.40,457.00,466.00,467.80,"5,877.00",474.00,"2,749,266.00",145,-8.00,41.40,-1.69,9.06,-0.39,0.00,0.00,508.00,216.00
45,ENL,Emerging Nepal Limited,39.40,684.40,725.90,663.20,684.00,687.73,"5,125.00",671.00,"3,524,609.40",70,13.00,62.70,1.94,9.45,-0.55,636.64,660.60,"1,481.90",287.10
46,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,32.37,640.00,659.90,640.00,641.00,647.15,"7,022.00",653.00,"4,544,283.50",93,-12.00,19.90,-1.84,3.11,-0.96,674.62,672.82,872.10,559.00
47,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,35.26,"1,835.00","1,835.00","1,780.10","1,787.00","1,790.12","3,927.00","1,809.00","7,029,785.40",114,-22.00,54.90,-1.22,3.08,-0.17,"2,414.44","2,421.49","2,950.00","1,780.10"
48,GBBD85,8.75% Garima Debenture 2085,34.01,785.00,785.00,778.00,785.00,781.71,120.00,787.00,"93,805.50",6,-2.00,7.00,-0.25,0.90,0.42,0.00,0.00,"1,000.00",722.50
49,GBBL,Garima Bikas Bank Limited,35.01,370.00,370.00,359.70,361.80,364.08,"30,644.00",365.00,"11,156,759.60",204,-3.20,10.30,-0.88,2.86,-0.63,378.90,379.41,587.00,318.00
50,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,37.33,598.10,613.00,592.10,600.00,599.07,"3,741.00",605.00,"2,241,136.90",59,-5.00,20.90,-0.83,3.53,0.15,642.07,683.85,"1,030.00",566.00
51,GFCL,Goodwill Finance Company Limited,32.36,481.00,496.00,481.00,481.30,487.53,"8,184.00",490.00,"3,989,948.00",52,-8.70,15.00,-1.78,3.12,-1.29,479.09,472.72,674.00,358.00
52,GHL,Ghalemdi Hydro Limited,27.45,280.50,280.50,263.10,265.00,268.20,"33,942.00",275.00,"9,103,181.40",263,-10.00,17.40,-3.64,6.61,-1.21,217.94,216.89,397.80,164.20
53,GIBF1,Global IME Balance Fund-I,28.88,8.17,8.17,8.16,8.16,8.17,300.00,8.32,"2,450.00",3,-0.16,0.01,-1.92,0.12,-0.08,0.00,0.00,10.00,7.55
54,GILB,Global IME Laghubitta Bittiya Sanstha Limited,41.52,"1,130.00","1,151.90","1,124.00","1,124.00","1,130.21","1,763.00","1,129.90","1,992,551.50",41,-5.90,27.90,-0.52,2.48,-0.55,"1,202.70","1,233.68","1,704.00","1,105.00"
55,GIMES1,Global IME Samunnat Scheme 1,36.75,9.70,9.97,9.70,9.78,9.77,"102,000.00",9.85,"996,072.00",19,-0.07,0.27,-0.71,2.78,0.15,9.04,9.35,12.07,8.08
56,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,36.21,804.10,810.00,804.10,805.00,809.02,134.00,820.00,"108,409.20",4,-15.00,5.90,-1.83,0.73,-0.50,886.80,935.22,"1,488.00",738.00
57,GLH,Greenlife Hydropower Limited,26.83,306.70,313.00,299.00,303.00,304.05,"16,389.00",311.00,"4,983,077.40",195,-8.00,14.00,-2.57,4.68,-0.35,274.87,294.80,511.00,219.00
58,GLICL,Gurans Life Insurance Company Limited,38.16,442.90,444.70,436.30,439.80,438.57,"16,229.00",445.00,"7,117,542.30",101,-5.20,8.40,-1.17,1.93,0.28,576.68,593.22,721.00,431.10
59,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,36.59,825.00,825.00,813.10,824.00,817.00,226.00,825.00,"184,642.20",11,-1.00,11.90,-0.12,1.46,0.85,868.52,909.41,"1,307.00",750.00
60,GMFIL,Guheswori Merchant Banking & Finance Limited,34.19,335.00,343.00,326.00,328.00,329.77,"6,652.00",337.00,"2,193,618.00",61,-9.00,17.00,-2.67,5.21,-0.54,339.43,328.36,465.00,223.90
61,GRDBL,Green Development Bank Limited,34.15,265.00,265.00,260.00,262.00,262.12,"7,620.00",265.00,"1,997,391.30",44,-3.00,5.00,-1.13,1.92,-0.05,252.92,248.77,367.00,182.00
