Symbol,High,Low,Close,Date
ADBL,499,488,492,01_01_2022
ADBL,412,400.1,411,01_02_2022
ADBL,418,412,415,01_03_2022
ADBL,424,410,422,01_04_2022
ADBL,430,418,419,01_05_2022
ADBL,422,415.5,421,01_06_2022
ADBL,422,415.5,421,01_07_2022
ADBL,422,415.5,421,01_08_2022
ADBL,434,420,431,01_09_2022
ADBL,437.5,427,429,01_10_2022
ADBL,432.9,426.1,428.9,01_11_2022
ADBL,435,422,424,01_12_2022
ADBL,426.9,421.5,426.9,01_13_2022
ADBL,426.9,421.5,426.9,01_14_2022
ADBL,426.9,421.5,426.9,01_15_2022
ADBL,437,430.1,435,01_16_2022
ADBL,442,435,441,01_17_2022
ADBL,448,436.9,440,01_18_2022
ADBL,442,426.3,433,01_19_2022
ADBL,435,427.5,433,01_20_2022
ADBL,435,427.5,433,01_21_2022
ADBL,435,427.5,433,01_22_2022
ADBL,441,428,430.2,01_23_2022
ADBL,434,418,422,01_24_2022
ADBL,425,415,419.9,01_25_2022
ADBL,420,415,416.4,01_26_2022
ADBL,423,415,417,01_27_2022
ADBL,423,415,417,01_28_2022
ADBL,423,415,417,01_29_2022
ADBL,432,420.1,424.7,01_30_2022
ADBL,426,421.2,422,01_31_2022
ADBL,424,418,423,02_01_2022
ADBL,424,418,423,02_02_2022
ADBL,425,420,420.6,02_03_2022
ADBL,425,420,420.6,02_04_2022
ADBL,425,420,420.6,02_05_2022
ADBL,422,417,418,02_06_2022
ADBL,423,416.1,417,02_07_2022
ADBL,425,416,417,02_08_2022
ADBL,418,413,415.5,02_09_2022
ADBL,422,413,414.5,02_10_2022
ADBL,422,413,414.5,02_11_2022
ADBL,422,413,414.5,02_12_2022
ADBL,410,403,404,02_14_2022
ADBL,410,403.2,407,02_15_2022
ADBL,415,406,406.9,02_16_2022
ADBL,415,403.5,405,02_17_2022
ADBL,415,403.5,405,02_18_2022
ADBL,415,403.5,405,02_19_2022
ADBL,402,395,399,02_20_2022
ADBL,405,398,402,02_21_2022
ADBL,408,402,404.8,02_22_2022
ADBL,406,399.9,400,02_23_2022
ADBL,401,392,397,02_24_2022
ADBL,401,392,397,02_25_2022
ADBL,401,392,397,02_26_2022
ADBL,397.3,391.1,395,02_27_2022
ADBL,401.9,388,390,02_28_2022
ADBL,401.9,388,390,03_01_2022
ADBL,390,378,380,03_02_2022
ADBL,390,378,380,03_03_2022
ADBL,390,378,380,03_04_2022
ADBL,390,378,380,03_05_2022
ADBL,384.5,378.5,380.9,03_06_2022
ADBL,387,382,385,03_07_2022
ADBL,387,382,385,03_08_2022
ADBL,390,381.1,383.9,03_09_2022
ADBL,386.9,380,386.5,03_10_2022
ADBL,386.9,380,386.5,03_11_2022
ADBL,386.9,380,386.5,03_12_2022
ADBL,403,386.5,403,03_13_2022
ADBL,411,395,402,03_14_2022
ADBL,405,395,399,03_15_2022
ADBL,400,396,396.2,03_16_2022
ADBL,400,396,396.2,03_17_2022
ADBL,400,396,396.2,03_18_2022
ADBL,400,396,396.2,03_19_2022
ADBL,402,392,396.6,03_20_2022
ADBL,402,391,395.6,03_21_2022
ADBL,399.4,395,398,03_22_2022
ADBL,405.9,392,395,03_23_2022
ADBL,395,392,393,03_24_2022
ADBL,395,392,393,03_24_2022
ADBL,395,392,393,03_25_2022
ADBL,395,392,393,03_26_2022
ADBL,394,388,388.1,03_27_2022
ADBL,390,384,386,03_28_2022
ADBL,389.6,379,383.9,03_29_2022
ADBL,388,381,385,03_30_2022
ADBL,388,383,384.1,03_31_2022
ADBL,388,383,384.1,04_01_2022
ADBL,388,383,384.1,04_02_2022
ADBL,385,378.6,380.5,04_03_2022
ADBL,382,375,379,04_04_2022
ADBL,385,371.5,376.8,04_05_2022
ADBL,378,365,366.9,04_06_2022
ADBL,375,364.7,373,04_07_2022
ADBL,375,364.7,373,04_08_2022
ADBL,375,364.7,373,04_09_2022
ADBL,375,364.7,373,04_10_2022
ADBL,382,366.1,367,04_11_2022
ADBL,373.3,363.6,363.8,04_12_2022
ADBL,369,364,367,04_13_2022
ADBL,369,364,367,04_14_2022
ADBL,369,364,367,04_15_2022
ADBL,369,364,367,04_16_2022
ADBL,376,368,371,04_17_2022
ADBL,374,367,369.9,04_18_2022
ADBL,372,358.7,371,04_19_2022
ADBL,378,367,370,04_20_2022
ADBL,370,363,370,04_21_2022
ADBL,370,363,370,04_22_2022
ADBL,370,363,370,04_23_2022
ADBL,377,367,376.6,04_24_2022
ADBL,384,375,378,04_25_2022
ADBL,377,371.5,373,04_26_2022
ADBL,371,368,371,04_27_2022
ADBL,378,367.1,369,04_28_2022
ADBL,378,367.1,369,04_29_2022
ADBL,378,367.1,369,04_30_2022
ADBL,378,367.1,369,05_01_2022
ADBL,367,363.6,364,05_02_2022
ADBL,367,363.6,364,05_03_2022
ADBL,366,360,361,05_04_2022
ADBL,365,356,356.3,05_05_2022
ADBL,365,356,356.3,05_06_2022
ADBL,365,356,356.3,05_07_2022
ADBL,356.3,352,354.5,05_08_2022
ADBL,367,355,365,05_09_2022
ADBL,377.7,365,377.7,05_10_2022
ADBL,384,371,384,05_11_2022
ADBL,389,379,379.9,05_12_2022
ADBL,389,379,379.9,05_13_2022
ADBL,389,379,379.9,05_14_2022
ADBL,389,379,379.9,05_15_2022
ADBL,389,379,379.9,05_16_2022
ADBL,383,365,366,05_17_2022
ADBL,369,362,366,05_18_2022
ADBL,373,364.6,365.8,05_19_2022
ADBL,366,360,364,05_20_2022
ADBL,366,360,364,05_21_2022
ADBL,366,360,364,05_22_2022
ADBL,371,358.6,360,05_23_2022
ADBL,366,353,362,05_24_2022
ADBL,365,360,363,05_25_2022
ADBL,367,361,367,05_26_2022
ADBL,367,363,364.9,05_27_2022
ADBL,367,363,364.9,05_28_2022
ADBL,367,363,364.9,05_29_2022
ADBL,367,356.2,357,05_30_2022
ADBL,355,348.1,352,05_31_2022
ADBL,356,350,352,06_01_2022
ADBL,353,348.1,350,06_02_2022
ADBL,352,343.1,343.5,06_03_2022
ADBL,352,343.1,343.5,06_04_2022
ADBL,352,343.1,343.5,06_05_2022
ADBL,345.5,338,343,06_06_2022
ADBL,345,322.6,328.9,06_07_2022
ADBL,337,329.2,334,06_08_2022
ADBL,340.6,333.2,335,06_09_2022
ADBL,339.9,326,335.6,06_10_2022
ADBL,339.9,326,335.6,06_11_2022
ADBL,339.9,326,335.6,06_12_2022
ADBL,340,332,332,06_13_2022
ADBL,335,328.4,328.5,06_14_2022
ADBL,329,323,327,06_15_2022
ADBL,330,319.2,321,06_16_2022
ADBL,327,319.5,319.9,06_17_2022
ADBL,327,319.5,319.9,06_18_2022
ADBL,325,315.1,318,06_19_2022
ADBL,318,306.1,310.6,06_20_2022
ADBL,316,308,311,06_21_2022
ADBL,315,304,310,06_22_2022
ADBL,310,300.2,305,06_23_2022
ADBL,335,325,329.9,07_05_2022
ADBL,334.9,318,328,07_06_2022
ADBL,334,325,330,07_07_2022
ADBL,330,320,323,07_08_2022
ADBL,330,320,323,07_09_2022
ADBL,330,320,323,07_10_2022
ADBL,320,310,312.4,07_11_2022
ADBL,318.6,305.8,310,07_12_2022
ADBL,316,309,312.6,07_13_2022
ADBL,324.9,314,324.9,07_14_2022
ADBL,333,323,331,07_15_2022
ADBL,333,323,331,07_16_2022
ADBL,333,328.2,333,07_17_2022
ADBL,333,327,333,07_18_2022
ADBL,338,331.7,332.2,07_19_2022
ADBL,332,329,330,07_20_2022
ADBL,336.6,325,326,07_21_2022
ADBL,332.1,320,320,07_22_2022
ADBL,332.1,320,320,07_23_2022
ADBL,330,318,325,07_24_2022
ADBL,335,325,331.9,07_25_2022
ADBL,334,327,327.9,07_26_2022
ADBL,329,325,329,07_27_2022
ADBL,330.5,327,329.2,07_28_2022
ADBL,333.9,326,329,07_29_2022
ADBL,333.9,326,329,07_30_2022
ADBL,335.5,329,334.9,07_31_2022
ADBL,343.7,333.1,337,08_01_2022
ADBL,338,332,335,08_02_2022
ADBL,339,331,331.9,08_03_2022
ADBL,336,326.9,327.2,08_04_2022
ADBL,333,320.8,326,08_05_2022
ADBL,333,320.8,326,08_06_2022
ADBL,328,320,324,08_07_2022
ADBL,328.9,322,324,08_08_2022
ADBL,330.3,319.1,320,08_09_2022
ADBL,325.9,316.1,319,08_10_2022
ADBL,322.9,318,319.9,08_11_2022
ADBL,322.9,318,319.9,08_12_2022
ADBL,322.9,318,319.9,08_13_2022
ADBL,323.9,317.1,317.1,08_14_2022
ADBL,325,318,325,08_15_2022
ADBL,328,321,322.9,08_16_2022
ADBL,323,319,320,08_17_2022
ADBL,325,321,323,08_18_2022
ADBL,325,321,323,08_19_2022
ADBL,325,321,323,08_20_2022
ADBL,330,323,330,08_21_2022
ADBL,330,323.4,328,08_22_2022
ADBL,330,326,328.5,08_23_2022
ADBL,335,329.1,330.5,08_24_2022
ADBL,337.1,329,330,08_25_2022
ADBL,331.5,325,325.6,08_26_2022
ADBL,331.5,325,325.6,08_27_2022
ADBL,325,321,322.5,08_28_2022
ADBL,325,318.1,321.9,08_29_2022
ADBL,328.3,321,322.1,08_30_2022
ADBL,324.9,320,320.7,08_31_2022
ADBL,554,538,548.5,09_01_2021
ADBL,323,318,321,09_01_2022
ADBL,327.4,318,320,09_02_2022
ADBL,327.4,318,320,09_03_2022
ADBL,325,319,321,09_04_2022
ADBL,324,320,321.4,09_05_2022
ADBL,324,320.5,321,09_06_2022
ADBL,320,317.8,319.8,09_07_2022
ADBL,321,318,319,09_08_2022
ADBL,321,318,319,09_09_2022
ADBL,321,318,319,09_10_2022
ADBL,321,313.7,314,09_11_2022
ADBL,326.6,312,314,09_12_2022
ADBL,318,310,316.2,09_13_2022
ADBL,322.5,316,321,09_14_2022
ADBL,325,315,316,09_15_2022
ADBL,315,309,315,09_16_2022
ADBL,315,309,315,09_17_2022
ADBL,321.3,310,314,09_18_2022
ADBL,321.3,310,314,09_19_2022
ADBL,312,303,305.1,09_20_2022
ADBL,311.9,301,307,09_21_2022
ADBL,312.9,303.5,305,09_22_2022
