S.N.,Date,High,Low,Close
1,12/29/2021,744,725,740
2,12/28/2021,747,730,738
3,12/27/2021,774,744,744
4,12/26/2021,775,760,769.9
5,12/23/2021,767,749,760
6,12/22/2021,756,735,752
7,12/21/2021,736,722,731.2
8,12/20/2021,748.6,720,722
9,12/16/2021,736.5,721,734
10,12/15/2021,767,725,732
11,12/14/2021,739.5,716,739.5
12,12/13/2021,722,701,709
13,12/12/2021,748,722,725
14,12/9/2021,756,740,742.6
15,12/8/2021,760,742,749
16,12/7/2021,795.2,765,766
17,12/6/2021,787,745,787
18,12/5/2021,785,758.6,765
19,12/2/2021,805,780,788
20,12/1/2021,822,800,804.8
21,11/30/2021,813.8,790,810
22,11/29/2021,825,797,800
23,11/28/2021,835,813,817
24,11/25/2021,843,825,842
25,11/24/2021,836,821.7,831
26,11/23/2021,856,825,836
27,11/22/2021,860,832.1,850
28,11/21/2021,870,836,840
29,11/18/2021,874,845.9,854
30,11/17/2021,897,862,875
31,11/16/2021,870,820,870
32,11/15/2021,833,817,824.9
33,11/14/2021,835,813.1,825.5
34,11/11/2021,841.5,824,824
35,11/9/2021,860,830,839
36,11/8/2021,880,856,856
37,11/3/2021,886,866,869.9
38,11/2/2021,890,865,869
39,11/1/2021,910,870,874
40,10/31/2021,902.1,856,893
41,10/28/2021,876,855,871
42,10/27/2021,873.2,826,870
43,10/26/2021,841.5,790,837
44,10/25/2021,841,820,836
45,10/24/2021,835,799,830
46,10/21/2021,809.8,794.1,808
47,10/20/2021,821,795,802
48,10/19/2021,819,785,791
49,10/18/2021,849,816,830
50,10/17/2021,850,830.5,849
51,10/11/2021,850,833.5,840
52,10/10/2021,873,845.2,850
53,10/6/2021,865,848,858
54,10/5/2021,854.9,842,850
55,10/4/2021,858,833,850
56,10/3/2021,860,844,849.1
57,9/30/2021,872.1,848,862.9
58,9/29/2021,872.1,845,865
59,9/28/2021,880,851,859
60,9/27/2021,890,866,870
61,9/26/2021,920,882,884
62,9/23/2021,915,887,902
63,9/22/2021,899,881,890
64,9/21/2021,887,850,870
65,9/20/2021,897.1,875,875.1
66,9/16/2021,930.2,890.1,897
67,9/15/2021,924,903,912
68,9/14/2021,943,918.3,919.1
69,9/13/2021,955,907,927
70,9/12/2021,907,880.2,906
71,9/9/2021,901,885,891
72,9/8/2021,907,885,895
73,9/7/2021,939,895,907
74,9/6/2021,937,880,929
75,9/5/2021,905.6,876,893
76,9/2/2021,918,898,905.5
77,9/1/2021,927,905.1,912
78,8/31/2021,938,903,914
79,8/29/2021,955,918,920
80,8/26/2021,958,933,936.9
81,8/25/2021,970,935,940
82,8/24/2021,986,950,951
83,8/19/2021,1004,966,969
84,8/18/2021,998.5,960,995
85,8/17/2021,991,970.1,973
86,8/16/2021,1004,986,988
87,8/15/2021,1030,980,1004
88,8/12/2021,1040,1028,1034
89,8/11/2021,1066,1027.5,1032
90,8/10/2021,1067.9,1017,1047
91,8/9/2021,1035,1017,1018
92,8/8/2021,1039,1026,1028
93,8/5/2021,1035,1025,1026
94,8/4/2021,1048,1024,1025.7
95,8/3/2021,1035,1023,1027.7
96,8/2/2021,1040,1020,1026
97,8/1/2021,1048,1026.2,1029.9
98,7/29/2021,1054,1022,1036
99,7/28/2021,1072,1041,1042
100,7/27/2021,1071,1012,1054
101,7/26/2021,1085,1046,1053
102,7/25/2021,1085,1040,1073
103,7/22/2021,1045,1011,1034
104,7/20/2021,1060,1030,1031.6
105,7/19/2021,1083,1036,1045
106,7/18/2021,1070,1001,1065
107,7/15/2021,999,970,994
108,7/14/2021,980,959,975
109,7/13/2021,977,954,973
110,7/12/2021,981,952,956
111,7/11/2021,975,930,964
112,7/8/2021,935,914,926
113,7/7/2021,925,914,916
114,7/6/2021,920,910,916
115,7/5/2021,920,910,910
116,7/4/2021,925,910,918
117,7/1/2021,918,908,911
118,6/30/2021,918,903,915
119,6/29/2021,945,914,915
120,6/28/2021,952,915,935
121,6/27/2021,940,882,916
122,6/24/2021,907,890,896
123,6/23/2021,905,892,893
124,6/22/2021,907,881,905
125,6/21/2021,898,882,883
126,6/20/2021,910,890,893
127,6/17/2021,907,898,901
128,6/16/2021,922,899,900
129,6/15/2021,921,901,905
130,6/14/2021,935,901,910
131,6/13/2021,912,882,902
132,6/10/2021,920,891,907
