SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,26.57,595.00,595.00,584.00,585.00,584.99,376.00,588.00,"219,958.00",14,-3.00,11.00,-0.51,1.88,0.00,708.41,749.43,989.00,547.50
2,ADBL,Agricultural Development Bank Limited,30.53,240.00,242.00,238.00,240.00,238.79,"15,338.00",242.10,"3,662,616.90",123,-2.10,4.00,-0.87,1.68,0.50,298.42,306.52,389.00,230.00
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,43.59,980.00,980.00,980.00,980.00,980.00,95.00,"1,000.00","93,100.00",2,-20.00,0.00,-2.00,0.00,0.00,980.89,"1,009.67","1,066.00",865.10
4,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,51.70,"1,605.10","1,731.00","1,426.20","1,500.00","1,617.78","2,286.00","1,573.70","3,698,247.10",128,-73.70,304.80,-4.68,21.37,-7.85,0.00,0.00,"2,705.00",256.80
5,AHL,Asian Hydropower Limited,24.39,392.00,398.00,386.00,396.50,394.12,"2,600.00",400.00,"1,024,715.00",117,-3.50,12.00,-0.88,3.11,0.60,0.00,0.00,480.90,298.80
6,AHPC,Arun Valley Hydropower Development Company Limited,35.89,310.00,311.00,304.70,305.20,306.84,"41,018.00",310.00,"12,585,786.20",191,-4.80,6.30,-1.55,2.07,-0.54,292.56,310.96,457.00,250.00
7,AIL,Ajod Insurance Limited,30.34,418.00,424.00,409.30,418.90,415.46,"3,003.00",426.00,"1,247,638.80",65,-7.10,14.70,-1.67,3.59,0.82,459.89,518.09,665.00,344.00
8,AKJCL,Ankhukhola Hydropower Company Limited,29.72,218.50,221.00,212.00,216.00,215.00,"25,345.00",218.50,"5,449,215.40",110,-2.50,9.00,-1.14,4.25,0.46,204.70,205.78,266.00,159.80
9,AKPL,Arun Kabeli Power Limited,27.23,392.00,397.00,386.10,393.00,390.35,"23,192.00",394.50,"9,052,971.20",150,-1.50,10.90,-0.38,2.82,0.67,386.09,408.10,519.00,325.00
10,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,27.98,731.00,731.00,705.00,705.00,715.04,353.00,731.00,"252,409.30",17,-26.00,26.00,-3.56,3.69,-1.42,902.98,995.68,"1,450.00",657.00
11,ALICL,Asian Life Insurance Company Limited,28.03,613.00,614.90,605.10,610.00,610.00,"4,933.00",614.00,"3,009,130.00",61,-4.00,9.80,-0.65,1.62,0.00,579.45,578.27,851.00,428.00
12,API,Api Power Company Limited,27.35,254.00,256.00,250.00,251.00,251.93,"44,574.00",253.70,"11,229,506.20",257,-2.70,6.00,-1.06,2.40,-0.37,243.26,246.30,327.00,200.00
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,27.97,620.00,620.00,595.60,597.00,601.13,621.00,608.00,"373,304.40",48,-11.00,24.40,-1.81,4.10,-0.69,686.93,0.00,963.00,316.00
14,BARUN,Barun Hydropower Company Limited,27.12,256.00,259.00,252.20,257.00,253.82,"6,866.00",256.00,"1,742,751.30",45,1.00,6.80,0.39,2.70,1.24,239.68,253.98,541.60,190.30
15,BBC,Bishal Bazar Company Limited,39.16,"3,200.00","3,200.00","3,170.90","3,170.90","3,190.30",45.00,"3,225.00","143,563.50",4,-54.10,29.10,-1.68,0.92,-0.61,"3,294.06","3,398.42","4,355.40","3,050.00"
16,BFC,Best Finance Company Limited,28.29,315.00,317.00,312.30,315.00,314.19,"2,959.00",316.10,"929,688.90",23,-1.10,4.70,-0.35,1.50,0.26,328.89,348.13,475.00,292.50
17,BHDC,Bindhyabasini Hydropower Development Company Limited,33.02,410.00,437.00,408.00,437.00,419.08,"2,126.00",414.10,"890,956.00",101,22.90,29.00,5.53,7.11,4.10,384.99,0.00,520.00,310.00
18,BHL,Balephi Hydropower Limited,27.64,306.00,314.00,302.00,312.00,307.79,"3,700.00",312.00,"1,138,841.00",115,0.00,12.00,0.00,3.97,1.35,294.82,297.36,397.00,104.70
19,BHPL,Barahi Hydropower Public Limited,28.86,490.00,494.00,479.00,479.00,484.41,"2,555.00",500.00,"1,237,675.50",57,-21.00,15.00,-4.20,3.13,-1.13,0.00,0.00,677.20,194.30
20,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,34.59,411.00,421.00,377.30,411.80,392.41,"9,130.00",419.00,"3,582,737.00",62,-7.20,43.70,-1.72,11.58,4.71,393.53,395.67,528.00,306.00
21,BOKD86,8.5% BOK Debenture 2086,40.91,790.00,790.00,790.00,790.00,790.00,10.00,775.00,"7,900.00",1,15.00,0.00,1.94,0.00,0.00,0.00,0.00,980.00,738.50
22,BPCL,Butwal Power Company Limited,35.72,317.00,319.00,315.00,319.00,317.01,"1,968.00",319.00,"623,883.40",41,0.00,4.00,0.00,1.27,0.62,314.96,317.56,393.00,288.00
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,23.82,805.00,810.00,796.00,805.60,805.17,"1,360.00",805.00,"1,095,029.00",63,0.60,14.00,0.07,1.76,0.05,"1,040.91","1,044.09","1,303.00",727.00
24,CBLD88,10.25% Civil Bank Debenture 2088,49.14,880.00,897.00,850.00,880.00,885.23,540.00,885.10,"478,024.00",10,-5.10,47.00,-0.58,5.53,-0.59,0.00,0.00,"1,000.00",813.00
