High,Low,Close,Date
315,308,309,12/7/2022
315,308,309,12/7/2022
315,308,309,12/9/2022
309,305.2,307.5,12/11/2022
313,307,310,12/12/2022
314.7,310,312.5,12/13/2022
315,311,311.1,12/14/2022
313,309,310,12/15/2022
316.2,302.1,306,12/18/2022
311,305,307,12/19/2022
310,305,305.2,12/20/2022
308.7,301.1,307.7,12/21/2022
310,302,306.9,12/22/2022
315,308.7,315,12/26/2022
325,320,323.3,12/27/2022
323,317.2,322.4,12/28/2022
328.8,318.6,328,12/29/2022
336.6,325,326,1/1/2023
329.5,319.5,326,1/2/2023
332.5,326,329,1/3/2023
335,329,334.5,1/4/2023
342,333.5,342,1/5/2023
346.8,338.2,340,1/8/2023
349,335.2,346,1/9/2023
355.8,330,340,1/10/2023
349.4,330,330.2,1/12/2023
331,325,328,1/17/2023
331,323.4,324,1/18/2023
328,322.1,324,1/19/2023
320,308,312.1,1/23/2023
318,306.1,308,1/24/2023
314,308.5,311.2,1/25/2023
315,308,308,1/26/2023
310,305.1,305.1,1/29/2023
308,302.5,302.7,1/30/2023
308,300.1,301,1/31/2023
307,299,300,2/1/2023
304,298.4,298.5,2/2/2023
304.4,297.5,298,2/5/2023
305.9,299,304.4,2/7/2023
309.9,305,308,2/9/2023
312,300,300.2,2/12/2023
302,298,298.5,2/14/2023
298,290.2,295,2/16/2023
297,291.1,293,2/20/2023
302,293,294,2/22/2023
296,289,289.1,2/23/2023
290,280,286,2/26/2023
290,284,285,2/28/2023
289.4,281,282,3/1/2023
281.1,278.6,279.3,3/2/2023
284.8,281.3,283.9,3/5/2023
291,282,291,3/7/2023
303,291.4,302,3/9/2023
307.7,296.1,298.5,3/12/2023
299,279,281.7,3/14/2023
282.9,271.1,272,3/15/2023
268.5,259.1,261.5,3/16/2023
264.5,258,258.2,3/19/2023
262.8,256.1,258,3/20/2023
263.1,256.1,256.5,3/22/2023
257,252,254,3/23/2023
248.5,243.1,247.3,3/28/2023
249.8,244,246,3/29/2023
248.7,244,244.5,3/30/2023
249.3,241,242,4/2/2023
242,238,240,4/3/2023
239.9,236,239.9,4/4/2023
241,237,240,4/5/2023
244,238.2,239,4/6/2023
239,234,234,4/9/2023
235,230,232.1,4/10/2023
241,233,238,4/11/2023
251,240.1,251,4/12/2023
257,246,246,4/13/2023
255.9,245.9,247.5,4/16/2023
242,238,240,4/18/2023
243,236.2,239,4/19/2023
243.7,237.1,239,4/20/2023
238.6,230.5,233.5,4/23/2023
237,232.1,234,4/24/2023
238,233.1,237.4,4/25/2023
239.9,233.5,235.5,4/26/2023
238.4,233,234.4,4/27/2023
235,230.2,233,4/30/2023
237,230,234.9,5/2/2023
235,231.2,233.1,5/3/2023
235,228,233.9,5/4/2023
235,230.1,232,5/7/2023
233.7,226.5,230.9,5/9/2023
234.6,230,230,5/10/2023
239,225,239,5/11/2023
239,224.5,227,5/14/2023
230,225,228,5/15/2023
229.5,227,228.5,5/16/2023
233,229,231,5/18/2023
235,230,230,5/21/2023
232,229.1,230,5/22/2023
234,229.2,233.1,5/23/2023
237.1,228.6,234,5/24/2023
