High,Low,Close,Date
216,212.6,212.8,12/7/2022
216,212.6,212.8,12/9/2022
205,196.2,196.3,12/11/2022
198,192.7,197,12/12/2022
198.9,193,194,12/13/2022
196,193.2,193.9,12/14/2022
196,191.1,191.5,12/15/2022
194.5,185,185,12/18/2022
188.7,183.5,187.9,12/19/2022
190.6,187,188.2,12/20/2022
192,186,190.4,12/21/2022
191,186.7,187,12/22/2022
198,186.7,196.5,12/26/2022
210,197,204.6,12/27/2022
204.9,200,203.1,12/28/2022
204.9,200,204.8,12/29/2022
208.5,203.2,205,1/1/2023
207.5,203.6,205,1/2/2023
207,204,207,1/3/2023
207,204,206.9,1/4/2023
210,205,205.9,1/5/2023
211,205,206.9,1/8/2023
217,207,217,1/9/2023
230,213,219,1/10/2023
