SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,33.51,709.00,715.00,709.00,715.00,712.58,189.00,720.00,"134,677.00",7,-5.0,6.0,-0.69,0.85,0.34,794.41,864.47,"1,566.00",688.20,2022-12-07
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,33.51,709.00,715.00,709.00,715.00,712.58,189.00,720.00,"134,677.00",7,-5.0,6.0,-0.69,0.85,0.34,794.41,864.47,"1,566.00",688.20,2022-12-07
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,33.51,709.00,715.00,709.00,715.00,712.58,189.00,720.00,"134,677.00",7,-5.0,6.0,-0.69,0.85,0.34,794.41,864.47,"1,566.00",688.20,2022-12-09
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,34.92,701.00,713.90,700.90,701.00,703.31,473.00,715.00,"332,667.70",20,-14.0,13.0,-1.96,1.85,-0.33,-,-,"1,566.00",688.20,2022-12-11
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,35.15,691.00,710.00,691.00,709.00,702.94,225.00,701.00,"158,162.00",15,8.0,19.0,1.14,2.75,0.85,792.05,857.19,"1,566.00",688.20,2022-12-12
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,31.72,723.00,725.00,709.00,709.10,715.77,506.00,709.00,"362,179.60",24,0.1,16.0,0.01,2.26,-0.94,791.16,853.54,"1,566.00",688.20,2022-12-13
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,32.04,710.00,721.00,709.00,710.00,710.40,177.00,709.10,"125,740.00",16,0.9,12.0,0.13,1.69,-0.06,790.46,849.89,"1,566.00",688.20,2022-12-14
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,24.23,724.00,724.00,696.00,701.50,700.95,285.00,710.00,"199,770.80",18,-8.5,28.0,-1.2,4.02,0.08,789.63,846.12,"1,566.00",688.20,2022-12-15
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,31.04,690.00,695.00,687.50,688.00,688.82,"1,091.00",701.50,"751,499.20",35,-13.5,7.5,-1.92,1.09,-0.12,788.78,842.30,"1,566.00",687.50,2022-12-18
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,24.6,675.00,700.00,675.00,700.00,689.09,143.00,688.00,"98,540.30",11,12.0,25.0,1.74,3.7,1.56,788.29,838.60,"1,566.00",675.00,2022-12-19
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,24.6,700.00,708.00,695.00,696.00,699.68,315.00,700.00,"220,399.00",15,-4.0,13.0,-0.57,1.87,-0.53,787.64,835.00,"1,566.00",675.00,2022-12-20
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,27.55,696.00,720.00,696.00,701.00,706.74,406.00,696.00,"286,935.70",20,5.0,24.0,0.72,3.45,-0.82,786.73,831.53,"1,566.00",675.00,2022-12-21
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,38.06,701.00,702.00,692.00,702.00,699.16,554.00,701.00,"387,337.40",19,1.0,10.0,0.14,1.45,0.4,785.84,828.15,"1,566.00",675.00,2022-12-22
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,45.24,715.50,726.00,702.00,726.00,714.39,"2,196.00",702.00,"1,568,800.60",41,24.0,24.0,3.42,3.42,1.6,785.27,824.76,"1,566.00",675.00,2022-12-26
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,50.55,740.00,754.00,712.00,740.00,742.31,"1,539.00",726.00,"1,142,422.50",68,14.0,42.00,1.93,5.9,-0.31,784.60,822.76,"1,566.00",675.00,2022-12-27
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,51.42,754.00,754.00,725.20,732.00,734.65,897.00,740.00,"658,982.60",30,-8.0,28.8,-1.08,3.97,-0.36,783.45,820.77,"1,566.00",675.00,2022-12-28
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,51.42,735.10,750.00,730.00,740.00,739.91,"1,142.00",732.00,"844,974.50",40,8.0,20.0,1.09,2.74,0.01,782.32,819.00,"1,566.00",675.00,2022-12-29
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,54.54,750.00,775.00,750.00,760.00,764.98,"2,113.00",740.00,"1,616,401.10",52,20.0,25.00,2.7,3.33,-0.66,781.25,817.56,"1,566.00",675.00,2023-01-01
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,54.54,746.00,830.00,746.00,795.00,787.43,"1,171.00",760.00,"922,079.70",46,35.0,84.0,4.61,11.26,0.95,780.45,816.41,"1,566.00",675.00,2023-01-02
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,54.67,788.00,820.00,788.00,802.00,809.09,"2,178.00",795.00,"1,762,195.10",72,7.0,32.0,0.88,4.06,-0.88,779.93,815.26,"1,566.00",675.00,2023-01-03
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,61.26,803.00,882.20,803.00,880.00,849.89,"3,921.00",802.00,"3,332,413.60",125,78.0,79.2,9.73,9.86,3.42,780.08,814.62,"1,566.00",675.00,2023-01-04
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,61.0,890.00,900.00,863.00,878.00,882.56,"2,718.00",880.00,"2,398,798.60",102,-2.0,37.0,-0.23,4.29,-0.52,780.22,814.11,"1,566.00",675.00,2023-01-05
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,62.2,861.00,899.00,861.00,887.00,886.17,"2,453.00",878.00,"2,173,767.60",70,9.00,38.00,1.03,4.41,0.09,-,-,"1,566.00",675.00,2023-01-08
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,56.12,900.00,900.00,875.00,890.80,884.38,"2,271.00",887.00,"2,008,432.80",66,3.8,25.0,0.43,2.86,0.72,781.42,813.18,"1,566.00",675.00,2023-01-09
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,51.19,889.00,906.70,870.00,870.00,890.25,"4,876.00",890.80,"4,340,882.90",102,-20.8,36.7,-2.33,4.22,-2.33,781.87,812.68,"1,566.00",675.00,2023-01-10
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,51.22,854.00,870.00,824.00,824.00,843.13,"2,147.00",870.00,"1,810,199.00",79,-46.0,46.0,-5.29,5.58,-2.32,781.74,811.86,"1,566.00",675.00,2023-01-12
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,43.32,830.00,867.00,830.00,867.00,854.86,"1,714.00",824.00,"1,465,229.50",58,43.0,37.0,5.22,4.46,1.4,781.97,811.34,"1,558.00",675.00,2023-01-17
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,45.8,860.00,875.00,846.10,850.00,861.50,"1,435.00",867.00,"1,236,254.50",53,-17.0,28.9,-1.96,3.42,-1.35,782.18,810.78,"1,545.00",675.00,2023-01-18
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,43.14,850.00,869.00,840.00,853.00,853.95,"2,066.00",850.00,"1,764,267.40",59,3.0,29.0,0.35,3.45,-0.11,782.27,810.12,"1,540.00",675.00,2023-01-19
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,44.36,853.00,868.00,837.00,845.00,850.17,905.00,853.00,"769,400.30",33,-8.0,31.0,-0.94,3.7,-0.61,782.25,809.54,"1,540.00",675.00,2023-01-23
