SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
2,ADBL,Agricultural Development Bank Limited,33.4,312.00,315.00,308.00,309.00,310.43,"25,574.00",311.70,"7,938,888.20",215,-2.7,7.0,-0.87,2.27,-0.46,320.19,335.87,510.00,298.00,2022-12-07
2,ADBL,Agricultural Development Bank Limited,33.4,312.00,315.00,308.00,309.00,310.43,"25,574.00",311.70,"7,938,888.20",215,-2.7,7.0,-0.87,2.27,-0.46,320.19,335.87,510.00,298.00,2022-12-09
2,ADBL,Agricultural Development Bank Limited,34.81,308.00,309.00,305.20,307.50,307.29,"9,650.00",309.00,"2,965,321.10",160,-1.5,3.8,-0.49,1.25,0.07,-,-,510.00,298.00,2022-12-11
2,ADBL,Agricultural Development Bank Limited,30.68,307.00,313.00,307.00,310.00,310.17,"9,970.00",307.50,"3,092,390.10",141,2.5,6.0,0.81,1.95,-0.05,319.99,334.88,510.00,298.00,2022-12-12
2,ADBL,Agricultural Development Bank Limited,29.85,310.00,314.70,310.00,312.50,311.45,"6,355.00",310.00,"1,979,263.70",97,2.5,4.7,0.81,1.52,0.34,319.95,334.41,510.00,298.00,2022-12-13
2,ADBL,Agricultural Development Bank Limited,44.92,315.00,315.00,311.00,311.10,311.16,"156,925.00",312.50,"48,829,366.90",90,-1.4,4.0,-0.45,1.29,-0.02,319.95,333.94,510.00,298.00,2022-12-14
2,ADBL,Agricultural Development Bank Limited,50.9,312.00,313.00,309.00,310.00,310.98,"14,709.00",311.10,"4,574,270.90",140,-1.1,4.0,-0.35,1.29,-0.32,319.94,333.45,510.00,298.00,2022-12-15
2,ADBL,Agricultural Development Bank Limited,44.18,316.20,316.20,302.10,306.00,309.56,"201,937.00",310.00,"62,511,436.00",348,-4.0,14.1,-1.29,4.67,-1.16,319.91,332.96,510.00,298.00,2022-12-18
2,ADBL,Agricultural Development Bank Limited,27.15,306.00,311.00,305.00,307.00,305.99,"8,067.00",306.00,"2,468,445.60",118,1.0,6.0,0.33,1.97,0.33,319.93,332.48,510.00,298.00,2022-12-19
2,ADBL,Agricultural Development Bank Limited,27.15,309.00,310.00,305.00,305.20,306.55,"13,973.00",307.00,"4,283,374.20",157,-1.8,5.0,-0.59,1.64,-0.44,319.89,332.02,510.00,298.00,2022-12-20
2,ADBL,Agricultural Development Bank Limited,33.68,302.79,308.70,301.10,307.70,306.34,"31,483.00",305.20,"9,644,399.40",135,2.5,7.6,0.82,2.52,0.44,319.83,331.59,510.00,298.00,2022-12-21
2,ADBL,Agricultural Development Bank Limited,38.07,310.00,310.00,302.00,306.90,305.91,"15,590.00",307.70,"4,769,139.00",145,-0.8,8.0,-0.26,2.65,0.32,319.77,331.16,510.00,298.00,2022-12-22
2,ADBL,Agricultural Development Bank Limited,40.61,310.00,315.00,308.70,315.00,312.66,"21,883.00",306.90,"6,841,894.70",230,8.1,6.3,2.64,2.04,0.74,319.65,330.77,510.00,298.00,2022-12-26
2,ADBL,Agricultural Development Bank Limited,45.14,321.00,325.00,320.00,323.30,322.89,"51,610.00",315.00,"16,664,375.50",384,8.3,5.00,2.63,1.56,0.13,319.62,330.43,510.00,298.00,2022-12-27
2,ADBL,Agricultural Development Bank Limited,47.18,323.00,323.00,317.20,322.40,321.00,"19,569.00",323.30,"6,281,694.40",173,-0.9,5.8,-0.28,1.83,0.43,319.55,330.11,499.00,298.00,2022-12-28
2,ADBL,Agricultural Development Bank Limited,47.18,325.00,328.80,318.60,328.00,324.77,"25,822.00",322.40,"8,386,281.90",211,5.6,10.2,1.74,3.2,0.98,319.57,329.83,499.00,298.00,2022-12-29
2,ADBL,Agricultural Development Bank Limited,51.72,334.50,336.60,325.00,326.00,329.49,"39,484.00",328.00,"13,009,745.00",324,-2.0,11.60,-0.61,3.57,-1.07,319.56,329.54,448.00,298.00,2023-01-01
2,ADBL,Agricultural Development Bank Limited,51.72,326.00,329.50,319.50,326.00,326.21,"25,571.00",326.00,"8,341,448.90",170,0.0,10.0,0.0,3.13,-0.06,319.54,329.32,448.00,298.00,2023-01-02
2,ADBL,Agricultural Development Bank Limited,44.11,332.00,332.50,326.00,329.00,328.61,"42,776.00",326.00,"14,056,834.40",277,3.0,6.5,0.92,1.99,0.12,319.53,329.07,448.00,298.00,2023-01-03
2,ADBL,Agricultural Development Bank Limited,53.74,332.00,335.00,329.00,334.50,331.82,"47,144.00",329.00,"15,643,352.90",310,5.5,6.0,1.67,1.82,0.8,319.58,328.89,448.00,298.00,2023-01-04
2,ADBL,Agricultural Development Bank Limited,55.99,340.00,342.00,333.50,342.00,337.43,"53,538.00",334.50,"18,065,349.50",355,7.5,8.5,2.24,2.55,1.34,319.68,328.77,448.00,298.00,2023-01-05
2,ADBL,Agricultural Development Bank Limited,57.19,346.80,346.80,338.20,340.00,340.69,"92,031.00",342.00,"31,354,479.10",388,-2.00,8.60,-0.58,2.54,-0.2,-,-,448.00,298.00,2023-01-08
2,ADBL,Agricultural Development Bank Limited,59.52,340.00,349.00,335.20,346.00,340.56,"105,273.00",340.00,"35,851,888.90",433,6.0,13.8,1.76,4.12,1.57,320.11,328.48,448.00,298.00,2023-01-09
2,ADBL,Agricultural Development Bank Limited,54.86,340.00,355.80,330.00,340.00,341.94,"248,684.00",346.00,"85,036,229.10","1,409",-6.0,25.8,-1.73,7.82,-0.57,320.36,328.32,448.00,298.00,2023-01-10
2,ADBL,Agricultural Development Bank Limited,54.88,340.00,349.40,330.00,330.20,335.71,"67,648.00",340.00,"22,710,315.70",485,-9.8,19.4,-2.88,5.88,-1.67,320.50,328.09,448.00,298.00,2023-01-12
2,ADBL,Agricultural Development Bank Limited,42.51,329.00,331.00,325.00,328.00,326.87,"62,496.00",330.20,"20,427,991.00",433,-2.2,6.0,-0.67,1.85,0.34,320.53,327.86,448.00,298.00,2023-01-17
2,ADBL,Agricultural Development Bank Limited,42.81,328.00,331.00,323.40,324.00,326.19,"40,481.00",328.00,"13,204,379.90",356,-4.0,7.6,-1.22,2.35,-0.68,320.47,327.60,448.00,298.00,2023-01-18
2,ADBL,Agricultural Development Bank Limited,41.69,324.00,328.00,322.10,324.00,324.28,"37,215.00",324.00,"12,068,029.40",276,0.0,5.9,0.0,1.83,-0.09,320.40,327.31,442.00,298.00,2023-01-19
2,ADBL,Agricultural Development Bank Limited,39.81,317.60,320.00,308.00,312.10,314.53,"126,466.00",324.00,"39,777,772.90",788,-11.9,12.0,-3.67,3.9,-0.78,320.22,326.94,441.00,298.00,2023-01-23
