SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,25.09,931.00,931.00,931.00,931.00,931.00,75.00,950.00,"69,825.00",2,-19.0,0.0,-2.0,0.0,0.0,"1,014.70",-,"1,091.00",931.00,2022-12-13
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,29.95,931.00,931.00,931.00,931.00,931.00,25.00,931.00,"23,275.00",1,0.0,0.0,0.0,0.0,0.0,"1,013.77",-,"1,091.00",931.00,2022-12-14
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,22.79,930.00,930.00,930.00,930.00,930.00,25.00,931.00,"23,250.00",1,-1.0,0.0,-0.11,0.0,0.0,"1,012.76",-,"1,091.00",930.00,2022-12-15
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,28.99,913.00,928.00,909.60,915.00,915.63,210.00,930.00,"192,282.50",7,-15.0,18.4,-1.61,2.02,-0.07,"1,011.60","1,032.54","1,091.00",909.60,2022-12-19
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,29.88,915.50,915.50,915.50,915.50,915.50,25.00,915.00,"22,887.50",1,0.5,0.0,0.05,0.0,0.0,"1,010.46","1,031.77","1,091.00",909.60,2022-12-21
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,26.19,915.60,915.60,915.00,915.00,915.40,93.00,915.50,"85,131.80",4,-0.5,0.6,-0.05,0.07,-0.04,"1,009.32","1,030.99","1,091.00",909.60,2022-12-22
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,35.97,920.00,920.00,920.00,920.00,920.00,20.00,915.00,"18,400.00",1,5.0,0.0,0.55,0.0,0.0,"1,008.07","1,030.24","1,091.00",909.60,2022-12-28
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,35.97,938.00,938.40,938.00,938.40,938.11,35.00,920.00,"32,834.00",2,18.4,0.4,2.0,0.04,0.03,"1,007.05","1,029.59","1,091.00",909.60,2022-12-29
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,45.33,920.30,920.50,920.30,920.50,920.40,50.00,938.40,"46,020.00",2,-17.9,0.20,-1.91,0.02,0.01,"1,005.85","1,028.87","1,091.00",909.60,2023-01-01
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,47.24,938.00,938.90,938.00,938.90,938.63,167.00,920.50,"156,751.30",2,18.4,0.9,2.0,0.1,0.03,"1,004.96","1,028.25","1,091.00",909.60,2023-01-03
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,56.35,938.90,938.90,938.80,938.80,938.87,150.00,938.90,"140,830.00",2,-0.1,0.1,-0.01,0.01,-0.01,"1,003.94","1,027.57","1,091.00",909.60,2023-01-04
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,60.18,930.00,938.80,930.00,938.80,938.56,925.00,938.80,"868,170.00",7,0.00,8.80,0.0,0.95,0.03,-,-,"1,091.00",909.60,2023-01-08
