SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
4,AHL,Asian Hydropower Limited,0.0,298.80,328.60,298.80,328.60,327.80,"3,220.00",298.90,"1,055,530.80",58,29.8,29.8,9.97,9.97,0.24,-,-,328.60,298.80,2023-03-23
5,AHL,Asian Hydropower Limited,49.77,405.40,437.20,405.40,437.20,437.04,"5,420.00",397.50,"2,368,772.00",533,39.7,31.8,9.99,7.84,0.04,0.00,0.00,437.20,298.80,2023-03-28
4,AHL,Asian Hydropower Limited,47.71,445.90,480.90,445.00,448.00,454.67,"52,292.00",437.20,"23,775,403.10","3,638",10.8,35.9,2.47,8.07,-1.49,0.00,0.00,480.90,298.80,2023-03-29
4,AHL,Asian Hydropower Limited,44.24,440.10,450.00,430.40,437.60,438.69,"23,220.00",448.00,"10,186,483.00","1,751",-10.4,19.6,-2.32,4.55,-0.25,0.00,0.00,480.90,298.80,2023-03-30
4,AHL,Asian Hydropower Limited,34.36,435.00,440.00,404.00,419.10,422.06,"19,656.00",437.60,"8,296,047.00","1,269",-18.5,36.0,-4.23,8.91,-0.71,0.00,0.00,480.90,298.80,2023-04-02
4,AHL,Asian Hydropower Limited,28.33,411.00,412.00,390.20,398.00,397.92,"16,906.00",419.10,"6,727,166.80",771,-21.1,21.8,-5.03,5.59,0.02,0.00,0.00,480.90,298.80,2023-04-03
5,AHL,Asian Hydropower Limited,26.87,399.00,407.90,388.00,393.60,396.18,"5,547.00",398.00,"2,197,591.30",399,-4.4,19.9,-1.11,5.13,-0.65,0.00,0.00,480.90,298.80,2023-04-04
4,AHL,Asian Hydropower Limited,29.92,390.00,408.90,388.20,408.90,399.97,"7,492.00",393.60,"2,996,571.00",391,15.3,20.7,3.89,5.33,2.18,0.00,0.00,480.90,298.80,2023-04-05
5,AHL,Asian Hydropower Limited,28.89,403.00,411.00,401.00,407.00,405.42,"5,440.00",408.90,"2,205,475.50",343,-1.9,10.0,-0.46,2.49,0.39,0.00,0.00,480.90,298.80,2023-04-06
5,AHL,Asian Hydropower Limited,28.36,400.10,402.00,390.10,392.00,394.81,"5,680.00",407.00,"2,242,547.00",275,-15.0,11.9,-3.69,3.05,-0.72,0.00,0.00,480.90,298.80,2023-04-09
4,AHL,Asian Hydropower Limited,32.27,385.10,406.00,382.70,398.90,389.10,"5,370.00",392.00,"2,089,464.10",280,6.9,23.3,1.76,6.09,2.46,0.00,0.00,480.90,298.80,2023-04-10
4,AHL,Asian Hydropower Limited,26.04,391.00,399.00,390.00,398.00,394.50,"3,836.00",398.90,"1,513,311.00",275,-0.90,9.00,-0.23,2.31,0.88,0.00,0.00,480.90,298.80,2023-04-11
5,AHL,Asian Hydropower Limited,38.47,405.00,417.90,391.10,417.90,409.64,"6,880.00",398.00,"2,818,297.20",387,19.90,26.80,5.0,6.85,1.98,0.00,0.00,480.90,298.80,2023-04-12
5,AHL,Asian Hydropower Limited,38.82,415.00,434.00,402.20,434.00,411.28,"7,351.00",417.90,"3,023,348.50",345,16.1,31.80,3.85,7.91,5.23,0.00,0.00,480.90,298.80,2023-04-13
4,AHL,Asian Hydropower Limited,38.82,425.40,430.00,400.00,400.00,409.43,"19,740.00",434.00,"8,082,087.00",322,-34.0,30.0,-7.83,7.5,-2.36,0.00,0.00,480.90,298.80,2023-04-16
5,AHL,Asian Hydropower Limited,24.39,392.00,398.00,386.00,396.50,394.12,"2,600.00",400.00,"1,024,715.00",117,-3.5,12.0,-0.88,3.11,0.6,0.00,0.00,480.90,298.80,2023-04-18
5,AHL,Asian Hydropower Limited,30.06,395.00,399.80,392.00,397.00,395.79,"1,840.00",396.50,"728,255.00",126,0.5,7.8,0.13,1.99,0.3,0.00,0.00,480.90,298.80,2023-04-19
4,AHL,Asian Hydropower Limited,30.06,404.90,404.90,385.00,394.00,389.88,"6,555.00",397.00,"2,555,631.00",160,-3.0,19.90,-0.76,5.17,1.05,0.00,0.00,480.90,298.80,2023-04-20
4,AHL,Asian Hydropower Limited,26.31,386.20,390.00,375.10,376.00,380.23,"4,040.00",394.00,"1,536,140.30",181,-18.0,14.9,-4.57,3.97,-1.13,0.00,0.00,480.90,298.80,2023-04-23
4,AHL,Asian Hydropower Limited,23.8,370.00,380.00,367.10,378.00,373.50,"3,151.00",376.00,"1,176,905.80",182,2.0,12.9,0.53,3.51,1.19,0.00,0.00,480.90,298.80,2023-04-24
4,AHL,Asian Hydropower Limited,36.16,370.60,382.00,360.90,379.00,371.28,"7,262.00",378.00,"2,696,263.60",205,1.0,21.1,0.26,5.85,2.04,0.00,0.00,480.90,298.80,2023-04-25
4,AHL,Asian Hydropower Limited,32.8,383.00,385.00,371.50,376.00,374.08,"3,490.00",379.00,"1,305,532.00",154,-3.0,13.5,-0.79,3.63,0.51,0.00,0.00,480.90,298.80,2023-04-26
5,AHL,Asian Hydropower Limited,39.16,380.00,380.00,365.20,374.00,367.78,"6,634.00",376.00,"2,439,882.00",147,-2.00,14.8,-0.53,4.05,1.66,0.00,0.00,480.90,298.80,2023-04-27
5,AHL,Asian Hydropower Limited,35.14,366.80,375.00,352.00,359.00,360.66,"10,243.00",374.00,"3,694,226.00",184,-15.0,23.0,-4.01,6.53,-0.46,0.00,0.00,480.90,298.80,2023-04-30
4,AHL,Asian Hydropower Limited,32.6,366.00,369.00,347.10,369.00,352.53,"3,222.00",359.00,"1,135,850.20",154,10.0,21.9,2.79,6.31,4.46,0.00,0.00,480.90,298.80,2023-05-02
4,AHL,Asian Hydropower Limited,27.66,369.00,369.00,348.00,358.00,356.62,"3,370.00",369.00,"1,201,804.00",135,-11.0,21.0,-2.98,6.03,0.39,0.00,0.00,480.90,298.80,2023-05-03
5,AHL,Asian Hydropower Limited,30.56,351.10,361.00,346.00,358.00,351.55,"1,720.00",358.00,"604,667.00",96,0.0,15.0,0.0,4.34,1.8,0.00,0.00,480.90,298.80,2023-05-04
4,AHL,Asian Hydropower Limited,30.21,350.90,350.90,341.00,347.80,344.57,"1,800.00",358.00,"620,222.00",107,-10.2,9.9,-2.85,2.9,0.93,0.00,0.00,480.90,298.80,2023-05-07
4,AHL,Asian Hydropower Limited,32.53,335.00,349.00,330.10,343.00,341.47,"2,590.00",337.00,"884,419.00",107,6.0,18.9,1.78,5.73,0.44,0.00,0.00,480.90,298.80,2023-05-09
4,AHL,Asian Hydropower Limited,30.38,340.50,351.90,335.10,351.90,343.28,"1,122.00",343.00,"385,158.00",85,8.9,16.8,2.59,5.01,2.45,0.00,0.00,480.90,298.80,2023-05-10
4,AHL,Asian Hydropower Limited,34.05,354.00,354.00,335.60,335.60,339.94,"1,992.00",351.90,"677,154.00",58,-16.3,18.4,-4.63,5.48,-1.29,0.00,0.00,480.90,298.80,2023-05-11
4,AHL,Asian Hydropower Limited,33.97,335.60,342.30,330.30,334.00,334.27,"1,902.00",335.60,"635,775.00",95,-1.6,12.0,-0.48,3.63,-0.08,0.00,0.00,480.90,298.80,2023-05-14
4,AHL,Asian Hydropower Limited,29.19,327.40,337.00,323.00,328.00,328.52,"1,090.00",334.00,"358,092.00",78,-6.0,14.0,-1.8,4.33,-0.16,0.00,0.00,480.90,298.80,2023-05-15
5,AHL,Asian Hydropower Limited,34.71,325.00,335.00,323.00,330.10,328.92,"3,350.00",328.00,"1,101,873.00",84,2.1,12.0,0.64,3.72,0.36,0.00,0.00,480.90,298.80,2023-05-16
4,AHL,Asian Hydropower Limited,45.87,330.40,351.00,330.40,350.00,345.46,"7,120.00",335.90,"2,459,646.00",132,14.1,20.6,4.2,6.23,1.3,0.00,0.00,480.90,298.80,2023-05-18
4,AHL,Asian Hydropower Limited,45.8,350.00,364.00,338.00,345.00,343.69,"6,066.00",350.00,"2,084,798.60",125,-5.00,26.00,-1.43,7.69,0.38,0.00,0.00,480.90,298.80,2023-05-21
4,AHL,Asian Hydropower Limited,45.8,351.00,351.90,332.20,343.50,341.19,"2,604.00",345.00,"888,462.00",91,-1.50,19.70,-0.43,5.93,0.67,0.00,0.00,480.90,298.80,2023-05-22
4,AHL,Asian Hydropower Limited,42.69,340.00,365.00,340.00,365.00,353.45,"20,052.00",343.50,"7,087,406.20",191,21.50,25.00,6.26,7.35,3.16,0.00,0.00,480.90,298.80,2023-05-23
4,AHL,Asian Hydropower Limited,48.93,365.00,371.90,359.00,368.40,366.24,"5,575.00",365.00,"2,041,772.00",164,3.40,12.90,0.93,3.59,0.59,0.00,0.00,480.90,298.80,2023-05-24
