SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
4,AHPC,Arun Valley Hydropower Development Company Limited,26.04,270.00,272.90,269.00,270.00,270.52,"20,484.00",272.80,"5,541,397.40",90,-2.8,3.9,-1.03,1.45,-0.19,325.37,358.46,628.30,251.40,2022-12-07
4,AHPC,Arun Valley Hydropower Development Company Limited,26.04,270.00,272.90,269.00,270.00,270.52,"20,484.00",272.80,"5,541,397.40",90,-2.8,3.9,-1.03,1.45,-0.19,325.37,358.46,628.30,251.40,2022-12-07
4,AHPC,Arun Valley Hydropower Development Company Limited,26.04,270.00,272.90,269.00,270.00,270.52,"20,484.00",272.80,"5,541,397.40",90,-2.8,3.9,-1.03,1.45,-0.19,325.37,358.46,628.30,251.40,2022-12-09
4,AHPC,Arun Valley Hydropower Development Company Limited,27.46,269.80,272.00,265.40,269.00,268.55,"34,487.00",270.00,"9,261,385.30",123,-1.0,6.6,-0.37,2.49,0.17,-,-,628.30,251.40,2022-12-11
4,AHPC,Arun Valley Hydropower Development Company Limited,31.16,270.00,274.00,264.10,273.00,268.54,"24,896.00",269.00,"6,685,618.60",117,4.0,9.9,1.49,3.75,1.63,323.59,355.94,628.30,251.40,2022-12-12
5,AHPC,Arun Valley Hydropower Development Company Limited,36.15,271.00,275.00,267.00,267.00,269.39,"11,749.00",273.00,"3,165,054.70",92,-6.0,8.0,-2.2,3.0,-0.89,322.84,354.67,628.30,251.40,2022-12-13
4,AHPC,Arun Valley Hydropower Development Company Limited,26.92,267.00,270.70,266.00,267.80,267.13,"9,326.00",267.00,"2,491,296.80",70,0.8,4.7,0.3,1.77,0.25,322.17,353.27,628.30,251.40,2022-12-14
5,AHPC,Arun Valley Hydropower Development Company Limited,23.63,264.10,270.00,260.70,262.50,262.68,"27,324.00",267.80,"7,177,431.90",165,-5.3,9.3,-1.98,3.57,-0.07,321.34,351.90,628.30,251.40,2022-12-15
4,AHPC,Arun Valley Hydropower Development Company Limited,27.93,267.70,267.70,252.90,254.00,256.33,"27,100.00",262.50,"6,946,638.10",156,-8.5,14.8,-3.24,5.85,-0.92,320.56,350.54,628.30,251.40,2022-12-18
5,AHPC,Arun Valley Hydropower Development Company Limited,27.15,251.20,259.00,251.20,254.00,255.31,"19,461.00",254.00,"4,968,669.00",96,0.0,7.8,0.0,3.11,-0.52,319.93,349.21,628.30,251.20,2022-12-19
3,AHPC,Arun Valley Hydropower Development Company Limited,27.15,255.00,258.90,253.00,255.00,255.78,"20,139.00",254.00,"5,151,172.70",104,1.0,5.9,0.39,2.33,-0.31,319.30,347.99,628.30,251.20,2022-12-20
5,AHPC,Arun Valley Hydropower Development Company Limited,31.2,255.00,259.10,252.00,253.80,253.61,"23,651.00",255.00,"5,998,203.10",99,-1.2,7.1,-0.47,2.82,0.07,318.44,346.80,628.30,251.20,2022-12-21
5,AHPC,Arun Valley Hydropower Development Company Limited,33.24,254.00,255.00,250.00,250.10,251.01,"33,325.00",253.80,"8,364,880.50",149,-3.7,5.0,-1.46,2.0,-0.36,317.66,345.60,628.30,250.00,2022-12-22
3,AHPC,Arun Valley Hydropower Development Company Limited,38.43,254.00,275.00,254.00,272.80,265.94,"92,017.00",250.10,"24,470,982.00",334,22.7,21.0,9.08,8.27,2.51,317.15,344.44,628.30,250.00,2022-12-26
4,AHPC,Arun Valley Hydropower Development Company Limited,50.39,278.20,289.90,275.00,284.90,284.28,"163,968.00",272.80,"46,612,327.80",769,12.1,14.90,4.44,5.42,0.22,316.59,343.42,628.30,250.00,2022-12-27
5,AHPC,Arun Valley Hydropower Development Company Limited,54.62,286.00,292.00,277.00,285.00,286.36,"119,022.00",284.90,"34,083,125.40",464,0.1,15.0,0.04,5.42,-0.48,315.88,342.47,628.30,250.00,2022-12-28
5,AHPC,Arun Valley Hydropower Development Company Limited,54.62,279.40,300.00,279.40,299.00,291.67,"109,274.00",285.00,"31,872,079.70",502,14.0,20.6,4.91,7.37,2.45,315.33,341.62,628.30,250.00,2022-12-29
5,AHPC,Arun Valley Hydropower Development Company Limited,53.42,304.90,312.00,295.30,303.20,304.13,"117,049.00",299.00,"35,598,380.00",583,4.2,16.70,1.4,5.66,-0.31,314.69,340.87,628.30,250.00,2023-01-01
4,AHPC,Arun Valley Hydropower Development Company Limited,53.42,298.00,308.90,295.00,299.00,302.05,"116,804.00",303.20,"35,280,721.30",399,-4.2,13.9,-1.39,4.71,-1.02,314.10,340.12,628.30,250.00,2023-01-02
5,AHPC,Arun Valley Hydropower Development Company Limited,52.06,304.90,306.00,295.00,296.50,299.99,"84,756.00",299.00,"25,426,211.70",360,-2.5,11.0,-0.84,3.73,-1.18,313.54,339.32,628.30,250.00,2023-01-03
5,AHPC,Arun Valley Hydropower Development Company Limited,54.6,297.50,316.00,296.20,315.00,307.31,"134,087.00",296.50,"41,205,649.80",567,18.5,19.8,6.24,6.68,2.44,313.10,338.71,628.30,250.00,2023-01-04
4,AHPC,Arun Valley Hydropower Development Company Limited,56.72,320.00,330.00,312.00,326.90,320.35,"157,793.00",315.00,"50,549,049.50",649,11.9,18.0,3.78,5.77,2.0,312.80,338.23,628.30,250.00,2023-01-05
5,AHPC,Arun Valley Hydropower Development Company Limited,57.92,327.00,339.00,314.00,328.90,330.68,"182,782.00",326.90,"60,443,107.10",673,2.00,25.00,0.61,7.96,-0.54,-,-,628.30,250.00,2023-01-08
3,AHPC,Arun Valley Hydropower Development Company Limited,60.37,330.00,346.90,326.10,346.70,339.31,"152,635.00",328.90,"51,790,512.10",621,17.8,20.8,5.41,6.38,2.13,312.74,337.46,628.30,250.00,2023-01-09
5,AHPC,Arun Valley Hydropower Development Company Limited,61.58,352.00,363.00,335.00,340.00,351.86,"300,757.00",346.70,"105,825,163.50","1,188",-6.7,28.0,-1.93,8.36,-3.49,312.73,337.20,628.30,250.00,2023-01-10
5,AHPC,Arun Valley Hydropower Development Company Limited,61.61,346.80,360.00,324.00,331.00,338.84,"214,388.00",340.00,"72,642,933.00",866,-9.0,36.0,-2.65,11.11,-2.37,312.50,336.87,628.30,250.00,2023-01-12
