SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
5,AIL,Ajod Insurance Limited,28.68,406.50,411.00,405.00,405.00,406.48,"1,360.00",409.00,"552,817.00",58,-4.0,6.0,-0.98,1.48,-0.37,596.52,634.46,806.00,405.00,2022-12-07
5,AIL,Ajod Insurance Limited,28.68,406.50,411.00,405.00,405.00,406.48,"1,360.00",409.00,"552,817.00",58,-4.0,6.0,-0.98,1.48,-0.37,596.52,634.46,806.00,405.00,2022-12-07
5,AIL,Ajod Insurance Limited,28.68,406.50,411.00,405.00,405.00,406.48,"1,360.00",409.00,"552,817.00",58,-4.0,6.0,-0.98,1.48,-0.37,596.52,634.46,806.00,405.00,2022-12-09
5,AIL,Ajod Insurance Limited,30.09,401.00,401.00,393.00,395.00,397.15,"3,480.00",405.00,"1,382,072.00",56,-10.0,8.0,-2.47,2.04,-0.54,-,-,806.00,393.00,2022-12-11
5,AIL,Ajod Insurance Limited,31.96,395.00,398.00,385.00,387.30,388.14,"3,161.00",395.00,"1,226,904.80",60,-7.7,13.0,-1.95,3.38,-0.22,590.78,630.90,806.00,385.00,2022-12-12
6,AIL,Ajod Insurance Limited,35.27,380.00,397.00,380.00,380.00,383.42,"3,023.00",387.30,"1,159,079.20",97,-7.3,17.0,-1.88,4.47,-0.9,587.89,628.91,806.00,380.00,2022-12-13
5,AIL,Ajod Insurance Limited,34.41,384.00,385.00,365.00,365.00,371.60,"7,213.00",380.00,"2,680,368.30",93,-15.0,20.0,-3.95,5.48,-1.81,584.43,626.94,806.00,365.00,2022-12-14
6,AIL,Ajod Insurance Limited,34.59,363.00,365.00,355.00,355.00,357.58,"5,369.00",365.00,"1,919,834.50",72,-10.0,10.0,-2.74,2.82,-0.73,580.72,624.69,806.00,355.00,2022-12-15
5,AIL,Ajod Insurance Limited,36.06,350.20,353.00,348.00,350.00,350.96,"3,045.00",355.00,"1,068,687.00",76,-5.0,5.0,-1.41,1.44,-0.28,577.11,622.39,806.00,348.00,2022-12-18
6,AIL,Ajod Insurance Limited,34.12,344.00,360.00,344.00,352.00,351.72,"1,604.00",350.00,"564,159.00",45,2.0,16.0,0.57,4.65,0.08,573.64,619.99,806.00,344.00,2022-12-19
4,AIL,Ajod Insurance Limited,34.12,359.00,362.00,348.00,352.20,353.30,"2,292.00",352.00,"809,772.00",48,0.2,14.0,0.06,4.02,-0.31,570.24,617.65,806.00,344.00,2022-12-20
6,AIL,Ajod Insurance Limited,38.5,353.00,360.00,353.00,360.00,354.41,"4,581.00",352.20,"1,623,555.00",56,7.8,7.0,2.21,1.98,1.55,567.13,615.37,806.00,344.00,2022-12-21
6,AIL,Ajod Insurance Limited,43.87,362.50,362.50,350.10,351.90,352.43,"1,505.00",360.00,"530,414.50",50,-8.1,12.4,-2.25,3.54,-0.15,563.86,613.24,806.00,344.00,2022-12-22
4,AIL,Ajod Insurance Limited,36.86,358.00,365.00,353.00,365.00,357.64,"7,807.00",351.90,"2,792,090.50",89,13.1,12.0,3.72,3.4,2.02,560.63,611.30,806.00,344.00,2022-12-26
5,AIL,Ajod Insurance Limited,47.59,370.00,401.50,363.00,401.50,382.47,"12,954.00",365.00,"4,954,469.80",155,36.5,38.50,10.0,10.61,4.74,557.70,609.56,806.00,344.00,2022-12-27
6,AIL,Ajod Insurance Limited,50.75,405.00,410.00,385.20,385.20,401.15,"10,772.00",401.50,"4,321,187.90",146,-16.3,24.8,-4.06,6.44,-4.14,554.81,607.65,806.00,344.00,2022-12-28
6,AIL,Ajod Insurance Limited,50.75,378.00,423.70,378.00,423.70,416.75,"17,225.00",385.20,"7,178,522.40",175,38.5,45.7,9.99,12.09,1.64,552.46,605.82,806.00,344.00,2022-12-29
6,AIL,Ajod Insurance Limited,60.52,432.00,466.00,432.00,466.00,462.65,"25,890.00",423.70,"11,978,015.90",278,42.3,34.00,9.98,7.87,0.72,550.51,604.17,806.00,344.00,2023-01-01
5,AIL,Ajod Insurance Limited,60.52,475.30,512.60,470.00,512.50,501.96,"26,418.00",466.00,"13,260,758.50",396,46.5,42.6,9.98,9.06,2.06,548.86,602.91,806.00,344.00,2023-01-02
6,AIL,Ajod Insurance Limited,61.96,520.00,563.70,502.30,563.70,547.37,"34,475.00",512.50,"18,870,750.80",484,51.2,61.4,9.99,12.22,2.9,547.66,601.99,806.00,344.00,2023-01-03
6,AIL,Ajod Insurance Limited,65.69,570.00,574.00,527.00,555.00,547.14,"25,101.00",563.70,"13,733,849.80",397,-8.7,47.0,-1.54,8.92,1.42,546.40,600.98,806.00,344.00,2023-01-04
5,AIL,Ajod Insurance Limited,55.37,566.10,576.00,535.60,546.00,546.31,"18,039.00",555.00,"9,854,802.00",266,-9.0,40.4,-1.62,7.54,-0.06,545.20,599.98,806.00,344.00,2023-01-05
6,AIL,Ajod Insurance Limited,56.57,547.00,566.00,540.00,555.00,553.96,"22,703.00",546.00,"12,576,565.20",301,9.00,26.00,1.65,4.81,0.19,-,-,806.00,344.00,2023-01-08
4,AIL,Ajod Insurance Limited,52.47,565.00,610.50,540.00,580.00,562.95,"32,526.00",555.00,"18,310,420.10",313,25.0,70.5,4.5,13.06,2.94,543.17,598.26,806.00,344.00,2023-01-09
6,AIL,Ajod Insurance Limited,48.51,580.00,591.60,544.00,559.00,572.74,"19,266.00",580.00,"11,034,393.30",234,-21.0,47.6,-3.62,8.75,-2.46,542.15,597.48,806.00,344.00,2023-01-10
6,AIL,Ajod Insurance Limited,48.54,547.90,548.00,515.00,520.00,529.41,"29,636.00",559.00,"15,689,636.60",379,-39.0,33.0,-6.98,6.41,-1.81,540.93,596.58,806.00,344.00,2023-01-12
6,AIL,Ajod Insurance Limited,52.12,510.00,540.90,490.10,514.00,507.43,"22,102.00",520.00,"11,215,176.00",242,-6.0,50.8,-1.15,10.37,1.28,539.68,595.65,806.00,344.00,2023-01-17
4,AIL,Ajod Insurance Limited,45.81,524.00,524.00,497.90,500.00,504.85,"12,345.00",514.00,"6,232,377.90",198,-14.0,26.1,-2.72,5.24,-0.97,538.40,594.64,806.00,344.00,2023-01-18
5,AIL,Ajod Insurance Limited,42.23,492.00,510.00,482.00,503.90,496.51,"15,860.00",500.00,"7,874,569.90",164,3.9,28.0,0.78,5.81,1.47,537.31,593.63,806.00,344.00,2023-01-19
6,AIL,Ajod Insurance Limited,40.78,512.00,512.00,486.00,492.20,494.62,"7,816.00",503.90,"3,865,919.70",125,-11.7,26.0,-2.32,5.35,-0.49,536.10,592.53,806.00,344.00,2023-01-23
5,AIL,Ajod Insurance Limited,43.18,490.00,493.00,483.00,493.00,487.00,"6,073.00",492.20,"2,957,569.00",116,0.8,10.0,0.16,2.07,1.22,534.91,591.45,806.00,344.00,2023-01-24
5,AIL,Ajod Insurance Limited,42.83,491.00,531.00,491.00,523.00,520.74,"26,106.00",493.00,"13,594,553.60",384,30.0,40.0,6.09,8.15,0.43,534.05,590.60,806.00,344.00,2023-01-25
5,AIL,Ajod Insurance Limited,49.22,530.00,546.00,530.00,535.00,539.83,"16,983.00",523.00,"9,167,999.60",248,12.0,16.0,2.29,3.02,-0.9,533.20,589.77,806.00,344.00,2023-01-26
6,AIL,Ajod Insurance Limited,50.91,524.30,544.00,511.00,523.00,521.81,"17,050.00",535.00,"8,896,812.50",203,-12.0,33.0,-2.24,6.46,0.23,532.01,588.86,806.00,344.00,2023-01-29
6,AIL,Ajod Insurance Limited,50.91,523.00,530.00,503.00,507.00,511.00,"8,545.00",523.00,"4,366,489.60",131,-16.0,27.0,-3.06,5.37,-0.79,530.70,588.01,806.00,344.00,2023-01-30
5,AIL,Ajod Insurance Limited,45.67,497.10,504.90,492.20,497.00,498.33,"10,082.00",507.00,"5,024,205.50",177,-10.0,12.7,-1.97,2.58,-0.27,529.25,587.32,796.00,344.00,2023-01-31
5,AIL,Ajod Insurance Limited,40.2,490.00,505.00,490.00,503.00,498.31,"4,465.00",497.00,"2,224,949.50",82,6.0,15.0,1.21,3.06,0.93,527.73,586.45,780.00,344.00,2023-02-01
6,AIL,Ajod Insurance Limited,34.23,493.00,501.00,470.60,484.00,485.79,"16,882.00",503.00,"8,201,132.50",175,-19.0,30.4,-3.78,6.46,-0.37,526.10,585.47,775.00,344.00,2023-02-02
5,AIL,Ajod Insurance Limited,32.34,478.10,500.00,476.00,490.00,489.43,"8,062.00",484.00,"3,945,809.00",119,6.0,24.0,1.24,5.04,0.12,524.36,584.65,768.90,344.00,2023-02-05
5,AIL,Ajod Insurance Limited,40.52,490.30,519.10,490.30,519.10,507.42,"8,360.00",494.00,"4,242,042.40",197,25.1,28.8,5.08,5.87,2.25,521.11,583.33,768.90,344.00,2023-02-07
5,AIL,Ajod Insurance Limited,55.55,509.00,510.00,500.50,508.00,506.61,"3,749.00",509.00,"1,899,278.00",84,-1.0,9.5,-0.2,1.9,0.27,517.71,581.65,768.90,344.00,2023-02-09
5,AIL,Ajod Insurance Limited,44.08,505.00,505.00,486.60,486.80,495.42,"9,488.00",508.00,"4,700,539.00",131,-21.2,18.4,-4.17,3.78,-1.77,515.83,580.31,768.90,344.00,2023-02-12
5,AIL,Ajod Insurance Limited,33.56,480.10,495.00,480.10,488.00,488.29,"4,449.00",486.80,"2,172,388.50",113,1.20,14.9,0.25,3.1,-0.06,513.98,579.24,768.90,344.00,2023-02-14
6,AIL,Ajod Insurance Limited,29.78,485.00,490.00,478.00,478.00,481.23,"2,798.00",490.00,"1,346,492.50",93,-12.00,12.00,-2.45,2.51,-0.68,509.96,577.11,768.90,344.00,2023-02-16
5,AIL,Ajod Insurance Limited,30.72,471.00,484.50,471.00,473.00,475.86,"3,575.00",478.00,"1,701,211.00",77,-5.0,13.5,-1.05,2.87,-0.61,508.07,575.95,768.90,344.00,2023-02-20
5,AIL,Ajod Insurance Limited,38.63,473.00,490.60,473.00,485.00,484.43,"3,628.00",473.00,"1,757,504.30",81,12.0,17.6,2.54,3.72,0.12,506.26,574.75,768.90,344.00,2023-02-22
5,AIL,Ajod Insurance Limited,25.67,475.30,478.00,470.00,478.00,473.64,"3,296.00",485.00,"1,561,111.30",57,-7.0,8.0,-1.44,1.7,0.91,504.64,573.53,768.90,344.00,2023-02-23
5,AIL,Ajod Insurance Limited,45.17,470.00,488.00,446.00,479.90,466.45,"5,853.00",478.00,"2,730,116.50",118,1.9,42.0,0.4,9.42,2.8,503.10,572.38,768.90,344.00,2023-02-26
6,AIL,Ajod Insurance Limited,34.67,474.00,478.00,465.10,471.00,470.50,"3,979.00",474.00,"1,872,104.60",70,-3.0,12.9,-0.63,2.77,0.11,499.83,569.89,768.90,344.00,2023-02-28
5,AIL,Ajod Insurance Limited,33.99,462.20,469.00,462.20,463.00,464.37,"2,660.00",471.00,"1,235,234.00",44,-8.00,6.80,-1.7,1.47,-0.3,498.22,568.51,768.90,344.00,2023-03-01
6,AIL,Ajod Insurance Limited,27.84,454.00,460.00,453.00,460.00,454.75,"2,081.00",463.00,"946,336.00",38,-3.0,7.0,-0.65,1.55,1.14,496.50,566.93,768.90,344.00,2023-03-02
5,AIL,Ajod Insurance Limited,28.03,451.00,460.00,442.00,445.00,447.59,"2,703.00",460.00,"1,209,824.60",56,-15.0,18.0,-3.26,4.07,-0.58,494.76,565.37,768.90,344.00,2023-03-05
5,AIL,Ajod Insurance Limited,29.69,436.20,453.90,436.20,445.00,448.57,"2,320.00",445.00,"1,040,679.00",57,0.0,17.7,0.0,4.06,-0.8,493.14,563.70,768.90,344.00,2023-03-07
5,AIL,Ajod Insurance Limited,46.91,437.10,478.00,437.10,478.00,466.61,"5,398.00",445.00,"2,518,755.50",99,33.0,40.9,7.42,9.36,2.38,491.85,562.08,768.90,344.00,2023-03-09
6,AIL,Ajod Insurance Limited,45.27,481.00,488.90,470.40,474.50,477.84,"7,110.00",478.00,"3,397,467.10",105,-3.5,18.5,-0.73,3.93,-0.7,490.58,560.44,768.90,344.00,2023-03-12
6,AIL,Ajod Insurance Limited,42.24,452.10,470.00,452.10,461.00,466.17,"2,690.00",460.00,"1,254,001.00",60,1.0,17.9,0.22,3.96,-1.12,487.60,557.16,768.90,344.00,2023-03-14
5,AIL,Ajod Insurance Limited,29.82,455.00,464.00,455.00,455.00,456.75,"2,333.00",461.00,"1,065,605.00",50,-6.00,9.0,-1.3,1.98,-0.39,485.94,555.41,768.90,344.00,2023-03-15
5,AIL,Ajod Insurance Limited,33.19,447.30,460.00,447.30,454.00,454.89,"1,714.00",455.00,"779,684.00",45,-1.0,12.7,-0.22,2.84,-0.2,484.39,553.66,768.90,344.00,2023-03-16
6,AIL,Ajod Insurance Limited,34.02,447.10,460.00,447.10,453.00,453.17,"2,013.00",454.00,"912,229.00",59,-1.0,12.9,-0.22,2.89,-0.04,482.75,552.08,768.90,344.00,2023-03-19
5,AIL,Ajod Insurance Limited,43.62,461.00,470.00,455.10,465.00,463.36,"2,831.00",453.00,"1,311,758.50",64,12.0,14.9,2.65,3.27,0.35,481.31,550.58,768.90,344.00,2023-03-20
5,AIL,Ajod Insurance Limited,44.69,465.00,470.00,462.00,462.00,465.31,"3,364.00",465.00,"1,565,292.40",64,-3.0,8.0,-0.65,1.73,-0.72,480.03,549.11,768.90,344.00,2023-03-22
6,AIL,Ajod Insurance Limited,44.69,453.10,468.00,453.10,460.00,462.46,"2,690.00",462.00,"1,244,017.30",53,-2.0,14.9,-0.43,3.29,-0.53,-,-,768.90,344.00,2023-03-23
7,AIL,Ajod Insurance Limited,48.27,492.00,492.00,472.00,477.00,474.67,"3,933.00",483.00,"1,866,870.00",78,-6.0,20.0,-1.24,4.24,0.49,475.30,542.08,744.00,344.00,2023-03-28
