SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
7,AKPL,Arun Kabeli Power Limited,34.79,349.10,349.10,342.50,347.80,344.43,"16,147.00",346.00,"5,561,501.90",134,1.8,6.6,0.52,1.93,0.97,421.60,431.07,624.00,342.00,2022-12-07
7,AKPL,Arun Kabeli Power Limited,34.79,349.10,349.10,342.50,347.80,344.43,"16,147.00",346.00,"5,561,501.90",134,1.8,6.6,0.52,1.93,0.97,421.60,431.07,624.00,342.00,2022-12-09
7,AKPL,Arun Kabeli Power Limited,36.2,343.20,345.10,340.00,342.20,341.48,"21,248.00",347.80,"7,255,827.00",153,-5.6,5.1,-1.61,1.5,0.21,-,-,624.00,340.00,2022-12-11
7,AKPL,Arun Kabeli Power Limited,33.17,342.20,351.00,340.30,351.00,343.52,"28,871.00",342.20,"9,917,848.20",180,8.8,10.7,2.57,3.14,2.13,420.14,429.28,624.00,340.00,2022-12-12
8,AKPL,Arun Kabeli Power Limited,47.26,345.00,350.00,343.00,343.00,346.30,"19,850.00",351.00,"6,873,982.20",105,-8.0,7.0,-2.28,2.04,-0.96,419.50,428.38,624.00,340.00,2022-12-13
7,AKPL,Arun Kabeli Power Limited,37.21,342.10,346.70,342.10,343.00,344.42,"15,365.00",343.00,"5,291,944.90",95,0.0,4.6,0.0,1.34,-0.41,419.00,427.37,624.00,340.00,2022-12-14
8,AKPL,Arun Kabeli Power Limited,26.24,340.30,344.60,340.00,341.00,340.83,"18,122.00",343.00,"6,176,533.90",110,-2.0,4.6,-0.58,1.35,0.05,418.43,426.39,624.00,340.00,2022-12-15
7,AKPL,Arun Kabeli Power Limited,36.82,341.00,341.00,332.00,332.00,334.70,"25,745.00",341.00,"8,616,976.30",182,-9.0,9.0,-2.64,2.71,-0.81,417.86,425.39,624.00,332.00,2022-12-18
8,AKPL,Arun Kabeli Power Limited,26.87,335.80,335.80,330.00,331.50,331.82,"11,225.00",332.00,"3,724,691.10",104,-0.5,5.8,-0.15,1.76,-0.1,417.44,424.44,624.00,330.00,2022-12-19
7,AKPL,Arun Kabeli Power Limited,26.87,337.00,337.00,328.50,332.10,333.32,"10,236.00",331.50,"3,411,862.30",93,0.6,8.5,0.18,2.59,-0.37,416.95,423.59,624.00,328.50,2022-12-20
9,AKPL,Arun Kabeli Power Limited,29.7,330.00,332.40,330.00,332.00,331.23,"7,440.00",332.10,"2,464,380.60",103,-0.1,2.4,-0.03,0.73,0.23,416.14,422.74,624.00,328.50,2022-12-21
9,AKPL,Arun Kabeli Power Limited,29.1,331.00,331.00,325.00,327.50,327.16,"22,264.00",332.00,"7,283,965.80",141,-4.5,6.0,-1.36,1.85,0.1,415.43,421.93,624.00,325.00,2022-12-22
7,AKPL,Arun Kabeli Power Limited,38.11,334.00,352.00,329.00,352.00,342.29,"43,692.00",327.50,"14,955,267.50",298,24.5,23.0,7.48,6.99,2.76,414.99,421.17,624.00,325.00,2022-12-26
8,AKPL,Arun Kabeli Power Limited,40.07,357.90,372.00,354.10,365.00,364.19,"96,306.00",352.00,"35,074,000.60",572,13.0,17.90,3.69,5.06,0.22,414.45,420.55,624.00,325.00,2022-12-27
9,AKPL,Arun Kabeli Power Limited,55.16,365.00,371.00,353.00,360.00,363.47,"70,940.00",365.00,"25,784,879.00",319,-5.0,18.0,-1.37,5.1,-0.97,413.72,419.96,624.00,325.00,2022-12-28
9,AKPL,Arun Kabeli Power Limited,55.16,360.00,380.00,360.00,379.00,372.35,"96,450.00",360.00,"35,913,634.50",530,19.0,20.0,5.28,5.56,1.75,413.22,419.50,624.00,325.00,2022-12-29
9,AKPL,Arun Kabeli Power Limited,55.69,386.00,402.00,373.00,388.00,389.83,"117,367.00",379.00,"45,753,429.70",614,9.0,29.00,2.37,7.77,-0.47,412.63,419.16,624.00,325.00,2023-01-01
8,AKPL,Arun Kabeli Power Limited,55.69,381.00,397.00,375.00,395.00,390.80,"75,575.00",388.00,"29,534,336.30",394,7.0,22.0,1.8,5.87,1.06,412.06,418.90,624.00,325.00,2023-01-02
9,AKPL,Arun Kabeli Power Limited,54.36,396.00,400.00,387.10,392.00,392.42,"71,676.00",395.00,"28,127,122.80",360,-3.0,12.9,-0.76,3.33,-0.11,411.34,418.58,624.00,325.00,2023-01-03
9,AKPL,Arun Kabeli Power Limited,57.8,397.00,405.00,389.00,404.00,399.31,"89,972.00",392.00,"35,927,020.00",436,12.0,16.0,3.06,4.11,1.16,410.73,418.39,624.00,325.00,2023-01-04
8,AKPL,Arun Kabeli Power Limited,55.87,412.00,421.00,400.00,411.00,409.73,"134,613.00",404.00,"55,154,708.20",571,7.0,21.0,1.73,5.25,0.31,410.24,418.29,624.00,325.00,2023-01-05
9,AKPL,Arun Kabeli Power Limited,57.07,415.00,422.00,404.00,417.00,416.06,"160,826.00",411.00,"66,912,617.00",577,6.00,18.00,1.46,4.46,0.23,-,-,624.00,325.00,2023-01-08
7,AKPL,Arun Kabeli Power Limited,57.85,416.00,439.00,415.00,434.90,428.18,"139,025.00",417.00,"59,527,713.20",586,17.9,24.0,4.29,5.78,1.55,410.01,418.36,624.00,325.00,2023-01-09
9,AKPL,Arun Kabeli Power Limited,55.99,438.00,460.90,420.10,424.00,443.45,"300,480.00",434.90,"133,247,993.90","1,288",-10.9,40.8,-2.51,9.71,-4.59,409.78,418.52,624.00,325.00,2023-01-10
9,AKPL,Arun Kabeli Power Limited,56.02,432.40,441.00,407.00,408.00,418.62,"191,415.00",424.00,"80,130,492.20",884,-16.0,34.0,-3.77,8.35,-2.6,409.26,418.58,624.00,325.00,2023-01-12
9,AKPL,Arun Kabeli Power Limited,48.46,399.90,426.00,399.90,421.00,419.70,"96,215.00",408.00,"40,381,323.20",507,13.0,26.1,3.19,6.53,0.31,408.92,418.76,624.00,325.00,2023-01-17
7,AKPL,Arun Kabeli Power Limited,47.68,426.00,440.00,415.00,422.00,426.85,"196,928.00",421.00,"84,057,799.50",751,1.0,25.0,0.24,6.02,-1.15,408.62,418.94,624.00,325.00,2023-01-18
8,AKPL,Arun Kabeli Power Limited,47.56,421.00,429.40,417.50,421.00,422.93,"60,671.00",422.00,"25,659,588.30",317,-1.0,11.9,-0.24,2.85,-0.46,408.25,418.91,624.00,325.00,2023-01-19
9,AKPL,Arun Kabeli Power Limited,43.27,425.00,426.10,410.00,413.00,418.68,"71,364.00",421.00,"29,879,019.60",381,-8.0,16.1,-1.9,3.93,-1.38,407.84,418.83,624.00,325.00,2023-01-23
8,AKPL,Arun Kabeli Power Limited,43.96,411.00,417.00,404.00,411.00,410.54,"64,201.00",413.00,"26,356,909.90",347,-2.0,13.0,-0.48,3.22,0.11,407.37,418.78,624.00,325.00,2023-01-24
8,AKPL,Arun Kabeli Power Limited,40.89,418.00,430.00,410.00,424.00,423.96,"98,342.00",411.00,"41,692,711.30",430,13.0,20.0,3.16,4.88,0.01,407.02,418.77,624.00,325.00,2023-01-25
8,AKPL,Arun Kabeli Power Limited,46.04,426.00,428.80,420.00,427.00,423.66,"110,325.00",424.00,"46,739,832.70",323,3.0,8.8,0.71,2.1,0.78,406.77,418.81,624.00,325.00,2023-01-26
9,AKPL,Arun Kabeli Power Limited,46.39,423.00,428.00,416.30,420.00,421.53,"76,745.00",427.00,"32,350,189.40",310,-7.0,11.7,-1.64,2.81,-0.36,406.53,418.93,624.00,325.00,2023-01-29
9,AKPL,Arun Kabeli Power Limited,44.38,416.10,420.00,408.00,410.00,412.55,"93,110.00",420.00,"38,412,893.70",376,-10.0,12.0,-2.38,2.94,-0.62,406.03,419.03,624.00,325.00,2023-01-30
8,AKPL,Arun Kabeli Power Limited,42.04,404.60,413.90,404.00,408.00,408.61,"74,390.00",410.00,"30,396,303.90",336,-2.0,9.9,-0.49,2.45,-0.15,405.26,419.16,624.00,325.00,2023-01-31
8,AKPL,Arun Kabeli Power Limited,35.61,408.00,410.00,405.00,407.00,408.03,"23,898.00",408.00,"9,751,218.00",179,-1.0,5.0,-0.25,1.23,-0.25,404.53,419.20,624.00,325.00,2023-02-01
9,AKPL,Arun Kabeli Power Limited,34.24,407.00,408.80,395.00,401.00,399.73,"65,647.00",407.00,"26,240,802.70",351,-6.0,13.8,-1.47,3.49,0.32,403.61,419.19,624.00,325.00,2023-02-02
8,AKPL,Arun Kabeli Power Limited,32.66,401.50,406.00,398.00,400.00,400.98,"52,635.00",401.00,"21,105,482.70",240,-1.0,8.0,-0.25,2.01,-0.24,402.77,419.00,611.00,325.00,2023-02-05
8,AKPL,Arun Kabeli Power Limited,29.33,404.00,422.50,402.10,422.00,413.34,"115,773.00",400.00,"47,853,803.10",535,22.0,20.4,5.5,5.07,2.05,401.40,418.34,611.00,325.00,2023-02-07
8,AKPL,Arun Kabeli Power Limited,56.25,425.00,425.00,410.00,422.00,417.19,"57,065.00",418.00,"23,806,810.20",252,4.0,15.0,0.96,3.66,1.14,400.22,417.97,580.00,325.00,2023-02-09
8,AKPL,Arun Kabeli Power Limited,46.79,414.00,415.00,401.00,403.00,406.92,"72,084.00",422.00,"29,332,739.10",403,-19.0,14.0,-4.5,3.49,-0.97,399.46,417.65,566.00,325.00,2023-02-12
8,AKPL,Arun Kabeli Power Limited,30.94,403.00,408.00,397.00,401.00,401.08,"57,366.00",403.00,"23,008,356.20",285,-2.00,11.0,-0.5,2.77,-0.02,398.80,417.29,566.00,325.00,2023-02-14
9,AKPL,Arun Kabeli Power Limited,32.58,413.00,413.00,402.20,403.00,406.41,"47,463.00",413.00,"19,289,511.90",287,-10.00,10.80,-2.42,2.69,-0.85,397.69,416.74,566.00,325.00,2023-02-16
8,AKPL,Arun Kabeli Power Limited,39.83,401.00,407.00,397.50,400.90,401.65,"52,413.00",403.00,"21,051,755.10",270,-2.1,9.5,-0.52,2.39,-0.19,397.12,416.32,560.60,325.00,2023-02-20
8,AKPL,Arun Kabeli Power Limited,46.1,401.00,411.00,401.00,410.50,407.42,"42,277.00",400.90,"17,224,420.70",256,9.6,10.0,2.39,2.49,0.75,396.79,415.94,560.60,325.00,2023-02-22
8,AKPL,Arun Kabeli Power Limited,28.22,403.10,409.00,398.00,400.00,401.16,"64,393.00",410.50,"25,831,951.30",321,-10.5,11.0,-2.56,2.76,-0.29,396.41,415.57,560.60,325.00,2023-02-23
8,AKPL,Arun Kabeli Power Limited,42.36,392.00,402.50,385.00,402.00,394.79,"82,819.00",400.00,"32,696,300.80",403,2.0,17.5,0.5,4.55,1.79,396.11,415.26,560.60,325.00,2023-02-26
9,AKPL,Arun Kabeli Power Limited,31.68,395.00,405.80,395.00,399.00,400.31,"38,734.00",398.00,"15,505,718.70",225,1.0,10.8,0.25,2.73,-0.33,395.39,414.63,560.60,325.00,2023-02-28
8,AKPL,Arun Kabeli Power Limited,37.22,404.90,404.90,395.00,397.00,396.57,"32,350.00",399.00,"12,829,036.00",152,-2.00,9.90,-0.5,2.51,0.11,395.00,414.31,530.00,325.00,2023-03-01
9,AKPL,Arun Kabeli Power Limited,29.71,397.00,400.00,393.00,394.00,395.77,"46,273.00",397.00,"18,313,437.10",204,-3.0,7.0,-0.76,1.78,-0.45,394.56,414.01,530.00,325.00,2023-03-02
8,AKPL,Arun Kabeli Power Limited,30.7,395.00,397.00,390.00,390.00,391.76,"32,573.00",394.00,"12,760,845.90",180,-4.0,7.0,-1.02,1.79,-0.45,394.00,413.69,530.00,325.00,2023-03-05
8,AKPL,Arun Kabeli Power Limited,33.88,387.10,395.40,387.00,395.30,393.90,"37,715.00",390.00,"14,855,892.20",168,5.3,8.4,1.36,2.17,0.35,393.50,413.44,530.00,325.00,2023-03-07
8,AKPL,Arun Kabeli Power Limited,48.47,402.20,418.00,399.00,415.80,408.13,"116,744.00",395.30,"47,646,688.90",567,20.5,19.0,5.19,4.76,1.84,393.18,413.20,530.00,325.00,2023-03-09
9,AKPL,Arun Kabeli Power Limited,45.24,419.00,422.00,408.40,409.00,414.94,"82,230.00",415.80,"34,120,741.30",425,-6.8,13.6,-1.64,3.33,-1.45,392.76,412.97,530.00,325.00,2023-03-12
8,AKPL,Arun Kabeli Power Limited,43.78,411.00,412.00,403.10,409.00,408.49,"52,507.00",406.90,"21,448,511.20",239,2.1,8.9,0.52,2.21,0.13,391.62,412.53,530.00,325.00,2023-03-14
7,AKPL,Arun Kabeli Power Limited,26.36,405.00,413.00,402.10,407.00,405.74,"46,051.00",409.00,"18,684,746.10",208,-2.00,10.9,-0.49,2.71,0.31,391.10,412.36,530.00,325.00,2023-03-15
7,AKPL,Arun Kabeli Power Limited,37.47,406.00,409.50,403.10,405.00,405.01,"40,465.00",407.00,"16,388,884.40",214,-2.0,6.4,-0.49,1.59,0.0,390.61,412.24,530.00,325.00,2023-03-16
