SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
9,ALICL,Asian Life Insurance Company Limited,34.85,513.00,518.00,511.10,512.10,514.08,"7,300.00",520.00,"3,752,772.00",80,-7.9,6.9,-1.52,1.35,-0.39,539.64,604.91,"1,374.00",428.00,2022-12-07
9,ALICL,Asian Life Insurance Company Limited,34.85,513.00,518.00,511.10,512.10,514.08,"7,300.00",520.00,"3,752,772.00",80,-7.9,6.9,-1.52,1.35,-0.39,539.64,604.91,"1,374.00",428.00,2022-12-07
9,ALICL,Asian Life Insurance Company Limited,34.85,513.00,518.00,511.10,512.10,514.08,"7,300.00",520.00,"3,752,772.00",80,-7.9,6.9,-1.52,1.35,-0.39,539.64,604.91,"1,374.00",428.00,2022-12-09
9,ALICL,Asian Life Insurance Company Limited,36.27,513.00,518.00,498.00,501.10,502.38,"31,888.00",512.10,"16,019,854.70",177,-11.0,20.0,-2.15,4.02,-0.26,-,-,"1,374.00",428.00,2022-12-11
10,ALICL,Asian Life Insurance Company Limited,35.1,510.00,510.00,500.10,510.00,504.99,"10,221.00",501.10,"5,161,476.10",97,8.9,9.9,1.78,1.98,0.98,539.05,600.42,"1,374.00",428.00,2022-12-12
10,ALICL,Asian Life Insurance Company Limited,30.24,500.20,511.50,500.10,510.20,508.42,"4,694.00",510.00,"2,386,505.20",54,0.2,11.4,0.04,2.28,0.35,538.91,598.29,"1,374.00",428.00,2022-12-13
9,ALICL,Asian Life Insurance Company Limited,33.03,503.00,515.00,503.00,510.00,509.19,"5,296.00",510.20,"2,696,674.50",64,-0.2,12.0,-0.04,2.39,0.16,538.95,596.11,"1,374.00",428.00,2022-12-14
10,ALICL,Asian Life Insurance Company Limited,28.45,501.20,511.10,501.20,504.40,506.96,"13,876.00",510.00,"7,034,613.60",73,-5.6,9.9,-1.1,1.98,-0.51,538.76,593.87,"1,374.00",428.00,2022-12-15
9,ALICL,Asian Life Insurance Company Limited,34.13,504.40,504.90,495.00,501.00,500.23,"11,874.00",504.40,"5,939,697.50",90,-3.4,9.9,-0.67,2.0,0.15,538.69,591.62,"1,374.00",428.00,2022-12-18
10,ALICL,Asian Life Insurance Company Limited,31.39,493.00,507.90,493.00,504.40,496.37,"24,110.00",501.00,"11,967,443.90",60,3.4,14.9,0.68,3.02,1.59,538.75,589.25,"1,374.00",428.00,2022-12-19
9,ALICL,Asian Life Insurance Company Limited,31.39,509.00,516.00,500.00,514.00,510.90,"19,902.00",504.40,"10,168,019.00",107,9.6,16.0,1.9,3.2,0.6,538.80,586.94,"1,374.00",428.00,2022-12-20
11,ALICL,Asian Life Insurance Company Limited,38.4,504.10,514.00,504.00,504.00,506.04,"13,024.00",514.00,"6,590,612.50",60,-10.0,10.0,-1.95,1.98,-0.4,538.52,584.71,"1,374.00",428.00,2022-12-21
11,ALICL,Asian Life Insurance Company Limited,31.52,504.00,507.00,501.00,505.00,502.95,"13,523.00",504.00,"6,801,434.30",83,1.0,6.0,0.2,1.2,0.41,538.15,582.65,"1,374.00",428.00,2022-12-22
9,ALICL,Asian Life Insurance Company Limited,34.19,515.00,540.00,512.00,539.00,529.42,"58,129.00",505.00,"30,774,440.90",290,34.0,28.0,6.73,5.47,1.78,537.83,580.72,"1,374.00",428.00,2022-12-26
10,ALICL,Asian Life Insurance Company Limited,48.48,549.10,579.00,540.00,570.00,560.65,"96,538.00",539.00,"54,124,471.20",514,31.0,39.00,5.75,7.22,1.64,537.60,579.04,"1,374.00",428.00,2022-12-27
11,ALICL,Asian Life Insurance Company Limited,51.85,572.00,580.90,547.90,564.00,566.04,"38,669.00",570.00,"21,888,272.90",259,-6.0,33.0,-1.05,6.02,-0.36,537.24,577.47,"1,374.00",428.00,2022-12-28
11,ALICL,Asian Life Insurance Company Limited,51.85,553.10,595.00,553.10,592.00,582.11,"53,491.00",564.00,"31,137,675.10",287,28.0,41.9,4.96,7.58,1.67,537.17,576.10,"1,374.00",428.00,2022-12-29
11,ALICL,Asian Life Insurance Company Limited,54.24,600.00,643.00,598.00,632.00,629.00,"121,336.00",592.00,"76,319,742.70",660,40.0,45.00,6.76,7.53,0.48,537.43,575.08,"1,374.00",428.00,2023-01-01
10,ALICL,Asian Life Insurance Company Limited,54.24,621.00,655.80,620.00,651.50,644.87,"63,026.00",632.00,"40,643,876.30",428,19.5,35.8,3.09,5.77,1.02,537.78,574.21,"1,374.00",428.00,2023-01-02
11,ALICL,Asian Life Insurance Company Limited,50.56,651.50,657.00,639.10,649.00,646.32,"60,567.00",651.50,"39,145,792.90",386,-2.5,17.9,-0.38,2.8,0.41,538.15,573.27,"1,374.00",428.00,2023-01-03
11,ALICL,Asian Life Insurance Company Limited,57.22,650.00,668.90,643.10,666.00,661.52,"61,690.00",649.00,"40,809,309.30",312,17.0,25.8,2.62,4.01,0.67,538.56,572.56,"1,374.00",428.00,2023-01-04
10,ALICL,Asian Life Insurance Company Limited,54.8,669.00,695.00,655.00,690.00,679.99,"106,400.00",666.00,"72,350,556.60",482,24.0,40.0,3.6,6.11,1.45,539.27,572.03,"1,374.00",428.00,2023-01-05
11,ALICL,Asian Life Insurance Company Limited,56.0,703.80,737.00,690.00,725.00,718.13,"102,016.00",690.00,"73,260,530.30",605,35.00,47.00,5.07,6.81,0.95,-,-,"1,374.00",428.00,2023-01-08
9,ALICL,Asian Life Insurance Company Limited,54.48,725.00,758.00,715.00,743.00,737.59,"69,715.00",725.00,"51,420,863.00",617,18.0,43.0,2.48,6.01,0.73,541.92,571.40,"1,374.00",428.00,2023-01-09
11,ALICL,Asian Life Insurance Company Limited,52.68,757.80,757.80,700.10,702.00,724.74,"105,899.00",743.00,"76,749,082.90",694,-41.0,57.7,-5.52,8.24,-3.24,543.03,570.95,"1,374.00",428.00,2023-01-10
11,ALICL,Asian Life Insurance Company Limited,52.71,715.00,729.00,681.00,684.00,698.50,"125,119.00",702.00,"87,396,176.30",639,-18.0,48.0,-2.56,7.05,-2.12,543.86,570.32,"1,374.00",428.00,2023-01-12
11,ALICL,Asian Life Insurance Company Limited,49.77,697.00,730.00,680.00,722.50,717.00,"84,128.00",684.00,"60,319,901.20",457,38.5,50.0,5.63,7.35,0.76,545.10,569.97,"1,374.00",428.00,2023-01-17
9,ALICL,Asian Life Insurance Company Limited,48.63,726.00,740.00,708.20,716.00,722.59,"69,893.00",722.50,"50,504,032.30",369,-6.5,31.8,-0.9,4.49,-0.92,546.28,569.53,"1,374.00",428.00,2023-01-18
10,ALICL,Asian Life Insurance Company Limited,46.29,705.10,723.00,705.00,715.00,713.63,"47,206.00",716.00,"33,687,831.20",250,-1.0,18.0,-0.14,2.55,0.19,547.50,568.85,"1,374.00",428.00,2023-01-19
11,ALICL,Asian Life Insurance Company Limited,44.63,729.30,729.30,700.00,704.00,708.54,"36,068.00",715.00,"25,555,682.40",250,-11.0,29.3,-1.54,4.19,-0.65,548.48,568.20,"1,374.00",428.00,2023-01-23
10,ALICL,Asian Life Insurance Company Limited,43.11,695.00,713.50,688.00,712.00,698.10,"56,623.00",704.00,"39,528,470.20",238,8.0,25.5,1.14,3.71,1.95,549.45,567.60,"1,350.00",428.00,2023-01-24
10,ALICL,Asian Life Insurance Company Limited,43.13,721.00,724.00,707.00,720.00,719.68,"32,273.00",712.00,"23,226,137.70",219,8.0,17.0,1.12,2.4,0.04,550.54,567.02,"1,350.00",428.00,2023-01-25
10,ALICL,Asian Life Insurance Company Limited,42.91,719.00,730.00,708.00,710.00,717.82,"29,019.00",720.00,"20,830,381.10",225,-10.0,22.0,-1.39,3.11,-1.1,551.67,566.55,"1,099.00",428.00,2023-01-26
11,ALICL,Asian Life Insurance Company Limited,40.95,696.00,722.00,696.00,705.00,708.42,"42,877.00",710.00,"30,375,025.20",215,-5.0,26.0,-0.7,3.74,-0.49,552.79,566.18,"1,070.00",428.00,2023-01-29
11,ALICL,Asian Life Insurance Company Limited,42.97,700.00,710.00,688.00,695.00,696.55,"42,302.00",705.00,"29,465,439.90",258,-10.0,22.0,-1.42,3.2,-0.22,553.64,565.88,"1,070.00",428.00,2023-01-30
10,ALICL,Asian Life Insurance Company Limited,39.5,686.10,702.00,681.30,684.10,687.75,"48,117.00",695.00,"33,092,506.30",262,-10.9,20.7,-1.57,3.04,-0.53,554.30,565.60,"1,051.00",428.00,2023-01-31
10,ALICL,Asian Life Insurance Company Limited,37.01,680.00,692.00,680.00,689.00,686.35,"22,311.00",684.10,"15,313,123.80",151,4.9,12.0,0.72,1.76,0.38,555.14,565.48,"1,042.00",428.00,2023-02-01
11,ALICL,Asian Life Insurance Company Limited,36.35,688.00,690.00,668.10,670.00,677.03,"37,627.00",689.00,"25,474,687.10",225,-19.0,21.9,-2.76,3.28,-1.05,555.62,565.32,"1,042.00",428.00,2023-02-02
10,ALICL,Asian Life Insurance Company Limited,33.55,680.00,698.00,675.50,685.00,684.28,"36,432.00",670.00,"24,929,748.80",174,15.0,22.5,2.24,3.33,0.1,556.12,565.23,"1,042.00",428.00,2023-02-05
10,ALICL,Asian Life Insurance Company Limited,32.9,685.00,708.00,681.10,708.00,697.16,"46,561.00",683.00,"32,460,247.90",293,25.0,26.9,3.66,3.95,1.53,556.89,565.01,"1,039.90",428.00,2023-02-07
