SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
10,API,Api Power Company Limited,32.6,211.10,214.00,209.00,209.50,210.18,"46,265.00",210.80,"9,723,874.00",262,-1.3,5.0,-0.62,2.39,-0.32,239.22,267.95,575.00,200.00,2022-12-07
10,API,Api Power Company Limited,32.6,211.10,214.00,209.00,209.50,210.18,"46,265.00",210.80,"9,723,874.00",262,-1.3,5.0,-0.62,2.39,-0.32,239.22,267.95,575.00,200.00,2022-12-09
10,API,Api Power Company Limited,34.01,207.00,208.90,205.00,205.10,206.15,"67,442.00",209.50,"13,903,437.90",352,-4.4,3.9,-2.1,1.9,-0.51,-,-,575.00,200.00,2022-12-11
11,API,Api Power Company Limited,33.64,206.10,210.20,203.50,210.00,207.37,"52,494.00",205.10,"10,885,431.90",260,4.9,6.7,2.39,3.29,1.25,238.38,264.80,575.00,200.00,2022-12-12
11,API,Api Power Company Limited,34.89,210.00,211.00,207.00,211.00,209.14,"35,836.00",210.00,"7,494,786.60",184,1.0,4.0,0.48,1.93,0.88,238.08,263.24,575.00,200.00,2022-12-13
10,API,Api Power Company Limited,36.57,211.00,211.00,207.00,210.00,208.51,"73,733.00",211.00,"15,373,904.30",175,-1.0,4.0,-0.47,1.93,0.71,237.84,261.63,575.00,200.00,2022-12-14
11,API,Api Power Company Limited,47.04,211.90,211.90,206.00,206.10,207.33,"34,879.00",210.00,"7,231,406.90",181,-3.9,5.9,-1.86,2.86,-0.6,237.49,260.04,575.00,200.00,2022-12-15
10,API,Api Power Company Limited,40.46,203.20,207.50,203.00,205.00,204.43,"102,166.00",206.10,"20,886,215.30",316,-1.1,4.5,-0.53,2.22,0.28,237.21,258.44,575.00,200.00,2022-12-18
11,API,Api Power Company Limited,26.18,205.00,207.00,202.00,206.00,204.46,"23,879.00",205.00,"4,882,274.80",172,1.0,5.0,0.49,2.48,0.75,237.01,256.90,575.00,200.00,2022-12-19
10,API,Api Power Company Limited,26.18,208.00,208.00,204.00,206.00,205.57,"36,728.00",206.00,"7,550,158.80",209,0.0,4.0,0.0,1.96,0.21,236.81,255.45,575.00,200.00,2022-12-20
12,API,Api Power Company Limited,35.22,205.00,207.50,203.00,203.50,204.49,"32,153.00",206.00,"6,575,049.50",179,-2.5,4.5,-1.21,2.22,-0.49,236.42,254.54,575.00,200.00,2022-12-21
12,API,Api Power Company Limited,35.71,203.50,206.00,201.70,202.90,202.82,"42,036.00",203.50,"8,525,878.70",216,-0.6,4.3,-0.29,2.13,0.04,236.11,253.67,575.00,200.00,2022-12-22
10,API,Api Power Company Limited,36.12,206.90,219.40,205.80,214.00,212.44,"180,487.00",202.90,"38,342,987.70",683,11.1,13.6,5.47,6.61,0.73,235.92,252.84,575.00,200.00,2022-12-26
11,API,Api Power Company Limited,49.58,218.20,229.90,216.60,225.40,224.37,"381,990.00",214.00,"85,705,575.10","1,653",11.4,13.30,5.33,6.14,0.46,235.75,252.12,575.00,200.00,2022-12-27
12,API,Api Power Company Limited,52.75,229.90,229.90,218.00,222.20,223.65,"167,287.00",225.40,"37,412,952.90",741,-3.2,11.9,-1.42,5.46,-0.65,235.46,251.45,575.00,200.00,2022-12-28
12,API,Api Power Company Limited,52.75,222.00,233.00,220.00,232.10,227.82,"187,455.00",222.20,"42,705,498.20",818,9.9,13.0,4.46,5.91,1.85,235.28,250.86,575.00,200.00,2022-12-29
12,API,Api Power Company Limited,55.29,236.00,240.90,228.40,235.00,236.27,"325,636.00",232.10,"76,939,033.90","1,353",2.9,12.50,1.25,5.47,-0.54,235.02,250.34,575.00,200.00,2023-01-01
11,API,Api Power Company Limited,55.29,235.00,241.20,230.00,237.00,237.41,"143,592.00",235.00,"34,090,444.20",663,2.0,11.2,0.85,4.87,-0.17,234.76,249.88,575.00,200.00,2023-01-02
12,API,Api Power Company Limited,49.12,235.00,244.70,233.30,238.00,238.97,"187,018.00",237.00,"44,691,834.50",763,1.0,11.4,0.42,4.89,-0.41,234.60,249.40,575.00,200.00,2023-01-03
12,API,Api Power Company Limited,56.91,238.00,246.70,237.30,246.20,241.66,"238,825.00",238.00,"57,714,485.80",872,8.2,9.4,3.45,3.96,1.84,234.46,249.02,575.00,200.00,2023-01-04
11,API,Api Power Company Limited,57.1,249.90,260.00,244.00,254.90,250.92,"324,170.00",246.20,"81,341,205.70","1,312",8.7,16.0,3.53,6.56,1.56,234.44,248.73,575.00,200.00,2023-01-05
12,API,Api Power Company Limited,58.3,259.90,271.00,251.10,268.00,263.94,"520,212.00",254.90,"137,306,277.60","2,126",13.10,19.90,5.14,7.93,1.51,-,-,575.00,200.00,2023-01-08
10,API,Api Power Company Limited,59.52,268.00,282.50,265.00,279.00,275.40,"420,210.00",268.00,"115,727,553.20","1,848",11.0,17.5,4.1,6.6,1.29,234.93,248.36,575.00,200.00,2023-01-09
12,API,Api Power Company Limited,58.44,284.50,294.70,264.00,276.00,285.74,"723,404.00",279.00,"206,708,692.50","3,144",-3.0,30.7,-1.08,11.63,-3.53,235.23,248.27,575.00,200.00,2023-01-10
12,API,Api Power Company Limited,58.47,281.50,287.60,267.20,273.00,275.21,"510,318.00",276.00,"140,445,800.00","2,110",-3.0,20.4,-1.09,7.63,-0.81,235.41,248.13,575.00,200.00,2023-01-12
