SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,36.54,706.00,710.00,703.50,705.00,705.12,"1,425.00",706.00,"1,004,789.00",109,-1.0,6.5,-0.14,0.92,-0.02,-,-,963.00,316.00,2022-12-07
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,36.54,706.00,710.00,703.50,705.00,705.12,"1,425.00",706.00,"1,004,789.00",109,-1.0,6.5,-0.14,0.92,-0.02,-,-,963.00,316.00,2022-12-09
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.95,693.00,706.00,691.00,693.00,695.20,"2,157.00",705.00,"1,499,549.70",145,-12.0,15.0,-1.7,2.17,-0.32,-,-,963.00,316.00,2022-12-11
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.86,681.20,700.00,681.20,693.00,690.10,"1,595.00",693.00,"1,100,710.00",110,0.0,18.8,0.0,2.76,0.42,-,-,963.00,316.00,2022-12-12
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,38.24,685.00,700.00,685.00,693.10,695.24,"1,235.00",693.00,"858,621.00",83,0.1,15.0,0.01,2.19,-0.31,-,-,963.00,316.00,2022-12-13
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,35.09,706.00,721.00,693.00,700.00,701.63,"1,775.00",693.10,"1,245,397.00",118,6.9,28.0,1.0,4.04,-0.23,-,-,963.00,316.00,2022-12-14
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,36.08,714.00,727.00,692.40,693.00,700.60,"1,246.00",700.00,"872,942.00",83,-7.0,34.6,-1.0,5.0,-1.1,-,-,963.00,316.00,2022-12-15
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,38.31,681.00,689.50,675.00,677.00,679.83,"2,509.00",693.00,"1,705,681.90",166,-16.0,14.5,-2.31,2.15,-0.42,-,-,963.00,316.00,2022-12-18
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,31.76,672.00,685.00,672.00,674.00,675.50,"1,515.00",677.00,"1,023,376.00",111,-3.0,13.0,-0.44,1.93,-0.22,-,-,963.00,316.00,2022-12-19
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,31.76,670.00,685.00,670.00,683.00,679.54,"1,405.00",674.00,"954,760.00",96,9.0,15.0,1.34,2.24,0.51,-,-,963.00,316.00,2022-12-20
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,34.47,696.60,696.60,675.20,675.20,681.89,"1,171.00",683.00,"798,495.00",68,-7.8,21.4,-1.14,3.17,-0.99,-,-,963.00,316.00,2022-12-21
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.29,662.00,675.00,662.00,667.10,669.21,"1,460.00",675.20,"977,050.60",83,-8.1,13.0,-1.2,1.96,-0.32,-,-,963.00,316.00,2022-12-22
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,35.35,667.00,705.80,667.00,704.00,692.75,"2,748.00",667.10,"1,903,685.80",179,36.9,38.8,5.53,5.82,1.6,-,-,963.00,316.00,2022-12-26
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,48.17,718.00,732.00,703.00,717.00,714.60,"4,135.00",704.00,"2,954,866.90",173,13.0,29.00,1.85,4.13,0.33,-,-,963.00,316.00,2022-12-27
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,52.8,710.00,715.00,693.90,706.00,709.72,"3,355.00",717.00,"2,381,109.00",113,-11.0,21.1,-1.53,3.04,-0.53,-,-,963.00,316.00,2022-12-28
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,52.8,698.10,731.00,698.00,731.00,715.48,"5,065.00",706.00,"3,623,910.70",192,25.0,33.0,3.54,4.73,2.12,-,-,963.00,316.00,2022-12-29
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,55.61,731.00,745.60,716.00,717.30,730.54,"5,760.00",731.00,"4,207,933.00",190,-13.7,29.60,-1.87,4.13,-1.85,-,-,963.00,316.00,2023-01-01
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,55.61,725.00,730.00,715.00,718.00,722.14,"3,850.00",717.30,"2,780,232.00",184,0.7,15.0,0.1,2.1,-0.58,-,-,963.00,316.00,2023-01-02
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,51.5,706.00,750.00,706.00,744.00,737.72,"8,060.00",718.00,"5,945,992.70",289,26.0,44.0,3.62,6.23,0.84,-,-,963.00,316.00,2023-01-03
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,61.53,756.00,782.00,740.00,780.00,758.35,"10,902.00",744.00,"8,267,553.90",302,36.0,42.0,4.84,5.68,2.78,-,-,963.00,316.00,2023-01-04
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,61.3,795.00,816.00,782.00,786.20,792.81,"7,591.00",780.00,"6,018,203.60",286,6.2,34.0,0.79,4.35,-0.84,-,-,963.00,316.00,2023-01-05
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,62.5,795.00,837.50,771.30,810.00,806.27,"11,690.00",786.20,"9,425,310.60",318,23.80,66.20,3.03,8.58,0.46,-,-,963.00,316.00,2023-01-08
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,56.57,810.00,825.00,804.00,806.00,811.20,"5,361.00",810.00,"4,348,837.80",227,-4.0,21.0,-0.49,2.61,-0.65,-,-,963.00,316.00,2023-01-09
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,49.4,805.00,820.00,770.00,780.00,798.34,"9,186.00",806.00,"7,333,547.00",297,-26.0,50.0,-3.23,6.49,-2.35,-,-,963.00,316.00,2023-01-10
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,49.42,775.00,794.00,732.00,747.00,758.54,"6,110.00",780.00,"4,634,700.50",261,-33.0,62.0,-4.23,8.47,-1.55,-,-,963.00,316.00,2023-01-12
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,43.45,750.00,795.00,711.00,771.00,756.51,"5,702.00",747.00,"4,313,609.00",245,24.0,84.0,3.21,11.81,1.88,0.00,0.00,963.00,316.00,2023-01-17
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,43.96,784.50,799.00,750.00,750.00,773.18,"6,399.00",771.00,"4,947,609.30",212,-21.0,49.0,-2.72,6.53,-3.09,0.00,0.00,963.00,316.00,2023-01-18
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,43.91,750.00,765.00,745.00,755.00,756.38,"2,321.00",750.00,"1,755,558.80",175,5.0,20.0,0.67,2.68,-0.18,0.00,0.00,963.00,316.00,2023-01-19
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.91,751.00,775.00,745.10,750.00,755.80,"3,363.00",755.00,"2,541,770.00",186,-5.0,29.9,-0.66,4.01,-0.77,0.00,0.00,963.00,316.00,2023-01-23
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,42.65,765.00,765.00,729.00,739.00,738.26,"2,656.00",750.00,"1,960,827.50",167,-11.0,36.0,-1.47,4.94,0.1,0.00,0.00,963.00,316.00,2023-01-24
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.37,753.70,760.00,740.00,748.00,751.67,"4,402.00",739.00,"3,308,866.90",199,9.0,20.0,1.22,2.7,-0.49,0.00,0.00,963.00,316.00,2023-01-25
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,44.99,751.00,757.00,743.10,745.50,747.30,"1,765.00",748.00,"1,318,982.00",127,-2.5,13.9,-0.33,1.87,-0.24,0.00,0.00,963.00,316.00,2023-01-26
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,38.57,745.50,760.00,733.80,740.00,742.78,"4,200.00",745.50,"3,119,667.80",199,-5.5,26.2,-0.74,3.57,-0.38,0.00,0.00,963.00,316.00,2023-01-29
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,39.98,727.10,741.00,710.00,730.00,728.46,"3,470.00",740.00,"2,527,762.40",198,-10.0,31.0,-1.35,4.37,0.21,0.00,0.00,963.00,316.00,2023-01-30
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.26,715.50,725.00,705.00,710.00,714.40,"3,497.00",730.00,"2,498,267.10",178,-20.0,20.0,-2.74,2.84,-0.62,0.00,0.00,963.00,316.00,2023-01-31
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,35.76,705.00,725.00,705.00,724.00,719.58,"2,242.00",710.00,"1,613,293.50",140,14.0,20.0,1.97,2.84,0.61,0.00,0.00,963.00,316.00,2023-02-01
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,35.94,738.00,738.00,707.10,708.00,713.58,"1,410.00",724.00,"1,006,142.00",110,-16.0,30.9,-2.21,4.37,-0.79,0.00,0.00,963.00,316.00,2023-02-02
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.37,710.00,718.00,706.00,712.00,710.79,"2,232.00",708.00,"1,586,491.00",167,4.0,12.0,0.56,1.7,0.17,0.00,0.00,963.00,316.00,2023-02-05
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,44.28,705.10,774.00,705.10,751.00,743.38,"5,592.00",713.00,"4,156,958.40",229,38.0,68.9,5.33,9.77,1.02,0.00,0.00,963.00,316.00,2023-02-07
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,55.87,731.00,750.00,731.00,745.00,743.07,"1,664.00",745.00,"1,236,475.40",79,0.0,19.0,0.0,2.6,0.26,0.00,0.00,963.00,316.00,2023-02-09
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,47.31,730.10,735.00,715.50,722.00,725.05,"2,929.00",745.00,"2,123,668.00",107,-23.0,19.5,-3.09,2.73,-0.42,0.00,0.00,963.00,316.00,2023-02-12
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,34.37,722.00,730.00,715.00,720.40,724.49,"2,062.00",722.00,"1,493,897.00",137,-1.60,15.0,-0.22,2.1,-0.57,0.00,0.00,963.00,316.00,2023-02-14
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.72,707.40,719.00,700.00,711.00,708.57,"2,811.00",720.00,"1,991,791.50",115,-9.00,19.00,-1.25,2.71,0.34,0.00,0.00,963.00,316.00,2023-02-16
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,36.11,702.10,710.00,692.90,698.10,701.21,"3,151.00",711.00,"2,209,497.00",137,-12.9,17.1,-1.81,2.47,-0.44,0.00,0.00,963.00,316.00,2023-02-20
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,35.92,699.00,702.00,687.00,696.00,694.34,"2,230.00",698.10,"1,548,371.50",131,-2.1,15.0,-0.3,2.18,0.24,0.00,0.00,963.00,316.00,2023-02-22
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.49,682.10,682.10,626.40,634.00,642.05,"8,464.00",696.00,"5,434,324.80",345,-62.0,55.7,-8.91,8.89,-1.27,0.00,0.00,963.00,316.00,2023-02-23
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.43,621.40,680.00,580.00,680.00,619.21,"5,578.00",634.00,"3,453,946.50",266,46.0,100.0,7.26,17.24,8.94,0.00,0.00,963.00,316.00,2023-02-26
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,31.95,662.00,675.00,649.00,656.40,661.76,"1,210.00",662.00,"800,733.00",70,-5.6,26.0,-0.85,4.01,-0.82,0.00,0.00,963.00,316.00,2023-02-28
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,47.0,657.00,670.00,650.00,650.00,659.11,"3,282.00",656.40,"2,163,206.50",99,-6.40,20.00,-0.98,3.08,-1.4,0.00,0.00,963.00,316.00,2023-03-01
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,28.82,637.00,648.00,623.00,625.10,632.64,"2,099.00",650.00,"1,327,905.00",92,-24.9,25.0,-3.83,4.01,-1.21,0.00,0.00,963.00,316.00,2023-03-02
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,31.13,625.10,637.00,605.10,608.50,614.23,"2,759.00",625.10,"1,694,669.00",79,-16.6,31.9,-2.66,5.27,-0.94,0.00,0.00,963.00,316.00,2023-03-05
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.2,610.00,615.00,598.00,606.00,603.35,"2,395.00",608.50,"1,445,021.50",87,-2.5,17.0,-0.41,2.84,0.44,0.00,0.00,963.00,316.00,2023-03-07
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,42.91,615.00,665.00,605.00,652.00,632.00,"2,980.00",606.00,"1,883,369.00",126,46.0,60.0,7.59,9.92,3.07,0.00,0.00,963.00,316.00,2023-03-09
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,37.89,665.00,670.00,626.00,628.00,641.10,"2,005.00",652.00,"1,285,401.00",96,-24.0,44.0,-3.68,7.03,-2.09,0.00,0.00,963.00,316.00,2023-03-12
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,44.51,598.90,635.00,598.90,633.00,622.13,"2,917.00",611.00,"1,814,742.00",112,22.0,36.1,3.6,6.03,1.72,0.00,0.00,963.00,316.00,2023-03-14
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,36.06,621.00,658.50,615.00,640.00,620.51,"4,335.00",633.00,"2,689,925.00",99,7.00,43.5,1.11,7.07,3.04,0.00,0.00,963.00,316.00,2023-03-15
11,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,40.4,627.20,650.00,614.80,636.00,623.55,"2,952.00",640.00,"1,840,731.00",123,-4.0,35.2,-0.63,5.73,1.96,0.00,0.00,963.00,316.00,2023-03-16
