SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
14,BFC,Best Finance Company Limited,29.15,316.70,316.70,306.00,309.00,308.51,"4,172.00",310.50,"1,287,112.90",32,-1.5,10.7,-0.48,3.5,0.16,358.65,374.64,577.00,298.00,2022-12-07
14,BFC,Best Finance Company Limited,29.15,316.70,316.70,306.00,309.00,308.51,"4,172.00",310.50,"1,287,112.90",32,-1.5,10.7,-0.48,3.5,0.16,358.65,374.64,577.00,298.00,2022-12-09
14,BFC,Best Finance Company Limited,30.56,309.00,312.00,304.00,305.00,306.16,"3,514.00",309.00,"1,075,839.00",30,-4.0,8.0,-1.29,2.63,-0.38,-,-,577.00,298.00,2022-12-11
15,BFC,Best Finance Company Limited,31.8,299.90,310.00,299.90,310.00,304.71,"7,286.00",305.00,"2,220,101.50",66,5.0,10.1,1.64,3.37,1.71,357.86,372.88,577.00,298.00,2022-12-12
15,BFC,Best Finance Company Limited,44.79,305.00,311.00,305.00,311.00,307.70,"1,017.00",310.00,"312,935.50",15,1.0,6.0,0.32,1.97,1.06,357.64,372.09,577.00,298.00,2022-12-13
14,BFC,Best Finance Company Limited,32.02,310.00,310.00,306.00,306.00,306.33,"1,488.00",311.00,"455,819.80",17,-5.0,4.0,-1.61,1.31,-0.11,357.41,371.19,577.00,298.00,2022-12-14
15,BFC,Best Finance Company Limited,23.37,312.10,312.10,301.00,301.00,304.77,"3,940.00",306.00,"1,200,779.60",38,-5.0,11.1,-1.63,3.69,-1.25,357.05,370.28,577.00,298.00,2022-12-15
14,BFC,Best Finance Company Limited,35.48,303.00,303.00,294.00,295.10,296.63,"6,925.00",301.00,"2,054,166.00",58,-5.9,9.0,-1.96,3.06,-0.52,356.73,369.40,577.00,294.00,2022-12-18
15,BFC,Best Finance Company Limited,32.24,295.00,303.00,293.00,301.00,299.19,"8,985.00",295.10,"2,688,215.00",41,5.9,10.0,2.0,3.41,0.6,356.64,368.59,577.00,293.00,2022-12-19
14,BFC,Best Finance Company Limited,32.24,300.00,305.90,298.00,298.00,301.44,"4,127.00",301.00,"1,244,056.40",41,-3.0,7.9,-1.0,2.65,-1.16,356.50,367.84,577.00,293.00,2022-12-20
16,BFC,Best Finance Company Limited,35.01,298.00,298.00,293.00,293.10,294.23,"5,022.00",298.00,"1,477,645.80",53,-4.9,5.0,-1.64,1.71,-0.39,356.11,367.11,577.00,293.00,2022-12-21
16,BFC,Best Finance Company Limited,35.59,293.00,294.00,292.50,294.00,293.08,"2,054.00",293.10,"601,990.50",25,0.9,1.5,0.31,0.51,0.31,355.77,366.40,577.00,292.50,2022-12-22
14,BFC,Best Finance Company Limited,36.26,299.80,313.00,298.80,313.00,307.81,"12,074.00",294.00,"3,716,448.40",100,19.0,14.2,6.46,4.75,1.66,355.64,365.71,577.00,292.50,2022-12-26
15,BFC,Best Finance Company Limited,49.97,319.20,338.00,316.00,330.00,326.83,"34,805.00",313.00,"11,375,149.30",250,17.0,22.00,5.43,6.96,0.96,355.58,365.16,577.00,292.50,2022-12-27
16,BFC,Best Finance Company Limited,54.07,330.00,344.50,322.00,329.00,329.76,"18,524.00",330.00,"6,108,394.60",145,-1.0,22.5,-0.3,6.99,-0.23,355.33,364.64,577.00,292.50,2022-12-28
16,BFC,Best Finance Company Limited,54.07,325.00,342.00,320.30,341.00,334.30,"18,440.00",329.00,"6,164,579.80",133,12.0,21.7,3.65,6.77,1.96,355.08,364.20,577.00,292.50,2022-12-29
