SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
16,BHL,Balephi Hydropower Limited,28.87,245.00,251.00,242.30,247.00,245.76,"2,618.00",249.90,"643,404.80",83,-2.9,8.7,-1.16,3.59,0.5,272.74,-,397.00,104.70,2022-12-07
16,BHL,Balephi Hydropower Limited,28.87,245.00,251.00,242.30,247.00,245.76,"2,618.00",249.90,"643,404.80",83,-2.9,8.7,-1.16,3.59,0.5,272.74,-,397.00,104.70,2022-12-09
16,BHL,Balephi Hydropower Limited,30.29,242.20,255.00,242.10,249.00,245.64,"5,210.00",247.00,"1,279,776.60",115,2.0,12.9,0.81,5.33,1.35,-,-,397.00,104.70,2022-12-11
17,BHL,Balephi Hydropower Limited,32.54,249.00,253.00,242.00,248.00,245.27,"8,010.00",249.00,"1,964,606.00",91,-1.0,11.0,-0.4,4.55,1.1,272.50,-,397.00,104.70,2022-12-12
17,BHL,Balephi Hydropower Limited,52.06,243.20,246.80,243.20,246.80,244.16,"1,180.00",248.00,"288,103.00",60,-1.2,3.6,-0.48,1.48,1.07,272.53,-,397.00,104.70,2022-12-13
16,BHL,Balephi Hydropower Limited,26.83,241.90,260.00,241.90,249.60,249.62,"5,119.00",246.80,"1,277,820.00",92,2.8,18.1,1.13,7.48,-0.01,272.70,-,397.00,104.70,2022-12-14
17,BHL,Balephi Hydropower Limited,37.17,245.00,247.00,240.00,240.30,243.54,"4,937.00",249.60,"1,202,367.50",108,-9.3,7.0,-3.73,2.92,-1.35,272.77,-,397.00,104.70,2022-12-15
16,BHL,Balephi Hydropower Limited,28.89,236.10,249.00,228.00,244.90,240.31,"6,993.00",240.30,"1,680,513.00",136,4.6,21.0,1.91,9.21,1.87,272.94,-,397.00,104.70,2022-12-18
17,BHL,Balephi Hydropower Limited,33.06,240.10,249.70,230.60,247.00,238.07,"4,141.00",244.90,"985,849.30",108,2.1,19.1,0.86,8.28,3.62,273.26,-,397.00,104.70,2022-12-19
16,BHL,Balephi Hydropower Limited,33.06,245.00,249.00,231.00,244.90,242.06,"1,150.00",247.00,"278,365.00",61,-2.1,18.0,-0.85,7.79,1.16,273.52,-,397.00,104.70,2022-12-20
18,BHL,Balephi Hydropower Limited,25.83,249.70,249.70,232.10,246.00,235.55,"7,414.00",244.90,"1,746,398.00",92,1.1,17.6,0.45,7.58,4.25,273.66,-,397.00,104.70,2022-12-21
18,BHL,Balephi Hydropower Limited,48.46,241.10,241.10,231.60,232.50,233.21,"5,891.00",246.00,"1,373,839.60",77,-13.5,9.5,-5.49,4.1,-0.31,273.73,-,397.00,104.70,2022-12-22
16,BHL,Balephi Hydropower Limited,29.09,231.10,251.50,231.10,250.00,242.36,"3,105.00",232.50,"752,540.50",117,17.5,20.4,7.53,8.83,3.05,273.93,-,397.00,104.70,2022-12-26
17,BHL,Balephi Hydropower Limited,44.25,255.00,262.90,242.00,256.00,253.63,"22,551.00",250.00,"5,719,502.30",247,6.0,20.90,2.4,8.64,0.93,274.17,-,397.00,104.70,2022-12-27
18,BHL,Balephi Hydropower Limited,50.95,260.00,260.00,249.10,256.00,252.14,"6,525.00",256.00,"1,645,240.50",80,0.0,10.9,0.0,4.38,1.51,274.31,-,397.00,104.70,2022-12-28
18,BHL,Balephi Hydropower Limited,50.95,260.00,275.00,251.00,272.80,262.29,"11,938.00",256.00,"3,131,224.80",172,16.8,24.0,6.56,9.56,3.85,274.54,-,397.00,104.70,2022-12-29
