SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,27.6,330.30,348.90,330.30,332.00,339.56,280.00,336.20,"95,077.00",18,-4.2,18.6,-1.25,5.63,-2.28,381.89,423.67,744.00,246.70,2022-12-07
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,27.6,330.30,348.90,330.30,332.00,339.56,280.00,336.20,"95,077.00",18,-4.2,18.6,-1.25,5.63,-2.28,381.89,423.67,744.00,246.70,2022-12-09
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,29.02,327.10,330.10,325.00,329.00,328.46,"1,940.00",332.00,"637,203.50",36,-3.0,5.1,-0.9,1.57,0.17,-,-,744.00,246.70,2022-12-11
18,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,35.82,323.20,330.00,323.10,330.00,327.54,662.00,329.00,"216,833.80",22,1.0,6.9,0.3,2.14,0.74,380.90,419.87,744.00,246.70,2022-12-12
18,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,33.42,330.00,332.00,324.20,329.50,330.06,130.00,330.00,"42,908.00",8,-0.5,7.8,-0.15,2.41,-0.17,380.56,417.96,744.00,246.70,2022-12-13
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,30.7,323.00,335.50,323.00,335.50,325.44,205.00,329.50,"66,716.00",19,6.0,12.5,1.82,3.87,3.0,380.32,416.06,744.00,246.70,2022-12-14
18,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,37.71,328.80,335.00,322.00,322.00,324.81,"2,830.00",335.50,"919,203.00",53,-13.5,13.0,-4.02,4.04,-0.87,380.10,414.12,744.00,246.70,2022-12-15
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,35.1,317.00,334.90,317.00,334.90,320.80,903.00,322.00,"289,679.70",41,12.9,17.9,4.01,5.65,4.21,379.98,412.26,744.00,246.70,2022-12-18
18,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,28.07,338.00,338.00,312.00,316.00,318.35,180.00,334.90,"57,303.00",9,-18.9,26.0,-5.64,8.33,-0.74,379.78,410.43,744.00,246.70,2022-12-19
17,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,28.07,316.00,323.00,315.00,317.10,316.55,998.00,316.00,"315,916.00",26,1.1,8.0,0.35,2.54,0.17,379.55,408.67,744.00,246.70,2022-12-20
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,32.5,317.00,329.50,315.00,329.50,317.78,870.00,317.10,"276,467.00",36,12.4,14.5,3.91,4.6,3.56,379.48,407.12,744.00,246.70,2022-12-21
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,42.53,323.50,327.30,313.00,327.30,317.98,"1,710.00",329.50,"543,748.00",45,-2.2,14.3,-0.67,4.57,2.85,379.13,405.52,744.00,246.70,2022-12-22
