SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
18,BNT,Bottlers Nepal (Terai) Limited,26.37,"12,551.00","12,551.00","12,543.10","12,543.10","12,546.03",60.00,"12,799.00","752,762.00",6,-255.9,7.9,-2.0,0.06,-0.02,"12,886.81","13,240.22","17,670.00","11,088.70",2022-12-07
18,BNT,Bottlers Nepal (Terai) Limited,26.37,"12,551.00","12,551.00","12,543.10","12,543.10","12,546.03",60.00,"12,799.00","752,762.00",6,-255.9,7.9,-2.0,0.06,-0.02,"12,886.81","13,240.22","17,670.00","11,088.70",2022-12-07
18,BNT,Bottlers Nepal (Terai) Limited,26.37,"12,551.00","12,551.00","12,543.10","12,543.10","12,546.03",60.00,"12,799.00","752,762.00",6,-255.9,7.9,-2.0,0.06,-0.02,"12,886.81","13,240.22","17,670.00","11,088.70",2022-12-09
18,BNT,Bottlers Nepal (Terai) Limited,27.79,"12,292.30","12,292.30","12,250.00","12,250.00","12,260.58",40.00,"12,543.10","490,423.00",3,-293.1,42.3,-2.34,0.35,-0.09,-,-,"17,670.00","11,088.70",2022-12-11
19,BNT,Bottlers Nepal (Terai) Limited,27.18,"12,490.00","12,728.00","12,270.00","12,728.00","12,402.28",300.00,"12,250.00","3,720,683.00",18,478.0,458.0,3.9,3.73,2.56,"12,872.34","13,234.64","17,670.00","11,088.70",2022-12-12
19,BNT,Bottlers Nepal (Terai) Limited,31.85,"12,600.00","12,982.00","12,348.00","12,870.00","12,630.18",360.00,"12,728.00","4,546,865.00",18,142.0,634.0,1.12,5.13,1.86,"12,870.34","13,229.19","17,670.00","11,088.70",2022-12-13
18,BNT,Bottlers Nepal (Terai) Limited,36.83,"12,970.00","13,050.00","12,651.00","12,970.00","12,886.09",780.00,"12,870.00","10,051,153.00",22,100.0,399.0,0.78,3.15,0.65,"12,871.42","13,224.36","17,670.00","11,088.70",2022-12-14
19,BNT,Bottlers Nepal (Terai) Limited,41.63,"12,750.00","12,970.00","12,750.00","12,970.00","12,956.10",190.00,"12,970.00","2,461,659.00",8,0.0,220.0,0.0,1.73,0.11,"12,873.55","13,220.93","17,670.00","11,088.70",2022-12-15
18,BNT,Bottlers Nepal (Terai) Limited,40.03,"12,711.00","12,711.00","12,456.80","12,457.00","12,486.41",210.00,"12,970.00","2,622,146.00",11,-513.0,254.2,-3.96,2.04,-0.24,"12,873.52","13,213.75","17,670.00","11,088.70",2022-12-18
19,BNT,Bottlers Nepal (Terai) Limited,38.79,"12,700.00","12,705.00","12,501.00","12,501.00","12,536.03","1,455.00","12,457.00","18,239,925.00",5,44.0,204.0,0.35,1.63,-0.28,"12,871.86","13,207.64","17,670.00","11,088.70",2022-12-19
18,BNT,Bottlers Nepal (Terai) Limited,38.79,"12,747.00","12,751.00","12,502.00","12,502.00","12,638.75",80.00,"12,501.00","1,011,100.00",7,1.0,249.0,0.01,1.99,-1.09,"12,869.38","13,201.61","17,670.00","11,088.70",2022-12-20
20,BNT,Bottlers Nepal (Terai) Limited,23.06,"12,502.00","12,502.00","12,502.00","12,502.00","12,502.00",30.00,"12,502.00","375,060.00",2,0.0,0.0,0.0,0.0,0.0,"12,871.89","13,197.06","17,670.00","11,396.00",2022-12-21
20,BNT,Bottlers Nepal (Terai) Limited,23.39,"12,400.00","12,900.00","12,400.00","12,900.00","12,485.45","1,300.00","12,502.00","16,231,085.00",10,398.0,500.0,3.18,4.03,3.21,"12,875.69","13,190.96","17,670.00","11,396.00",2022-12-22
