SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
19,BOKL,Bank of Kathmandu Limited,29.66,218.00,224.00,214.20,216.80,218.36,"47,106.00",227.10,"10,285,900.20",327,-10.3,9.8,-4.54,4.58,-0.72,262.46,284.67,330.00,214.20,2022-12-07
19,BOKL,Bank of Kathmandu Limited,29.66,218.00,224.00,214.20,216.80,218.36,"47,106.00",227.10,"10,285,900.20",327,-10.3,9.8,-4.54,4.58,-0.72,262.46,284.67,330.00,214.20,2022-12-09
20,BOKL,Bank of Kathmandu Limited,31.08,216.60,216.60,209.40,209.70,212.49,"25,076.00",216.80,"5,328,361.50",180,-7.1,7.2,-3.27,3.44,-1.33,-,-,330.00,209.40,2022-12-11
20,BOKL,Bank of Kathmandu Limited,29.91,206.00,212.00,204.00,208.00,208.01,"17,181.00",209.70,"3,573,818.40",141,-1.7,8.0,-0.81,3.92,0.0,261.63,282.90,330.00,204.00,2022-12-12
20,BOKL,Bank of Kathmandu Limited,30.15,208.00,213.00,205.10,206.00,207.01,"14,328.00",208.00,"2,966,104.00",136,-2.0,7.9,-0.96,3.85,-0.49,261.23,281.98,330.00,204.00,2022-12-13
19,BOKL,Bank of Kathmandu Limited,29.68,204.00,207.90,202.00,205.50,205.01,"12,243.00",206.00,"2,509,919.80",112,-0.5,5.9,-0.24,2.92,0.24,260.88,281.08,330.00,202.00,2022-12-14
20,BOKL,Bank of Kathmandu Limited,28.74,202.00,207.00,202.00,203.00,203.27,"18,575.00",205.50,"3,775,751.10",135,-2.5,5.0,-1.22,2.48,-0.13,260.45,280.18,330.00,202.00,2022-12-15
19,BOKL,Bank of Kathmandu Limited,33.85,203.00,203.00,199.00,199.10,200.80,"19,480.00",203.00,"3,911,643.40",136,-3.9,4.0,-1.92,2.01,-0.86,259.94,279.32,330.00,199.00,2022-12-18
20,BOKL,Bank of Kathmandu Limited,31.89,198.00,204.00,196.00,197.60,197.92,"10,764.00",199.10,"2,130,409.20",95,-1.5,8.0,-0.75,4.08,-0.16,259.38,278.53,330.00,196.00,2022-12-19
19,BOKL,Bank of Kathmandu Limited,31.89,197.60,205.00,195.20,199.00,200.17,"12,000.00",197.60,"2,402,075.90",76,1.4,9.8,0.71,5.02,-0.59,258.78,277.74,330.00,195.20,2022-12-20
21,BOKL,Bank of Kathmandu Limited,33.87,200.00,202.00,198.00,199.00,199.55,"6,022.00",199.00,"1,201,670.30",55,0.0,4.0,0.0,2.02,-0.27,258.21,276.87,330.00,195.20,2022-12-21
21,BOKL,Bank of Kathmandu Limited,31.57,198.00,200.00,196.20,197.00,197.09,"9,710.00",199.00,"1,913,764.60",96,-2.0,3.8,-1.01,1.94,-0.05,257.67,275.92,330.00,195.20,2022-12-22
19,BOKL,Bank of Kathmandu Limited,33.91,200.90,207.00,197.10,205.00,202.13,"25,638.00",197.00,"5,182,172.20",164,8.0,9.9,4.06,5.02,1.4,257.17,274.99,330.00,195.20,2022-12-26
20,BOKL,Bank of Kathmandu Limited,45.15,208.00,216.00,208.00,210.40,213.05,"23,245.00",205.00,"4,952,310.80",185,5.4,8.00,2.63,3.85,-1.26,256.68,274.17,330.00,195.20,2022-12-27
21,BOKL,Bank of Kathmandu Limited,44.84,211.00,214.00,205.90,208.00,209.38,"11,860.00",210.40,"2,483,281.00",98,-2.4,8.1,-1.14,3.93,-0.66,256.13,273.41,330.00,195.20,2022-12-28
21,BOKL,Bank of Kathmandu Limited,44.84,210.00,212.00,205.00,210.10,209.55,"23,346.00",208.00,"4,892,256.30",110,2.1,7.0,1.01,3.41,0.26,255.46,272.62,330.00,195.20,2022-12-29
22,BOKL,Bank of Kathmandu Limited,49.57,211.60,213.00,208.60,208.90,211.10,"32,432.00",210.10,"6,846,459.50",186,-1.2,4.40,-0.57,2.11,-1.05,254.85,271.86,330.00,195.20,2023-01-01
20,BOKL,Bank of Kathmandu Limited,49.57,208.00,212.00,207.00,207.00,208.51,"30,558.00",208.90,"6,371,721.30",168,-1.9,5.0,-0.91,2.42,-0.73,254.14,271.15,330.00,195.20,2023-01-02
22,BOKL,Bank of Kathmandu Limited,45.59,207.00,214.00,205.10,205.10,207.35,"31,356.00",207.00,"6,501,815.20",186,-1.9,8.9,-0.92,4.34,-1.1,253.34,270.42,330.00,195.20,2023-01-03
22,BOKL,Bank of Kathmandu Limited,49.28,209.00,212.00,205.00,208.10,207.56,"21,828.00",205.10,"4,530,679.50",151,3.0,7.0,1.46,3.41,0.26,252.61,269.70,330.00,195.20,2023-01-04
21,BOKL,Bank of Kathmandu Limited,55.68,212.00,215.50,207.00,207.20,209.78,"55,481.00",208.10,"11,638,527.50",246,-0.9,8.5,-0.43,4.11,-1.24,251.86,268.96,330.00,195.20,2023-01-05
22,BOKL,Bank of Kathmandu Limited,56.88,211.00,213.00,207.00,207.30,209.22,"76,723.00",207.20,"16,052,311.00",283,0.10,6.00,0.05,2.9,-0.93,-,-,330.00,195.20,2023-01-08
