SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
20,BPCL,Butwal Power Company Limited,26.86,304.90,307.00,304.90,305.10,306.11,"3,829.00",308.00,"1,172,106.00",56,-2.9,2.1,-0.94,0.69,-0.33,315.27,334.25,498.00,288.00,2022-12-07
20,BPCL,Butwal Power Company Limited,26.86,304.90,307.00,304.90,305.10,306.11,"3,829.00",308.00,"1,172,106.00",56,-2.9,2.1,-0.94,0.69,-0.33,315.27,334.25,498.00,288.00,2022-12-09
21,BPCL,Butwal Power Company Limited,28.27,304.50,309.50,300.30,304.00,304.49,"7,633.00",305.10,"2,324,179.00",66,-1.1,9.2,-0.36,3.06,-0.16,-,-,498.00,288.00,2022-12-11
21,BPCL,Butwal Power Company Limited,32.54,301.00,306.00,300.00,305.80,302.90,"6,595.00",304.00,"1,997,619.10",68,1.8,6.0,0.59,2.0,0.95,315.04,333.04,498.00,288.00,2022-12-12
21,BPCL,Butwal Power Company Limited,31.81,302.10,308.00,302.10,305.80,304.89,"1,221.00",305.80,"372,268.40",23,0.0,5.9,0.0,1.95,0.3,315.00,332.46,498.00,288.00,2022-12-13
20,BPCL,Butwal Power Company Limited,26.24,305.00,306.00,302.00,302.60,304.45,"3,996.00",305.80,"1,216,576.80",48,-3.2,4.0,-1.05,1.32,-0.61,315.02,331.83,498.00,288.00,2022-12-14
21,BPCL,Butwal Power Company Limited,26.6,300.50,306.00,300.50,301.10,302.13,"4,195.00",302.60,"1,267,441.00",55,-1.5,5.5,-0.5,1.83,-0.34,314.95,331.19,498.00,288.00,2022-12-15
20,BPCL,Butwal Power Company Limited,26.39,303.00,303.00,297.00,300.00,299.18,"4,330.00",301.10,"1,295,438.50",65,-1.1,6.0,-0.37,2.02,0.27,314.90,330.57,498.00,288.00,2022-12-18
21,BPCL,Butwal Power Company Limited,27.83,299.90,302.00,296.10,301.80,299.32,"4,218.00",300.00,"1,262,523.40",44,1.8,5.9,0.6,1.99,0.82,314.93,329.97,498.00,288.00,2022-12-19
20,BPCL,Butwal Power Company Limited,27.83,300.00,307.00,300.00,302.00,303.82,"4,972.00",301.80,"1,510,609.80",50,0.2,7.0,0.07,2.33,-0.6,314.94,329.42,498.00,288.00,2022-12-20
22,BPCL,Butwal Power Company Limited,40.05,300.00,304.00,300.00,302.20,302.41,"2,104.00",302.00,"636,271.90",37,0.2,4.0,0.07,1.33,-0.07,314.77,328.87,498.00,288.00,2022-12-21
22,BPCL,Butwal Power Company Limited,41.19,300.10,303.00,300.00,300.80,301.13,"5,011.00",302.20,"1,508,958.50",53,-1.4,3.0,-0.46,1.0,-0.11,314.67,328.31,498.00,288.00,2022-12-22
20,BPCL,Butwal Power Company Limited,42.79,302.00,310.00,302.00,310.00,307.37,"16,502.00",300.80,"5,072,276.90",145,9.2,8.0,3.06,2.65,0.85,314.69,327.78,488.00,288.00,2022-12-26
21,BPCL,Butwal Power Company Limited,49.63,310.00,320.20,310.00,319.50,317.86,"17,383.00",310.00,"5,525,319.10",224,9.5,10.20,3.06,3.29,0.51,314.73,327.33,488.00,288.00,2022-12-27
22,BPCL,Butwal Power Company Limited,52.53,321.00,322.00,315.00,315.50,318.88,"10,262.00",319.50,"3,272,352.50",105,-4.0,7.0,-1.25,2.22,-1.07,314.63,326.88,488.00,288.00,2022-12-28
22,BPCL,Butwal Power Company Limited,52.53,316.00,336.00,315.00,336.00,323.58,"17,104.00",315.50,"5,534,473.40",165,20.5,21.0,6.5,6.67,3.7,314.73,326.55,488.00,288.00,2022-12-29
23,BPCL,Butwal Power Company Limited,56.35,342.00,348.00,337.00,338.50,341.04,"40,658.00",336.00,"13,866,102.50",303,2.5,11.00,0.74,3.26,-0.75,314.77,326.28,488.00,288.00,2023-01-01
21,BPCL,Butwal Power Company Limited,56.35,328.80,330.00,313.00,330.00,320.79,"26,200.00",322.38,"8,404,693.70",188,7.62,17.0,2.36,5.43,2.79,314.75,326.01,488.00,288.00,2023-01-02
23,BPCL,Butwal Power Company Limited,51.62,324.00,331.50,318.00,320.00,324.29,"18,206.00",330.00,"5,904,060.20",166,-10.0,13.5,-3.03,4.25,-1.34,314.70,325.65,488.00,288.00,2023-01-03
23,BPCL,Butwal Power Company Limited,51.57,318.00,330.00,318.00,328.90,324.80,"14,072.00",320.00,"4,570,553.30",120,8.9,12.0,2.78,3.77,1.25,314.72,325.39,488.00,288.00,2023-01-04
22,BPCL,Butwal Power Company Limited,43.73,332.00,332.00,322.00,327.00,326.37,"21,407.00",328.90,"6,986,681.30",176,-1.9,10.0,-0.58,3.11,0.19,314.72,325.14,488.00,288.00,2023-01-05
23,BPCL,Butwal Power Company Limited,44.93,333.00,333.00,323.00,326.00,325.82,"28,577.00",327.00,"9,311,084.80",185,-1.00,10.00,-0.31,3.1,0.05,-,-,488.00,288.00,2023-01-08
20,BPCL,Butwal Power Company Limited,60.64,330.00,342.90,322.50,335.00,330.67,"51,207.00",326.00,"16,932,704.40",310,9.0,20.4,2.76,6.33,1.29,314.99,324.63,488.00,288.00,2023-01-09
22,BPCL,Butwal Power Company Limited,57.05,341.00,368.50,329.00,340.00,353.20,"77,367.00",335.00,"27,325,844.00",622,5.0,39.5,1.49,12.01,-3.88,315.27,324.45,488.00,288.00,2023-01-10
22,BPCL,Butwal Power Company Limited,57.08,346.80,355.00,325.00,332.00,341.96,"40,773.00",340.00,"13,942,889.70",297,-8.0,30.0,-2.35,9.23,-3.0,315.37,324.23,485.50,288.00,2023-01-12
23,BPCL,Butwal Power Company Limited,51.5,328.10,342.00,327.00,340.00,335.76,"29,906.00",332.00,"10,041,212.60",205,8.0,15.0,2.41,4.59,1.25,315.54,324.08,485.50,288.00,2023-01-17
21,BPCL,Butwal Power Company Limited,53.4,345.00,350.00,336.10,336.10,344.61,"21,849.00",340.00,"7,529,462.40",192,-3.9,13.9,-1.15,4.14,-2.53,315.65,323.92,485.50,288.00,2023-01-18
22,BPCL,Butwal Power Company Limited,46.93,331.00,342.70,331.00,334.00,337.00,"12,798.00",336.10,"4,312,929.50",113,-2.1,11.7,-0.62,3.53,-0.9,315.75,323.63,474.00,288.00,2023-01-19
23,BPCL,Butwal Power Company Limited,41.07,340.60,340.60,326.40,326.40,331.34,"11,321.00",334.00,"3,751,150.00",140,-7.6,14.2,-2.28,4.35,-1.51,315.76,323.34,474.00,288.00,2023-01-23
22,BPCL,Butwal Power Company Limited,37.96,326.00,332.00,323.20,325.00,325.35,"12,226.00",326.40,"3,977,681.50",97,-1.4,8.8,-0.43,2.72,-0.11,315.74,323.04,473.00,288.00,2023-01-24
21,BPCL,Butwal Power Company Limited,37.49,321.00,335.40,320.10,327.00,327.25,"18,463.00",325.00,"6,042,030.90",123,2.0,15.3,0.62,4.78,-0.08,315.72,322.75,473.00,288.00,2023-01-25
21,BPCL,Butwal Power Company Limited,41.14,327.00,333.00,327.00,332.90,330.94,"14,875.00",327.00,"4,922,797.10",100,5.9,6.0,1.8,1.83,0.59,315.80,322.51,473.00,288.00,2023-01-26
23,BPCL,Butwal Power Company Limited,42.57,330.00,343.50,330.00,338.00,338.14,"40,319.00",332.90,"13,633,581.30",213,5.1,13.5,1.53,4.09,-0.04,315.96,322.34,473.00,288.00,2023-01-29
23,BPCL,Butwal Power Company Limited,52.78,344.70,344.70,328.30,330.00,334.70,"27,674.00",338.00,"9,262,432.80",147,-8.0,16.4,-2.37,5.0,-1.42,315.97,322.15,473.00,288.00,2023-01-30
21,BPCL,Butwal Power Company Limited,51.61,335.00,335.00,323.50,330.00,327.80,"11,726.00",330.00,"3,843,753.60",108,0.0,11.5,0.0,3.55,0.67,315.90,321.99,473.00,288.00,2023-01-31
21,BPCL,Butwal Power Company Limited,41.83,325.10,331.00,323.40,328.00,325.93,"14,537.00",330.00,"4,738,036.80",120,-2.0,7.6,-0.61,2.35,0.63,315.89,321.80,473.00,288.00,2023-02-01
22,BPCL,Butwal Power Company Limited,39.23,330.00,330.00,318.60,320.00,321.96,"15,809.00",328.00,"5,089,873.30",134,-8.0,11.4,-2.44,3.58,-0.61,315.74,321.54,473.00,288.00,2023-02-02
22,BPCL,Butwal Power Company Limited,32.24,326.40,326.40,315.00,323.00,320.75,"11,326.00",320.00,"3,632,868.70",92,3.0,11.4,0.94,3.62,0.7,315.63,321.27,473.00,288.00,2023-02-05
21,BPCL,Butwal Power Company Limited,31.94,322.00,336.00,322.00,335.50,331.35,"21,569.00",322.00,"7,146,978.50",165,13.5,14.0,4.19,4.35,1.24,315.42,320.67,473.00,288.00,2023-02-07
22,BPCL,Butwal Power Company Limited,57.65,340.00,342.00,335.00,338.50,339.18,"15,894.00",336.00,"5,390,951.50",107,2.5,7.0,0.74,2.09,-0.2,314.88,320.33,455.00,288.00,2023-02-09
22,BPCL,Butwal Power Company Limited,48.85,340.00,340.00,323.50,325.00,328.39,"16,676.00",338.50,"5,476,314.50",177,-13.5,16.5,-3.99,5.1,-1.04,314.53,320.12,449.30,288.00,2023-02-12
22,BPCL,Butwal Power Company Limited,31.26,325.00,330.90,324.90,326.00,326.21,"10,790.00",325.00,"3,519,768.10",91,1.00,6.0,0.31,1.85,-0.06,314.29,319.90,449.30,288.00,2023-02-14
23,BPCL,Butwal Power Company Limited,33.58,331.50,338.00,318.10,318.10,321.43,"13,473.00",325.00,"4,330,596.90",120,-6.90,19.90,-2.12,6.26,-1.05,313.83,319.50,449.30,288.00,2023-02-16
22,BPCL,Butwal Power Company Limited,32.31,322.00,322.00,313.30,313.30,316.31,"10,607.00",318.10,"3,355,082.40",112,-4.8,8.7,-1.51,2.78,-0.96,313.54,319.23,449.30,288.00,2023-02-20
23,BPCL,Butwal Power Company Limited,42.15,319.50,328.00,319.50,325.00,322.50,"15,093.00",313.30,"4,867,527.40",108,11.7,8.5,3.73,2.66,0.77,313.46,319.01,448.30,288.00,2023-02-22
21,BPCL,Butwal Power Company Limited,27.7,319.00,322.00,313.20,318.00,318.83,"13,471.00",325.00,"4,294,948.20",100,-7.0,8.8,-2.15,2.81,-0.26,313.29,318.76,448.30,288.00,2023-02-23
22,BPCL,Butwal Power Company Limited,43.4,312.70,320.00,308.00,319.00,312.83,"11,073.00",318.00,"3,463,937.50",96,1.0,12.0,0.31,3.9,1.93,313.19,318.55,448.30,288.00,2023-02-26
21,BPCL,Butwal Power Company Limited,31.89,315.60,328.80,315.00,321.00,320.41,"6,725.00",318.00,"2,154,772.00",79,3.0,13.8,0.94,4.38,0.18,313.12,318.20,448.30,288.00,2023-02-28
22,BPCL,Butwal Power Company Limited,39.33,316.00,321.00,314.00,318.00,316.55,"7,317.00",321.00,"2,316,177.80",64,-3.00,7.00,-0.93,2.23,0.46,313.08,318.05,426.30,288.00,2023-03-01
23,BPCL,Butwal Power Company Limited,31.89,315.00,318.00,312.20,312.70,314.11,"8,951.00",318.00,"2,811,600.40",67,-5.3,5.8,-1.67,1.86,-0.45,313.01,317.91,426.30,288.00,2023-03-02
23,BPCL,Butwal Power Company Limited,40.99,315.00,317.50,309.30,317.50,312.72,"12,116.00",312.70,"3,788,963.20",94,4.8,8.2,1.54,2.65,1.5,312.91,317.81,426.30,288.00,2023-03-05
21,BPCL,Butwal Power Company Limited,46.5,317.00,325.00,317.00,324.00,322.37,"14,537.00",317.50,"4,686,315.20",82,6.5,8.0,2.05,2.52,0.5,312.80,317.79,426.30,288.00,2023-03-07
21,BPCL,Butwal Power Company Limited,48.84,330.00,337.00,323.80,329.00,329.98,"19,682.00",324.00,"6,494,633.30",167,5.0,13.2,1.54,4.08,-0.3,312.77,317.72,426.30,288.00,2023-03-09
22,BPCL,Butwal Power Company Limited,41.42,333.00,335.00,325.00,325.10,327.94,"8,341.00",329.00,"2,735,371.20",100,-3.9,10.0,-1.19,3.08,-0.87,312.75,317.65,426.30,288.00,2023-03-12
22,BPCL,Butwal Power Company Limited,31.1,320.00,324.00,316.00,320.00,320.03,"2,947.00",320.00,"943,135.80",79,0.0,8.0,0.0,2.53,-0.01,312.70,317.52,426.30,288.00,2023-03-14
21,BPCL,Butwal Power Company Limited,25.84,324.90,325.00,316.00,318.00,317.64,"5,117.00",320.00,"1,625,382.80",87,-2.00,9.0,-0.63,2.85,0.11,312.71,317.48,426.30,288.00,2023-03-15
21,BPCL,Butwal Power Company Limited,32.92,318.00,320.00,315.00,318.00,317.18,"3,608.00",318.00,"1,144,367.70",66,0.0,5.0,0.0,1.59,0.26,312.78,317.50,426.30,288.00,2023-03-16
