SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
25,BPW,BPW Laghubitta Bittiya Sanstha Limited,36.4,233.10,237.70,233.10,237.70,233.57,30.00,0.00,"7,007.00",6,237.7,4.6,0.0,1.97,1.74,0.00,0.00,237.70,233.10,2023-05-04
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,33.58,237.70,237.70,237.70,237.70,234.24,25.00,237.70,"5,856.00",5,0.0,0.0,0.0,0.0,1.46,0.00,0.00,237.70,233.10,2023-05-07
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,39.82,247.20,247.20,247.20,247.20,249.70,5.00,247.20,"1,248.50",1,0.0,0.0,0.0,0.0,-1.01,0.00,0.00,247.20,233.10,2023-05-09
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,42.62,252.10,257.10,252.10,257.10,254.60,20.00,247.20,"5,092.00",2,9.9,5.0,4.0,1.98,0.97,0.00,0.00,257.10,233.10,2023-05-10
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,39.22,262.20,262.20,262.20,262.20,262.20,10.00,257.10,"2,622.00",1,5.1,0.0,1.98,0.0,0.0,0.00,0.00,262.20,233.10,2023-05-14
24,BPW,BPW Laghubitta Bittiya Sanstha Limited,38.54,267.40,267.40,267.40,267.40,267.40,10.00,262.20,"2,674.00",1,5.2,0.0,1.98,0.0,0.0,0.00,0.00,267.40,233.10,2023-05-15
24,BPW,BPW Laghubitta Bittiya Sanstha Limited,45.2,289.20,294.90,289.20,294.90,292.05,20.00,283.60,"5,841.00",2,11.30,5.70,3.98,1.97,0.97,0.00,0.00,294.90,233.10,2023-05-21
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,45.2,300.70,306.70,300.70,306.70,303.70,20.00,294.90,"6,074.00",2,11.80,6.00,4.0,2.0,0.98,0.00,0.00,306.70,233.10,2023-05-22
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,45.7,312.80,319.00,312.80,319.00,315.90,20.00,306.70,"6,318.00",2,12.30,6.20,4.01,1.98,0.97,0.00,0.00,319.00,233.10,2023-05-23
23,BPW,BPW Laghubitta Bittiya Sanstha Limited,47.1,325.30,331.80,325.30,331.80,328.55,20.00,319.00,"6,571.00",2,12.80,6.50,4.01,2.0,0.98,0.00,0.00,331.80,233.10,2023-05-24
