SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,26.44,"1,115.00","1,119.00","1,108.00","1,112.00","1,112.94","3,828.00","1,114.00","4,260,327.10",119,-2.0,11.0,-0.18,0.99,-0.08,"1,040.04","1,058.19","1,630.00",882.00,2022-12-07
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,26.44,"1,115.00","1,119.00","1,108.00","1,112.00","1,112.94","3,828.00","1,114.00","4,260,327.10",119,-2.0,11.0,-0.18,0.99,-0.08,"1,040.04","1,058.19","1,630.00",882.00,2022-12-07
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,26.44,"1,115.00","1,119.00","1,108.00","1,112.00","1,112.94","3,828.00","1,114.00","4,260,327.10",119,-2.0,11.0,-0.18,0.99,-0.08,"1,040.04","1,058.19","1,630.00",882.00,2022-12-09
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.85,"1,100.00","1,113.00","1,091.10","1,092.00","1,100.05","9,615.00","1,112.00","10,577,008.50",192,-20.0,21.9,-1.8,2.01,-0.74,-,-,"1,630.00",882.00,2022-12-11
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,31.87,"1,085.00","1,113.00","1,085.00","1,097.10","1,094.87","7,546.00","1,092.00","8,261,889.80",162,5.1,28.0,0.47,2.58,0.2,"1,042.08","1,056.26","1,630.00",882.00,2022-12-12
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,30.77,"1,110.00","1,110.00","1,096.00","1,109.90","1,102.06","4,960.00","1,097.10","5,466,232.90",109,12.8,14.0,1.17,1.28,0.71,"1,043.33","1,055.47","1,630.00",882.00,2022-12-13
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,31.52,"1,105.00","1,113.00","1,105.00","1,106.00","1,108.97","3,916.00","1,109.90","4,342,729.40",80,-3.9,8.0,-0.35,0.72,-0.27,"1,044.70","1,054.64","1,630.00",882.00,2022-12-14
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.12,"1,100.00","1,113.00","1,095.00","1,108.90","1,106.08","7,318.00","1,106.00","8,094,300.10",124,2.9,18.0,0.26,1.64,0.25,"1,046.10","1,053.77","1,630.00",882.00,2022-12-15
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,41.51,"1,110.00","1,115.00","1,083.50","1,095.00","1,090.97","6,104.00","1,108.90","6,659,253.40",158,-13.9,31.5,-1.25,2.91,0.37,"1,047.38","1,052.81","1,581.00",882.00,2022-12-18
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.24,"1,088.00","1,090.00","1,076.00","1,079.90","1,082.66","5,327.00","1,095.00","5,767,327.50",141,-15.1,14.0,-1.38,1.3,-0.26,"1,048.73","1,051.83","1,581.00",882.00,2022-12-19
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.24,"1,085.00","1,094.00","1,080.00","1,086.00","1,087.88","3,925.00","1,079.90","4,269,939.20",95,6.1,14.0,0.56,1.3,-0.17,"1,050.19","1,051.00","1,581.00",882.00,2022-12-20
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,26.74,"1,100.00","1,106.00","1,085.00","1,087.00","1,088.50","4,259.00","1,086.00","4,635,915.60",102,1.0,21.0,0.09,1.94,-0.14,"1,051.29","1,050.23","1,581.00",882.00,2022-12-21
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,25.88,"1,088.00","1,092.00","1,077.00","1,078.90","1,080.31","4,975.00","1,087.00","5,374,530.40",141,-8.1,15.0,-0.75,1.39,-0.13,"1,052.44","1,049.45","1,458.00",882.00,2022-12-22
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,29.5,"1,080.00","1,122.00","1,080.00","1,110.00","1,099.93","14,814.00","1,078.90","16,294,362.76",259,31.1,42.0,2.88,3.89,0.91,"1,053.90","1,048.80","1,458.00",882.00,2022-12-26
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,48.36,"1,115.00","1,140.00","1,112.00","1,130.00","1,131.73","15,659.00","1,110.00","17,721,834.40",311,20.0,28.00,1.8,2.52,-0.15,"1,055.29","1,048.36","1,458.00",882.00,2022-12-27
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,49.11,"1,130.00","1,138.00","1,113.00","1,129.00","1,128.79","6,206.00","1,130.00","7,005,265.10",146,-1.0,25.0,-0.09,2.25,0.02,"1,056.26","1,048.02","1,458.00",882.00,2022-12-28
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,49.11,"1,130.00","1,140.00","1,120.00","1,136.00","1,132.49","9,870.00","1,129.00","11,177,654.80",198,7.0,20.0,0.62,1.79,0.31,"1,057.14","1,047.78","1,458.00",882.00,2022-12-29
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,56.35,"1,145.00","1,167.00","1,143.00","1,165.00","1,156.07","21,841.00","1,136.00","25,249,829.00",412,29.0,24.00,2.55,2.1,0.77,"1,058.19","1,047.83","1,458.00",882.00,2023-01-01
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,56.35,"1,165.00","1,188.00","1,148.00","1,177.00","1,172.21","14,521.00","1,165.00","17,021,710.20",268,12.0,40.0,1.03,3.48,0.41,"1,059.33","1,048.03","1,458.00",882.00,2023-01-02
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,55.85,"1,177.00","1,208.70","1,161.00","1,195.00","1,193.91","28,334.00","1,177.00","33,828,137.20",343,18.0,47.7,1.53,4.11,0.09,"1,060.84","1,048.31","1,458.00",882.00,2023-01-03
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,61.53,"1,205.00","1,240.00","1,205.00","1,239.00","1,225.91","20,087.00","1,195.00","24,624,770.80",383,44.0,35.0,3.68,2.9,1.06,"1,062.73","1,048.87","1,458.00",882.00,2023-01-04
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,60.85,"1,250.00","1,280.00","1,245.00","1,269.00","1,261.81","29,597.00","1,239.00","37,345,809.00",517,30.0,35.0,2.42,2.81,0.57,"1,064.96","1,049.75","1,458.00",882.00,2023-01-05
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,62.05,"1,294.30","1,300.00","1,250.00","1,283.00","1,286.78","39,547.00","1,269.00","50,888,119.10",626,14.00,50.00,1.1,4.0,-0.29,-,-,"1,458.00",882.00,2023-01-08
21,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,55.04,"1,281.00","1,299.90","1,265.20","1,267.10","1,274.66","20,544.00","1,283.00","26,186,596.00",424,-15.9,34.7,-1.24,2.74,-0.6,"1,069.68","1,051.56","1,458.00",882.00,2023-01-09
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,48.7,"1,280.00","1,280.00","1,230.00","1,230.00","1,259.40","30,292.00","1,267.10","38,149,628.00",596,-37.1,50.0,-2.93,4.07,-2.39,"1,071.75","1,052.27","1,458.00",882.00,2023-01-10
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,48.72,"1,254.00","1,303.00","1,228.00","1,231.00","1,249.38","47,041.00","1,230.00","58,772,075.20",888,1.0,75.0,0.08,6.11,-1.49,"1,073.53","1,053.00","1,458.00",882.00,2023-01-12
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,47.02,"1,255.00","1,270.00","1,240.00","1,249.00","1,249.54","14,936.00","1,231.00","18,663,085.00",307,18.0,30.0,1.46,2.42,-0.04,"1,075.43","1,053.91","1,433.00",882.00,2023-01-17
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,43.27,"1,260.00","1,264.00","1,237.10","1,239.90","1,248.05","14,125.00","1,249.00","17,628,672.80",317,-9.1,26.9,-0.73,2.17,-0.66,"1,076.60","1,054.95","1,433.00",882.00,2023-01-18
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,43.69,"1,240.10","1,240.10","1,220.00","1,226.00","1,224.71","16,779.00","1,239.90","20,549,388.70",329,-13.9,20.1,-1.12,1.65,0.11,"1,078.06","1,055.70","1,433.00",882.00,2023-01-19
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,44.51,"1,226.00","1,233.00","1,198.60","1,200.00","1,209.81","15,942.00","1,226.00","19,286,799.00",389,-26.0,34.4,-2.12,2.87,-0.82,"1,079.24","1,056.51","1,433.00",882.00,2023-01-23
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,39.95,"1,200.00","1,210.00","1,185.00","1,200.00","1,194.96","11,720.00","1,200.00","14,004,893.20",237,0.0,25.0,0.0,2.11,0.42,"1,080.39","1,057.34","1,406.50",882.00,2023-01-24
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,38.24,"1,224.00","1,224.00","1,200.00","1,202.00","1,208.29","12,400.00","1,200.00","14,982,787.40",257,2.0,24.0,0.17,2.0,-0.52,"1,081.51","1,058.13","1,400.00",882.00,2023-01-25
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,39.89,"1,201.00","1,215.00","1,200.00","1,211.00","1,210.63","7,056.00","1,202.00","8,542,201.80",170,9.0,15.0,0.75,1.25,0.03,"1,082.77","1,058.98","1,400.00",882.00,2023-01-26
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,39.11,"1,209.00","1,212.00","1,199.00","1,203.00","1,205.53","12,026.00","1,211.00","14,497,713.10",240,-8.0,13.0,-0.66,1.08,-0.21,"1,084.04","1,059.80","1,400.00",882.00,2023-01-29
24,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,43.26,"1,198.00","1,204.00","1,185.00","1,185.00","1,192.73","9,821.00","1,203.00","11,713,834.10",227,-18.0,19.0,-1.5,1.6,-0.65,"1,084.83","1,060.65","1,400.00",882.00,2023-01-30
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,36.33,"1,178.40","1,180.00","1,163.50","1,164.00","1,168.23","18,280.00","1,185.00","21,355,319.50",304,-21.0,16.5,-1.77,1.42,-0.36,"1,085.16","1,061.49","1,400.00",882.00,2023-01-31
