SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
22,CBL,Civil Bank Limited,24.94,219.00,222.00,218.90,218.90,219.13,"24,694.00",220.80,"5,411,167.50",135,-1.9,3.1,-0.86,1.42,-0.1,220.83,231.44,285.40,194.00,2022-12-07
22,CBL,Civil Bank Limited,24.94,219.00,222.00,218.90,218.90,219.13,"24,694.00",220.80,"5,411,167.50",135,-1.9,3.1,-0.86,1.42,-0.1,220.83,231.44,285.40,194.00,2022-12-09
23,CBL,Civil Bank Limited,26.35,218.00,218.00,214.20,215.00,215.38,"32,423.00",218.90,"6,983,228.90",179,-3.9,3.8,-1.78,1.77,-0.18,-,-,285.40,194.00,2022-12-11
23,CBL,Civil Bank Limited,27.84,218.00,219.00,212.20,215.00,213.27,"25,896.00",215.00,"5,522,889.70",155,0.0,6.8,0.0,3.2,0.8,220.07,230.94,285.40,194.00,2022-12-12
23,CBL,Civil Bank Limited,27.04,212.00,215.00,211.30,213.00,212.83,"18,804.00",215.00,"4,002,047.10",96,-2.0,3.7,-0.93,1.75,0.08,219.72,230.70,285.40,194.00,2022-12-13
22,CBL,Civil Bank Limited,25.92,211.20,214.80,211.10,214.80,212.23,"27,380.00",213.00,"5,810,867.30",102,1.8,3.7,0.85,1.75,1.2,219.38,230.50,285.40,194.00,2022-12-14
23,CBL,Civil Bank Limited,24.9,211.50,217.90,210.90,213.00,212.42,"49,734.00",214.80,"10,564,700.30",196,-1.8,7.0,-0.84,3.32,0.27,219.03,230.34,285.40,194.00,2022-12-15
22,CBL,Civil Bank Limited,27.64,210.00,217.20,210.00,213.90,213.12,"35,190.00",213.00,"7,499,836.10",145,0.9,7.2,0.42,3.43,0.36,218.70,230.18,285.40,194.00,2022-12-18
23,CBL,Civil Bank Limited,28.6,213.90,214.00,210.00,214.00,212.36,"16,379.00",213.90,"3,478,180.50",76,0.1,4.0,0.05,1.9,0.77,218.37,230.01,285.40,194.00,2022-12-19
22,CBL,Civil Bank Limited,28.6,216.40,218.80,214.00,218.70,216.72,"186,275.00",214.00,"40,370,328.90",377,4.7,4.8,2.2,2.24,0.9,218.15,229.83,285.40,194.00,2022-12-20
24,CBL,Civil Bank Limited,38.95,218.00,220.90,217.00,218.90,218.44,"47,363.00",218.70,"10,345,925.10",215,0.2,3.9,0.09,1.8,0.21,217.93,229.64,285.40,194.00,2022-12-21
24,CBL,Civil Bank Limited,43.19,219.90,223.20,217.20,222.90,221.91,"97,606.00",218.90,"21,659,498.80",418,4.0,6.0,1.83,2.76,0.45,217.72,229.49,285.40,194.00,2022-12-22
22,CBL,Civil Bank Limited,46.93,223.00,228.00,219.40,227.00,224.96,"137,267.00",222.90,"30,879,550.60",466,4.1,8.6,1.84,3.92,0.9,217.56,229.31,285.40,194.00,2022-12-26
23,CBL,Civil Bank Limited,51.44,228.00,241.70,227.50,234.00,231.60,"154,440.00",227.00,"35,767,982.00",577,7.0,14.20,3.08,6.24,1.03,217.47,229.13,285.40,194.00,2022-12-27
24,CBL,Civil Bank Limited,52.76,234.00,234.10,229.90,231.00,231.15,"115,183.00",234.00,"26,624,211.60",388,-3.0,4.2,-1.28,1.83,-0.06,217.41,228.96,285.40,194.00,2022-12-28
24,CBL,Civil Bank Limited,52.76,234.00,237.00,229.50,236.20,233.61,"124,969.00",231.00,"29,194,086.00",297,5.2,7.5,2.25,3.27,1.1,217.33,228.80,285.40,194.00,2022-12-29
25,CBL,Civil Bank Limited,54.22,236.00,242.30,235.00,241.00,239.78,"152,835.00",236.20,"36,646,023.70",513,4.8,7.30,2.03,3.11,0.51,217.28,228.63,285.40,194.00,2023-01-01
23,CBL,Civil Bank Limited,54.22,241.10,251.30,239.00,250.00,246.50,"279,797.00",241.00,"68,971,254.30",799,9.0,12.3,3.73,5.15,1.4,217.33,228.54,285.40,194.00,2023-01-02
25,CBL,Civil Bank Limited,56.49,239.00,239.90,234.20,234.40,236.69,"85,274.00",238.10,"20,183,831.90",294,-3.7,5.7,-1.55,2.43,-0.98,217.32,228.42,285.40,194.00,2023-01-03
25,CBL,Civil Bank Limited,49.05,234.40,236.00,231.70,235.00,233.81,"82,293.00",234.40,"19,241,043.30",292,0.6,4.3,0.26,1.86,0.51,217.34,228.31,285.40,194.00,2023-01-04
24,CBL,Civil Bank Limited,42.7,235.10,237.00,229.50,232.10,231.78,"98,095.00",235.00,"22,736,367.60",312,-2.9,7.5,-1.23,3.27,0.14,217.41,228.18,285.40,194.00,2023-01-05
25,CBL,Civil Bank Limited,43.9,232.00,235.00,230.10,232.80,232.54,"85,870.00",232.10,"19,967,972.20",253,0.70,4.90,0.3,2.13,0.11,-,-,285.40,194.00,2023-01-08
