SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
24,CFCL,Central Finance Limited,28.52,302.00,310.00,300.00,300.00,303.00,"8,257.00",305.00,"2,501,851.80",66,-5.0,10.0,-1.64,3.33,-1.0,318.87,328.73,556.00,237.00,2022-12-07
24,CFCL,Central Finance Limited,28.52,302.00,310.00,300.00,300.00,303.00,"8,257.00",305.00,"2,501,851.80",66,-5.0,10.0,-1.64,3.33,-1.0,318.87,328.73,556.00,237.00,2022-12-09
26,CFCL,Central Finance Limited,29.93,298.00,305.00,296.10,305.00,298.78,"7,826.00",300.00,"2,338,215.60",60,5.0,8.9,1.67,3.01,2.04,-,-,556.00,237.00,2022-12-11
26,CFCL,Central Finance Limited,33.45,305.00,308.50,301.00,306.00,305.48,"2,852.00",305.00,"871,232.60",37,1.0,7.5,0.33,2.49,0.17,319.44,327.20,556.00,237.00,2022-12-12
26,CFCL,Central Finance Limited,38.83,301.50,306.00,297.00,300.00,301.69,"7,106.00",306.00,"2,143,843.50",57,-6.0,9.0,-1.96,3.03,-0.56,319.73,326.40,556.00,237.00,2022-12-13
26,CFCL,Central Finance Limited,30.51,304.00,310.00,300.00,305.80,304.74,"3,115.00",300.00,"949,255.00",38,5.8,10.0,1.93,3.33,0.35,320.21,325.58,556.00,237.00,2022-12-14
25,CFCL,Central Finance Limited,41.01,300.50,301.00,299.00,299.00,299.95,"8,671.00",305.80,"2,600,888.30",50,-6.8,2.0,-2.22,0.67,-0.32,320.49,324.76,556.00,237.00,2022-12-15
26,CFCL,Central Finance Limited,31.47,295.00,295.00,288.50,289.00,291.52,"10,300.00",299.00,"3,002,625.10",92,-10.0,6.5,-3.34,2.25,-0.87,320.79,323.96,556.00,237.00,2022-12-18
26,CFCL,Central Finance Limited,29.76,293.50,299.80,290.00,290.00,293.04,"3,187.00",289.00,"933,927.20",43,1.0,9.8,0.35,3.38,-1.05,321.17,323.22,556.00,237.00,2022-12-19
26,CFCL,Central Finance Limited,29.76,295.00,301.00,292.00,295.00,294.82,"3,527.00",290.00,"1,039,829.80",41,5.0,9.0,1.72,3.08,0.06,321.52,322.53,556.00,237.00,2022-12-20
28,CFCL,Central Finance Limited,31.4,292.00,295.00,292.00,293.00,292.55,510.00,295.00,"149,201.00",5,-2.0,3.0,-0.68,1.03,0.15,321.75,321.90,556.00,237.00,2022-12-21
27,CFCL,Central Finance Limited,55.3,298.80,322.30,298.80,322.30,321.65,"52,007.00",293.00,"16,727,946.00",281,29.3,23.5,10.0,7.86,0.2,322.25,321.48,556.00,237.00,2022-12-28
27,CFCL,Central Finance Limited,55.3,325.00,339.50,320.00,337.00,330.20,"31,658.00",322.30,"10,453,366.70",240,14.7,19.5,4.56,6.09,2.02,322.95,321.04,556.00,237.00,2022-12-29
29,CFCL,Central Finance Limited,54.82,338.00,347.80,326.00,332.50,335.25,"28,452.00",337.00,"9,538,607.80",204,-4.5,21.80,-1.34,6.69,-0.83,323.49,320.65,556.00,237.00,2023-01-01
27,CFCL,Central Finance Limited,54.82,326.00,343.00,325.90,335.00,336.75,"31,097.00",332.50,"10,471,894.00",176,2.5,17.1,0.75,5.25,-0.52,323.84,320.30,556.00,237.00,2023-01-02
28,CFCL,Central Finance Limited,55.94,331.00,336.90,324.00,325.00,330.27,"29,767.00",335.00,"9,831,043.50",161,-10.0,12.9,-2.99,3.98,-1.62,324.16,319.91,556.00,237.00,2023-01-03
28,CFCL,Central Finance Limited,50.43,331.50,357.50,326.90,357.00,340.15,"42,190.00",325.00,"14,350,905.30",212,32.0,30.6,9.85,9.36,4.72,324.59,319.74,556.00,237.00,2023-01-04
27,CFCL,Central Finance Limited,62.8,359.00,373.90,342.00,370.00,358.66,"67,033.00",357.00,"24,042,082.40",335,13.0,31.9,3.64,9.33,3.06,325.17,319.65,556.00,237.00,2023-01-05
29,CFCL,Central Finance Limited,64.0,374.00,377.00,355.50,370.00,367.72,"64,192.00",370.00,"23,604,550.80",362,0.00,21.50,0.0,6.05,0.62,-,-,556.00,237.00,2023-01-08
26,CFCL,Central Finance Limited,61.54,365.00,381.00,365.00,375.90,374.73,"49,814.00",370.00,"18,667,021.10",246,5.9,16.0,1.59,4.38,0.31,326.46,319.46,556.00,237.00,2023-01-09
25,CFCL,Central Finance Limited,51.22,383.40,390.00,355.60,361.00,372.51,"68,339.00",375.90,"25,456,887.30",358,-14.9,34.4,-3.96,9.67,-3.19,327.01,319.35,556.00,237.00,2023-01-10
25,CFCL,Central Finance Limited,51.24,368.20,375.60,344.20,346.00,358.77,"39,521.00",361.00,"14,178,918.00",258,-15.0,31.4,-4.16,9.12,-3.69,327.51,319.13,556.00,237.00,2023-01-12
26,CFCL,Central Finance Limited,43.0,340.00,367.00,340.00,365.00,357.64,"24,839.00",346.00,"8,883,395.20",154,19.0,27.0,5.49,7.94,2.02,328.33,319.09,538.00,237.00,2023-01-17
26,CFCL,Central Finance Limited,45.62,370.00,377.40,355.00,358.00,365.24,"42,601.00",365.00,"15,559,471.60",236,-7.0,22.4,-1.92,6.31,-2.02,328.99,318.99,536.00,237.00,2023-01-18
26,CFCL,Central Finance Limited,44.81,351.00,361.00,351.00,360.00,356.76,"16,054.00",358.00,"5,727,422.90",92,2.0,10.0,0.56,2.85,0.9,329.50,318.87,529.30,237.00,2023-01-19
27,CFCL,Central Finance Limited,42.64,360.00,367.00,353.00,354.00,359.99,"17,121.00",360.00,"6,163,382.70",108,-6.0,14.0,-1.67,3.97,-1.69,329.92,318.82,529.30,237.00,2023-01-23
27,CFCL,Central Finance Limited,43.94,351.00,371.80,345.30,369.00,354.70,"36,612.00",354.00,"12,986,330.30",154,15.0,26.5,4.24,7.67,3.87,330.48,318.93,525.00,237.00,2023-01-24
25,CFCL,Central Finance Limited,46.51,361.70,369.00,354.80,358.10,362.42,"42,538.00",369.00,"15,416,585.10",236,-10.9,14.2,-2.95,4.0,-1.21,331.00,318.83,525.00,237.00,2023-01-25
24,CFCL,Central Finance Limited,47.8,352.00,359.00,348.00,350.00,353.30,"23,210.00",358.10,"8,200,020.90",167,-8.1,11.0,-2.26,3.16,-0.94,331.39,318.81,525.00,237.00,2023-01-26
27,CFCL,Central Finance Limited,40.89,345.00,350.20,338.10,341.00,344.84,"20,107.00",350.00,"6,933,627.30",135,-9.0,12.1,-2.57,3.58,-1.13,331.64,318.72,525.00,237.00,2023-01-29
27,CFCL,Central Finance Limited,38.23,341.00,341.70,325.00,329.00,331.66,"24,324.00",341.00,"8,067,278.20",168,-12.0,16.7,-3.52,5.14,-0.81,331.75,318.57,525.00,237.00,2023-01-30
24,CFCL,Central Finance Limited,37.24,325.10,335.00,325.00,328.90,328.87,"19,952.00",329.00,"6,561,527.20",108,-0.1,10.0,-0.03,3.08,0.01,331.78,318.48,525.00,237.00,2023-01-31
24,CFCL,Central Finance Limited,34.82,335.00,336.90,325.00,335.00,332.86,"8,975.00",328.90,"2,987,379.70",78,6.1,11.9,1.85,3.66,0.64,331.78,318.52,525.00,237.00,2023-02-01
26,CFCL,Central Finance Limited,30.23,341.70,347.90,323.70,326.90,328.56,"13,414.00",335.00,"4,407,355.60",106,-8.1,24.2,-2.42,7.48,-0.51,331.43,318.57,525.00,237.00,2023-02-02
28,CFCL,Central Finance Limited,36.96,326.90,339.40,321.00,328.00,330.81,"10,322.00",326.90,"3,414,628.40",94,1.1,18.4,0.34,5.73,-0.86,330.90,318.71,515.00,237.00,2023-02-05
25,CFCL,Central Finance Limited,36.53,339.10,359.00,336.00,359.00,349.08,"37,082.00",332.50,"12,944,419.10",265,26.5,23.0,7.97,6.85,2.76,330.29,319.06,515.00,237.00,2023-02-07
25,CFCL,Central Finance Limited,52.68,355.90,363.00,343.00,353.00,350.20,"18,292.00",349.00,"6,405,850.10",113,4.0,20.0,1.15,5.83,0.79,329.69,319.19,494.90,237.00,2023-02-09
26,CFCL,Central Finance Limited,42.63,346.00,350.00,332.00,336.00,340.87,"20,310.00",353.00,"6,923,008.20",151,-17.0,18.0,-4.82,5.42,-1.45,329.26,319.20,486.00,237.00,2023-02-12
26,CFCL,Central Finance Limited,24.79,336.00,342.70,331.80,335.00,334.86,"6,797.00",336.00,"2,276,066.00",59,-1.00,10.9,-0.3,3.29,0.04,328.78,319.34,486.00,237.00,2023-02-14
26,CFCL,Central Finance Limited,28.75,336.00,336.00,321.50,326.00,326.25,"11,872.00",330.00,"3,873,190.30",85,-4.00,14.50,-1.21,4.51,-0.08,327.62,319.58,482.60,237.00,2023-02-16
