SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
27,CHDC,CEDB Hydropower Development Company Limited,31.04,668.70,668.70,645.00,655.00,652.61,"9,216.00",656.00,"6,014,435.00",103,-1.0,23.7,-0.15,3.67,0.37,696.52,722.67,"1,130.00",590.00,2022-12-07
27,CHDC,CEDB Hydropower Development Company Limited,31.04,668.70,668.70,645.00,655.00,652.61,"9,216.00",656.00,"6,014,435.00",103,-1.0,23.7,-0.15,3.67,0.37,696.52,722.67,"1,130.00",590.00,2022-12-09
29,CHDC,CEDB Hydropower Development Company Limited,32.45,642.10,650.00,638.00,645.00,643.46,"4,856.00",655.00,"3,124,639.00",79,-10.0,12.0,-1.53,1.88,0.24,-,-,"1,130.00",590.00,2022-12-11
29,CHDC,CEDB Hydropower Development Company Limited,29.51,655.00,660.00,642.00,660.00,650.60,"5,825.00",645.00,"3,789,769.40",83,15.0,18.0,2.33,2.8,1.42,695.81,719.84,"1,130.00",590.00,2022-12-12
29,CHDC,CEDB Hydropower Development Company Limited,33.33,647.00,661.00,647.00,660.00,655.04,"2,122.00",660.00,"1,389,991.50",50,0.0,14.0,0.0,2.16,0.75,695.74,718.56,"1,130.00",590.00,2022-12-13
29,CHDC,CEDB Hydropower Development Company Limited,31.67,647.30,655.00,647.30,652.10,652.20,"2,590.00",660.00,"1,689,210.00",35,-7.9,7.7,-1.2,1.19,-0.02,695.69,717.19,"1,130.00",590.00,2022-12-14
28,CHDC,CEDB Hydropower Development Company Limited,26.74,660.00,660.00,637.10,641.00,642.22,"2,200.00",652.10,"1,412,877.80",65,-11.1,22.9,-1.7,3.59,-0.19,695.39,715.75,"1,130.00",590.00,2022-12-15
29,CHDC,CEDB Hydropower Development Company Limited,23.06,653.80,653.80,625.80,634.00,633.46,"2,399.00",641.00,"1,519,662.60",84,-7.0,28.0,-1.09,4.47,0.09,695.09,714.28,"1,130.00",590.00,2022-12-18
29,CHDC,CEDB Hydropower Development Company Limited,23.9,640.00,651.70,627.30,639.00,633.26,"1,700.00",634.00,"1,076,544.00",42,5.0,24.4,0.79,3.89,0.9,694.99,712.96,"1,130.00",590.00,2022-12-19
29,CHDC,CEDB Hydropower Development Company Limited,23.9,626.40,640.00,626.40,633.20,636.52,"1,633.00",639.00,"1,039,437.60",45,-5.8,13.6,-0.91,2.17,-0.52,694.69,711.74,"1,130.00",590.00,2022-12-20
