SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
29,CIT,Citizen Investment Trust,38.4,"1,883.00","1,890.00","1,867.00","1,878.10","1,877.53","6,946.00","1,882.00","13,041,306.50",156,-3.9,23.0,-0.21,1.23,0.03,"2,190.22","2,398.52","3,646.00","1,780.00",2022-12-07
29,CIT,Citizen Investment Trust,38.4,"1,883.00","1,890.00","1,867.00","1,878.10","1,877.53","6,946.00","1,882.00","13,041,306.50",156,-3.9,23.0,-0.21,1.23,0.03,"2,190.22","2,398.52","3,646.00","1,780.00",2022-12-09
31,CIT,Citizen Investment Trust,39.81,"1,883.00","1,883.00","1,850.00","1,855.00","1,859.90","6,558.00","1,878.10","12,197,199.10",185,-23.1,33.0,-1.23,1.78,-0.26,-,-,"3,646.00","1,780.00",2022-12-11
31,CIT,Citizen Investment Trust,31.37,"1,850.00","1,884.90","1,840.00","1,855.00","1,850.18","6,698.00","1,855.00","12,392,532.40",150,0.0,44.9,0.0,2.44,0.26,"2,182.68","2,384.00","3,646.00","1,780.00",2022-12-12
31,CIT,Citizen Investment Trust,31.46,"1,872.00","1,877.00","1,850.00","1,859.00","1,855.92","4,376.00","1,855.00","8,121,517.10",117,4.0,27.0,0.22,1.46,0.17,"2,179.13","2,376.60","3,646.00","1,780.00",2022-12-13
31,CIT,Citizen Investment Trust,29.31,"1,870.00","1,870.00","1,845.00","1,855.00","1,854.42","4,660.00","1,859.00","8,641,584.20",128,-4.0,25.0,-0.22,1.36,0.03,"2,175.73","2,369.02","3,646.00","1,780.00",2022-12-14
30,CIT,Citizen Investment Trust,26.86,"1,845.10","1,860.00","1,830.00","1,844.90","1,841.51","4,154.00","1,855.00","7,649,625.20",124,-10.1,30.0,-0.54,1.64,0.18,"2,171.76","2,361.11","3,646.00","1,780.00",2022-12-15
31,CIT,Citizen Investment Trust,25.92,"1,845.00","1,850.00","1,832.00","1,838.00","1,840.26","5,270.00","1,844.90","9,698,148.00",146,-6.9,18.0,-0.37,0.98,-0.12,"2,168.01","2,353.34","3,646.00","1,780.00",2022-12-18
31,CIT,Citizen Investment Trust,30.1,"1,837.00","1,845.00","1,836.00","1,845.00","1,840.43","5,370.00","1,838.00","9,883,092.20",129,7.0,9.0,0.38,0.49,0.25,"2,164.84","2,345.98","3,646.00","1,780.00",2022-12-19
31,CIT,Citizen Investment Trust,30.1,"1,840.00","1,854.90","1,840.00","1,847.00","1,848.50","3,384.00","1,845.00","6,255,313.00",101,2.0,14.9,0.11,0.81,-0.08,"2,161.84","2,338.77","3,646.00","1,780.00",2022-12-20
33,CIT,Citizen Investment Trust,35.9,"1,845.00","1,850.00","1,835.00","1,836.00","1,840.99","5,046.00","1,847.00","9,289,647.40",128,-11.0,15.0,-0.6,0.82,-0.27,"2,156.91","2,331.63","3,646.00","1,780.00",2022-12-21
30,CIT,Citizen Investment Trust,37.11,"1,830.00","1,840.00","1,829.60","1,835.00","1,832.09","3,481.00","1,836.00","6,377,510.40",120,-1.0,10.4,-0.05,0.57,0.16,"2,151.02","2,324.58","3,646.00","1,780.00",2022-12-22
28,CIT,Citizen Investment Trust,36.31,"1,865.00","1,889.00","1,850.00","1,889.00","1,872.17","11,367.00","1,835.00","21,280,969.80",209,54.0,39.0,2.94,2.11,0.89,"2,145.95","2,317.63","3,646.00","1,780.00",2022-12-26
31,CIT,Citizen Investment Trust,48.47,"1,890.00","2,000.00","1,890.00","1,965.00","1,942.58","28,623.00","1,889.00","55,602,520.60",535,76.0,110.00,4.02,5.82,1.14,"2,141.20","2,310.97","3,646.00","1,780.00",2022-12-27
32,CIT,Citizen Investment Trust,52.6,"1,965.00","1,985.00","1,926.00","1,959.00","1,963.50","12,340.00","1,965.00","24,229,538.50",249,-6.0,59.0,-0.31,3.06,-0.23,"2,135.95","2,304.62","3,646.00","1,780.00",2022-12-28
32,CIT,Citizen Investment Trust,52.6,"1,942.10","1,990.00","1,930.00","1,972.00","1,964.49","11,115.00","1,959.00","21,835,331.90",242,13.0,60.0,0.66,3.11,0.38,"2,130.92","2,298.49","3,646.00","1,780.00",2022-12-29
34,CIT,Citizen Investment Trust,54.06,"2,000.00","2,011.00","1,961.20","1,980.00","1,989.44","17,645.00","1,972.00","35,103,597.30",336,8.0,49.80,0.41,2.54,-0.48,"2,125.22","2,292.57","3,646.00","1,780.00",2023-01-01
32,CIT,Citizen Investment Trust,54.06,"1,975.00","2,008.00","1,960.00","1,990.00","1,994.14","11,812.00","1,980.00","23,554,816.60",234,10.0,48.0,0.51,2.45,-0.21,"2,119.55","2,287.04","3,646.00","1,780.00",2023-01-02
33,CIT,Citizen Investment Trust,45.42,"1,999.00","2,010.00","1,975.00","2,000.00","1,996.92","12,073.00","1,990.00","24,108,765.60",274,10.0,35.0,0.5,1.77,0.15,"2,114.46","2,281.43","3,646.00","1,780.00",2023-01-03
33,CIT,Citizen Investment Trust,54.18,"2,040.00","2,177.00","2,000.00","2,150.00","2,070.63","30,447.00","2,000.00","63,044,376.40",656,150.0,177.0,7.5,8.85,3.69,"2,110.75","2,277.09","3,646.00","1,780.00",2023-01-04
32,CIT,Citizen Investment Trust,62.92,"2,193.00","2,258.90","2,181.00","2,250.10","2,226.07","33,164.00","2,150.00","73,825,393.60",695,100.1,77.9,4.66,3.57,1.07,"2,107.95","2,273.56","3,646.00","1,780.00",2023-01-05
34,CIT,Citizen Investment Trust,64.12,"2,253.00","2,269.00","2,200.00","2,229.00","2,242.15","23,611.00","2,250.10","52,939,472.39",482,-21.10,69.00,-0.94,3.14,-0.59,-,-,"3,646.00","1,780.00",2023-01-08
31,CIT,Citizen Investment Trust,57.73,"2,235.00","2,264.00","2,222.00","2,225.10","2,242.29","15,194.00","2,229.00","34,069,323.10",317,-3.9,42.0,-0.17,1.89,-0.77,"2,103.79","2,266.31","3,646.00","1,780.00",2023-01-09
30,CIT,Citizen Investment Trust,50.71,"2,260.00","2,265.00","2,145.00","2,179.90","2,232.15","26,441.00","2,225.10","59,020,215.40",585,-45.2,120.0,-2.03,5.59,-2.4,"2,101.56","2,262.45","3,646.00","1,780.00",2023-01-10
