SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
30,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,28.1,767.00,770.00,766.00,766.00,766.90,205.00,780.00,"157,214.00",7,-14.0,4.0,-1.79,0.52,-0.12,817.53,828.80,"1,233.00",662.50,2022-12-07
30,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,28.1,767.00,770.00,766.00,766.00,766.90,205.00,780.00,"157,214.00",7,-14.0,4.0,-1.79,0.52,-0.12,817.53,828.80,"1,233.00",662.50,2022-12-09
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,29.51,760.00,760.10,755.00,760.00,759.72,324.00,766.00,"246,148.00",7,-6.0,5.1,-0.78,0.68,0.04,-,-,"1,233.00",662.50,2022-12-11
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,27.82,775.00,775.00,760.00,762.00,764.11,625.00,760.00,"477,566.00",12,2.0,15.0,0.26,1.97,-0.28,817.80,826.48,"1,233.00",662.50,2022-12-12
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,30.86,768.50,768.50,758.10,761.00,764.60,246.00,762.00,"188,090.60",8,-1.0,10.4,-0.13,1.37,-0.47,818.22,825.36,"1,233.00",662.50,2022-12-13
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,26.64,755.00,755.00,753.00,754.50,754.25,536.00,761.00,"404,277.40",10,-6.5,2.0,-0.85,0.27,0.03,818.71,824.17,"1,233.00",662.50,2022-12-14
31,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,28.12,755.00,755.00,741.00,750.00,747.06,379.00,754.50,"283,134.00",7,-4.5,14.0,-0.6,1.89,0.39,818.84,822.98,"1,233.00",662.50,2022-12-15
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,25.34,736.20,749.00,736.20,739.00,739.24,247.00,750.00,"182,591.30",6,-11.0,12.8,-1.47,1.74,-0.03,819.12,821.75,"1,233.00",662.50,2022-12-18
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,30.41,753.70,753.70,740.00,750.00,746.12,"1,380.00",739.00,"1,029,652.00",14,11.0,13.7,1.49,1.85,0.52,819.73,820.61,"1,233.00",662.50,2022-12-19
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,30.41,764.00,775.00,754.00,754.00,763.60,"2,426.00",750.00,"1,852,490.70",16,4.0,21.0,0.53,2.79,-1.27,820.28,819.60,"1,233.00",662.50,2022-12-20
34,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,45.21,755.00,762.00,750.00,762.00,751.60,353.00,754.00,"265,316.00",10,8.0,12.0,1.06,1.6,1.36,820.38,818.71,"1,233.00",662.50,2022-12-21
31,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,42.51,755.10,757.10,731.90,755.80,743.38,708.00,762.00,"526,315.60",21,-6.2,25.2,-0.81,3.44,1.64,820.68,817.88,"1,233.00",662.50,2022-12-22
29,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,43.66,761.00,802.00,760.00,802.00,776.04,"1,309.00",755.80,"1,015,838.00",20,46.2,42.0,6.11,5.53,3.24,821.47,817.20,"1,233.00",662.50,2022-12-26
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,48.64,818.00,849.60,799.00,827.00,829.39,"2,300.00",802.00,"1,907,607.30",46,25.0,50.60,3.12,6.33,-0.29,822.17,816.72,"1,233.00",662.50,2022-12-27
33,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,49.66,812.00,822.00,810.00,814.00,815.22,920.00,827.00,"750,001.50",20,-13.0,12.0,-1.57,1.48,-0.15,822.37,816.17,"1,233.00",662.50,2022-12-28
33,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,49.66,801.00,858.00,800.00,858.00,835.99,"4,866.00",814.00,"4,067,925.10",58,44.0,58.0,5.41,7.25,2.57,822.98,815.85,"1,233.00",662.50,2022-12-29
35,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,52.6,875.00,880.00,828.10,835.00,835.17,"3,840.00",858.00,"3,207,043.30",24,-23.0,51.90,-2.68,6.27,-0.02,823.13,815.60,"1,233.00",662.50,2023-01-01
33,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,52.6,834.00,850.00,821.00,840.00,841.54,"1,018.00",835.00,"856,688.40",21,5.0,29.0,0.6,3.53,-0.18,823.46,815.44,"1,233.00",662.50,2023-01-02
34,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,45.82,840.00,856.00,840.00,850.00,851.62,"2,931.00",840.00,"2,496,097.70",51,10.0,16.0,1.19,1.9,-0.19,824.00,815.18,"1,233.00",662.50,2023-01-03
34,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,58.46,851.00,918.00,850.00,917.00,877.33,"3,925.00",850.00,"3,443,514.00",71,67.0,68.0,7.88,8.0,4.33,825.09,815.48,"1,233.00",662.50,2023-01-04
33,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,60.8,935.30,935.30,903.00,921.00,920.29,"7,534.00",917.00,"6,933,440.80",76,4.0,32.3,0.44,3.58,0.08,826.26,815.87,"1,233.00",662.50,2023-01-05
35,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,62.0,938.90,940.00,884.00,928.10,918.78,"6,485.00",921.00,"5,958,315.10",89,7.10,56.00,0.77,6.33,1.0,-,-,"1,233.00",662.50,2023-01-08
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,59.41,929.00,954.00,929.00,940.00,937.24,"7,469.00",928.10,"7,000,258.00",53,11.9,25.0,1.28,2.69,0.29,829.78,816.75,"1,233.00",662.50,2023-01-09
31,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,51.92,950.00,990.00,913.00,940.00,961.58,"7,669.00",940.00,"7,374,367.50",103,0.0,77.0,0.0,8.43,-2.3,831.52,817.34,"1,233.00",662.50,2023-01-10
31,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,51.95,958.00,974.00,892.40,938.00,948.07,"8,689.00",940.00,"8,237,758.20",115,-2.0,81.6,-0.21,9.14,-1.07,833.09,817.77,"1,233.00",662.50,2023-01-12
