SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
31,CMF1,Citizens Mutual Fund-1,35.58,7.65,7.65,7.21,7.21,7.33,"69,120.00",7.80,"506,918.00",19,-0.59,0.44,-7.56,6.1,-1.72,8.21,8.60,10.49,7.20,2022-12-07
31,CMF1,Citizens Mutual Fund-1,35.58,7.65,7.65,7.21,7.21,7.33,"69,120.00",7.80,"506,918.00",19,-0.59,0.44,-7.56,6.1,-1.72,8.21,8.60,10.49,7.20,2022-12-09
33,CMF1,Citizens Mutual Fund-1,37.0,7.35,7.93,7.35,7.40,7.57,"4,535.00",7.21,"34,330.20",12,0.19,0.58,2.64,7.89,-2.3,-,-,10.49,7.20,2022-12-11
33,CMF1,Citizens Mutual Fund-1,35.23,7.54,8.14,7.30,7.52,7.82,"13,580.00",7.40,"106,233.40",16,0.12,0.84,1.62,11.51,-4.03,8.19,8.57,10.49,7.20,2022-12-12
33,CMF1,Citizens Mutual Fund-1,46.81,7.57,7.65,7.50,7.65,7.56,"2,225.00",7.52,"16,830.75",4,0.13,0.15,1.73,2.0,1.12,8.18,8.56,10.49,7.20,2022-12-13
33,CMF1,Citizens Mutual Fund-1,36.94,7.72,7.72,7.60,7.60,7.65,"2,100.00",7.65,"16,072.00",3,-0.05,0.12,-0.65,1.58,-0.7,8.18,8.55,10.49,7.20,2022-12-14
32,CMF1,Citizens Mutual Fund-1,42.64,7.50,7.65,7.50,7.65,7.62,500.00,7.60,"3,810.00",2,0.05,0.15,0.66,2.0,0.39,8.17,8.54,10.49,7.20,2022-12-15
33,CMF1,Citizens Mutual Fund-1,36.44,7.50,7.50,7.35,7.35,7.43,400.00,7.65,"2,970.00",2,-0.3,0.15,-3.92,2.04,-1.02,8.16,8.52,10.49,7.20,2022-12-18
33,CMF1,Citizens Mutual Fund-1,34.71,7.21,7.23,6.85,7.00,6.97,"135,800.00",7.35,"946,335.25",44,-0.35,0.38,-4.76,5.55,0.45,8.15,8.51,10.49,6.85,2022-12-19
33,CMF1,Citizens Mutual Fund-1,34.71,7.13,7.15,7.01,7.15,7.12,"21,251.00",7.00,"151,309.57",13,0.15,0.14,2.14,2.0,0.42,8.14,8.49,10.49,6.85,2022-12-20
35,CMF1,Citizens Mutual Fund-1,34.16,7.01,7.29,6.75,7.15,7.17,"8,614.00",7.15,"61,781.06",15,0.0,0.54,0.0,8.0,-0.31,8.13,8.48,10.49,6.75,2022-12-21
32,CMF1,Citizens Mutual Fund-1,30.8,7.05,7.20,7.02,7.20,7.12,"10,487.00",7.15,"74,708.40",11,0.05,0.18,0.7,2.56,1.06,8.12,8.46,10.49,6.75,2022-12-22
