SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
35,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,45.67,"1,040.00","1,054.00","1,030.00","1,046.00","1,041.45","17,852.00","1,024.00","18,591,931.20",228,22.0,24.0,2.15,2.33,0.44,964.97,997.78,"1,407.00",861.00,2022-12-07
35,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,45.67,"1,040.00","1,054.00","1,030.00","1,046.00","1,041.45","17,852.00","1,024.00","18,591,931.20",228,22.0,24.0,2.15,2.33,0.44,964.97,997.78,"1,407.00",861.00,2022-12-09
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.08,"1,040.00","1,040.00","1,023.10","1,025.90","1,028.62","15,215.00","1,046.00","15,650,462.70",149,-20.1,16.9,-1.92,1.65,-0.27,-,-,"1,407.00",861.00,2022-12-11
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,39.86,"1,043.00","1,043.00","1,021.10","1,034.00","1,028.97","5,515.00","1,025.90","5,674,773.70",104,8.1,21.9,0.79,2.14,0.49,966.23,996.28,"1,407.00",861.00,2022-12-12
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,38.25,"1,030.00","1,038.00","1,022.00","1,022.50","1,028.07","1,996.00","1,034.00","2,052,021.50",43,-11.5,16.0,-1.11,1.57,-0.54,966.92,995.55,"1,407.00",861.00,2022-12-13
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,31.24,"1,038.90","1,050.00","1,025.00","1,025.10","1,034.99","5,905.00","1,022.50","6,111,603.90",84,2.6,25.0,0.25,2.44,-0.96,967.84,994.80,"1,407.00",861.00,2022-12-14
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,28.54,"1,020.00","1,034.90","1,005.00","1,019.00","1,011.96","1,791.00","1,025.10","1,812,416.30",48,-6.1,29.9,-0.6,2.98,0.69,968.66,993.90,"1,407.00",861.00,2022-12-15
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,25.98,"1,030.00","1,030.00",972.20,982.00,990.02,"4,514.00","1,019.00","4,468,946.00",94,-37.0,57.8,-3.63,5.95,-0.82,969.26,992.86,"1,407.00",861.00,2022-12-18
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,27.63,971.00,"1,043.00",970.00,971.00,978.22,"4,812.00",982.00,"4,707,200.30",87,-11.0,73.0,-1.12,7.53,-0.74,969.91,991.82,"1,407.00",861.00,2022-12-19
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,27.63,990.00,"1,067.00",955.20,"1,004.00",987.54,"8,415.00",971.00,"8,310,109.00",104,33.0,111.8,3.4,11.7,1.64,970.87,991.15,"1,407.00",861.00,2022-12-20
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,31.66,"1,022.00","1,022.00",983.20,983.60,987.63,"3,593.00","1,004.00","3,548,558.20",51,-20.4,38.8,-2.03,3.95,-0.41,971.15,990.47,"1,407.00",861.00,2022-12-21
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,29.12,"1,003.00","1,003.00",963.40,967.00,965.64,"4,131.00",983.60,"3,989,074.30",67,-16.6,39.6,-1.69,4.11,0.14,971.38,989.68,"1,407.00",861.00,2022-12-22
35,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,29.82,980.00,"1,009.50",960.00,"1,009.50",986.64,"7,579.00",967.00,"7,477,753.40",103,42.5,49.5,4.4,5.16,2.26,972.00,989.02,"1,407.00",861.00,2022-12-26
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,39.35,"1,029.60","1,029.60","1,000.00","1,008.90","1,009.30","9,623.00","1,009.50","9,712,484.40",177,-0.6,29.60,-0.06,2.96,-0.04,972.33,988.46,"1,407.00",861.00,2022-12-27
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.62,"1,001.10","1,012.00",983.00,999.00,993.29,"8,147.00","1,008.90","8,092,365.60",106,-9.9,29.0,-0.98,2.95,0.57,972.33,987.89,"1,407.00",861.00,2022-12-28
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.62,"1,009.00","1,015.00",985.00,"1,015.00","1,000.01","7,134.00",999.00,"7,134,082.10",97,16.0,30.0,1.6,3.05,1.48,972.40,987.41,"1,407.00",861.00,2022-12-29
41,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,48.5,"1,016.00","1,034.90",995.00,"1,011.00","1,017.13","16,737.00","1,015.00","17,023,686.90",184,-4.0,39.90,-0.39,4.01,-0.61,972.28,987.00,"1,407.00",861.00,2023-01-01
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,48.5,"1,019.90","1,019.90",994.00,"1,015.00","1,009.88","10,174.00","1,011.00","10,274,551.40",136,4.0,25.9,0.4,2.61,0.5,972.28,986.73,"1,407.00",861.00,2023-01-02
40,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,54.24,"1,016.00","1,103.00","1,015.00","1,077.00","1,057.02","29,847.00","1,015.00","31,548,942.30",383,62.0,88.0,6.11,8.67,1.85,973.07,986.71,"1,407.00",861.00,2023-01-03
40,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,61.53,"1,076.00","1,158.00","1,060.10","1,135.00","1,120.89","20,510.00","1,077.00","22,989,369.50",285,58.0,97.9,5.39,9.23,1.24,974.33,986.99,"1,407.00",861.00,2023-01-04
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,63.38,"1,145.00","1,178.00","1,080.00","1,116.00","1,119.64","30,781.00","1,135.00","34,463,667.30",635,-19.0,98.0,-1.67,9.07,-0.33,975.50,987.25,"1,407.00",861.00,2023-01-05
41,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,64.58,"1,137.00","1,138.00","1,085.00","1,110.00","1,101.72","30,675.00","1,116.00","33,795,400.10",478,-6.00,53.00,-0.54,4.88,0.75,-,-,"1,407.00",861.00,2023-01-08
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,56.19,"1,095.00","1,109.00","1,085.00","1,090.00","1,093.75","51,974.00","1,110.00","56,846,733.70",543,-20.0,24.0,-1.8,2.21,-0.34,978.13,987.40,"1,407.00",861.00,2023-01-09
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.86,"1,090.00","1,095.00","1,047.00","1,052.00","1,074.03","87,194.00","1,090.00","93,649,137.70","1,205",-38.0,48.0,-3.49,4.58,-2.09,979.27,987.24,"1,407.00",861.00,2023-01-10
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.88,"1,073.00","1,080.00","1,000.10","1,000.10","1,029.79","28,935.00","1,052.00","29,797,020.40",559,-51.9,79.9,-4.93,7.99,-2.97,979.76,986.83,"1,407.00",861.00,2023-01-12
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,42.7,"1,015.00","1,015.00",993.00,"1,005.00","1,003.21","22,547.00","1,000.10","22,619,337.20",349,4.9,22.0,0.49,2.22,0.18,980.19,986.51,"1,407.00",861.00,2023-01-17
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,42.63,"1,020.00","1,029.00",990.00,996.00,"1,006.77","11,982.00","1,005.00","12,063,133.60",288,-9.0,39.0,-0.9,3.94,-1.08,980.66,986.15,"1,385.00",861.00,2023-01-18
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,41.19,996.00,"1,003.00",980.00,981.00,988.07,"12,991.00",996.00,"12,836,044.30",241,-15.0,23.0,-1.51,2.35,-0.72,980.75,985.46,"1,360.00",861.00,2023-01-19
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,39.76,998.90,998.90,978.00,985.00,987.71,"7,123.00",981.00,"7,035,429.20",161,4.0,20.9,0.41,2.14,-0.27,980.77,984.79,"1,360.00",861.00,2023-01-23
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,35.85,985.20,985.20,970.00,984.00,976.07,"5,491.00",985.00,"5,359,582.40",127,-1.0,15.2,-0.1,1.57,0.81,980.65,984.15,"1,356.60",861.00,2023-01-24
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,35.27,990.00,"1,004.90",990.00,992.00,996.34,"10,917.00",984.00,"10,877,094.30",209,8.0,14.9,0.81,1.51,-0.44,980.62,983.60,"1,326.00",861.00,2023-01-25
36,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,39.79,"1,008.00","1,009.00",981.00,984.00,991.35,"8,675.00",992.00,"8,599,981.10",188,-8.0,28.0,-0.81,2.85,-0.75,980.56,983.08,"1,325.00",861.00,2023-01-26
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,44.67,984.00,"1,220.00",976.00,981.10,"1,028.57","9,939.00",984.00,"10,222,988.00",139,-2.9,244.0,-0.29,25.0,-4.84,980.61,982.61,"1,325.00",861.00,2023-01-29
39,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,48.53,975.00,980.00,960.00,960.00,965.70,"12,105.00",981.10,"11,689,809.00",193,-21.1,20.0,-2.15,2.08,-0.59,980.17,982.14,"1,325.00",861.00,2023-01-30
36,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,41.86,955.00,955.00,940.00,942.00,945.54,"8,690.00",960.00,"8,216,721.80",201,-18.0,15.0,-1.88,1.6,-0.38,979.22,981.69,"1,325.00",861.00,2023-01-31
36,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,34.14,931.00,945.00,930.00,932.00,938.92,"5,152.00",942.00,"4,837,319.00",106,-10.0,15.0,-1.06,1.61,-0.74,978.35,981.21,"1,318.00",861.00,2023-02-01
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,36.08,932.00,939.00,920.00,920.00,927.16,"7,629.00",932.00,"7,073,320.90",170,-12.0,19.0,-1.29,2.07,-0.78,977.28,980.61,"1,318.00",861.00,2023-02-02
40,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,37.18,921.00,938.00,909.00,913.00,922.84,"8,727.00",920.00,"8,053,650.80",166,-7.0,29.0,-0.76,3.19,-1.08,976.14,979.81,"1,316.00",861.00,2023-02-05
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,38.82,901.80,958.00,901.80,958.00,939.39,"8,028.00",915.00,"7,541,429.70",230,43.0,56.2,4.7,6.23,1.94,974.12,978.04,"1,316.00",861.00,2023-02-07
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,51.93,946.00,959.90,945.10,954.00,949.52,"4,373.00",952.00,"4,152,258.80",108,2.0,14.8,0.21,1.57,0.47,972.28,976.84,"1,275.00",861.00,2023-02-09
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,46.78,935.90,940.00,915.00,920.00,924.61,"10,554.00",954.00,"9,758,298.50",211,-34.0,25.0,-3.56,2.73,-0.5,971.08,976.09,"1,236.90",861.00,2023-02-12
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,37.61,910.00,918.00,900.00,911.00,907.28,"7,916.00",920.00,"7,182,011.90",167,-9.00,18.0,-0.98,2.0,0.41,970.05,975.39,"1,236.90",861.00,2023-02-14
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,37.94,902.00,913.80,901.10,902.70,903.22,"7,680.00",903.00,"6,936,728.30",133,-0.30,12.70,-0.03,1.41,-0.06,968.31,974.05,"1,236.90",861.00,2023-02-16
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,40.28,891.00,905.00,880.10,885.00,895.70,"12,485.00",902.70,"11,182,755.10",250,-17.7,24.9,-1.96,2.83,-1.21,967.37,973.24,"1,215.00",861.00,2023-02-20
41,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,47.97,902.00,955.00,902.00,910.00,926.31,"17,713.00",885.00,"16,407,725.90",358,25.0,53.0,2.82,5.88,-1.79,966.80,972.50,"1,215.00",861.00,2023-02-22
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,37.62,893.00,893.00,819.00,819.00,843.89,"33,786.00",910.00,"28,511,700.50",721,-91.0,74.0,-10.0,9.04,-3.04,965.46,971.36,"1,215.00",819.00,2023-02-23
38,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,38.44,802.70,846.00,756.00,839.00,794.31,"20,907.00",819.00,"16,606,723.90",465,20.0,90.0,2.44,11.9,5.33,964.40,970.39,"1,199.00",756.00,2023-02-26
36,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,31.52,830.00,836.00,820.00,832.00,832.78,"6,568.00",829.90,"5,469,702.80",108,2.1,16.0,0.25,1.95,-0.09,961.96,968.62,"1,199.00",756.00,2023-02-28
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,42.04,833.00,833.00,817.00,818.00,821.05,"6,488.00",832.00,"5,327,001.10",152,-14.00,16.00,-1.68,1.96,-0.37,960.61,967.65,"1,199.00",756.00,2023-03-01
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,40.98,811.10,827.00,811.10,819.00,819.65,"20,946.00",818.00,"17,168,347.60",341,1.0,15.9,0.12,1.96,-0.08,959.25,966.78,"1,199.00",756.00,2023-03-02
