SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
36,DHPL,Dibyashwari Hydropower Company Limited,29.18,178.00,178.00,172.10,175.00,174.88,"4,473.00",179.00,"782,217.80",27,-4.0,5.9,-2.23,3.43,0.07,196.99,216.65,381.40,160.10,2022-12-07
36,DHPL,Dibyashwari Hydropower Company Limited,29.18,178.00,178.00,172.10,175.00,174.88,"4,473.00",179.00,"782,217.80",27,-4.0,5.9,-2.23,3.43,0.07,196.99,216.65,381.40,160.10,2022-12-09
38,DHPL,Dibyashwari Hydropower Company Limited,30.59,172.00,177.00,170.00,173.00,171.16,"5,878.00",175.00,"1,006,049.80",37,-2.0,7.0,-1.14,4.12,1.07,-,-,381.40,160.10,2022-12-11
38,DHPL,Dibyashwari Hydropower Company Limited,32.52,173.00,177.00,170.00,173.50,171.53,"5,370.00",173.00,"921,114.50",34,0.5,7.0,0.29,4.12,1.14,196.30,215.13,381.40,160.10,2022-12-12
39,DHPL,Dibyashwari Hydropower Company Limited,32.08,176.90,180.00,171.50,171.50,175.30,"1,318.00",173.50,"231,042.40",18,-2.0,8.5,-1.15,4.96,-2.21,196.05,214.37,381.40,160.10,2022-12-13
39,DHPL,Dibyashwari Hydropower Company Limited,26.98,173.00,175.00,173.00,175.00,174.93,"2,560.00",171.50,"447,821.20",19,3.5,2.0,2.04,1.16,0.04,195.97,213.60,381.40,160.10,2022-12-14
38,DHPL,Dibyashwari Hydropower Company Limited,30.01,171.60,173.00,170.00,171.00,171.45,"2,255.00",175.00,"386,625.50",21,-4.0,3.0,-2.29,1.76,-0.26,195.78,212.80,381.40,160.10,2022-12-15
39,DHPL,Dibyashwari Hydropower Company Limited,24.96,168.00,170.00,165.00,170.00,167.04,"5,239.00",171.00,"875,099.90",41,-1.0,5.0,-0.58,3.03,1.74,195.63,212.04,381.40,160.10,2022-12-18
39,DHPL,Dibyashwari Hydropower Company Limited,22.47,167.00,173.40,167.00,169.60,170.20,611.00,170.00,"103,994.60",14,-0.4,6.4,-0.24,3.83,-0.36,195.56,211.31,381.40,160.10,2022-12-19
39,DHPL,Dibyashwari Hydropower Company Limited,22.47,169.00,173.50,169.00,172.00,171.46,"1,597.00",169.60,"273,829.50",23,2.4,4.5,1.42,2.66,0.31,195.47,210.63,381.40,160.10,2022-12-20
