SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
37,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,38.75,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.9,0.0,1.98,0.0,0.43,-,-,355.00,177.70,2022-12-07
37,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,38.75,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.9,0.0,1.98,0.0,0.43,-,-,355.00,177.70,2022-12-09
39,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,40.16,362.10,376.60,362.10,376.60,368.56,36.00,355.00,"13,268.20",4,21.6,14.5,6.08,4.0,2.13,-,-,376.60,177.70,2022-12-11
39,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,41.18,384.10,399.50,384.10,399.50,391.77,30.00,376.60,"11,753.00",3,22.9,15.4,6.08,4.01,1.94,-,-,399.50,177.70,2022-12-12
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,39.31,407.40,407.40,407.40,407.40,407.40,10.00,399.50,"4,074.00",1,7.9,0.0,1.98,0.0,0.0,-,-,407.40,177.70,2022-12-13
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,33.66,415.50,440.80,415.50,440.80,428.08,40.00,407.40,"17,123.00",4,33.4,25.3,8.2,6.09,2.89,-,-,440.80,177.70,2022-12-14
39,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,37.75,440.80,458.50,440.80,458.50,449.63,30.00,440.80,"13,489.00",3,17.7,17.7,4.02,4.02,1.93,-,-,458.50,177.70,2022-12-15
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,34.67,467.60,496.10,467.60,496.10,479.68,43.00,458.50,"20,626.30",5,37.6,28.5,8.2,6.09,3.31,-,-,496.10,177.70,2022-12-18
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,39.3,506.00,545.70,506.00,545.70,526.22,50.00,496.10,"26,311.00",5,49.6,39.7,10.0,7.85,3.57,-,-,545.70,177.70,2022-12-19
40,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,39.3,556.60,600.20,556.60,600.20,576.63,57.00,545.70,"32,867.70",6,54.5,43.6,9.99,7.83,3.93,-,-,600.20,177.70,2022-12-20
