SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
39,EBL,Everest Bank Limited,33.26,446.00,453.00,446.00,450.00,448.83,"11,718.00",453.20,"5,259,423.60",82,-3.2,7.0,-0.71,1.57,0.26,485.25,490.78,640.00,411.00,2022-12-07
39,EBL,Everest Bank Limited,33.26,446.00,453.00,446.00,450.00,448.83,"11,718.00",453.20,"5,259,423.60",82,-3.2,7.0,-0.71,1.57,0.26,485.25,490.78,640.00,411.00,2022-12-07
39,EBL,Everest Bank Limited,33.26,446.00,453.00,446.00,450.00,448.83,"11,718.00",453.20,"5,259,423.60",82,-3.2,7.0,-0.71,1.57,0.26,485.25,490.78,640.00,411.00,2022-12-09
41,EBL,Everest Bank Limited,34.68,450.00,450.00,441.00,443.00,443.95,"20,126.00",450.00,"8,934,989.10",106,-7.0,9.0,-1.56,2.04,-0.22,-,-,640.00,411.00,2022-12-11
41,EBL,Everest Bank Limited,37.66,442.00,446.40,434.20,440.00,437.33,"21,106.00",443.00,"9,230,198.50",117,-3.0,12.2,-0.68,2.81,0.61,485.19,489.63,640.00,411.00,2022-12-12
42,EBL,Everest Bank Limited,38.67,448.70,457.70,438.00,445.00,443.07,"27,069.00",440.00,"11,993,453.50",105,5.0,19.7,1.14,4.5,0.43,485.24,489.11,640.00,411.00,2022-12-13
42,EBL,Everest Bank Limited,42.23,445.00,445.00,438.00,441.00,439.40,"7,192.00",445.00,"3,160,200.10",83,-4.0,7.0,-0.9,1.6,0.36,485.36,488.54,640.00,411.00,2022-12-14
41,EBL,Everest Bank Limited,33.16,438.00,438.00,423.00,430.00,429.70,"33,792.00",441.00,"14,520,576.80",196,-11.0,15.0,-2.49,3.55,0.07,485.18,487.89,640.00,411.00,2022-12-15
42,EBL,Everest Bank Limited,38.86,421.50,432.00,421.50,430.00,428.80,"8,622.00",430.00,"3,697,120.50",70,0.0,10.5,0.0,2.49,0.28,485.06,487.29,640.00,411.00,2022-12-18
42,EBL,Everest Bank Limited,40.53,431.00,437.80,425.10,430.00,428.83,"59,490.00",430.00,"25,510,956.80",93,0.0,12.7,0.0,2.99,0.27,485.00,486.71,640.00,411.00,2022-12-19
42,EBL,Everest Bank Limited,40.53,430.00,436.00,430.00,432.00,433.18,"15,066.00",430.00,"6,526,321.70",97,2.0,6.0,0.47,1.4,-0.27,484.98,486.16,640.00,411.00,2022-12-20
43,EBL,Everest Bank Limited,37.42,435.00,443.70,432.00,435.00,434.00,"11,352.00",432.00,"4,926,725.90",70,3.0,11.7,0.69,2.71,0.23,484.90,485.64,640.00,411.00,2022-12-21
41,EBL,Everest Bank Limited,38.17,435.00,437.00,427.20,435.90,428.82,"59,696.00",435.00,"25,599,106.70",65,0.9,9.8,0.21,2.29,1.62,484.88,485.15,640.00,411.00,2022-12-22
39,EBL,Everest Bank Limited,44.48,444.60,452.00,436.00,449.00,446.19,"21,372.00",435.90,"9,536,002.60",169,13.1,16.0,3.01,3.67,0.63,484.97,484.72,640.00,411.00,2022-12-26
42,EBL,Everest Bank Limited,45.26,457.90,478.30,457.70,476.90,469.68,"89,272.00",449.00,"41,929,003.40",340,27.9,20.60,6.21,4.5,1.51,485.25,484.47,640.00,411.00,2022-12-27
43,EBL,Everest Bank Limited,47.29,486.40,486.40,466.60,471.00,473.52,"8,889.00",476.90,"4,209,137.30",103,-5.9,19.8,-1.24,4.24,-0.54,485.37,484.19,640.00,411.00,2022-12-28
43,EBL,Everest Bank Limited,47.29,465.00,481.80,460.00,480.00,475.36,"38,611.00",471.00,"18,354,236.60",177,9.0,21.8,1.91,4.74,0.97,485.62,483.97,640.00,411.00,2022-12-29
45,EBL,Everest Bank Limited,56.35,485.00,500.00,472.90,477.00,484.88,"75,713.00",480.00,"36,711,902.20",359,-3.0,27.10,-0.63,5.73,-1.65,485.84,483.75,640.00,411.00,2023-01-01
43,EBL,Everest Bank Limited,56.35,470.00,492.50,468.00,490.00,484.50,"38,769.00",477.00,"18,783,637.80",173,13.0,24.5,2.73,5.24,1.12,486.15,483.60,640.00,411.00,2023-01-02
44,EBL,Everest Bank Limited,52.94,487.00,503.00,487.00,502.00,498.12,"65,666.00",490.00,"32,709,747.40",271,12.0,16.0,2.45,3.29,0.77,486.63,483.50,640.00,411.00,2023-01-03
44,EBL,Everest Bank Limited,61.0,509.90,520.00,501.00,520.00,510.73,"82,922.00",502.00,"42,350,445.60",306,18.0,19.0,3.59,3.79,1.78,487.26,483.55,640.00,411.00,2023-01-04
43,EBL,Everest Bank Limited,58.19,521.00,529.00,511.00,520.00,518.39,"58,167.00",520.00,"30,153,472.30",200,0.0,18.0,0.0,3.52,0.31,487.92,483.58,640.00,411.00,2023-01-05
45,EBL,Everest Bank Limited,59.39,515.00,531.00,514.90,522.50,524.41,"88,355.00",520.00,"46,334,587.90",291,2.50,16.10,0.48,3.13,-0.37,-,-,640.00,411.00,2023-01-08
42,EBL,Everest Bank Limited,55.02,522.00,532.90,516.00,528.00,528.03,"79,213.00",522.50,"41,826,941.70",211,5.5,16.9,1.05,3.28,-0.01,489.60,483.69,640.00,411.00,2023-01-09
41,EBL,Everest Bank Limited,48.3,535.00,558.90,515.00,519.00,532.14,"64,340.00",528.00,"34,237,998.20",317,-9.0,43.9,-1.7,8.52,-2.53,490.49,483.76,640.00,411.00,2023-01-10
41,EBL,Everest Bank Limited,48.33,529.00,535.00,502.00,507.00,514.81,"72,380.00",519.00,"37,262,062.80",254,-12.0,33.0,-2.31,6.57,-1.54,491.15,483.76,640.00,411.00,2023-01-12
42,EBL,Everest Bank Limited,45.92,507.00,515.00,501.00,512.10,508.69,"21,923.00",507.00,"11,151,985.60",173,5.1,14.0,1.01,2.79,0.67,491.85,483.81,640.00,411.00,2023-01-17
42,EBL,Everest Bank Limited,43.05,519.00,520.00,507.00,510.00,511.97,"15,164.00",512.10,"7,763,517.20",115,-2.1,13.0,-0.41,2.56,-0.39,492.44,483.86,640.00,411.00,2023-01-18
42,EBL,Everest Bank Limited,39.85,510.00,536.00,507.10,518.00,515.74,"33,985.00",510.00,"17,527,479.80",179,8.0,28.9,1.57,5.7,0.44,493.03,483.91,632.00,411.00,2023-01-19
43,EBL,Everest Bank Limited,42.57,528.30,547.90,528.30,538.00,540.34,"185,572.00",518.00,"100,271,577.80",805,20.0,19.6,3.86,3.71,-0.43,493.81,484.05,612.00,411.00,2023-01-23
43,EBL,Everest Bank Limited,51.81,540.00,548.70,528.50,533.00,534.10,"44,859.00",538.00,"23,959,233.90",206,-5.0,20.2,-0.93,3.82,-0.21,494.43,484.20,604.00,411.00,2023-01-24
41,EBL,Everest Bank Limited,46.57,535.00,536.00,527.00,530.00,530.21,"25,755.00",533.00,"13,655,532.60",186,-3.0,9.0,-0.56,1.71,-0.04,495.02,484.32,604.00,411.00,2023-01-25
40,EBL,Everest Bank Limited,46.36,528.00,530.00,518.70,518.70,521.02,"31,997.00",530.00,"16,671,198.80",214,-11.3,11.3,-2.13,2.18,-0.45,495.52,484.38,604.00,411.00,2023-01-26
43,EBL,Everest Bank Limited,43.07,519.00,525.00,512.20,518.00,517.10,"25,712.00",518.70,"13,295,792.50",167,-0.7,12.8,-0.13,2.5,0.17,496.05,484.47,604.00,411.00,2023-01-29
43,EBL,Everest Bank Limited,38.21,516.00,516.00,505.10,505.10,510.60,"29,694.00",518.00,"15,161,629.10",221,-12.9,10.9,-2.49,2.16,-1.09,496.35,484.53,604.00,411.00,2023-01-30
40,EBL,Everest Bank Limited,36.43,500.10,509.90,500.10,504.00,504.34,"20,379.00",505.10,"10,278,004.80",152,-1.1,9.8,-0.22,1.96,-0.07,496.48,484.58,601.00,411.00,2023-01-31
40,EBL,Everest Bank Limited,33.68,501.00,513.00,501.00,504.00,506.84,"13,192.00",504.00,"6,686,276.70",118,0.0,12.0,0.0,2.4,-0.56,496.75,484.63,601.00,411.00,2023-02-01
42,EBL,Everest Bank Limited,34.28,508.00,520.00,506.50,507.00,512.89,"46,722.00",504.00,"23,963,167.30",214,3.0,13.5,0.6,2.67,-1.16,496.98,484.67,601.00,411.00,2023-02-02
44,EBL,Everest Bank Limited,44.69,510.00,519.00,510.00,514.40,515.01,"33,740.00",507.00,"17,376,284.50",169,7.4,9.0,1.46,1.76,-0.12,497.17,484.75,601.00,411.00,2023-02-05
41,EBL,Everest Bank Limited,50.55,520.00,545.00,516.00,539.90,535.96,"68,851.00",521.00,"36,901,180.50",345,18.9,29.0,3.63,5.62,0.73,497.46,485.01,601.00,411.00,2023-02-07
41,EBL,Everest Bank Limited,60.09,546.00,552.00,539.00,550.00,546.13,"61,945.00",546.00,"33,830,289.40",282,4.0,13.0,0.73,2.41,0.7,497.88,485.61,601.00,411.00,2023-02-09
42,EBL,Everest Bank Limited,52.88,548.00,548.00,530.00,532.00,535.79,"72,854.00",550.00,"39,034,632.80",291,-18.0,18.0,-3.27,3.4,-0.71,498.07,485.82,601.00,411.00,2023-02-12
42,EBL,Everest Bank Limited,32.56,524.00,532.00,524.00,526.90,527.36,"29,599.00",532.00,"15,609,408.80",168,-5.10,8.0,-0.96,1.53,-0.09,498.30,486.02,601.00,411.00,2023-02-14
42,EBL,Everest Bank Limited,32.49,517.10,522.00,516.20,517.00,518.89,"26,769.00",524.00,"13,890,086.40",162,-7.00,5.80,-1.34,1.12,-0.36,498.68,486.35,601.00,411.00,2023-02-16
41,EBL,Everest Bank Limited,26.52,520.00,520.00,508.20,513.00,511.70,"15,510.00",517.00,"7,936,439.40",128,-4.0,11.8,-0.77,2.32,0.25,498.71,486.45,601.00,411.00,2023-02-20
45,EBL,Everest Bank Limited,27.29,514.00,522.00,513.00,520.00,517.25,"16,273.00",513.00,"8,417,167.20",117,7.0,9.0,1.36,1.75,0.53,498.86,486.60,601.00,411.00,2023-02-22
42,EBL,Everest Bank Limited,32.61,511.60,514.50,508.00,511.00,510.68,"34,849.00",520.00,"17,796,708.10",200,-9.0,6.5,-1.73,1.28,0.06,498.94,486.72,594.90,411.00,2023-02-23
42,EBL,Everest Bank Limited,39.78,502.00,514.40,502.00,512.00,506.23,"41,280.00",511.00,"20,897,117.60",363,1.0,12.4,0.2,2.47,1.13,499.04,486.88,570.00,411.00,2023-02-26
40,EBL,Everest Bank Limited,25.73,519.90,519.90,508.00,516.00,513.25,"19,371.00",512.00,"9,942,152.30",136,4.0,11.9,0.78,2.34,0.53,499.26,487.25,570.00,411.00,2023-02-28
41,EBL,Everest Bank Limited,35.0,506.30,515.00,506.30,509.00,509.19,"15,985.00",516.00,"8,139,466.40",143,-7.00,8.70,-1.36,1.72,-0.04,499.31,487.45,561.00,411.00,2023-03-01
41,EBL,Everest Bank Limited,25.65,505.00,510.00,500.00,503.00,502.38,"26,744.00",509.00,"13,435,697.70",197,-6.0,10.0,-1.18,2.0,0.12,499.29,487.67,561.00,411.00,2023-03-02
42,EBL,Everest Bank Limited,26.57,505.00,505.10,495.10,500.00,499.05,"23,016.00",503.00,"11,486,136.60",187,-3.0,10.0,-0.6,2.02,0.19,499.20,487.87,561.00,411.00,2023-03-05
40,EBL,Everest Bank Limited,27.29,500.00,509.00,499.00,505.50,504.07,"25,805.00",500.00,"13,007,424.50",145,5.5,10.0,1.1,2.0,0.28,499.12,488.18,561.00,411.00,2023-03-07
40,EBL,Everest Bank Limited,46.62,513.00,520.00,508.00,520.00,512.73,"34,599.00",505.50,"17,739,929.50",216,14.5,12.0,2.87,2.36,1.4,499.19,488.46,561.00,411.00,2023-03-09
40,EBL,Everest Bank Limited,39.83,520.00,520.00,505.00,509.90,511.46,"16,549.00",520.00,"8,464,155.80",144,-10.1,15.0,-1.94,2.97,-0.31,499.20,488.72,561.00,411.00,2023-03-12
40,EBL,Everest Bank Limited,45.13,502.00,511.90,497.10,511.90,503.61,"37,524.00",503.00,"18,897,461.40",197,8.9,14.8,1.77,2.98,1.62,499.17,489.28,561.00,411.00,2023-03-14
40,EBL,Everest Bank Limited,30.64,510.00,511.00,492.00,504.90,501.37,"18,853.00",511.90,"9,452,363.80",152,-7.00,19.0,-1.37,3.86,0.7,499.15,489.57,558.90,411.00,2023-03-15
38,EBL,Everest Bank Limited,36.83,500.00,506.00,498.10,501.10,501.32,"14,420.00",504.90,"7,229,027.60",113,-3.8,7.9,-0.75,1.59,-0.04,499.19,489.87,558.90,411.00,2023-03-16
38,EBL,Everest Bank Limited,40.18,505.00,506.00,500.00,505.00,502.96,"19,303.00",501.10,"9,708,560.60",133,3.9,6.0,0.78,1.2,0.4,499.25,490.20,558.90,411.00,2023-03-19
39,EBL,Everest Bank Limited,35.38,505.00,510.00,505.00,506.00,506.98,"20,767.00",505.00,"10,528,556.90",125,1.0,5.0,0.2,0.99,-0.19,499.31,490.54,558.90,411.00,2023-03-20
40,EBL,Everest Bank Limited,38.6,505.00,507.00,502.00,506.00,504.62,"14,478.00",506.00,"7,305,828.90",123,0.0,5.0,0.0,1.0,0.27,499.42,490.91,558.90,411.00,2023-03-22
40,EBL,Everest Bank Limited,38.6,502.10,504.00,496.10,497.10,499.48,"23,861.00",506.00,"11,918,047.80",172,-8.9,7.9,-1.76,1.59,-0.48,-,-,558.90,411.00,2023-03-23
41,EBL,Everest Bank Limited,30.06,494.00,504.50,490.00,490.00,497.23,"18,734.00",494.80,"9,315,173.00",149,-4.8,14.5,-0.97,2.96,-1.48,499.62,492.10,558.90,411.00,2023-03-28
40,EBL,Everest Bank Limited,33.77,499.60,499.60,490.00,491.00,492.20,"15,110.00",490.00,"7,437,198.80",123,1.0,9.6,0.2,1.96,-0.25,499.66,492.42,558.90,411.00,2023-03-29
39,EBL,Everest Bank Limited,41.41,499.00,499.00,489.60,495.00,492.13,"20,918.00",491.00,"10,294,364.10",134,4.0,9.4,0.81,1.92,0.58,499.72,492.70,558.90,411.00,2023-03-30
39,EBL,Everest Bank Limited,35.73,502.00,502.00,490.00,491.90,493.87,"20,715.00",495.00,"10,230,437.70",125,-3.1,12.0,-0.63,2.45,-0.4,499.76,493.00,558.90,411.00,2023-04-02
39,EBL,Everest Bank Limited,36.5,492.00,492.00,487.00,489.00,488.72,"12,749.00",491.90,"6,230,646.50",133,-2.9,5.0,-0.59,1.03,0.06,499.79,493.27,558.90,411.00,2023-04-03
41,EBL,Everest Bank Limited,33.03,486.00,490.00,481.00,485.00,484.35,"13,664.00",489.00,"6,618,187.20",113,-4.0,9.0,-0.82,1.87,0.13,499.83,493.51,558.90,411.00,2023-04-04
39,EBL,Everest Bank Limited,26.7,490.00,490.00,482.00,487.00,485.65,"8,657.00",485.00,"4,204,236.50",107,2.0,8.0,0.41,1.66,0.28,499.84,493.68,558.90,411.00,2023-04-05
41,EBL,Everest Bank Limited,33.49,494.00,494.00,485.00,487.90,486.49,"14,284.00",487.00,"6,948,962.60",116,0.9,9.0,0.18,1.86,0.29,499.74,493.89,558.90,411.00,2023-04-06
42,EBL,Everest Bank Limited,35.55,488.00,488.00,479.00,481.80,481.29,"23,690.00",487.90,"11,401,729.00",155,-6.1,9.0,-1.25,1.88,0.11,499.72,494.07,558.90,411.00,2023-04-09
40,EBL,Everest Bank Limited,36.31,490.00,490.00,480.60,481.00,484.33,"18,201.00",481.80,"8,815,303.30",126,-0.8,9.4,-0.17,1.96,-0.69,499.65,494.22,558.90,411.00,2023-04-10
39,EBL,Everest Bank Limited,35.34,490.00,490.00,481.00,483.00,482.95,"11,619.00",481.00,"5,611,387.20",112,2.00,9.00,0.42,1.87,0.01,499.66,494.43,558.90,411.00,2023-04-11
42,EBL,Everest Bank Limited,51.39,492.00,509.00,492.00,507.20,503.40,"20,280.00",483.00,"10,208,986.60",204,24.20,17.00,5.01,3.46,0.75,499.96,494.78,558.90,411.00,2023-04-12
40,EBL,Everest Bank Limited,48.1,516.00,517.00,500.10,508.00,508.58,"21,341.00",507.20,"10,853,655.80",182,0.8,16.90,0.16,3.38,-0.11,500.20,495.16,558.90,411.00,2023-04-13
41,EBL,Everest Bank Limited,48.1,512.00,514.00,501.00,514.00,510.08,"21,569.00",508.00,"11,001,934.00",147,6.0,13.0,1.18,2.59,0.76,500.51,495.60,558.90,411.00,2023-04-16
41,EBL,Everest Bank Limited,46.33,513.00,520.00,498.00,510.00,503.82,"21,198.00",513.90,"10,680,030.00",132,-3.9,22.0,-0.76,4.42,1.21,501.05,496.69,558.90,411.00,2023-04-18
40,EBL,Everest Bank Limited,47.16,520.00,520.00,507.00,511.50,509.57,"6,125.00",510.00,"3,121,087.70",64,1.5,13.0,0.29,2.56,0.38,501.34,497.16,558.90,411.00,2023-04-19
