SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
42,EBLD86,8.5% Everest Bank Debenture,43.01,745.00,748.00,745.00,748.00,745.66,125.00,746.00,"93,207.50",5,2.0,3.0,0.27,0.4,0.31,-,-,"1,000.00",737.00,2022-12-11
42,EBLD86,8.5% Everest Bank Debenture,44.75,762.90,762.90,762.90,762.90,762.90,25.00,748.00,"19,072.50",2,14.9,0.0,1.99,0.0,0.0,-,-,"1,000.00",737.00,2022-12-12
42,EBLD86,8.5% Everest Bank Debenture,41.8,763.00,763.00,763.00,763.00,763.00,35.00,762.90,"26,705.00",1,0.1,0.0,0.01,0.0,0.0,-,-,"1,000.00",737.00,2022-12-15
43,EBLD86,8.5% Everest Bank Debenture,43.09,755.10,755.10,755.00,755.00,755.01,100.00,763.00,"75,501.00",2,-8.0,0.1,-1.05,0.01,0.0,-,-,"1,000.00",737.00,2022-12-18
43,EBLD86,8.5% Everest Bank Debenture,34.71,755.10,755.10,741.10,741.10,750.37,216.00,755.00,"162,079.70",8,-13.9,14.0,-1.84,1.89,-1.25,-,-,"1,000.00",737.00,2022-12-19
43,EBLD86,8.5% Everest Bank Debenture,34.71,742.20,743.10,742.20,743.10,742.65,50.00,741.10,"37,132.50",2,2.0,0.9,0.27,0.12,0.06,-,-,"1,000.00",737.00,2022-12-20
43,EBLD86,8.5% Everest Bank Debenture,29.59,741.30,741.30,741.30,741.30,741.30,25.00,743.10,"18,532.50",1,-1.8,0.00,-0.24,0.0,0.0,-,-,"1,000.00",737.00,2022-12-27
44,EBLD86,8.5% Everest Bank Debenture,33.45,740.30,750.00,740.30,750.00,745.15,50.00,741.30,"37,257.50",2,8.7,9.7,1.17,1.31,0.65,-,-,"1,000.00",737.00,2022-12-28
44,EBLD86,8.5% Everest Bank Debenture,33.45,740.00,740.00,736.00,736.00,738.34,90.00,750.00,"66,451.00",4,-14.0,4.0,-1.87,0.54,-0.32,-,-,"1,000.00",736.00,2022-12-29
46,EBLD86,8.5% Everest Bank Debenture,46.89,745.60,745.60,745.60,745.60,745.60,25.00,736.00,"18,640.00",1,9.6,0.00,1.3,0.0,0.0,-,-,"1,000.00",736.00,2023-01-01
45,EBLD86,8.5% Everest Bank Debenture,52.07,745.30,745.30,745.00,745.00,745.12,150.00,745.60,"111,768.30",5,-0.6,0.3,-0.08,0.04,-0.02,-,-,"1,000.00",736.00,2023-01-04
46,EBLD86,8.5% Everest Bank Debenture,62.66,759.90,759.90,759.90,759.90,759.90,15.00,745.00,"11,398.50",1,14.90,0.00,2.0,0.0,0.0,-,-,"1,000.00",736.00,2023-01-08
43,EBLD86,8.5% Everest Bank Debenture,65.27,770.00,775.00,770.00,775.00,772.08,240.00,759.90,"185,300.00",2,15.1,5.0,1.99,0.65,0.38,-,-,"1,000.00",736.00,2023-01-09
