SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
43,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,31.52,"2,580.00","2,630.00","2,580.00","2,610.00","2,605.19","1,201.00","2,610.00","3,128,829.40",61,0.0,50.0,0.0,1.94,0.18,"2,558.98","2,470.28","2,950.00","2,000.00",2022-12-07
43,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,31.52,"2,580.00","2,630.00","2,580.00","2,610.00","2,605.19","1,201.00","2,610.00","3,128,829.40",61,0.0,50.0,0.0,1.94,0.18,"2,558.98","2,470.28","2,950.00","2,000.00",2022-12-09
46,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,32.94,"2,640.00","2,640.00","2,578.00","2,578.00","2,596.49","3,330.00","2,610.00","8,646,322.80",129,-32.0,62.0,-1.23,2.4,-0.72,-,-,"2,950.00","2,000.00",2022-12-11
46,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,36.86,"2,626.00","2,679.50","2,575.00","2,614.00","2,597.35","1,743.00","2,578.00","4,527,174.40",78,36.0,104.5,1.4,4.06,0.64,"2,563.65","2,473.56","2,950.00","2,000.00",2022-12-12
46,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,41.32,"2,639.00","2,639.00","2,581.00","2,595.00","2,600.26",955.00,"2,614.00","2,483,248.50",32,-19.0,58.0,-0.73,2.25,-0.2,"2,566.15","2,475.25","2,950.00","2,000.00",2022-12-13
47,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25.31,"2,595.00","2,615.00","2,580.00","2,599.00","2,586.06","1,652.00","2,595.00","4,272,170.60",54,4.0,35.0,0.15,1.36,0.5,"2,568.91","2,476.83","2,950.00","2,000.00",2022-12-14
47,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25.8,"2,580.00","2,600.00","2,550.00","2,555.00","2,566.25","3,837.00","2,599.00","9,846,710.60",117,-44.0,50.0,-1.69,1.96,-0.44,"2,571.06","2,478.07","2,950.00","2,000.00",2022-12-15
48,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,35.38,"2,555.10","2,565.00","2,527.00","2,527.00","2,542.59","3,068.00","2,555.00","7,800,654.30",97,-28.0,38.0,-1.1,1.5,-0.62,"2,572.82","2,479.32","2,950.00","2,000.00",2022-12-18
48,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,32.82,"2,480.00","2,490.00","2,355.10","2,356.10","2,385.92","23,028.00","2,527.00","54,942,981.50",645,-170.9,134.9,-6.76,5.73,-1.27,"2,573.72","2,479.64","2,950.00","2,000.00",2022-12-19
48,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,32.82,"2,341.00","2,341.00","2,280.00","2,297.00","2,298.59","12,277.00","2,356.10","28,219,818.70",423,-59.1,61.0,-2.51,2.68,-0.07,"2,574.13","2,479.79","2,950.00","2,000.00",2022-12-20
