SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
45,GBIME,Global IME Bank Limited,37.34,240.00,240.00,220.00,221.40,223.50,"143,676.00",244.08,"32,112,235.00","1,096",-22.68,20.0,-9.29,9.09,-0.95,312.45,335.07,375.00,220.00,2022-12-07
45,GBIME,Global IME Bank Limited,37.34,240.00,240.00,220.00,221.40,223.50,"143,676.00",244.08,"32,112,235.00","1,096",-22.68,20.0,-9.29,9.09,-0.95,312.45,335.07,375.00,220.00,2022-12-09
49,GBIME,Global IME Bank Limited,38.75,221.00,221.00,213.70,214.20,215.40,"89,079.00",221.40,"19,187,789.20",643,-7.2,7.3,-3.25,3.42,-0.56,-,-,375.00,213.70,2022-12-11
48,GBIME,Global IME Bank Limited,35.1,214.20,214.20,206.00,214.00,209.79,"97,560.00",214.20,"20,467,470.00",574,-0.2,8.2,-0.09,3.98,1.97,311.07,332.58,375.00,206.00,2022-12-12
48,GBIME,Global IME Bank Limited,35.91,214.00,214.50,209.00,212.00,211.04,"26,556.00",214.00,"5,604,449.00",283,-2.0,5.5,-0.93,2.63,0.45,310.36,331.30,375.00,206.00,2022-12-13
49,GBIME,Global IME Bank Limited,33.21,212.90,213.00,207.50,208.00,208.49,"37,002.00",212.00,"7,714,482.60",311,-4.0,5.5,-1.89,2.65,-0.23,309.64,330.02,375.00,206.00,2022-12-14
50,GBIME,Global IME Bank Limited,37.5,208.00,208.90,205.00,205.50,206.45,"42,309.00",208.00,"8,734,766.50",348,-2.5,3.9,-1.2,1.9,-0.46,308.87,328.75,375.00,205.00,2022-12-15
50,GBIME,Global IME Bank Limited,37.46,205.50,205.50,200.00,202.00,201.75,"66,218.00",205.50,"13,359,602.30",447,-3.5,5.5,-1.7,2.75,0.12,308.04,327.51,375.00,200.00,2022-12-18
50,GBIME,Global IME Bank Limited,39.87,202.00,202.00,197.50,198.60,198.88,"70,195.00",202.00,"13,960,702.20",430,-3.4,4.5,-1.68,2.28,-0.14,307.17,326.33,375.00,197.50,2022-12-19
51,GBIME,Global IME Bank Limited,39.87,200.00,201.00,197.10,200.00,199.65,"31,289.00",198.60,"6,246,748.20",311,1.4,3.9,0.7,1.98,0.18,306.28,325.15,375.00,197.10,2022-12-20
52,GBIME,Global IME Bank Limited,37.56,201.00,201.00,197.10,198.50,199.43,"25,652.00",200.00,"5,115,761.50",259,-1.5,3.9,-0.75,1.98,-0.47,305.42,323.87,375.00,197.10,2022-12-21
50,GBIME,Global IME Bank Limited,35.79,201.40,201.40,198.00,198.50,198.46,"33,057.00",198.50,"6,560,404.30",271,0.0,3.4,0.0,1.72,0.02,304.59,322.52,375.00,197.10,2022-12-22
49,GBIME,Global IME Bank Limited,36.63,201.40,207.90,200.10,207.00,203.76,"51,530.00",198.50,"10,499,940.40",414,8.5,7.8,4.28,3.9,1.56,303.82,321.24,375.00,197.10,2022-12-26
52,GBIME,Global IME Bank Limited,44.63,210.10,216.00,210.00,214.00,213.43,"103,327.00",207.00,"22,053,341.70",709,7.0,6.00,3.38,2.86,0.27,303.11,320.07,375.00,197.10,2022-12-27
53,GBIME,Global IME Bank Limited,47.59,216.00,217.00,209.00,209.90,212.36,"37,458.00",214.00,"7,954,471.80",346,-4.1,8.0,-1.92,3.83,-1.17,302.35,318.97,375.00,197.10,2022-12-28
52,GBIME,Global IME Bank Limited,47.59,211.00,213.90,207.60,213.90,209.94,"114,945.00",209.90,"24,130,991.50",414,4.0,6.3,1.91,3.03,1.85,301.42,317.87,375.00,197.10,2022-12-29
55,GBIME,Global IME Bank Limited,48.74,210.10,217.70,210.10,212.50,214.92,"59,062.00",213.90,"12,693,550.20",517,-1.4,7.60,-0.65,3.62,-1.14,300.52,316.79,375.00,197.10,2023-01-01
51,GBIME,Global IME Bank Limited,48.74,212.50,216.00,210.00,212.00,212.52,"35,977.00",212.50,"7,645,966.90",332,-0.5,6.0,-0.24,2.86,-0.25,299.54,315.73,375.00,197.10,2023-01-02
