SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
49,GBIMEP,Global IME Bank Limited Promoter Share,42.85,121.00,121.00,121.00,121.00,121.00,"30,000.00",121.00,"3,630,000.00",1,0.0,0.0,0.0,0.0,0.0,159.13,177.14,165.00,121.00,2022-12-12
50,GBIMEP,Global IME Bank Limited Promoter Share,30.35,121.00,121.00,121.00,121.00,121.00,"27,298.00",121.00,"3,303,058.00",1,0.0,0.0,0.0,0.0,0.0,158.70,177.09,165.00,121.00,2022-12-14
51,GBIMEP,Global IME Bank Limited Promoter Share,26.91,121.00,121.00,121.00,121.00,121.00,"36,957.00",121.00,"4,471,797.00",2,0.0,0.0,0.0,0.0,0.0,158.26,177.04,165.00,121.00,2022-12-15
51,GBIMEP,Global IME Bank Limited Promoter Share,28.24,123.40,123.40,121.00,121.00,121.74,"48,795.00",121.00,"5,940,298.20",3,0.0,2.4,0.0,1.98,-0.61,157.80,176.99,165.00,121.00,2022-12-18
51,GBIMEP,Global IME Bank Limited Promoter Share,38.39,121.00,121.00,121.00,121.00,121.00,"9,622.00",121.00,"1,164,262.00",3,0.0,0.0,0.0,0.0,0.0,157.35,176.94,165.00,121.00,2022-12-19
51,GBIMEP,Global IME Bank Limited Promoter Share,44.18,112.00,112.00,112.00,112.00,112.00,"163,114.00",110.00,"18,268,768.00",1,2.00,0.00,1.82,0.0,0.0,156.81,176.84,165.00,112.00,2023-03-01
50,GBIMEP,Global IME Bank Limited Promoter Share,39.21,114.00,114.00,114.00,114.00,114.00,"50,000.00",112.00,"5,700,000.00",1,2.0,0.0,1.79,0.0,0.0,156.27,176.74,165.00,112.00,2023-03-14
50,GBIMEP,Global IME Bank Limited Promoter Share,39.58,114.00,114.00,114.00,114.00,114.00,"105,152.00",114.00,"11,987,328.00",1,0.0,0.0,0.0,0.0,0.0,155.19,176.54,165.00,112.00,2023-03-29
48,GBIMEP,Global IME Bank Limited Promoter Share,41.77,114.00,114.00,114.00,114.00,114.00,"105,152.00",114.00,"11,987,328.00",1,0.0,0.0,0.0,0.0,0.0,154.64,176.44,165.00,112.00,2023-03-30
53,GBIMEP,Global IME Bank Limited Promoter Share,42.91,114.00,114.00,114.00,114.00,114.00,"223,437.00",114.00,"25,471,818.00",1,0.0,0.0,0.0,0.0,0.0,154.09,176.34,165.00,112.00,2023-04-09
50,GBIMEP,Global IME Bank Limited Promoter Share,53.81,114.00,114.00,114.00,114.00,114.00,"6,110.00",114.00,"696,540.00",1,0.0,0.00,0.0,0.0,0.0,153.54,176.24,165.00,112.00,2023-04-20
52,GBIMEP,Global IME Bank Limited Promoter Share,39.55,114.00,114.00,114.00,114.00,114.00,"37,000.00",114.00,"4,218,000.00",1,0.0,0.0,0.0,0.0,0.0,153.01,175.59,165.00,112.00,2023-04-24
50,GBIMEP,Global IME Bank Limited Promoter Share,43.55,114.00,114.00,114.00,114.00,114.00,"129,480.00",114.00,"14,760,720.00",4,0.0,0.0,0.0,0.0,0.0,152.51,174.92,161.70,112.00,2023-05-09
49,GBIMEP,Global IME Bank Limited Promoter Share,45.62,114.00,114.00,114.00,114.00,114.00,"237,586.00",114.00,"27,084,804.00",2,0.0,0.0,0.0,0.0,0.0,152.01,174.26,161.70,112.00,2023-05-11
54,GBIMEP,Global IME Bank Limited Promoter Share,32.68,112.00,112.00,110.00,110.00,110.58,"17,134.00",114.00,"1,894,740.00",3,-4.0,2.0,-3.51,1.82,-0.53,151.48,173.61,161.70,110.00,2023-05-15
50,GBIMEP,Global IME Bank Limited Promoter Share,37.46,107.80,107.80,107.00,107.00,107.74,"25,367.00",110.00,"2,732,913.80",2,-3.0,0.8,-2.73,0.75,-0.69,150.39,172.24,161.70,107.00,2023-05-18
56,GBIMEP,Global IME Bank Limited Promoter Share,33.97,107.00,107.00,107.00,107.00,107.00,"10,000.00",107.00,"1,070,000.00",1,0.00,0.00,0.0,0.0,0.0,149.83,171.44,161.70,107.00,2023-05-21
52,GBIMEP,Global IME Bank Limited Promoter Share,34.95,107.00,107.00,107.00,107.00,107.00,"54,708.00",107.00,"5,853,756.00",5,0.00,0.00,0.0,0.0,0.0,149.27,170.65,161.70,107.00,2023-05-23
52,GBIMEP,Global IME Bank Limited Promoter Share,39.51,107.00,107.00,107.00,107.00,107.00,"20,506.00",107.00,"2,194,142.00",1,0.00,0.00,0.0,0.0,0.0,148.71,169.85,161.70,107.00,2023-05-24
