SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
50,GILB,Global IME Laghubitta Bittiya Sanstha Limited,34.17,"1,137.00","1,150.00","1,137.00","1,150.00","1,145.33",190.00,"1,140.00","217,613.50",15,10.0,13.0,0.88,1.14,0.41,"1,250.76","1,300.63","1,894.00","1,115.00",2022-12-07
50,GILB,Global IME Laghubitta Bittiya Sanstha Limited,34.17,"1,137.00","1,150.00","1,137.00","1,150.00","1,145.33",190.00,"1,140.00","217,613.50",15,10.0,13.0,0.88,1.14,0.41,"1,250.76","1,300.63","1,894.00","1,115.00",2022-12-09
54,GILB,Global IME Laghubitta Bittiya Sanstha Limited,35.59,"1,130.00","1,140.00","1,118.00","1,140.00","1,129.90",651.00,"1,150.00","735,563.50",23,-10.0,22.0,-0.87,1.97,0.89,-,-,"1,894.00","1,115.00",2022-12-11
54,GILB,Global IME Laghubitta Bittiya Sanstha Limited,38.23,"1,140.00","1,140.00","1,128.00","1,129.00","1,130.17","1,238.00","1,140.00","1,399,149.00",25,-11.0,12.0,-0.96,1.06,-0.1,"1,249.75","1,295.40","1,894.00","1,115.00",2022-12-12
53,GILB,Global IME Laghubitta Bittiya Sanstha Limited,38.44,"1,150.00","1,150.00","1,127.00","1,135.00","1,136.63",557.00,"1,129.00","633,105.00",16,6.0,23.0,0.53,2.04,-0.14,"1,249.32","1,292.70","1,894.00","1,115.00",2022-12-13
55,GILB,Global IME Laghubitta Bittiya Sanstha Limited,36.48,"1,126.10","1,140.00","1,126.00","1,140.00","1,135.96",863.00,"1,135.00","980,329.50",23,5.0,14.0,0.44,1.24,0.35,"1,249.22","1,290.09","1,894.00","1,115.00",2022-12-14
56,GILB,Global IME Laghubitta Bittiya Sanstha Limited,28.65,"1,125.00","1,160.00","1,125.00","1,140.00","1,145.75",463.00,"1,140.00","530,482.00",22,0.0,35.0,0.0,3.11,-0.5,"1,248.89","1,287.52","1,894.00","1,115.00",2022-12-15
56,GILB,Global IME Laghubitta Bittiya Sanstha Limited,37.59,"1,121.10","1,130.00","1,118.00","1,118.00","1,123.04","1,004.00","1,140.00","1,127,530.50",41,-22.0,12.0,-1.93,1.07,-0.45,"1,248.29","1,284.69","1,894.00","1,115.00",2022-12-18
56,GILB,Global IME Laghubitta Bittiya Sanstha Limited,38.45,"1,112.00","1,140.00","1,112.00","1,140.00","1,120.02","1,062.00","1,118.00","1,189,458.00",14,22.0,28.0,1.97,2.52,1.75,"1,248.12","1,282.05","1,894.00","1,112.00",2022-12-19
56,GILB,Global IME Laghubitta Bittiya Sanstha Limited,38.45,"1,118.00","1,140.40","1,118.00","1,127.00","1,122.88",610.00,"1,140.00","684,957.50",26,-13.0,22.4,-1.14,2.0,0.37,"1,247.84","1,279.47","1,894.00","1,112.00",2022-12-20
57,GILB,Global IME Laghubitta Bittiya Sanstha Limited,27.88,"1,130.00","1,130.00","1,117.10","1,117.40","1,123.05",518.00,"1,127.00","581,738.40",14,-9.6,12.9,-0.85,1.15,-0.51,"1,246.74","1,276.88","1,894.00","1,112.00",2022-12-21
