SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
52,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,36.75,780.10,790.00,780.10,781.00,783.11,97.00,791.00,"75,961.50",6,-10.0,9.9,-1.26,1.27,-0.27,953.34,"1,028.97","1,509.60",766.00,2022-12-07
52,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,36.75,780.10,790.00,780.10,781.00,783.11,97.00,791.00,"75,961.50",6,-10.0,9.9,-1.26,1.27,-0.27,953.34,"1,028.97","1,509.60",766.00,2022-12-09
56,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,38.16,780.00,780.00,771.10,771.10,772.89,258.00,781.00,"199,405.00",6,-9.9,8.9,-1.27,1.15,-0.23,-,-,"1,509.60",766.00,2022-12-11
56,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,38.01,786.50,786.50,770.00,772.00,773.97,188.00,771.10,"145,507.00",7,0.9,16.5,0.12,2.14,-0.26,949.58,"1,023.05","1,509.60",766.00,2022-12-12
55,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,36.63,776.00,787.00,776.00,787.00,780.29,82.00,772.00,"63,984.00",4,15.0,11.0,1.94,1.42,0.85,947.88,"1,019.91","1,509.60",766.00,2022-12-13
57,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,34.53,802.00,802.00,766.10,776.00,778.43,557.00,787.00,"433,588.20",21,-11.0,35.9,-1.4,4.69,-0.31,945.76,"1,016.97","1,509.60",766.00,2022-12-14
58,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,33.16,762.00,776.00,762.00,767.00,763.42,266.00,776.00,"203,070.00",8,-9.0,14.0,-1.16,1.84,0.47,943.41,"1,014.09","1,509.60",762.00,2022-12-15
58,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,40.5,753.00,760.00,751.70,751.70,752.58,372.00,767.00,"279,959.40",10,-15.3,8.3,-1.99,1.1,-0.12,940.78,"1,011.02","1,509.60",751.70,2022-12-18
58,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,33.24,740.00,740.00,738.10,738.20,739.10,419.00,751.70,"309,682.30",9,-13.5,1.9,-1.8,0.26,-0.12,938.56,"1,007.73","1,509.60",738.10,2022-12-19
58,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,33.24,738.00,752.70,738.00,739.10,743.44,128.00,738.20,"95,160.60",5,0.9,14.7,0.12,1.99,-0.59,936.06,"1,004.39","1,509.60",738.00,2022-12-20
57,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,27.87,738.00,767.00,738.00,767.00,751.34,146.00,739.10,"109,696.00",6,27.9,29.0,3.77,3.93,2.04,934.08,"1,001.10","1,509.60",738.00,2022-12-22
56,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,39.51,775.00,790.00,775.00,790.00,788.88,368.00,767.00,"290,308.90",7,23.0,15.0,3.0,1.94,0.14,932.18,998.16,"1,509.60",738.00,2022-12-26
59,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,49.75,790.10,810.00,790.00,810.00,798.27,577.00,790.00,"460,599.10",17,20.0,20.00,2.53,2.53,1.45,930.22,995.44,"1,509.60",738.00,2022-12-27
60,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,50.61,812.00,812.00,794.00,794.00,799.89,280.00,810.00,"223,969.00",10,-16.0,18.0,-1.98,2.27,-0.74,927.88,992.71,"1,509.60",738.00,2022-12-28
59,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,50.61,785.00,841.50,785.00,841.50,821.19,482.00,794.00,"395,813.00",12,47.5,56.5,5.98,7.2,2.41,926.43,990.35,"1,509.60",738.00,2022-12-29
62,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,56.35,826.00,831.00,826.00,826.00,828.97,"1,457.00",841.50,"1,207,811.00",18,-15.5,5.00,-1.84,0.61,-0.36,925.01,987.76,"1,509.60",738.00,2023-01-01
58,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,56.35,826.00,835.00,810.00,812.00,827.67,308.00,826.00,"254,922.00",10,-14.0,25.0,-1.69,3.09,-1.93,923.24,985.17,"1,509.60",738.00,2023-01-02
60,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,41.22,828.00,849.00,824.10,832.20,839.02,"1,325.00",812.00,"1,111,704.70",51,20.2,24.9,2.49,3.02,-0.82,921.84,982.77,"1,509.60",738.00,2023-01-03
60,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,61.53,800.00,871.90,800.00,871.90,833.85,"1,593.00",800.19,"1,328,316.80",30,71.71,71.9,8.96,8.99,4.36,920.83,980.56,"1,509.60",738.00,2023-01-04
59,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,60.33,859.00,927.00,856.00,925.90,885.82,"1,168.00",871.90,"1,034,637.60",37,54.0,71.0,6.19,8.29,4.33,919.88,978.73,"1,509.60",738.00,2023-01-05
