SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
53,GLH,Greenlife Hydropower Limited,24.33,248.80,258.70,235.40,241.00,240.28,"3,023.00",244.00,"726,379.50",51,-3.0,23.3,-1.23,9.9,0.3,286.81,326.84,527.30,219.00,2022-12-07
53,GLH,Greenlife Hydropower Limited,24.33,248.80,258.70,235.40,241.00,240.28,"3,023.00",244.00,"726,379.50",51,-3.0,23.3,-1.23,9.9,0.3,286.81,326.84,527.30,219.00,2022-12-07
53,GLH,Greenlife Hydropower Limited,24.33,248.80,258.70,235.40,241.00,240.28,"3,023.00",244.00,"726,379.50",51,-3.0,23.3,-1.23,9.9,0.3,286.81,326.84,527.30,219.00,2022-12-09
57,GLH,Greenlife Hydropower Limited,25.74,236.80,244.00,233.40,240.70,237.38,"2,540.00",241.00,"602,951.10",87,-0.3,10.6,-0.12,4.54,1.38,-,-,527.30,219.00,2022-12-11
57,GLH,Greenlife Hydropower Limited,29.29,236.00,243.00,235.00,243.00,239.13,"3,336.00",240.70,"797,737.00",51,2.3,8.0,0.96,3.4,1.59,285.04,324.37,527.30,219.00,2022-12-12
56,GLH,Greenlife Hydropower Limited,30.8,243.00,243.00,233.50,240.00,236.42,864.00,243.00,"204,270.60",34,-3.0,9.5,-1.23,4.07,1.49,284.19,323.15,527.30,219.00,2022-12-13
58,GLH,Greenlife Hydropower Limited,25.73,235.20,242.90,231.30,239.00,234.27,"3,296.00",240.00,"772,147.50",54,-1.0,11.6,-0.42,5.02,1.98,283.48,321.86,527.30,219.00,2022-12-14
59,GLH,Greenlife Hydropower Limited,29.04,235.00,235.00,230.00,234.00,230.75,"3,390.00",239.00,"782,257.40",46,-5.0,5.0,-2.09,2.17,1.39,282.72,320.56,527.30,219.00,2022-12-15
59,GLH,Greenlife Hydropower Limited,27.94,229.40,235.20,225.10,230.00,231.78,"6,898.00",234.00,"1,598,811.50",63,-4.0,10.1,-1.71,4.49,-0.77,281.98,319.26,527.30,219.00,2022-12-18
59,GLH,Greenlife Hydropower Limited,32.63,226.20,232.00,225.70,231.50,226.75,"11,253.00",230.00,"2,551,668.00",65,1.5,6.3,0.65,2.79,2.05,281.41,317.77,527.30,219.00,2022-12-19
