SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
59,GLICL,Gurans Life Insurance Company Limited,55.41,451.40,489.00,451.40,470.00,473.40,"162,173.00",451.40,"76,772,388.70",923,18.6,37.6,4.12,8.33,-0.72,589.15,614.21,728.00,451.40,2023-01-31
56,GLICL,Gurans Life Insurance Company Limited,52.71,479.00,479.00,440.60,456.70,448.88,"75,759.00",470.00,"34,006,784.00",335,-13.3,38.4,-2.83,8.72,1.71,588.08,612.23,728.00,440.60,2023-02-01
58,GLICL,Gurans Life Insurance Company Limited,48.84,448.00,462.20,440.10,443.00,447.86,"23,614.00",456.70,"10,575,757.90",199,-13.7,22.1,-3.0,5.02,-1.1,586.93,610.21,728.00,440.10,2023-02-02
61,GLICL,Gurans Life Insurance Company Limited,39.56,445.00,452.00,436.10,438.00,441.59,"29,046.00",443.00,"12,826,326.60",183,-5.0,15.9,-1.13,3.65,-0.82,585.33,608.20,721.00,436.10,2023-02-05
59,GLICL,Gurans Life Insurance Company Limited,40.65,438.00,460.00,434.00,460.00,446.48,"28,873.00",431.50,"12,891,251.70",251,28.5,26.0,6.6,5.99,2.94,582.79,604.25,721.00,431.10,2023-02-07
57,GLICL,Gurans Life Insurance Company Limited,57.57,460.00,474.30,452.10,470.00,461.04,"40,763.00",456.00,"18,793,463.90",186,14.0,22.2,3.07,4.91,1.91,580.82,600.68,721.00,431.10,2023-02-09
57,GLICL,Gurans Life Insurance Company Limited,48.88,460.60,460.60,445.00,447.00,450.32,"30,854.00",470.00,"13,894,253.80",212,-23.0,15.6,-4.89,3.51,-0.74,579.78,598.85,721.00,431.10,2023-02-12
60,GLICL,Gurans Life Insurance Company Limited,40.73,447.00,455.00,445.00,450.00,447.26,"14,748.00",447.00,"6,596,133.90",110,3.00,10.0,0.67,2.25,0.61,578.74,597.08,721.00,431.10,2023-02-14
58,GLICL,Gurans Life Insurance Company Limited,38.16,442.90,444.70,436.30,439.80,438.57,"16,229.00",445.00,"7,117,542.30",101,-5.20,8.40,-1.17,1.93,0.28,576.68,593.22,721.00,431.10,2023-02-16
58,GLICL,Gurans Life Insurance Company Limited,37.97,431.90,438.00,430.20,432.50,433.86,"20,211.00",439.80,"8,768,697.80",94,-7.3,7.8,-1.66,1.81,-0.31,575.66,591.24,721.00,430.20,2023-02-20
65,GLICL,Gurans Life Insurance Company Limited,40.48,440.00,444.90,433.10,443.80,437.93,"19,766.00",432.50,"8,656,042.90",92,11.3,11.8,2.61,2.72,1.32,574.86,589.43,721.00,430.20,2023-02-22
60,GLICL,Gurans Life Insurance Company Limited,34.17,435.00,436.00,428.10,434.00,430.93,"14,863.00",443.80,"6,404,911.30",86,-9.8,7.9,-2.21,1.85,0.71,573.94,587.48,721.00,428.10,2023-02-23
60,GLICL,Gurans Life Insurance Company Limited,40.55,425.40,440.00,417.00,440.00,425.69,"19,428.00",434.00,"8,270,358.50",119,6.0,23.0,1.38,5.52,3.25,573.16,585.68,721.00,417.00,2023-02-26
58,GLICL,Gurans Life Insurance Company Limited,31.11,434.00,444.00,424.00,429.80,429.89,"6,510.00",430.00,"2,798,596.30",54,-0.2,20.0,-0.05,4.72,-0.02,571.74,582.37,721.00,417.00,2023-02-28
60,GLICL,Gurans Life Insurance Company Limited,33.91,425.00,435.90,419.10,419.10,421.84,"7,957.00",429.80,"3,356,618.90",55,-10.70,16.80,-2.49,4.01,-0.65,571.00,580.78,721.00,417.00,2023-03-01
60,GLICL,Gurans Life Insurance Company Limited,29.87,412.90,419.90,406.70,406.70,411.53,"16,166.00",419.10,"6,652,797.40",129,-12.4,13.2,-2.96,3.25,-1.19,570.23,579.29,721.00,406.70,2023-03-02
60,GLICL,Gurans Life Insurance Company Limited,31.9,414.00,414.00,399.00,404.00,405.11,"14,564.00",406.70,"5,899,979.90",89,-2.7,15.0,-0.66,3.76,-0.27,569.43,577.58,721.00,399.00,2023-03-05
