SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
57,GUFL,Gurkhas Finance Limited,30.02,521.50,537.90,517.00,524.00,522.71,"24,224.00",529.90,"12,662,232.70",198,-5.9,20.9,-1.11,4.04,0.25,524.45,510.07,"1,015.30",357.00,2022-12-07
57,GUFL,Gurkhas Finance Limited,30.02,521.50,537.90,517.00,524.00,522.71,"24,224.00",529.90,"12,662,232.70",198,-5.9,20.9,-1.11,4.04,0.25,524.45,510.07,"1,015.30",357.00,2022-12-09
61,GUFL,Gurkhas Finance Limited,31.44,529.00,529.00,509.60,510.00,512.90,"21,137.00",524.00,"10,841,196.90",196,-14.0,19.4,-2.67,3.81,-0.57,-,-,"1,015.30",357.00,2022-12-11
61,GUFL,Gurkhas Finance Limited,31.28,518.00,525.00,510.00,524.00,518.20,"20,793.00",510.00,"10,774,965.90",169,14.0,15.0,2.75,2.94,1.11,526.70,508.32,"1,015.30",357.00,2022-12-12
60,GUFL,Gurkhas Finance Limited,32.36,513.60,530.00,513.60,518.00,519.39,"15,004.00",524.00,"7,792,937.20",109,-6.0,16.4,-1.15,3.19,-0.27,527.92,507.56,"1,015.30",357.00,2022-12-13
62,GUFL,Gurkhas Finance Limited,27.95,528.30,528.30,514.00,522.00,520.20,"14,544.00",518.00,"7,565,839.20",96,4.0,14.3,0.77,2.78,0.34,529.17,506.74,"1,015.30",357.00,2022-12-14
63,GUFL,Gurkhas Finance Limited,29.47,511.70,521.00,509.00,515.00,512.41,"13,126.00",522.00,"6,725,845.90",102,-7.0,12.0,-1.34,2.36,0.5,530.25,505.93,"1,015.30",357.00,2022-12-15
63,GUFL,Gurkhas Finance Limited,40.63,510.00,513.90,497.00,500.00,502.11,"27,737.00",515.00,"13,926,952.70",195,-15.0,16.9,-2.91,3.4,-0.42,531.25,505.07,"1,015.30",357.00,2022-12-18
63,GUFL,Gurkhas Finance Limited,30.63,510.00,520.00,499.50,504.90,502.81,"9,243.00",500.00,"4,647,439.40",84,4.9,20.5,0.98,4.1,0.41,532.23,504.35,"1,015.30",357.00,2022-12-19
63,GUFL,Gurkhas Finance Limited,30.63,502.00,517.00,500.00,500.00,508.67,"21,982.00",504.90,"11,181,495.20",139,-4.9,17.0,-0.97,3.4,-1.73,533.18,503.74,"1,015.30",357.00,2022-12-20
63,GUFL,Gurkhas Finance Limited,32.82,495.00,510.00,495.00,501.00,499.81,"15,080.00",500.00,"7,537,156.60",111,1.0,15.0,0.2,3.03,0.24,533.89,503.20,995.00,357.00,2022-12-21
62,GUFL,Gurkhas Finance Limited,30.98,495.00,496.90,490.00,490.00,492.00,"14,198.00",501.00,"6,985,371.00",124,-11.0,6.9,-2.2,1.41,-0.41,534.61,502.62,925.00,357.00,2022-12-22
61,GUFL,Gurkhas Finance Limited,33.57,499.80,539.00,499.80,539.00,518.89,"54,093.00",490.00,"28,068,103.30",383,49.0,39.2,10.0,7.84,3.73,535.72,502.23,913.30,357.00,2022-12-26
64,GUFL,Gurkhas Finance Limited,44.44,540.00,575.00,540.00,567.10,560.70,"140,067.00",539.00,"78,536,152.80",749,28.1,35.00,5.21,6.48,1.13,536.93,502.12,913.30,357.00,2022-12-27
65,GUFL,Gurkhas Finance Limited,57.16,568.00,578.40,550.00,559.00,561.99,"61,958.00",567.10,"34,819,528.60",415,-8.1,28.4,-1.43,5.16,-0.53,537.82,502.04,913.30,357.00,2022-12-28
64,GUFL,Gurkhas Finance Limited,57.16,550.10,588.00,550.00,588.00,571.74,"91,656.00",559.00,"52,403,677.90",548,29.0,38.0,5.19,6.91,2.76,538.97,502.14,913.30,357.00,2022-12-29
67,GUFL,Gurkhas Finance Limited,57.62,595.00,607.00,566.00,589.00,586.42,"84,675.00",588.00,"49,654,859.70",539,1.0,41.00,0.17,7.24,0.44,539.91,502.37,913.30,357.00,2023-01-01
63,GUFL,Gurkhas Finance Limited,57.62,577.30,598.90,571.00,590.00,584.13,"104,912.00",589.00,"61,282,001.90",420,1.0,27.9,0.17,4.89,1.0,540.75,502.70,913.30,357.00,2023-01-02
65,GUFL,Gurkhas Finance Limited,55.78,600.00,600.00,571.10,575.00,580.02,"76,098.00",590.00,"44,138,323.30",367,-15.0,28.9,-2.54,5.06,-0.87,541.60,502.90,913.30,357.00,2023-01-03
65,GUFL,Gurkhas Finance Limited,57.37,566.10,600.00,566.10,599.00,590.63,"56,765.00",575.00,"33,527,171.70",379,24.0,33.9,4.17,5.99,1.4,542.50,503.34,913.30,357.00,2023-01-04
64,GUFL,Gurkhas Finance Limited,51.58,603.00,609.00,585.00,595.00,594.93,"113,485.00",599.00,"67,515,099.80",539,-4.0,24.0,-0.67,4.1,0.01,543.36,503.85,913.30,357.00,2023-01-05
67,GUFL,Gurkhas Finance Limited,52.78,606.90,630.00,588.00,624.90,611.04,"130,070.00",595.00,"79,478,392.30",690,29.90,42.00,5.03,7.14,2.22,-,-,913.30,357.00,2023-01-08
62,GUFL,Gurkhas Finance Limited,56.54,613.00,633.50,612.00,629.00,626.18,"86,526.00",624.90,"54,180,682.00",452,4.1,21.5,0.66,3.51,0.45,546.09,505.33,913.30,357.00,2023-01-09
