SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
58,GVL,Green Ventures Limited,51.06,290.30,311.00,290.30,305.00,303.88,"33,382.00",292.10,"10,144,233.50",338,12.9,20.7,4.42,7.13,0.37,322.27,-,436.40,255.10,2022-12-07
58,GVL,Green Ventures Limited,51.06,290.30,311.00,290.30,305.00,303.88,"33,382.00",292.10,"10,144,233.50",338,12.9,20.7,4.42,7.13,0.37,322.27,-,436.40,255.10,2022-12-09
62,GVL,Green Ventures Limited,52.47,299.00,303.90,294.00,297.30,300.49,"10,868.00",305.00,"3,265,683.00",172,-7.7,9.9,-2.52,3.37,-1.07,-,-,436.40,255.10,2022-12-11
62,GVL,Green Ventures Limited,49.16,295.10,313.00,295.10,313.00,306.62,"12,299.00",297.30,"3,771,158.10",220,15.7,17.9,5.28,6.07,2.04,322.33,-,436.40,255.10,2022-12-12
61,GVL,Green Ventures Limited,49.94,306.80,318.00,306.80,307.20,312.43,"10,333.00",313.00,"3,228,342.40",172,-5.8,11.2,-1.85,3.65,-1.7,322.48,-,436.40,255.10,2022-12-13
63,GVL,Green Ventures Limited,48.37,303.10,312.00,303.10,306.00,308.30,"6,262.00",307.20,"1,930,560.70",151,-1.2,8.9,-0.39,2.94,-0.75,322.71,-,436.40,255.10,2022-12-14
65,GVL,Green Ventures Limited,32.96,303.00,304.90,298.00,298.00,300.57,"10,701.00",306.00,"3,216,370.80",186,-8.0,6.9,-2.61,2.32,-0.86,322.77,-,436.40,255.10,2022-12-15
64,GVL,Green Ventures Limited,33.54,295.10,303.00,295.10,302.90,299.31,"5,767.00",298.00,"1,726,134.30",168,4.9,7.9,1.64,2.68,1.18,322.91,-,436.40,255.10,2022-12-18
64,GVL,Green Ventures Limited,25.52,300.00,305.00,297.00,303.00,301.79,"4,375.00",302.90,"1,320,351.00",151,0.1,8.0,0.03,2.69,0.4,323.22,-,436.40,255.10,2022-12-19
64,GVL,Green Ventures Limited,25.52,308.90,312.00,300.00,309.00,308.70,"14,155.00",303.00,"4,369,670.40",216,6.0,12.0,1.98,4.0,0.1,323.49,-,436.40,255.10,2022-12-20
64,GVL,Green Ventures Limited,39.64,307.00,313.00,301.10,306.00,304.40,"8,513.00",309.00,"2,591,362.90",158,-3.0,11.9,-0.97,3.95,0.52,323.56,-,436.40,255.10,2022-12-21
63,GVL,Green Ventures Limited,38.42,300.00,309.00,297.00,305.00,303.74,"5,600.00",306.00,"1,700,920.00",144,-1.0,12.0,-0.33,4.04,0.41,323.71,-,436.40,255.10,2022-12-22
