SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
59,GWFD83,12% Goodwill Finance Limited Debenture 2083,40.03,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,005.00","25,150.00",1,1.0,0.0,0.1,0.0,0.0,"1,088.48",-,"1,173.00",989.80,2022-12-07
59,GWFD83,12% Goodwill Finance Limited Debenture 2083,40.03,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,005.00","25,150.00",1,1.0,0.0,0.1,0.0,0.0,"1,088.48",-,"1,173.00",989.80,2022-12-09
63,GWFD83,12% Goodwill Finance Limited Debenture 2083,41.44,990.00,"1,009.80",990.00,"1,009.80",999.90,200.00,"1,006.00","199,980.00",2,3.8,19.8,0.38,2.0,0.98,-,-,"1,173.00",989.80,2022-12-11
65,GWFD83,12% Goodwill Finance Limited Debenture 2083,26.89,"1,000.10","1,000.10","1,000.00","1,000.00","1,000.03",60.00,"1,009.80","60,002.00",2,-9.8,0.1,-0.97,0.01,0.0,"1,086.23",-,"1,173.00",989.80,2022-12-19
64,GWFD83,12% Goodwill Finance Limited Debenture 2083,26.34,"1,020.00","1,030.00","1,020.00","1,030.00","1,027.63",190.00,"1,000.00","195,250.00",3,30.0,10.0,3.0,0.98,0.23,"1,085.31",-,"1,173.00",989.80,2022-12-22
63,GWFD83,12% Goodwill Finance Limited Debenture 2083,44.42,"1,050.00","1,050.00","1,050.00","1,050.00","1,050.00",10.00,"1,030.00","10,500.00",1,20.0,0.0,1.94,0.0,0.0,"1,084.48",-,"1,173.00",989.80,2022-12-26
66,GWFD83,12% Goodwill Finance Limited Debenture 2083,38.79,"1,071.00","1,071.00","1,071.00","1,071.00","1,071.00",10.00,"1,050.00","10,710.00",1,21.0,0.00,2.0,0.0,0.0,"1,083.82",-,"1,173.00",989.80,2022-12-27
69,GWFD83,12% Goodwill Finance Limited Debenture 2083,43.47,"1,049.60","1,070.50","1,049.60","1,070.50","1,060.05",20.00,"1,071.00","21,201.00",2,-0.5,20.90,-0.05,1.99,0.98,"1,083.16",-,"1,173.00",989.80,2023-01-01
64,GWFD83,12% Goodwill Finance Limited Debenture 2083,55.71,"1,050.00","1,050.00","1,050.00","1,050.00","1,050.00",50.00,"1,070.50","52,500.00",1,-20.5,0.0,-1.91,0.0,0.0,"1,082.33",-,"1,173.00",989.80,2023-01-09
64,GWFD83,12% Goodwill Finance Limited Debenture 2083,50.75,"1,071.00","1,092.40","1,071.00","1,092.40","1,081.70",20.00,"1,050.00","21,634.00",2,42.4,21.4,4.04,2.0,0.98,"1,082.04",-,"1,173.00",989.80,2023-01-10
67,GWFD83,12% Goodwill Finance Limited Debenture 2083,50.78,"1,113.90","1,113.90","1,113.90","1,113.90","1,113.90",10.00,"1,092.40","11,139.00",1,21.5,0.0,1.97,0.0,0.0,"1,081.74",-,"1,171.00",989.80,2023-01-12
65,GWFD83,12% Goodwill Finance Limited Debenture 2083,42.54,"1,091.68","1,091.68","1,091.68","1,091.68","1,091.68",10.00,"1,113.90","10,916.80",1,-22.22,0.0,-1.99,0.0,0.0,"1,081.25",0.00,"1,171.00",989.80,2023-01-31
65,GWFD83,12% Goodwill Finance Limited Debenture 2083,27.42,"1,069.90","1,069.90","1,000.20","1,020.20","1,009.45",265.00,"1,091.68","267,503.50",13,-71.48,69.7,-6.55,6.97,1.05,"1,080.13",0.00,"1,171.00",989.80,2023-03-12
65,GWFD83,12% Goodwill Finance Limited Debenture 2083,28.61,"1,001.00","1,001.00","1,000.00","1,000.10","1,000.29",100.00,999.80,"100,029.00",4,0.3,1.0,0.03,0.1,-0.02,"1,077.67",0.00,"1,171.00",989.80,2023-03-14
64,GWFD83,12% Goodwill Finance Limited Debenture 2083,31.98,"1,007.00","1,007.00","1,000.20","1,000.20","1,001.76",170.00,"1,000.10","170,300.00",5,0.10,6.8,0.01,0.68,-0.16,"1,076.51",0.00,"1,171.00",989.80,2023-03-15
63,GWFD83,12% Goodwill Finance Limited Debenture 2083,31.24,"1,000.10","1,000.10","1,000.00","1,000.00","1,000.06",80.00,"1,000.20","80,005.00",2,-0.2,0.1,-0.02,0.01,-0.01,"1,075.17",0.00,"1,171.00",989.80,2023-03-16
