SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
60,HBL,Himalayan Bank Limited,44.54,331.90,331.90,319.00,329.70,325.71,"2,853.00",338.50,"929,257.70",49,-8.8,12.9,-2.6,4.04,1.21,320.50,374.45,505.00,290.00,2022-12-07
60,HBL,Himalayan Bank Limited,44.54,331.90,331.90,319.00,329.70,325.71,"2,853.00",338.50,"929,257.70",49,-8.8,12.9,-2.6,4.04,1.21,320.50,374.45,505.00,290.00,2022-12-09
64,HBL,Himalayan Bank Limited,45.95,329.80,329.80,320.50,323.90,322.99,"5,376.00",329.70,"1,736,391.50",57,-5.8,9.3,-1.76,2.9,0.28,-,-,505.00,290.00,2022-12-11
63,HBL,Himalayan Bank Limited,42.91,323.00,324.00,317.60,323.70,319.85,"4,618.00",323.90,"1,477,053.10",44,-0.2,6.4,-0.06,2.02,1.19,320.90,371.96,505.00,290.00,2022-12-12
62,HBL,Himalayan Bank Limited,41.91,323.00,325.00,321.00,322.00,322.35,"3,670.00",323.70,"1,183,023.80",32,-1.7,4.0,-0.53,1.25,-0.11,321.08,370.77,505.00,290.00,2022-12-13
64,HBL,Himalayan Bank Limited,30.08,325.00,328.00,320.70,320.70,324.14,"3,549.00",322.00,"1,150,374.20",28,-1.3,7.3,-0.4,2.28,-1.07,321.29,369.55,505.00,290.00,2022-12-14
66,HBL,Himalayan Bank Limited,27.43,318.00,326.00,318.00,323.00,321.82,"7,648.00",320.70,"2,461,309.60",56,2.3,8.0,0.72,2.52,0.36,321.45,368.38,505.00,290.00,2022-12-15
65,HBL,Himalayan Bank Limited,40.86,321.00,325.00,318.00,319.00,320.01,"4,033.00",323.00,"1,290,612.90",42,-4.0,7.0,-1.24,2.2,-0.32,321.62,367.25,505.00,290.00,2022-12-18
66,HBL,Himalayan Bank Limited,36.05,322.00,325.00,318.00,318.00,319.71,"3,927.00",319.00,"1,255,520.00",47,-1.0,7.0,-0.31,2.2,-0.54,321.80,366.08,505.00,290.00,2022-12-19
65,HBL,Himalayan Bank Limited,36.05,324.30,330.00,320.00,322.00,325.23,"50,468.00",318.00,"16,413,952.70",346,4.0,10.0,1.26,3.13,-1.0,322.00,364.93,505.00,290.00,2022-12-20
65,HBL,Himalayan Bank Limited,50.24,326.00,334.60,325.00,328.80,328.53,"8,514.00",322.00,"2,797,088.60",108,6.8,9.6,2.11,2.95,0.08,322.17,363.82,505.00,290.00,2022-12-21
65,HBL,Himalayan Bank Limited,45.66,326.00,330.00,326.00,329.90,328.53,"8,924.00",328.80,"2,931,839.10",78,1.1,4.0,0.33,1.23,0.41,322.39,362.74,505.00,290.00,2022-12-22
64,HBL,Himalayan Bank Limited,44.91,335.00,340.90,330.00,340.00,334.21,"30,271.00",329.90,"10,116,850.30",202,10.1,10.9,3.06,3.3,1.7,322.72,361.81,505.00,290.00,2022-12-26
67,HBL,Himalayan Bank Limited,51.81,345.00,352.00,335.00,350.80,345.79,"30,183.00",340.00,"10,436,902.70",234,10.8,17.00,3.18,5.07,1.43,323.13,360.98,505.00,290.00,2022-12-27
67,HBL,Himalayan Bank Limited,53.5,345.00,353.00,342.00,349.70,347.12,"23,963.00",350.80,"8,317,940.30",120,-1.1,11.0,-0.31,3.22,0.74,323.49,360.17,505.00,290.00,2022-12-28
66,HBL,Himalayan Bank Limited,53.5,350.00,357.00,342.80,355.00,349.23,"27,541.00",349.70,"9,618,060.80",204,5.3,14.2,1.52,4.14,1.63,323.87,359.37,505.00,290.00,2022-12-29
70,HBL,Himalayan Bank Limited,54.73,362.00,369.30,355.10,365.10,365.69,"49,119.00",355.00,"17,962,266.70",372,10.1,14.20,2.85,4.0,-0.16,324.30,358.60,505.00,290.00,2023-01-01
65,HBL,Himalayan Bank Limited,54.73,338.10,338.10,328.00,331.00,332.14,"15,231.00",338.06,"5,058,786.50",142,-7.06,10.1,-2.09,3.08,-0.34,324.44,357.63,505.00,290.00,2023-01-02
67,HBL,Himalayan Bank Limited,36.16,333.00,337.60,319.20,320.00,323.12,"14,072.00",331.00,"4,546,940.50",137,-11.0,18.4,-3.32,5.76,-0.97,324.54,356.62,505.00,290.00,2023-01-03
67,HBL,Himalayan Bank Limited,39.53,320.00,332.20,320.00,325.00,324.71,"11,376.00",320.00,"3,693,871.10",72,5.0,12.2,1.56,3.81,0.09,324.73,355.67,505.00,290.00,2023-01-04
66,HBL,Himalayan Bank Limited,40.23,331.50,331.50,320.00,320.00,324.07,"9,089.00",325.00,"2,945,470.50",86,-5.0,11.5,-1.54,3.59,-1.27,324.89,354.67,505.00,290.00,2023-01-05
69,HBL,Himalayan Bank Limited,41.43,314.00,322.00,313.60,316.00,318.14,"20,587.00",320.00,"6,549,539.20",140,-4.00,8.40,-1.25,2.68,-0.68,-,-,505.00,290.00,2023-01-08
65,HBL,Himalayan Bank Limited,48.68,313.00,317.00,310.00,315.90,313.51,"20,959.00",316.00,"6,570,944.50",161,-0.1,7.0,-0.03,2.26,0.76,325.20,352.66,505.00,290.00,2023-01-09
65,HBL,Himalayan Bank Limited,44.63,315.00,334.00,315.00,320.00,325.33,"25,020.00",315.90,"8,139,807.20",180,4.1,19.0,1.3,6.03,-1.67,325.36,351.68,505.00,290.00,2023-01-10
68,HBL,Himalayan Bank Limited,44.65,325.00,326.40,311.00,315.00,317.11,"12,501.00",320.00,"3,964,134.60",116,-5.0,15.4,-1.56,4.95,-0.67,325.52,350.65,505.00,290.00,2023-01-12
64,HBL,Himalayan Bank Limited,40.73,315.50,318.00,304.00,312.70,311.57,"13,648.00",315.00,"4,252,316.20",125,-2.3,14.0,-0.73,4.61,0.36,325.63,349.59,505.00,290.00,2023-01-17
64,HBL,Himalayan Bank Limited,46.62,308.00,318.00,305.00,305.00,308.29,"18,348.00",312.70,"5,656,548.10",140,-7.7,13.0,-2.46,4.26,-1.08,325.68,348.45,505.00,290.00,2023-01-18
