SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
61,HDHPC,Himal Dolakha Hydropower Company Limited,24.68,182.00,182.00,176.00,177.00,178.00,"53,776.00",179.00,"9,571,943.30",160,-2.0,6.0,-1.12,3.41,-0.56,196.41,214.86,377.00,161.00,2022-12-07
61,HDHPC,Himal Dolakha Hydropower Company Limited,24.68,182.00,182.00,176.00,177.00,178.00,"53,776.00",179.00,"9,571,943.30",160,-2.0,6.0,-1.12,3.41,-0.56,196.41,214.86,377.00,161.00,2022-12-09
65,HDHPC,Himal Dolakha Hydropower Company Limited,26.09,176.00,176.00,170.50,172.00,172.19,"63,160.00",177.00,"10,875,236.80",208,-5.0,5.5,-2.82,3.23,-0.11,-,-,377.00,161.00,2022-12-11
64,HDHPC,Himal Dolakha Hydropower Company Limited,24.82,175.40,176.90,170.50,174.00,173.28,"58,397.00",172.00,"10,119,210.80",189,2.0,6.4,1.16,3.75,0.41,195.88,213.27,377.00,161.00,2022-12-12
63,HDHPC,Himal Dolakha Hydropower Company Limited,28.66,173.00,174.90,172.10,173.00,173.12,"51,032.00",174.00,"8,834,897.60",154,-1.0,2.8,-0.57,1.63,-0.07,195.61,212.52,377.00,161.00,2022-12-13
65,HDHPC,Himal Dolakha Hydropower Company Limited,24.28,176.00,178.50,172.10,175.00,175.40,"67,421.00",173.00,"11,825,488.20",160,2.0,6.4,1.16,3.72,-0.23,195.38,211.81,377.00,161.00,2022-12-14
67,HDHPC,Himal Dolakha Hydropower Company Limited,32.46,172.10,176.40,172.10,172.70,173.71,"36,738.00",175.00,"6,381,640.20",94,-2.3,4.3,-1.31,2.5,-0.58,195.25,211.10,377.00,161.00,2022-12-15
66,HDHPC,Himal Dolakha Hydropower Company Limited,32.18,170.00,171.00,166.40,166.80,168.08,"74,443.00",172.70,"12,512,546.90",196,-5.9,4.6,-3.42,2.76,-0.77,195.14,210.29,377.00,161.00,2022-12-18
67,HDHPC,Himal Dolakha Hydropower Company Limited,26.04,165.50,170.00,165.50,170.00,167.50,"120,059.00",166.80,"20,109,763.90",100,3.2,4.5,1.92,2.72,1.47,194.94,209.50,377.00,161.00,2022-12-19
66,HDHPC,Himal Dolakha Hydropower Company Limited,26.04,169.10,174.00,169.00,170.20,171.96,"34,868.00",170.00,"5,995,843.20",115,0.2,5.0,0.12,2.96,-1.03,194.83,208.74,377.00,161.00,2022-12-20
66,HDHPC,Himal Dolakha Hydropower Company Limited,25.49,171.00,172.00,167.00,169.50,168.67,"39,734.00",170.20,"6,701,905.90",144,-0.7,5.0,-0.41,2.99,0.49,194.79,208.00,377.00,161.00,2022-12-21
66,HDHPC,Himal Dolakha Hydropower Company Limited,24.57,169.00,171.00,166.60,170.00,167.11,"141,307.00",169.50,"23,613,522.50",159,0.5,4.4,0.29,2.64,1.7,194.73,207.31,377.00,161.00,2022-12-22
65,HDHPC,Himal Dolakha Hydropower Company Limited,46.27,173.00,180.50,171.00,178.00,176.66,"166,568.00",170.00,"29,426,436.90",419,8.0,9.5,4.71,5.56,0.75,194.58,206.71,377.00,161.00,2022-12-26
68,HDHPC,Himal Dolakha Hydropower Company Limited,48.96,180.50,190.60,178.50,186.40,186.02,"421,993.00",178.00,"78,498,927.20","1,164",8.4,12.10,4.72,6.78,0.2,194.53,206.17,377.00,161.00,2022-12-27
68,HDHPC,Himal Dolakha Hydropower Company Limited,51.54,190.10,190.10,180.00,183.00,185.61,"156,940.00",186.40,"29,129,974.90",527,-3.4,10.1,-1.82,5.61,-1.43,194.49,205.53,377.00,161.00,2022-12-28
67,HDHPC,Himal Dolakha Hydropower Company Limited,51.54,185.00,195.00,181.60,195.00,189.94,"222,448.00",183.00,"42,251,609.70",621,12.0,13.4,6.56,7.38,2.6,194.43,205.02,377.00,161.00,2022-12-29
