SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
64,HEIP,Himalayan Everest Insurance Limited Promoter,35.58,250.00,254.50,245.00,245.00,250.61,"14,332.00",251.90,"3,591,794.40",10,-6.9,9.5,-2.74,3.88,-2.29,-,-,298.00,214.20,2022-12-07
64,HEIP,Himalayan Everest Insurance Limited Promoter,35.58,250.00,254.50,245.00,245.00,250.61,"14,332.00",251.90,"3,591,794.40",10,-6.9,9.5,-2.74,3.88,-2.29,-,-,298.00,214.20,2022-12-07
64,HEIP,Himalayan Everest Insurance Limited Promoter,35.58,250.00,254.50,245.00,245.00,250.61,"14,332.00",251.90,"3,591,794.40",10,-6.9,9.5,-2.74,3.88,-2.29,-,-,298.00,214.20,2022-12-09
68,HEIP,Himalayan Everest Insurance Limited Promoter,37.0,241.10,241.10,241.10,241.10,241.10,300.00,245.00,"72,330.00",1,-3.9,0.0,-1.59,0.0,0.0,-,-,298.00,214.20,2022-12-11
67,HEIP,Himalayan Everest Insurance Limited Promoter,29.09,241.00,241.00,239.40,239.40,240.93,"2,616.00",241.10,"630,270.40",2,-1.7,1.6,-0.71,0.67,-0.64,-,-,298.00,214.20,2022-12-12
66,HEIP,Himalayan Everest Insurance Limited Promoter,32.77,240.20,244.10,240.10,244.10,240.12,"2,510.00",239.40,"602,711.00",3,4.7,4.0,1.96,1.67,1.63,-,-,298.00,214.20,2022-12-13
70,HEIP,Himalayan Everest Insurance Limited Promoter,29.41,239.30,239.40,239.30,239.40,239.32,215.00,244.10,"51,454.00",4,-4.7,0.1,-1.93,0.04,0.03,-,-,298.00,214.20,2022-12-15
69,HEIP,Himalayan Everest Insurance Limited Promoter,25.75,237.40,237.40,237.40,237.40,237.40,300.00,239.40,"71,220.00",1,-2.0,0.0,-0.84,0.0,0.0,-,-,298.00,214.20,2022-12-18
70,HEIP,Himalayan Everest Insurance Limited Promoter,38.17,242.10,253.00,242.10,253.00,248.00,40.00,237.40,"9,920.00",4,15.6,10.9,6.57,4.5,1.98,-,-,298.00,214.20,2022-12-19
69,HEIP,Himalayan Everest Insurance Limited Promoter,38.17,248.20,248.20,240.10,240.10,244.66,"12,533.00",253.00,"3,066,313.30",10,-12.9,8.1,-5.1,3.37,-1.9,-,-,298.00,214.20,2022-12-20
68,HEIP,Himalayan Everest Insurance Limited Promoter,34.54,244.80,244.80,244.80,244.80,244.80,"1,000.00",240.10,"244,800.00",1,4.7,0.0,1.96,0.0,0.0,-,-,298.00,214.20,2022-12-26
71,HEIP,Himalayan Everest Insurance Limited Promoter,43.29,249.50,260.00,246.00,260.00,253.15,"10,766.00",244.80,"2,725,439.00",16,15.2,14.00,6.21,5.69,2.63,-,-,298.00,214.20,2022-12-27
70,HEIP,Himalayan Everest Insurance Limited Promoter,55.3,265.00,286.00,265.00,265.20,277.05,"4,781.00",260.00,"1,324,558.20",13,5.2,21.0,2.0,7.92,-4.47,-,-,298.00,214.20,2022-12-29
74,HEIP,Himalayan Everest Insurance Limited Promoter,51.98,259.90,278.70,259.90,278.10,270.68,"4,846.00",265.20,"1,311,694.80",10,12.9,18.80,4.86,7.23,2.67,-,-,298.00,214.20,2023-01-01
69,HEIP,Himalayan Everest Insurance Limited Promoter,51.98,281.00,286.60,280.90,280.90,283.80,"4,210.00",278.10,"1,194,779.00",9,2.8,5.7,1.01,2.03,-1.03,-,-,298.00,214.20,2023-01-02
71,HEIP,Himalayan Everest Insurance Limited Promoter,54.5,275.50,302.60,266.20,302.60,281.00,"6,903.00",280.90,"1,939,754.00",16,21.7,36.4,7.73,13.67,7.14,-,-,302.60,214.20,2023-01-03
71,HEIP,Himalayan Everest Insurance Limited Promoter,59.28,307.00,307.00,300.90,300.90,301.45,110.00,302.60,"33,160.00",3,-1.7,6.1,-0.56,2.03,-0.18,-,-,307.00,214.20,2023-01-04
70,HEIP,Himalayan Everest Insurance Limited Promoter,51.73,294.90,304.00,294.90,304.00,299.87,"2,810.00",300.90,"842,623.60",8,3.1,9.1,1.03,3.09,1.36,-,-,307.00,214.20,2023-01-05
73,HEIP,Himalayan Everest Insurance Limited Promoter,52.93,298.10,334.00,288.30,334.00,309.87,"9,466.00",304.00,"2,933,256.40",37,30.00,45.70,9.87,15.85,7.22,-,-,334.00,214.20,2023-01-08
69,HEIP,Himalayan Everest Insurance Limited Promoter,57.79,328.00,367.40,327.50,360.00,339.30,"7,003.00",334.00,"2,376,104.00",25,26.0,39.9,7.78,12.18,5.75,-,-,367.40,214.20,2023-01-09
69,HEIP,Himalayan Everest Insurance Limited Promoter,50.55,360.00,360.00,338.90,338.90,343.07,"2,230.00",360.00,"765,053.00",7,-21.1,21.1,-5.86,6.23,-1.23,-,-,367.40,214.20,2023-01-10
72,HEIP,Himalayan Everest Insurance Limited Promoter,50.58,332.20,332.20,305.10,305.10,307.76,"4,968.00",338.90,"1,528,931.40",15,-33.8,27.1,-9.97,8.88,-0.87,-,-,367.40,214.20,2023-01-12
68,HEIP,Himalayan Everest Insurance Limited Promoter,47.24,299.00,311.20,279.00,309.00,285.29,"5,594.00",305.10,"1,595,900.40",21,3.9,32.2,1.28,11.54,7.67,0.00,0.00,367.40,214.20,2023-01-17
68,HEIP,Himalayan Everest Insurance Limited Promoter,43.78,314.90,315.00,293.00,293.00,294.66,"2,886.00",309.00,"850,394.60",10,-16.0,22.0,-5.18,7.51,-0.57,0.00,0.00,367.40,214.20,2023-01-18
67,HEIP,Himalayan Everest Insurance Limited Promoter,40.9,297.00,302.90,297.00,302.90,297.82,"2,510.00",293.00,"747,529.00",4,9.9,5.9,3.38,1.99,1.68,0.00,0.00,367.40,214.20,2023-01-19
69,HEIP,Himalayan Everest Insurance Limited Promoter,37.86,296.90,296.90,274.80,289.50,281.30,"5,030.00",302.90,"1,414,955.80",23,-13.4,22.1,-4.42,8.04,2.83,0.00,0.00,367.40,214.20,2023-01-23
69,HEIP,Himalayan Everest Insurance Limited Promoter,40.84,283.80,307.10,268.60,307.10,297.80,"6,321.00",289.50,"1,882,407.00",28,17.6,38.5,6.08,14.33,3.03,0.00,0.00,367.40,214.20,2023-01-24
68,HEIP,Himalayan Everest Insurance Limited Promoter,46.53,305.00,313.20,294.00,312.00,307.99,"6,585.00",307.10,"2,028,138.00",14,4.9,19.2,1.6,6.53,1.28,0.00,0.00,367.40,214.20,2023-01-25
65,HEIP,Himalayan Everest Insurance Limited Promoter,51.67,314.90,333.90,314.90,329.90,320.11,"1,355.00",312.00,"433,745.50",12,17.9,19.0,5.74,6.03,2.97,0.00,0.00,367.40,214.20,2023-01-26
69,HEIP,Himalayan Everest Insurance Limited Promoter,45.55,323.40,326.00,310.70,319.00,314.12,"10,230.00",329.90,"3,213,417.00",12,-10.9,15.3,-3.3,4.92,1.53,0.00,0.00,367.40,214.20,2023-01-29
68,HEIP,Himalayan Everest Insurance Limited Promoter,53.34,312.70,312.70,300.40,300.40,305.30,50.00,319.00,"15,265.00",3,-18.6,12.3,-5.83,4.09,-1.63,0.00,0.00,367.40,214.20,2023-01-30
70,HEIP,Himalayan Everest Insurance Limited Promoter,36.45,294.40,306.40,289.30,306.40,292.51,"1,696.00",300.40,"496,097.00",11,6.0,17.1,2.0,5.91,4.53,0.00,0.00,367.40,214.20,2023-01-31
66,HEIP,Himalayan Everest Insurance Limited Promoter,36.12,300.30,304.90,294.30,294.30,300.03,820.00,306.40,"246,022.00",6,-12.1,10.6,-3.95,3.6,-1.95,0.00,0.00,367.40,214.20,2023-02-01
68,HEIP,Himalayan Everest Insurance Limited Promoter,38.15,300.00,300.00,288.50,300.00,288.68,"3,938.00",294.30,"1,136,822.70",11,5.7,11.5,1.94,3.99,3.77,0.00,0.00,367.40,214.20,2023-02-02
71,HEIP,Himalayan Everest Insurance Limited Promoter,26.41,294.00,299.80,288.40,288.50,289.78,"1,031.00",300.00,"298,767.40",9,-11.5,11.4,-3.83,3.95,-0.45,0.00,0.00,367.40,214.20,2023-02-05
69,HEIP,Himalayan Everest Insurance Limited Promoter,22.09,305.30,305.30,295.00,300.00,297.82,"2,523.00",299.60,"751,390.00",10,0.4,10.3,0.13,3.49,0.73,0.00,0.00,367.40,214.20,2023-02-07
