SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
65,HHL,Himalayan Hydropower Limited,35.93,216.10,218.90,215.00,215.20,216.32,"6,045.00",220.00,"1,307,675.30",115,-4.8,3.9,-2.18,1.81,-0.52,-,-,362.10,202.10,2022-12-07
65,HHL,Himalayan Hydropower Limited,35.93,216.10,218.90,215.00,215.20,216.32,"6,045.00",220.00,"1,307,675.30",115,-4.8,3.9,-2.18,1.81,-0.52,-,-,362.10,202.10,2022-12-07
65,HHL,Himalayan Hydropower Limited,35.93,216.10,218.90,215.00,215.20,216.32,"6,045.00",220.00,"1,307,675.30",115,-4.8,3.9,-2.18,1.81,-0.52,-,-,362.10,202.10,2022-12-09
69,HHL,Himalayan Hydropower Limited,37.34,214.00,215.00,207.00,212.80,211.03,"4,145.00",215.20,"874,722.00",143,-2.4,8.0,-1.12,3.86,0.83,-,-,362.10,202.10,2022-12-11
68,HHL,Himalayan Hydropower Limited,31.0,209.00,221.00,208.00,219.00,212.38,"3,095.00",212.80,"657,321.60",128,6.2,13.0,2.91,6.25,3.02,-,-,362.10,202.10,2022-12-12
67,HHL,Himalayan Hydropower Limited,29.66,214.80,219.00,214.00,219.00,215.28,"2,490.00",219.00,"536,056.00",82,0.0,5.0,0.0,2.34,1.7,-,-,362.10,202.10,2022-12-13
68,HHL,Himalayan Hydropower Limited,24.78,223.00,223.00,211.10,217.00,216.50,"2,478.00",219.00,"536,497.80",108,-2.0,11.9,-0.91,5.64,0.23,-,-,362.10,202.10,2022-12-14
71,HHL,Himalayan Hydropower Limited,32.26,221.00,225.60,210.20,211.60,212.54,"2,727.00",217.00,"579,587.20",127,-5.4,15.4,-2.49,7.33,-0.44,-,-,362.10,202.10,2022-12-15
70,HHL,Himalayan Hydropower Limited,32.16,208.00,210.00,205.80,209.00,206.60,"5,006.00",211.60,"1,034,246.00",121,-2.6,4.2,-1.23,2.04,1.15,-,-,362.10,202.10,2022-12-18
71,HHL,Himalayan Hydropower Limited,28.37,205.10,210.00,205.00,209.80,207.39,"3,555.00",209.00,"737,278.50",126,0.8,5.0,0.38,2.44,1.15,-,-,362.10,202.10,2022-12-19
