SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
71,ICFCD83,12% ICFC Finance Limited Debenture 2083,47.14,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",125.00,"1,020.00","128,125.00",2,5.0,0.0,0.49,0.0,0.0,"1,070.11","1,101.51","1,190.00",988.10,2022-12-07
71,ICFCD83,12% ICFC Finance Limited Debenture 2083,47.14,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",125.00,"1,020.00","128,125.00",2,5.0,0.0,0.49,0.0,0.0,"1,070.11","1,101.51","1,190.00",988.10,2022-12-07
71,ICFCD83,12% ICFC Finance Limited Debenture 2083,47.14,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",125.00,"1,020.00","128,125.00",2,5.0,0.0,0.49,0.0,0.0,"1,070.11","1,101.51","1,190.00",988.10,2022-12-09
75,ICFCD83,12% ICFC Finance Limited Debenture 2083,48.56,"1,015.00","1,015.00","1,005.00","1,005.00","1,006.59",220.00,"1,025.00","221,450.00",3,-20.0,10.0,-1.95,1.0,-0.16,-,-,"1,190.00",988.10,2022-12-11
74,ICFCD83,12% ICFC Finance Limited Debenture 2083,34.52,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",25.00,"1,005.00","25,500.00",1,15.0,0.0,1.49,0.0,0.0,"1,068.17","1,098.87","1,190.00",988.10,2022-12-14
77,ICFCD83,12% ICFC Finance Limited Debenture 2083,23.73,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",100.00,"1,020.00","104,000.00",1,20.0,0.0,1.96,0.0,0.0,"1,067.46","1,097.76","1,190.00",988.10,2022-12-15
78,ICFCD83,12% ICFC Finance Limited Debenture 2083,45.56,"1,060.00","1,060.00","1,060.00","1,060.00","1,060.00",50.00,"1,040.00","53,000.00",1,20.0,0.00,1.92,0.0,0.0,"1,066.92","1,096.78","1,190.00",988.10,2022-12-27
77,ICFCD83,12% ICFC Finance Limited Debenture 2083,45.5,"1,039.00","1,039.00","1,039.00","1,039.00","1,039.00",25.00,"1,060.00","25,975.00",1,-21.0,0.0,-1.98,0.0,0.0,"1,066.30","1,095.61","1,190.00",988.10,2022-12-28
77,ICFCD83,12% ICFC Finance Limited Debenture 2083,45.5,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",100.00,"1,039.00","104,000.00",1,1.0,0.0,0.1,0.0,0.0,"1,065.62","1,094.56","1,190.00",988.10,2022-12-29
78,ICFCD83,12% ICFC Finance Limited Debenture 2083,55.42,"1,040.00","1,060.00","1,040.00","1,060.00","1,052.00",125.00,"1,040.00","131,500.00",3,20.0,20.0,1.92,1.92,0.75,"1,064.91","1,093.42","1,190.00",988.10,2023-01-04
