SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
72,IGI,IME General Insurance Limited,28.13,361.20,364.00,358.30,363.00,361.09,"6,605.00",365.00,"2,385,022.70",47,-2.0,5.7,-0.55,1.59,0.53,384.59,437.50,"1,266.10",333.20,2022-12-07
72,IGI,IME General Insurance Limited,28.13,361.20,364.00,358.30,363.00,361.09,"6,605.00",365.00,"2,385,022.70",47,-2.0,5.7,-0.55,1.59,0.53,384.59,437.50,"1,266.10",333.20,2022-12-09
76,IGI,IME General Insurance Limited,29.54,360.00,362.00,355.00,360.80,357.17,"5,147.00",363.00,"1,838,336.20",56,-2.2,7.0,-0.61,1.97,1.01,-,-,"1,266.10",333.20,2022-12-11
74,IGI,IME General Insurance Limited,28.98,364.00,364.00,353.00,360.00,356.46,"6,451.00",360.80,"2,299,533.40",86,-0.8,11.0,-0.22,3.12,0.98,384.20,433.75,"1,266.10",333.20,2022-12-12
73,IGI,IME General Insurance Limited,30.33,360.00,366.00,359.00,365.00,362.63,"6,224.00",360.00,"2,256,978.30",51,5.0,7.0,1.39,1.95,0.65,384.12,431.97,"1,266.10",333.20,2022-12-13
75,IGI,IME General Insurance Limited,34.32,366.90,366.90,355.10,365.00,360.03,"9,168.00",365.00,"3,300,727.60",53,0.0,11.8,0.0,3.32,1.36,384.17,430.12,"1,266.10",333.20,2022-12-14
78,IGI,IME General Insurance Limited,36.11,358.00,365.60,355.20,363.90,361.31,"11,019.00",365.00,"3,981,243.30",60,-1.1,10.4,-0.3,2.93,0.71,384.11,428.30,"1,266.10",333.20,2022-12-15
76,IGI,IME General Insurance Limited,40.27,358.00,360.00,355.00,360.00,357.95,"24,405.00",363.90,"8,735,880.40",73,-3.9,5.0,-1.07,1.41,0.57,384.11,426.46,"1,266.10",333.20,2022-12-18
77,IGI,IME General Insurance Limited,36.6,355.50,367.20,355.40,367.20,362.25,"4,764.00",360.00,"1,725,743.00",38,7.2,11.8,2.0,3.32,1.35,384.31,424.67,"1,266.10",333.20,2022-12-19
76,IGI,IME General Insurance Limited,36.6,368.00,372.00,363.00,372.00,366.32,"10,176.00",367.20,"3,727,681.70",73,4.8,9.0,1.31,2.48,1.53,384.47,422.90,"1,266.10",333.20,2022-12-20
