SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
77,JFL,Janaki Finance Company Limited,25.37,370.50,381.90,370.50,377.00,374.89,"4,114.00",378.00,"1,542,313.50",31,-1.0,11.4,-0.26,3.08,0.56,384.66,397.48,747.00,305.00,2022-12-07
77,JFL,Janaki Finance Company Limited,25.37,370.50,381.90,370.50,377.00,374.89,"4,114.00",378.00,"1,542,313.50",31,-1.0,11.4,-0.26,3.08,0.56,384.66,397.48,747.00,305.00,2022-12-09
81,JFL,Janaki Finance Company Limited,26.79,369.50,372.00,364.20,364.20,365.82,"6,029.00",377.00,"2,205,549.70",52,-12.8,7.8,-3.4,2.14,-0.45,-,-,747.00,305.00,2022-12-11
79,JFL,Janaki Finance Company Limited,28.57,370.00,377.00,364.00,373.00,368.57,"3,217.00",364.20,"1,185,693.00",41,8.8,13.0,2.42,3.57,1.19,384.92,395.87,747.00,305.00,2022-12-12
78,JFL,Janaki Finance Company Limited,28.53,379.00,379.00,367.50,367.50,370.76,"2,870.00",373.00,"1,064,091.90",37,-5.5,11.5,-1.47,3.13,-0.89,385.12,395.09,747.00,305.00,2022-12-13
80,JFL,Janaki Finance Company Limited,26.3,374.80,389.00,365.20,375.00,371.96,"1,002.00",367.50,"372,707.90",17,7.5,23.8,2.04,6.52,0.81,385.45,394.26,747.00,305.00,2022-12-14
84,JFL,Janaki Finance Company Limited,24.31,380.50,380.50,364.10,373.00,369.38,"1,082.00",375.00,"399,673.40",18,-2.0,16.4,-0.53,4.5,0.97,385.61,393.44,747.00,305.00,2022-12-15
81,JFL,Janaki Finance Company Limited,31.03,372.00,372.00,358.70,361.00,363.20,"8,044.00",373.00,"2,921,565.00",54,-12.0,13.3,-3.22,3.71,-0.61,385.74,392.61,747.00,305.00,2022-12-18
82,JFL,Janaki Finance Company Limited,24.1,368.00,374.00,359.10,359.50,364.05,"2,475.00",361.00,"901,023.50",25,-1.5,14.9,-0.42,4.15,-1.27,386.02,391.81,747.00,305.00,2022-12-19
81,JFL,Janaki Finance Company Limited,24.1,365.90,374.40,365.00,370.00,368.47,"4,595.00",359.50,"1,693,112.20",46,10.5,9.4,2.92,2.58,0.41,386.39,391.16,747.00,305.00,2022-12-20
80,JFL,Janaki Finance Company Limited,28.11,366.00,372.00,364.60,364.60,368.44,"2,904.00",370.00,"1,069,939.40",22,-5.4,7.4,-1.46,2.03,-1.05,386.53,390.54,747.00,305.00,2022-12-21
80,JFL,Janaki Finance Company Limited,23.7,365.00,365.00,353.00,360.00,356.73,"3,674.00",364.60,"1,310,608.70",55,-4.6,12.0,-1.26,3.4,0.91,386.69,389.91,747.00,305.00,2022-12-22
80,JFL,Janaki Finance Company Limited,35.98,367.00,377.90,367.00,377.90,371.77,"8,993.00",360.00,"3,343,316.10",71,17.9,10.9,4.97,2.97,1.62,387.05,389.29,747.00,305.00,2022-12-26
84,JFL,Janaki Finance Company Limited,46.61,385.40,415.60,385.30,411.00,402.02,"66,916.00",377.90,"26,901,641.90",288,33.1,30.30,8.76,7.86,2.18,387.62,388.94,747.00,305.00,2022-12-27
83,JFL,Janaki Finance Company Limited,59.47,412.00,428.00,395.00,420.00,417.16,"41,213.00",411.00,"17,192,482.40",233,9.0,33.0,2.19,8.35,0.68,388.02,388.63,747.00,305.00,2022-12-28
84,JFL,Janaki Finance Company Limited,59.47,411.60,446.20,404.00,444.00,437.75,"49,584.00",420.00,"21,705,634.50",221,24.0,42.2,5.71,10.45,1.41,388.59,388.49,747.00,305.00,2022-12-29
86,JFL,Janaki Finance Company Limited,58.26,451.00,457.00,440.00,444.00,445.56,"46,691.00",444.00,"20,803,576.60",256,0.0,17.00,0.0,3.86,-0.35,389.06,388.37,747.00,305.00,2023-01-01
81,JFL,Janaki Finance Company Limited,58.26,435.20,446.00,430.00,435.00,437.87,"36,419.00",444.00,"15,946,908.10",217,-9.0,16.0,-2.03,3.72,-0.66,389.49,388.25,747.00,305.00,2023-01-02
83,JFL,Janaki Finance Company Limited,50.06,442.80,442.80,425.00,427.00,430.37,"21,734.00",435.00,"9,353,662.10",165,-8.0,17.8,-1.84,4.19,-0.79,389.97,388.07,747.00,305.00,2023-01-03
84,JFL,Janaki Finance Company Limited,46.71,425.00,442.00,425.00,438.00,434.62,"38,833.00",427.00,"16,877,614.60",235,11.0,17.0,2.58,4.0,0.77,390.51,388.03,747.00,305.00,2023-01-04
83,JFL,Janaki Finance Company Limited,47.98,446.70,454.00,436.00,442.60,442.38,"34,003.00",438.00,"15,042,370.30",229,4.6,18.0,1.05,4.13,0.05,391.03,388.09,747.00,305.00,2023-01-05
86,JFL,Janaki Finance Company Limited,49.18,437.00,451.20,434.00,445.00,445.73,"63,346.00",442.60,"28,235,508.40",297,2.40,17.20,0.54,3.96,-0.17,-,-,747.00,305.00,2023-01-08
82,JFL,Janaki Finance Company Limited,56.11,436.20,469.00,436.20,460.00,456.44,"48,913.00",445.00,"22,325,866.60",266,15.0,32.8,3.37,7.52,0.77,392.69,388.36,747.00,305.00,2023-01-09
81,JFL,Janaki Finance Company Limited,48.07,469.20,484.50,418.60,433.00,453.45,"46,290.00",460.00,"20,990,392.40",334,-27.0,65.9,-5.87,15.74,-4.72,393.47,388.52,747.00,305.00,2023-01-10
84,JFL,Janaki Finance Company Limited,48.09,441.60,459.40,418.30,425.30,430.66,"29,271.00",433.00,"12,605,912.50",234,-7.7,41.1,-1.78,9.83,-1.26,393.98,388.66,747.00,305.00,2023-01-12
80,JFL,Janaki Finance Company Limited,42.89,433.80,441.00,418.00,438.00,430.54,"16,561.00",425.30,"7,130,161.20",146,12.7,23.0,2.99,5.5,1.7,394.55,388.99,719.00,305.00,2023-01-17
80,JFL,Janaki Finance Company Limited,44.65,445.00,452.80,429.30,433.50,443.64,"35,029.00",438.00,"15,540,364.80",201,-4.5,23.5,-1.03,5.47,-2.34,395.06,389.31,717.00,305.00,2023-01-18
79,JFL,Janaki Finance Company Limited,43.52,440.00,440.00,418.00,426.00,427.61,"10,422.00",433.50,"4,456,594.50",103,-7.5,22.0,-1.73,5.26,-0.38,395.54,389.37,713.00,305.00,2023-01-19
81,JFL,Janaki Finance Company Limited,39.2,427.00,437.00,419.20,420.30,427.82,"18,265.00",426.00,"7,814,064.40",130,-5.7,17.8,-1.34,4.25,-1.79,395.92,389.39,713.00,305.00,2023-01-23
81,JFL,Janaki Finance Company Limited,40.5,411.90,440.00,406.00,440.00,419.16,"40,022.00",420.30,"16,775,544.60",236,19.7,34.0,4.69,8.37,4.74,396.36,389.52,710.00,305.00,2023-01-24
80,JFL,Janaki Finance Company Limited,46.49,431.20,444.00,422.00,423.00,432.15,"26,079.00",440.00,"11,269,999.70",184,-17.0,22.0,-3.86,5.21,-2.16,396.55,389.50,710.00,305.00,2023-01-25
77,JFL,Janaki Finance Company Limited,42.48,431.00,437.50,424.00,426.90,432.50,"9,571.00",423.00,"4,139,410.40",83,3.9,13.5,0.92,3.18,-1.31,396.85,389.58,710.00,305.00,2023-01-26
81,JFL,Janaki Finance Company Limited,40.2,419.00,429.00,416.10,416.70,419.85,"9,595.00",426.90,"4,028,460.80",67,-10.2,12.9,-2.39,3.1,-0.76,397.16,389.70,710.00,305.00,2023-01-29
81,JFL,Janaki Finance Company Limited,38.34,415.00,417.00,391.00,398.00,403.69,"21,665.00",416.70,"8,745,989.80",164,-18.7,26.0,-4.49,6.65,-1.43,397.09,389.77,710.00,305.00,2023-01-30
82,JFL,Janaki Finance Company Limited,37.22,391.00,406.00,390.00,395.10,395.71,"17,195.00",398.00,"6,804,276.00",120,-2.9,16.0,-0.73,4.1,-0.16,396.69,389.91,710.00,305.00,2023-01-31
78,JFL,Janaki Finance Company Limited,35.28,403.00,403.00,395.00,395.00,397.62,"10,261.00",395.10,"4,079,949.70",77,-0.1,8.0,-0.03,2.03,-0.66,396.44,389.96,710.00,305.00,2023-02-01
80,JFL,Janaki Finance Company Limited,36.64,395.00,400.00,382.10,386.00,388.33,"15,808.00",395.00,"6,138,768.50",126,-9.0,17.9,-2.28,4.68,-0.6,395.76,389.91,710.00,305.00,2023-02-02
83,JFL,Janaki Finance Company Limited,49.26,386.00,402.00,386.00,402.00,398.09,"19,294.00",386.00,"7,680,751.70",154,16.0,16.0,4.15,4.15,0.97,395.07,389.86,696.00,305.00,2023-02-05
82,JFL,Janaki Finance Company Limited,48.71,418.00,440.00,415.00,440.00,428.65,"48,317.00",413.00,"20,711,240.90",297,27.0,25.0,6.54,6.02,2.58,393.97,389.83,631.00,305.00,2023-02-07
81,JFL,Janaki Finance Company Limited,58.70,429.00,439.90,421.00,434.90,431.17,"15,756.00",437.50,"6,793,572.20",114,-2.6,18.9,-0.59,4.49,0.86,393.19,390.23,599.00,305.00,2023-02-09
79,JFL,Janaki Finance Company Limited,46.87,426.30,426.30,409.00,417.00,415.49,"16,837.00",434.90,"6,995,659.70",160,-17.9,17.3,-4.12,4.23,0.36,392.64,390.36,566.00,305.00,2023-02-12
83,JFL,Janaki Finance Company Limited,30.57,409.00,415.00,405.10,412.90,409.46,"8,570.00",417.00,"3,509,059.80",72,-4.10,9.9,-0.98,2.44,0.83,392.13,390.47,565.00,305.00,2023-02-14
81,JFL,Janaki Finance Company Limited,34.25,391.00,417.00,391.00,395.10,400.85,"15,955.00",398.60,"6,395,548.10",126,-3.50,26.00,-0.88,6.65,-1.46,391.09,390.54,565.00,305.00,2023-02-16
80,JFL,Janaki Finance Company Limited,29.7,390.00,403.00,390.00,393.00,396.01,"9,004.00",395.10,"3,565,695.20",72,-2.1,13.0,-0.53,3.33,-0.77,390.66,390.51,563.00,305.00,2023-02-20
88,JFL,Janaki Finance Company Limited,34.98,399.00,408.00,399.00,406.90,404.49,"7,521.00",393.00,"3,042,136.20",88,13.9,9.0,3.54,2.26,0.59,390.50,390.55,563.00,305.00,2023-02-22
82,JFL,Janaki Finance Company Limited,35.39,400.00,400.00,387.70,392.00,393.10,"11,836.00",406.90,"4,652,743.90",107,-14.9,12.3,-3.66,3.17,-0.28,390.20,390.53,563.00,305.00,2023-02-23
82,JFL,Janaki Finance Company Limited,42.76,384.20,401.80,375.00,397.00,391.79,"13,718.00",392.00,"5,374,530.30",108,5.0,26.8,1.28,7.15,1.31,390.02,390.59,538.00,305.00,2023-02-26
81,JFL,Janaki Finance Company Limited,29.35,402.90,402.90,382.00,390.10,394.31,"6,128.00",395.00,"2,416,330.90",59,-4.9,20.9,-1.24,5.47,-1.08,389.63,390.66,538.00,305.00,2023-02-28
82,JFL,Janaki Finance Company Limited,36.86,396.00,396.00,385.00,387.90,387.72,"7,771.00",390.10,"3,012,946.50",67,-2.20,11.00,-0.56,2.86,0.05,389.40,390.68,535.00,305.00,2023-03-01
83,JFL,Janaki Finance Company Limited,21.8,383.20,389.00,381.40,381.40,385.00,"3,950.00",387.90,"1,520,745.10",45,-6.5,7.6,-1.68,1.99,-0.94,389.10,390.69,535.00,305.00,2023-03-02
83,JFL,Janaki Finance Company Limited,22.92,389.00,389.00,370.20,375.00,375.01,"3,355.00",381.40,"1,258,168.30",50,-6.4,18.8,-1.68,5.08,0.0,388.67,390.65,535.00,305.00,2023-03-05
81,JFL,Janaki Finance Company Limited,23.89,380.00,387.00,376.00,376.00,381.05,"3,871.00",375.00,"1,475,034.50",37,1.0,11.0,0.27,2.93,-1.34,388.28,390.65,535.00,305.00,2023-03-07
81,JFL,Janaki Finance Company Limited,43.17,383.00,393.00,382.00,392.00,390.00,"6,220.00",376.00,"2,425,775.00",63,16.0,11.0,4.26,2.88,0.51,388.05,390.65,535.00,305.00,2023-03-09
82,JFL,Janaki Finance Company Limited,37.8,399.80,399.80,380.20,380.20,386.25,"8,033.00",392.00,"3,102,744.60",69,-11.8,19.6,-3.01,5.16,-1.59,387.73,390.63,535.00,305.00,2023-03-12
82,JFL,Janaki Finance Company Limited,36.96,380.00,394.90,374.00,384.00,383.69,"2,166.00",379.00,"831,062.20",33,5.0,20.9,1.32,5.59,0.08,387.17,390.72,535.00,305.00,2023-03-14
81,JFL,Janaki Finance Company Limited,31.26,390.00,390.00,377.00,382.00,381.43,"2,625.00",384.00,"1,001,241.00",35,-2.00,13.0,-0.52,3.45,0.15,386.99,390.81,535.00,305.00,2023-03-15
80,JFL,Janaki Finance Company Limited,41.14,389.00,389.00,378.00,378.00,382.67,"5,744.00",382.00,"2,198,070.20",63,-4.0,11.0,-1.05,2.91,-1.24,386.88,390.94,535.00,305.00,2023-03-16
80,JFL,Janaki Finance Company Limited,41.29,380.10,384.90,379.10,380.00,380.80,"6,859.00",378.00,"2,611,926.00",51,2.0,5.8,0.53,1.53,-0.21,386.74,391.07,535.00,305.00,2023-03-19
79,JFL,Janaki Finance Company Limited,42.39,386.00,388.00,378.20,386.00,382.16,"6,417.00",380.00,"2,452,322.00",54,6.0,9.8,1.58,2.59,0.99,386.66,391.27,535.00,305.00,2023-03-20
81,JFL,Janaki Finance Company Limited,46.02,386.00,392.00,376.40,389.90,381.76,"9,691.00",386.00,"3,699,663.10",62,3.9,15.6,1.01,4.14,2.09,386.70,391.53,535.00,305.00,2023-03-22
80,JFL,Janaki Finance Company Limited,46.02,383.00,383.00,375.00,379.00,377.24,"10,935.00",389.90,"4,125,134.80",75,-10.9,8.0,-2.8,2.13,0.46,-,-,527.00,305.00,2023-03-23
79,JFL,Janaki Finance Company Limited,31.73,377.00,384.00,371.00,372.00,378.76,"7,695.00",375.00,"2,914,574.10",59,-3.0,13.0,-0.8,3.5,-1.82,386.18,392.30,527.00,305.00,2023-03-28
80,JFL,Janaki Finance Company Limited,34.05,370.10,373.00,368.00,368.00,370.56,"6,550.00",372.00,"2,427,150.00",50,-4.0,5.0,-1.08,1.36,-0.69,386.04,392.54,527.00,305.00,2023-03-29
77,JFL,Janaki Finance Company Limited,34.88,374.90,381.90,366.00,366.00,369.12,"6,531.00",368.00,"2,410,692.40",45,-2.0,15.9,-0.54,4.34,-0.85,385.90,392.64,527.00,305.00,2023-03-30
78,JFL,Janaki Finance Company Limited,32.06,370.00,375.00,359.00,359.50,363.21,"10,191.00",366.00,"3,701,498.60",93,-6.5,16.0,-1.78,4.46,-1.03,385.65,392.74,527.00,305.00,2023-04-02
80,JFL,Janaki Finance Company Limited,34.14,366.60,381.30,350.00,361.80,357.84,"7,816.00",359.50,"2,796,909.70",60,2.3,31.3,0.64,8.94,1.09,385.48,392.89,527.00,305.00,2023-04-03
82,JFL,Janaki Finance Company Limited,32.93,360.00,365.00,359.20,362.00,361.48,"3,045.00",361.80,"1,100,693.90",23,0.2,5.8,0.06,1.61,0.14,385.34,393.00,527.00,305.00,2023-04-04
79,JFL,Janaki Finance Company Limited,39.0,362.50,367.00,359.00,366.90,363.91,"2,216.00",362.00,"806,425.50",22,4.9,8.0,1.35,2.23,0.81,385.18,392.97,527.00,305.00,2023-04-05
81,JFL,Janaki Finance Company Limited,39.56,366.90,371.00,353.00,361.00,358.25,"5,137.00",366.90,"1,840,345.20",57,-5.9,18.0,-1.61,5.1,0.76,384.77,392.89,527.00,305.00,2023-04-06
85,JFL,Janaki Finance Company Limited,30.85,355.00,361.00,350.00,357.00,354.18,"2,399.00",361.00,"849,673.00",35,-4.0,11.0,-1.11,3.14,0.79,384.56,392.72,527.00,305.00,2023-04-09
79,JFL,Janaki Finance Company Limited,30.62,353.00,360.00,348.00,353.00,350.35,"3,387.00",357.00,"1,186,643.00",30,-4.0,12.0,-1.12,3.45,0.75,384.37,392.55,527.00,305.00,2023-04-10
79,JFL,Janaki Finance Company Limited,32.27,360.00,360.00,353.00,359.40,356.21,"3,420.00",353.00,"1,218,233.00",31,6.40,7.00,1.81,1.98,0.89,384.38,392.50,527.00,305.00,2023-04-11
80,JFL,Janaki Finance Company Limited,52.61,366.50,392.90,365.00,392.90,378.10,"10,992.00",359.40,"4,156,105.10",119,33.50,27.90,9.32,7.64,3.77,384.72,392.61,527.00,305.00,2023-04-12
81,JFL,Janaki Finance Company Limited,49.24,400.00,400.00,377.00,377.00,386.35,"9,075.00",392.90,"3,506,095.90",93,-15.9,23.00,-4.05,6.1,-2.48,384.86,392.59,527.00,305.00,2023-04-13
81,JFL,Janaki Finance Company Limited,49.24,372.20,384.40,372.20,377.20,379.31,"2,325.00",377.00,"881,890.60",31,0.2,12.2,0.05,3.28,-0.56,385.06,392.66,527.00,305.00,2023-04-16
80,JFL,Janaki Finance Company Limited,26.31,376.30,376.30,361.70,369.20,364.17,"2,703.00",369.00,"984,359.90",25,0.2,14.6,0.05,4.04,1.36,385.35,392.98,527.00,305.00,2023-04-18
80,JFL,Janaki Finance Company Limited,41.54,376.00,391.60,367.00,368.10,379.90,"6,035.00",369.20,"2,292,691.50",29,-1.1,24.6,-0.3,6.7,-3.21,385.49,393.00,527.00,305.00,2023-04-19
80,JFL,Janaki Finance Company Limited,41.54,365.00,375.30,362.60,364.50,369.89,"2,358.00",368.10,"872,196.00",29,-3.6,12.70,-0.98,3.5,-1.48,385.57,392.97,527.00,305.00,2023-04-20
78,JFL,Janaki Finance Company Limited,30.39,360.00,363.00,357.60,361.00,358.89,"4,711.00",364.50,"1,690,744.10",42,-3.5,5.4,-0.96,1.51,0.58,385.51,392.91,527.00,305.00,2023-04-23
83,JFL,Janaki Finance Company Limited,27.91,356.10,363.20,356.00,360.00,358.21,"3,366.00",361.00,"1,205,750.90",21,-1.0,7.2,-0.28,2.02,0.5,385.51,392.86,527.00,305.00,2023-04-24
77,JFL,Janaki Finance Company Limited,28.61,355.10,365.00,355.10,362.10,359.60,"2,514.00",360.00,"904,035.40",30,2.1,9.9,0.58,2.79,0.69,385.59,392.79,527.00,305.00,2023-04-25
77,JFL,Janaki Finance Company Limited,34.73,362.00,369.00,355.50,362.60,359.68,"3,585.00",362.10,"1,289,463.30",44,0.5,13.5,0.14,3.8,0.8,385.59,392.66,527.00,305.00,2023-04-26
79,JFL,Janaki Finance Company Limited,42.5,369.80,379.00,359.10,363.50,371.43,"3,426.00",362.60,"1,272,512.50",31,0.90,19.9,0.25,5.54,-2.18,385.54,392.45,527.00,305.00,2023-04-27
82,JFL,Janaki Finance Company Limited,26.01,363.50,363.50,353.00,354.10,356.07,"3,954.00",363.50,"1,407,913.00",42,-9.4,10.5,-2.59,2.97,-0.56,385.46,392.25,527.00,305.00,2023-04-30
82,JFL,Janaki Finance Company Limited,28.97,356.00,359.90,348.00,349.10,351.68,"4,132.00",354.10,"1,453,145.00",45,-5.0,11.9,-1.41,3.42,-0.74,385.41,392.08,527.00,305.00,2023-05-02
78,JFL,Janaki Finance Company Limited,24.37,343.00,364.60,343.00,350.00,345.44,"2,667.00",349.10,"921,290.00",30,0.9,21.6,0.26,6.3,1.3,385.47,391.77,527.00,305.00,2023-05-03
83,JFL,Janaki Finance Company Limited,24.99,350.00,355.00,349.60,353.90,351.21,"2,050.00",350.00,"719,981.80",29,3.9,5.4,1.11,1.54,0.76,385.53,391.27,527.00,305.00,2023-05-04
82,JFL,Janaki Finance Company Limited,28.39,353.00,353.00,345.00,345.00,347.22,"3,861.00",353.90,"1,340,614.60",32,-8.9,8.0,-2.51,2.32,-0.64,385.48,390.83,527.00,305.00,2023-05-07
81,JFL,Janaki Finance Company Limited,28.78,338.10,357.00,338.10,343.50,347.76,"4,235.00",345.00,"1,472,749.00",25,-1.5,18.9,-0.43,5.59,-1.24,385.24,389.36,527.00,305.00,2023-05-09
77,JFL,Janaki Finance Company Limited,31.78,349.00,350.00,343.00,350.00,347.92,"4,331.00",343.50,"1,506,831.10",21,6.5,7.0,1.89,2.04,0.59,385.10,388.54,527.00,305.00,2023-05-10
78,JFL,Janaki Finance Company Limited,41.32,355.00,363.00,342.00,348.00,357.17,"4,210.00",350.00,"1,503,670.00",17,-2.0,21.0,-0.57,6.14,-2.63,385.05,387.76,527.00,305.00,2023-05-11
