SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
78,JOSHI,Joshi Hydropower Development Company Limited,28.52,190.00,193.90,180.00,183.50,181.42,"21,469.00",187.00,"3,894,821.20",73,-3.5,13.9,-1.87,7.72,1.14,202.87,217.79,385.00,164.80,2022-12-07
78,JOSHI,Joshi Hydropower Development Company Limited,28.52,190.00,193.90,180.00,183.50,181.42,"21,469.00",187.00,"3,894,821.20",73,-3.5,13.9,-1.87,7.72,1.14,202.87,217.79,385.00,164.80,2022-12-09
82,JOSHI,Joshi Hydropower Development Company Limited,29.94,183.00,186.60,180.00,180.00,182.41,"8,521.00",183.50,"1,554,330.50",41,-3.5,6.6,-1.91,3.67,-1.34,-,-,362.00,164.80,2022-12-11
80,JOSHI,Joshi Hydropower Development Company Limited,27.99,183.00,188.00,178.30,188.00,182.32,"9,987.00",180.00,"1,820,800.80",47,8.0,9.7,4.44,5.44,3.02,202.55,216.42,362.00,164.80,2022-12-12
79,JOSHI,Joshi Hydropower Development Company Limited,44.64,185.00,191.00,185.00,188.70,186.28,"3,076.00",188.00,"572,990.60",30,0.7,6.0,0.37,3.24,1.28,202.49,215.80,362.00,164.80,2022-12-13
81,JOSHI,Joshi Hydropower Development Company Limited,39.45,192.00,192.00,185.00,189.00,188.77,"10,191.00",188.70,"1,923,771.80",71,0.3,7.0,0.16,3.78,0.12,202.52,215.13,362.00,164.80,2022-12-14
85,JOSHI,Joshi Hydropower Development Company Limited,40.87,187.00,187.00,183.00,185.00,183.96,"5,962.00",189.00,"1,096,786.30",32,-4.0,4.0,-2.12,2.19,0.56,202.48,214.43,362.00,164.80,2022-12-15
82,JOSHI,Joshi Hydropower Development Company Limited,42.89,182.00,185.00,179.00,184.90,182.17,"5,874.00",185.00,"1,070,094.90",45,-0.1,6.0,-0.05,3.35,1.47,202.47,213.79,362.00,164.80,2022-12-18
83,JOSHI,Joshi Hydropower Development Company Limited,23.86,184.00,185.00,182.00,185.00,183.52,"2,236.00",184.90,"410,349.00",22,0.1,3.0,0.05,1.65,0.8,202.59,213.17,362.00,164.80,2022-12-19
82,JOSHI,Joshi Hydropower Development Company Limited,23.86,185.00,187.00,182.00,184.00,184.30,"2,035.00",185.00,"375,046.00",30,-1.0,5.0,-0.54,2.75,-0.16,202.68,212.60,362.00,164.80,2022-12-20
81,JOSHI,Joshi Hydropower Development Company Limited,24.57,181.20,185.00,181.20,185.00,182.55,"5,286.00",184.00,"964,956.30",25,1.0,3.8,0.54,2.1,1.32,202.64,212.05,362.00,164.80,2022-12-21
81,JOSHI,Joshi Hydropower Development Company Limited,31.49,182.30,186.00,178.80,181.00,180.91,"6,453.00",185.00,"1,167,414.70",40,-4.0,7.2,-2.16,4.03,0.05,202.56,211.50,362.00,164.80,2022-12-22
81,JOSHI,Joshi Hydropower Development Company Limited,34.36,184.60,195.00,182.10,195.00,190.24,"11,829.00",181.00,"2,250,382.90",92,14.0,12.9,7.73,7.08,2.44,202.63,210.98,362.00,164.80,2022-12-26
85,JOSHI,Joshi Hydropower Development Company Limited,47.52,198.90,202.80,192.00,196.00,198.06,"49,311.00",195.00,"9,766,402.10",285,1.0,10.80,0.51,5.63,-1.05,202.64,210.51,362.00,164.80,2022-12-27
84,JOSHI,Joshi Hydropower Development Company Limited,53.07,195.20,201.90,193.00,193.00,195.82,"20,504.00",196.00,"4,015,160.70",120,-3.0,8.9,-1.53,4.61,-1.46,202.55,210.03,362.00,164.80,2022-12-28
85,JOSHI,Joshi Hydropower Development Company Limited,53.07,195.00,206.00,193.00,205.00,200.88,"27,481.00",193.00,"5,520,488.10",138,12.0,13.0,6.22,6.74,2.01,202.55,209.63,362.00,164.80,2022-12-29
87,JOSHI,Joshi Hydropower Development Company Limited,53.85,209.00,209.90,199.00,204.00,204.45,"28,988.00",205.00,"5,926,474.20",188,-1.0,10.90,-0.49,5.48,-0.22,202.46,209.28,362.00,164.80,2023-01-01
82,JOSHI,Joshi Hydropower Development Company Limited,53.85,200.00,211.00,200.00,205.00,204.71,"49,870.00",204.00,"10,208,662.00",152,1.0,11.0,0.49,5.5,0.14,202.38,208.92,362.00,164.80,2023-01-02
84,JOSHI,Joshi Hydropower Development Company Limited,57.79,205.00,218.00,202.00,203.00,205.10,"28,213.00",205.00,"5,786,441.50",134,-2.0,16.0,-0.98,7.92,-1.03,202.38,208.54,362.00,164.80,2023-01-03
85,JOSHI,Joshi Hydropower Development Company Limited,58.25,207.00,213.20,203.10,212.00,209.30,"32,201.00",203.00,"6,739,518.50",186,9.0,10.1,4.43,4.97,1.28,202.39,208.26,362.00,164.80,2023-01-04
84,JOSHI,Joshi Hydropower Development Company Limited,54.79,215.50,219.70,209.00,215.20,214.61,"36,430.00",212.00,"7,818,402.20",202,3.2,10.7,1.51,5.12,0.27,202.45,208.03,362.00,164.80,2023-01-05
87,JOSHI,Joshi Hydropower Development Company Limited,55.99,219.00,233.00,211.00,219.00,222.08,"50,354.00",215.20,"11,182,416.30",254,3.80,22.00,1.77,10.43,-1.4,-,-,362.00,164.80,2023-01-08
83,JOSHI,Joshi Hydropower Development Company Limited,62.17,223.00,240.90,222.00,240.90,235.01,"82,662.00",219.00,"19,426,248.30",292,21.9,18.9,10.0,8.51,2.45,202.99,207.75,362.00,164.80,2023-01-09
82,JOSHI,Joshi Hydropower Development Company Limited,60.36,245.60,264.00,239.00,243.00,254.83,"122,414.00",240.90,"31,194,430.10",644,2.1,25.0,0.87,10.46,-4.87,203.40,207.77,362.00,164.80,2023-01-10
85,JOSHI,Joshi Hydropower Development Company Limited,60.38,247.80,260.00,238.10,241.00,247.19,"103,369.00",243.00,"25,551,910.70",393,-2.0,21.9,-0.82,9.2,-2.57,203.67,207.78,362.00,164.80,2023-01-12
81,JOSHI,Joshi Hydropower Development Company Limited,57.84,244.00,265.10,240.30,260.00,255.41,"62,583.00",241.00,"15,984,165.30",345,19.0,24.8,7.88,10.32,1.77,204.10,207.95,362.00,164.80,2023-01-17
81,JOSHI,Joshi Hydropower Development Company Limited,56.4,255.10,274.50,255.10,260.00,268.47,"84,221.00",260.00,"22,610,676.00",374,0.0,19.4,0.0,7.6,-3.26,204.58,208.12,358.00,164.80,2023-01-18
80,JOSHI,Joshi Hydropower Development Company Limited,52.12,265.20,265.20,250.00,257.00,257.54,"27,299.00",260.00,"7,030,586.80",154,-3.0,15.2,-1.15,6.08,-0.21,205.05,208.16,352.00,164.80,2023-01-19
82,JOSHI,Joshi Hydropower Development Company Limited,46.08,257.00,263.00,246.00,246.00,250.84,"41,068.00",257.00,"10,301,597.70",176,-11.0,17.0,-4.28,6.91,-1.97,205.40,208.19,352.00,164.80,2023-01-23
82,JOSHI,Joshi Hydropower Development Company Limited,45.91,242.00,252.00,235.00,249.90,240.85,"23,414.00",246.00,"5,639,176.00",172,3.9,17.0,1.59,7.23,3.62,205.80,208.24,350.30,164.80,2023-01-24
81,JOSHI,Joshi Hydropower Development Company Limited,40.65,245.00,264.80,245.00,252.00,254.09,"14,736.00",249.90,"3,744,245.70",130,2.1,19.8,0.84,8.08,-0.83,206.18,208.29,350.30,164.80,2023-01-25
78,JOSHI,Joshi Hydropower Development Company Limited,40.62,256.50,258.00,249.10,253.00,253.26,"33,127.00",252.00,"8,389,749.60",167,1.0,8.9,0.4,3.57,-0.1,206.60,208.38,350.30,164.80,2023-01-26
