SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
81,KBLD86,10.25% Kumari Bank Debenture 2086,40.76,914.60,914.60,914.60,914.60,914.60,40.00,914.60,"36,584.00",1,0.0,0.0,0.0,0.0,0.0,"1,021.42",-,"1,060.00",896.70,2022-12-07
81,KBLD86,10.25% Kumari Bank Debenture 2086,40.76,914.60,914.60,914.60,914.60,914.60,40.00,914.60,"36,584.00",1,0.0,0.0,0.0,0.0,0.0,"1,021.42",-,"1,060.00",896.70,2022-12-09
84,KBLD86,10.25% Kumari Bank Debenture 2086,38.49,896.40,896.40,896.40,896.40,896.40,25.00,914.60,"22,410.00",1,-18.2,0.0,-1.99,0.0,0.0,"1,020.14",-,"1,060.00",896.40,2022-12-26
88,KBLD86,10.25% Kumari Bank Debenture 2086,42.41,910.00,910.00,910.00,910.00,910.00,150.00,896.40,"136,500.00",3,13.6,0.0,1.52,0.0,0.0,"1,018.98",-,"1,060.00",896.40,2022-12-29
85,KBLD86,10.25% Kumari Bank Debenture 2086,55.67,928.20,928.20,928.20,928.20,928.20,10.00,910.00,"9,282.00",1,18.2,0.0,2.0,0.0,0.0,"1,017.96",-,"1,060.00",896.40,2023-01-09
85,KBLD86,10.25% Kumari Bank Debenture 2086,52.75,909.70,909.70,892.00,892.00,893.61,110.00,928.20,"98,297.00",2,-36.2,17.7,-3.9,1.98,-0.18,"1,016.64",0.00,"1,033.90",892.00,2023-01-23
84,KBLD86,10.25% Kumari Bank Debenture 2086,48.91,900.00,900.00,900.00,900.00,900.00,50.00,892.00,"45,000.00",1,8.0,0.0,0.9,0.0,0.0,"1,015.39",0.00,"1,033.90",892.00,2023-01-25
85,KBLD86,10.25% Kumari Bank Debenture 2086,56.47,882.00,882.00,864.40,864.40,867.38,200.00,900.00,"173,476.80",3,-35.6,17.6,-3.96,2.04,-0.35,"1,013.85",0.00,"1,009.50",864.40,2023-01-29
87,KBLD86,10.25% Kumari Bank Debenture 2086,33.02,848.00,848.00,848.00,848.00,848.00,26.00,864.40,"22,048.00",1,-16.4,0.0,-1.9,0.0,0.0,"1,012.16",0.00,"1,009.50",848.00,2023-02-05
86,KBLD86,10.25% Kumari Bank Debenture 2086,32.14,864.90,865.00,850.10,850.10,861.25,100.00,848.00,"86,125.00",3,2.1,14.9,0.25,1.75,-1.31,"1,010.62",0.00,"1,009.50",848.00,2023-02-07
85,KBLD86,10.25% Kumari Bank Debenture 2086,46.16,867.10,884.40,866.80,866.80,868.37,170.00,850.10,"147,623.00",4,16.7,17.6,1.96,2.03,-0.18,"1,009.22",0.00,"1,009.50",848.00,2023-02-09
85,KBLD86,10.25% Kumari Bank Debenture 2086,45.5,864.00,864.00,864.00,864.00,864.00,25.00,866.80,"21,600.00",1,-2.80,0.00,-0.32,0.0,0.0,"1,007.75",0.00,"1,009.50",848.00,2023-02-16
85,KBLD86,10.25% Kumari Bank Debenture 2086,39.07,847.00,847.00,847.00,847.00,847.00,45.00,864.00,"38,115.00",1,-17.0,0.0,-1.97,0.0,0.0,"1,006.06",0.00,"1,009.50",847.00,2023-02-28
86,KBLD86,10.25% Kumari Bank Debenture 2086,36.18,837.10,837.10,837.10,837.10,837.10,27.00,847.00,"22,601.70",1,-9.90,0.00,-1.17,0.0,0.0,"1,004.29",0.00,"1,009.50",837.10,2023-03-01
