SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
82,KDBY,Kumari Dhanabriddhi Yojana,43.88,8.00,8.62,8.00,8.58,8.29,"1,900.00",8.16,"15,754.00",19,0.42,0.62,5.15,7.75,3.36,-,-,10.00,7.46,2022-12-07
82,KDBY,Kumari Dhanabriddhi Yojana,43.88,8.00,8.62,8.00,8.58,8.29,"1,900.00",8.16,"15,754.00",19,0.42,0.62,5.15,7.75,3.36,-,-,10.00,7.46,2022-12-09
85,KDBY,Kumari Dhanabriddhi Yojana,45.29,8.41,8.75,8.00,8.75,8.33,"3,000.00",8.58,"24,987.00",26,0.17,0.75,1.98,9.38,4.81,-,-,10.00,7.46,2022-12-11
84,KDBY,Kumari Dhanabriddhi Yojana,47.6,8.58,8.58,8.25,8.25,8.41,300.00,8.75,"2,524.00",3,-0.5,0.33,-5.71,4.0,-1.98,-,-,10.00,7.46,2022-12-12
82,KDBY,Kumari Dhanabriddhi Yojana,41.74,8.10,8.15,7.96,8.15,8.05,"1,600.00",8.25,"12,879.00",11,-0.1,0.19,-1.21,2.39,1.23,-,-,10.00,7.46,2022-12-13
84,KDBY,Kumari Dhanabriddhi Yojana,31.65,8.00,8.16,8.00,8.00,8.04,"4,300.00",8.15,"34,588.00",27,-0.15,0.16,-1.84,2.0,-0.55,-,-,10.00,7.46,2022-12-14
88,KDBY,Kumari Dhanabriddhi Yojana,29.66,7.86,8.10,7.86,8.10,7.97,"2,000.00",8.00,"15,941.00",16,0.1,0.24,1.25,3.05,1.6,-,-,10.00,7.46,2022-12-15
85,KDBY,Kumari Dhanabriddhi Yojana,25.96,7.94,7.95,7.88,7.95,7.92,"2,200.00",8.10,"17,424.00",20,-0.15,0.07,-1.85,0.89,0.38,-,-,10.00,7.46,2022-12-18
86,KDBY,Kumari Dhanabriddhi Yojana,31.83,7.82,8.07,7.82,7.92,7.94,"7,300.00",7.95,"57,987.00",23,-0.03,0.25,-0.38,3.2,-0.3,-,-,10.00,7.46,2022-12-19
86,KDBY,Kumari Dhanabriddhi Yojana,31.83,7.92,8.10,7.80,8.09,7.97,"6,600.00",7.92,"52,613.00",23,0.17,0.3,2.15,3.85,1.46,-,-,10.00,7.46,2022-12-20
84,KDBY,Kumari Dhanabriddhi Yojana,50.44,7.93,7.95,7.93,7.94,7.94,"2,300.00",8.09,"18,263.00",18,-0.15,0.02,-1.85,0.25,-0.01,-,-,10.00,7.46,2022-12-21
84,KDBY,Kumari Dhanabriddhi Yojana,26.65,7.80,8.05,7.80,7.90,7.92,"2,000.00",7.94,"15,845.00",15,-0.04,0.25,-0.5,3.21,-0.28,-,-,10.00,7.46,2022-12-22
85,KDBY,Kumari Dhanabriddhi Yojana,25.49,7.80,8.05,7.76,7.89,7.88,"2,850.00",7.90,"22,465.00",26,-0.01,0.29,-0.13,3.74,0.1,-,-,10.00,7.46,2022-12-26
88,KDBY,Kumari Dhanabriddhi Yojana,28.7,8.04,8.15,7.92,8.00,8.00,"2,950.00",7.89,"23,595.00",24,0.11,0.23,1.39,2.9,0.02,-,-,10.00,7.46,2022-12-27
87,KDBY,Kumari Dhanabriddhi Yojana,47.04,7.90,8.05,7.90,7.98,7.96,"2,100.00",8.00,"16,721.00",16,-0.02,0.15,-0.25,1.9,0.22,-,-,10.00,7.46,2022-12-28
89,KDBY,Kumari Dhanabriddhi Yojana,47.04,8.00,8.26,7.84,8.16,8.03,"2,400.00",7.98,"19,268.00",22,0.18,0.42,2.26,5.36,1.61,-,-,10.00,7.46,2022-12-29
89,KDBY,Kumari Dhanabriddhi Yojana,53.9,8.16,8.18,8.02,8.18,8.07,"8,715.00",8.16,"70,372.60",24,0.02,0.16,0.25,2.0,1.29,-,-,10.00,7.46,2023-01-01
84,KDBY,Kumari Dhanabriddhi Yojana,53.9,8.18,8.20,8.04,8.06,8.12,"3,350.00",8.18,"27,193.00",20,-0.12,0.16,-1.47,1.99,-0.71,-,-,10.00,7.46,2023-01-02
86,KDBY,Kumari Dhanabriddhi Yojana,53.07,8.00,8.26,8.00,8.12,8.09,"4,700.00",8.06,"38,007.00",24,0.06,0.26,0.74,3.25,0.41,-,-,10.00,7.46,2023-01-03
87,KDBY,Kumari Dhanabriddhi Yojana,58.19,8.10,8.20,8.08,8.20,8.13,"3,350.00",8.12,"27,247.00",21,0.08,0.12,0.99,1.49,0.81,-,-,10.00,7.46,2023-01-04
86,KDBY,Kumari Dhanabriddhi Yojana,63.8,8.11,8.75,8.11,8.58,8.52,"9,400.00",8.20,"80,106.00",28,0.38,0.64,4.63,7.89,0.68,-,-,10.00,7.46,2023-01-05
89,KDBY,Kumari Dhanabriddhi Yojana,65.0,8.41,8.75,8.30,8.50,8.43,"5,400.00",8.58,"45,533.00",35,-0.08,0.45,-0.93,5.42,0.8,-,-,10.00,7.46,2023-01-08
86,KDBY,Kumari Dhanabriddhi Yojana,64.21,8.35,9.30,8.35,9.30,8.65,"7,800.00",8.50,"67,501.00",31,0.8,0.95,9.41,11.38,6.95,-,-,10.00,7.46,2023-01-09
84,KDBY,Kumari Dhanabriddhi Yojana,64.53,9.12,9.48,8.94,9.48,9.03,"22,350.00",9.30,"201,855.00",59,0.18,0.54,1.94,6.04,4.73,-,-,10.00,7.46,2023-01-10
87,KDBY,Kumari Dhanabriddhi Yojana,64.55,9.50,10.43,9.22,10.43,9.54,"17,580.00",9.48,"167,636.20",54,0.95,1.21,10.02,13.12,8.58,-,-,10.43,7.46,2023-01-12
83,KDBY,Kumari Dhanabriddhi Yojana,63.68,10.23,10.23,10.10,10.10,10.19,300.00,10.43,"3,056.00",3,-0.33,0.13,-3.16,1.29,-0.86,0.00,0.00,10.43,7.46,2023-01-17
83,KDBY,Kumari Dhanabriddhi Yojana,56.07,9.90,9.90,9.90,9.90,9.90,600.00,10.10,"5,940.00",3,-0.2,0.0,-1.98,0.0,0.0,0.00,0.00,10.43,7.46,2023-01-18
82,KDBY,Kumari Dhanabriddhi Yojana,48.9,9.71,9.71,8.97,9.02,9.06,"14,950.00",9.90,"135,492.70",60,-0.88,0.74,-8.89,8.25,-0.48,0.00,0.00,10.43,7.46,2023-01-19
86,KDBY,Kumari Dhanabriddhi Yojana,44.99,8.84,9.02,8.56,8.77,8.68,"6,800.00",9.02,"59,033.00",32,-0.25,0.46,-2.77,5.37,1.01,0.00,0.00,10.43,7.46,2023-01-23
86,KDBY,Kumari Dhanabriddhi Yojana,40.49,8.60,9.07,8.20,8.97,8.66,"9,700.00",8.77,"83,965.80",49,0.2,0.87,2.28,10.61,3.5,0.00,0.00,10.43,7.46,2023-01-24
85,KDBY,Kumari Dhanabriddhi Yojana,43.23,8.80,8.85,8.68,8.85,8.73,"2,250.00",8.97,"19,641.00",18,-0.12,0.17,-1.34,1.96,1.36,0.00,0.00,10.43,7.46,2023-01-25
82,KDBY,Kumari Dhanabriddhi Yojana,38.72,8.80,9.00,8.68,8.68,8.77,"13,150.00",8.85,"115,389.00",47,-0.17,0.32,-1.92,3.69,-1.09,0.00,0.00,10.43,7.46,2023-01-26
86,KDBY,Kumari Dhanabriddhi Yojana,45.24,8.51,8.89,8.51,8.78,8.59,"5,700.00",8.68,"48,981.00",31,0.1,0.38,1.15,4.47,2.13,0.00,0.00,10.43,7.46,2023-01-29
85,KDBY,Kumari Dhanabriddhi Yojana,44.07,8.61,8.63,8.35,8.46,8.46,"9,000.00",8.78,"76,177.50",35,-0.32,0.28,-3.64,3.35,-0.05,0.00,0.00,10.43,7.46,2023-01-30
86,KDBY,Kumari Dhanabriddhi Yojana,40.45,8.46,8.56,8.32,8.56,8.43,"2,440.00",8.46,"20,571.20",21,0.1,0.24,1.18,2.88,1.51,0.00,0.00,10.43,7.46,2023-01-31
83,KDBY,Kumari Dhanabriddhi Yojana,33.71,8.40,8.60,8.24,8.55,8.41,"3,850.00",8.56,"32,397.00",33,-0.01,0.36,-0.12,4.37,1.58,8.39,0.00,10.43,7.46,2023-02-01
84,KDBY,Kumari Dhanabriddhi Yojana,37.03,8.38,8.50,8.30,8.35,8.38,"2,600.00",8.55,"21,784.00",19,-0.2,0.2,-2.34,2.41,-0.34,8.38,0.00,10.43,7.46,2023-02-02
88,KDBY,Kumari Dhanabriddhi Yojana,37.9,8.19,8.44,8.19,8.40,8.33,"7,200.00",8.35,"59,959.00",40,0.05,0.25,0.6,3.05,0.86,8.38,0.00,10.43,7.46,2023-02-05
88,KDBY,Kumari Dhanabriddhi Yojana,32.5,8.14,8.48,8.14,8.48,8.42,"3,200.00",8.30,"26,934.00",22,0.18,0.34,2.17,4.18,0.74,8.37,0.00,10.43,7.46,2023-02-07
86,KDBY,Kumari Dhanabriddhi Yojana,52.63,8.50,8.50,8.37,8.42,8.43,"1,920.00",8.60,"16,188.80",16,-0.18,0.13,-2.09,1.55,-0.14,8.36,0.00,10.43,7.46,2023-02-09
83,KDBY,Kumari Dhanabriddhi Yojana,47.71,8.26,8.47,8.26,8.33,8.39,"8,370.00",8.42,"70,259.30",29,-0.09,0.21,-1.07,2.54,-0.77,8.36,0.00,10.43,7.46,2023-02-12
87,KDBY,Kumari Dhanabriddhi Yojana,42.87,8.19,8.35,8.19,8.20,8.22,"7,300.00",8.33,"60,033.00",28,-0.13,0.16,-1.56,1.95,-0.29,8.35,0.00,10.43,7.46,2023-02-14
