SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
84,KKHC,Khani Khola Hydropower Company Limited,27.56,184.00,184.00,178.00,178.00,180.30,"3,418.00",181.20,"616,281.30",33,-3.2,6.0,-1.77,3.37,-1.29,201.91,218.75,365.00,166.00,2022-12-07
84,KKHC,Khani Khola Hydropower Company Limited,27.56,184.00,184.00,178.00,178.00,180.30,"3,418.00",181.20,"616,281.30",33,-3.2,6.0,-1.77,3.37,-1.29,201.91,218.75,365.00,166.00,2022-12-09
87,KKHC,Khani Khola Hydropower Company Limited,28.97,178.00,178.00,172.00,174.50,175.05,"3,920.00",178.00,"686,211.00",27,-3.5,6.0,-1.97,3.49,-0.32,-,-,365.00,166.00,2022-12-11
86,KKHC,Khani Khola Hydropower Company Limited,29.82,174.50,180.00,174.50,177.60,176.98,"5,022.00",174.50,"888,790.80",36,3.1,5.5,1.78,3.15,0.35,201.32,217.28,365.00,166.00,2022-12-12
84,KKHC,Khani Khola Hydropower Company Limited,31.39,180.00,183.00,178.00,183.00,180.25,"5,057.00",177.60,"911,529.50",28,5.4,5.0,3.04,2.81,1.5,201.18,216.62,365.00,166.00,2022-12-13
86,KKHC,Khani Khola Hydropower Company Limited,38.51,180.00,183.60,178.00,178.50,180.33,995.00,183.00,"179,429.30",19,-4.5,5.6,-2.46,3.15,-1.03,201.10,215.87,365.00,166.00,2022-12-14
90,KKHC,Khani Khola Hydropower Company Limited,28.19,176.00,177.40,173.50,173.90,175.85,"5,902.00",178.50,"1,037,841.60",53,-4.6,3.9,-2.58,2.25,-1.12,200.95,215.11,365.00,166.00,2022-12-15
87,KKHC,Khani Khola Hydropower Company Limited,28.95,174.00,175.40,170.50,170.50,171.25,"4,569.00",173.90,"782,440.20",39,-3.4,4.9,-1.96,2.87,-0.44,200.77,214.40,365.00,166.00,2022-12-18
88,KKHC,Khani Khola Hydropower Company Limited,30.44,167.10,177.20,163.80,173.00,169.95,"6,687.00",170.50,"1,136,486.60",53,2.5,13.4,1.47,8.18,1.76,200.71,213.69,365.00,163.80,2022-12-19
88,KKHC,Khani Khola Hydropower Company Limited,30.44,176.40,187.00,173.00,176.00,176.14,"3,358.00",173.00,"591,492.00",29,3.0,14.0,1.73,8.09,-0.08,200.63,213.03,365.00,163.80,2022-12-20
86,KKHC,Khani Khola Hydropower Company Limited,36.25,177.00,179.00,171.10,178.80,173.64,"1,513.00",176.00,"262,719.70",22,2.8,7.9,1.59,4.62,2.89,200.44,212.42,365.00,163.80,2022-12-21
86,KKHC,Khani Khola Hydropower Company Limited,41.04,175.40,175.40,172.00,174.00,173.74,"2,715.00",178.80,"471,708.20",30,-4.8,3.4,-2.68,1.98,0.15,200.26,211.77,365.00,163.80,2022-12-22
87,KKHC,Khani Khola Hydropower Company Limited,41.77,177.40,189.00,176.00,186.00,180.42,"14,374.00",174.00,"2,593,373.00",120,12.0,13.0,6.9,7.39,3.0,200.17,211.17,365.00,163.80,2022-12-26
90,KKHC,Khani Khola Hydropower Company Limited,49.73,189.70,200.00,189.70,198.60,196.80,"22,550.00",186.00,"4,437,917.30",189,12.6,10.30,6.77,5.43,0.9,200.14,210.69,365.00,163.80,2022-12-27
89,KKHC,Khani Khola Hydropower Company Limited,55.3,199.00,199.00,188.00,194.00,194.66,"17,731.00",198.60,"3,451,437.70",143,-4.6,11.0,-2.32,5.85,-0.34,199.99,210.24,365.00,163.80,2022-12-28
91,KKHC,Khani Khola Hydropower Company Limited,55.3,194.00,204.00,190.60,203.90,198.92,"15,176.00",194.00,"3,018,838.40",112,9.9,13.4,5.1,7.03,2.44,199.94,209.84,365.00,163.80,2022-12-29
91,KKHC,Khani Khola Hydropower Company Limited,54.4,207.00,216.00,204.00,206.00,209.68,"20,819.00",203.90,"4,365,299.70",143,2.1,12.00,1.03,5.88,-1.79,199.81,209.49,365.00,163.80,2023-01-01
86,KKHC,Khani Khola Hydropower Company Limited,54.4,210.00,213.50,203.90,210.00,209.53,"9,693.00",206.00,"2,030,971.00",84,4.0,9.6,1.94,4.71,0.22,199.77,209.18,365.00,163.80,2023-01-02
88,KKHC,Khani Khola Hydropower Company Limited,49.65,214.00,217.90,206.10,208.00,209.71,"9,119.00",210.00,"1,912,315.00",76,-2.0,11.8,-0.95,5.73,-0.82,199.76,208.84,365.00,163.80,2023-01-03
89,KKHC,Khani Khola Hydropower Company Limited,55.55,208.00,216.10,207.70,215.00,213.38,"21,569.00",208.00,"4,602,457.40",108,7.0,8.4,3.37,4.04,0.75,199.75,208.57,365.00,163.80,2023-01-04
88,KKHC,Khani Khola Hydropower Company Limited,57.26,219.00,224.00,215.00,223.00,219.96,"36,644.00",215.00,"8,060,305.70",189,8.0,9.0,3.72,4.19,1.36,199.85,208.39,365.00,163.80,2023-01-05
91,KKHC,Khani Khola Hydropower Company Limited,58.46,227.40,236.50,222.00,229.00,228.71,"26,523.00",223.00,"6,066,201.80",182,6.00,14.50,2.69,6.53,0.12,-,-,365.00,163.80,2023-01-08
88,KKHC,Khani Khola Hydropower Company Limited,60.07,233.00,251.90,230.00,251.90,241.61,"34,717.00",229.00,"8,388,079.00",232,22.9,21.9,10.0,9.52,4.08,200.46,208.22,365.00,163.80,2023-01-09
86,KKHC,Khani Khola Hydropower Company Limited,60.12,253.90,277.00,249.90,268.30,273.75,"97,207.00",251.90,"26,610,605.30",556,16.4,27.1,6.51,10.84,-2.03,201.03,208.36,365.00,163.80,2023-01-10
89,KKHC,Khani Khola Hydropower Company Limited,60.14,273.60,288.00,249.00,252.00,262.58,"38,408.00",268.30,"10,085,336.60",269,-16.3,39.0,-6.08,15.66,-4.2,201.36,208.42,365.00,163.80,2023-01-12
85,KKHC,Khani Khola Hydropower Company Limited,53.68,257.00,270.50,247.00,260.00,256.46,"28,789.00",252.00,"7,383,168.40",221,8.0,23.5,3.17,9.51,1.36,201.78,208.59,365.00,163.80,2023-01-17
85,KKHC,Khani Khola Hydropower Company Limited,52.45,265.00,279.00,265.00,270.00,272.58,"54,642.00",260.00,"14,894,541.00",272,10.0,14.0,3.85,5.28,-0.96,202.27,208.81,357.00,163.80,2023-01-18
84,KKHC,Khani Khola Hydropower Company Limited,51.87,270.00,273.00,267.00,269.00,270.42,"11,140.00",270.00,"3,012,534.30",103,-1.0,6.0,-0.37,2.25,-0.53,202.74,208.89,351.90,163.80,2023-01-19
88,KKHC,Khani Khola Hydropower Company Limited,43.14,270.00,270.00,253.00,257.00,259.16,"19,485.00",269.00,"5,049,683.80",134,-12.0,17.0,-4.46,6.72,-0.84,203.12,208.89,351.90,163.80,2023-01-23
88,KKHC,Khani Khola Hydropower Company Limited,44.39,251.90,256.50,237.80,256.50,246.34,"44,705.00",257.00,"11,012,504.20",237,-0.5,18.7,-0.19,7.86,3.96,203.47,208.88,351.90,163.80,2023-01-24
87,KKHC,Khani Khola Hydropower Company Limited,47.83,253.50,267.20,253.50,264.90,263.29,"19,341.00",256.50,"5,092,352.80",122,8.4,13.7,3.27,5.4,0.61,203.90,208.93,351.90,163.80,2023-01-25
84,KKHC,Khani Khola Hydropower Company Limited,44.31,270.00,272.10,262.00,262.00,265.71,"8,866.00",264.90,"2,355,758.40",89,-2.9,10.1,-1.09,3.85,-1.41,204.30,209.00,351.90,163.80,2023-01-26
88,KKHC,Khani Khola Hydropower Company Limited,39.83,262.00,264.10,253.90,257.00,259.39,"15,345.00",262.00,"3,980,304.40",111,-5.0,10.2,-1.91,4.02,-0.93,204.72,209.11,351.90,163.80,2023-01-29
87,KKHC,Khani Khola Hydropower Company Limited,42.09,262.00,262.00,250.00,250.10,252.52,"10,487.00",257.00,"2,648,217.20",110,-6.9,12.0,-2.68,4.8,-0.97,204.99,209.23,351.90,163.80,2023-01-30
88,KKHC,Khani Khola Hydropower Company Limited,37.69,245.10,260.00,236.00,250.00,249.81,"15,972.00",250.10,"3,990,029.00",123,-0.1,24.0,-0.04,10.17,0.07,205.11,209.35,351.90,163.80,2023-01-31
