SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
85,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,42.61,423.50,440.50,423.50,440.50,431.97,30.00,415.20,"12,959.00",3,25.3,17.0,6.09,4.01,1.94,-,-,440.50,303.20,2022-12-07
85,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,42.61,423.50,440.50,423.50,440.50,431.97,30.00,415.20,"12,959.00",3,25.3,17.0,6.09,4.01,1.94,-,-,440.50,303.20,2022-12-09
88,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,44.03,449.30,458.20,449.30,458.20,453.75,20.00,440.50,"9,075.00",2,17.7,8.9,4.02,1.98,0.97,-,-,458.20,303.20,2022-12-11
87,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,40.18,467.30,467.30,467.30,467.30,467.30,10.00,458.20,"4,673.00",1,9.1,0.0,1.99,0.0,0.0,-,-,467.30,303.20,2022-12-12
85,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,37.4,476.60,476.60,476.60,476.60,476.60,10.00,467.30,"4,766.00",1,9.3,0.0,1.99,0.0,0.0,-,-,476.60,303.20,2022-12-13
87,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,36.49,486.10,505.70,486.10,505.70,495.87,30.00,476.60,"14,876.00",3,29.1,19.6,6.11,4.03,1.94,-,-,505.70,303.20,2022-12-14
91,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,38.74,515.80,515.80,515.80,515.80,515.80,10.00,505.70,"5,158.00",1,10.1,0.0,2.0,0.0,0.0,-,-,515.80,303.20,2022-12-15
88,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,31.89,526.10,547.30,526.10,547.30,536.67,30.00,515.80,"16,100.00",3,31.5,21.2,6.11,4.03,1.94,-,-,547.30,303.20,2022-12-18
89,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,39.19,558.20,580.60,558.20,580.60,569.37,30.00,547.30,"17,081.00",3,33.3,22.4,6.08,4.01,1.93,-,-,580.60,303.20,2022-12-19
89,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,39.19,592.20,604.00,592.20,604.00,598.10,20.00,580.60,"11,962.00",2,23.4,11.8,4.03,1.99,0.98,-,-,604.00,303.20,2022-12-20
87,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,36.96,616.00,616.00,616.00,616.00,616.00,11.00,604.00,"6,776.00",2,12.0,0.0,1.99,0.0,0.0,-,-,616.00,303.20,2022-12-21
87,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,32.99,628.30,640.80,628.30,640.80,634.55,20.00,616.00,"12,691.00",2,24.8,12.5,4.03,1.99,0.98,-,-,640.80,303.20,2022-12-22
88,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,34.07,653.60,704.80,653.60,704.80,679.66,50.00,640.80,"33,983.00",5,64.0,51.2,9.99,7.83,3.57,-,-,704.80,303.20,2022-12-26
91,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,40.09,718.80,762.60,718.80,762.60,740.37,41.00,704.80,"30,355.00",5,57.8,43.80,8.2,6.09,2.92,-,-,762.60,303.20,2022-12-27
90,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,46.43,777.80,838.80,777.80,838.80,820.08,80.00,762.60,"65,606.00",8,76.2,61.0,9.99,7.84,2.23,-,-,838.80,303.20,2022-12-28
92,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,46.43,855.50,872.60,855.50,872.60,864.05,20.00,838.80,"17,281.00",2,33.8,17.1,4.03,2.0,0.98,-,-,872.60,303.20,2022-12-29
92,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,46.5,890.00,959.80,890.00,959.80,935.36,70.00,872.60,"65,475.00",7,87.2,69.80,9.99,7.84,2.55,-,-,959.80,303.20,2023-01-01
