SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
88,KPCL,Kalika Power Company Limited,45.08,325.30,325.30,314.10,318.00,316.05,"2,916.00",319.00,"921,591.00",20,-1.0,11.2,-0.31,3.57,0.61,357.76,386.24,579.00,289.00,2022-12-07
88,KPCL,Kalika Power Company Limited,45.08,325.30,325.30,314.10,318.00,316.05,"2,916.00",319.00,"921,591.00",20,-1.0,11.2,-0.31,3.57,0.61,357.76,386.24,579.00,289.00,2022-12-09
91,KPCL,Kalika Power Company Limited,46.49,318.00,318.00,312.00,315.00,317.00,"2,352.00",318.00,"745,592.70",28,-3.0,6.0,-0.94,1.92,-0.64,-,-,579.00,289.00,2022-12-11
90,KPCL,Kalika Power Company Limited,37.89,321.30,321.40,309.00,315.00,316.22,"2,472.00",315.00,"781,707.20",27,0.0,12.4,0.0,4.01,-0.39,356.60,384.07,579.00,289.00,2022-12-12
88,KPCL,Kalika Power Company Limited,47.37,321.30,325.00,315.20,315.20,318.80,462.00,315.00,"147,286.90",18,0.2,9.8,0.06,3.11,-1.14,356.08,383.01,579.00,289.00,2022-12-13
90,KPCL,Kalika Power Company Limited,25.48,321.50,321.50,311.00,314.00,315.10,"1,332.00",315.20,"419,715.40",28,-1.2,10.5,-0.38,3.38,-0.35,355.84,381.83,579.00,289.00,2022-12-14
94,KPCL,Kalika Power Company Limited,25.58,316.00,316.00,307.40,307.70,309.72,"3,966.00",314.00,"1,228,339.60",41,-6.3,8.6,-2.01,2.8,-0.66,355.49,380.69,579.00,289.00,2022-12-15
91,KPCL,Kalika Power Company Limited,29.89,313.80,313.80,294.20,297.00,299.45,"3,288.00",307.70,"984,607.40",43,-10.7,19.6,-3.48,6.66,-0.83,355.14,379.49,579.00,289.00,2022-12-18
92,KPCL,Kalika Power Company Limited,30.05,302.90,302.90,296.00,296.00,298.92,"2,924.00",297.00,"874,055.00",31,-1.0,6.9,-0.34,2.33,-0.99,354.79,378.34,579.00,289.00,2022-12-19
92,KPCL,Kalika Power Company Limited,30.05,301.90,307.00,295.00,301.10,303.02,"1,098.00",296.00,"332,719.10",28,5.1,12.0,1.72,4.07,-0.64,354.44,377.29,579.00,289.00,2022-12-20
91,KPCL,Kalika Power Company Limited,27.31,307.10,312.80,298.00,303.00,301.51,"1,184.00",301.10,"356,991.60",20,1.9,14.8,0.63,4.97,0.49,353.92,376.28,579.00,289.00,2022-12-21
