SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
93,LBLD88,8.5% Laxmi Bank Debenture,29.65,941.20,941.20,941.20,941.20,922.40,25.00,941.20,"23,060.00",3,0.0,0.0,0.0,0.0,2.0,-,-,990.00,923.50,2022-12-13
99,LBLD88,8.5% Laxmi Bank Debenture,34.31,840.00,840.00,840.00,840.00,840.00,10.00,851.00,"8,400.00",1,-11.0,0.0,-1.29,0.0,0.0,0.00,0.00,960.40,840.00,2023-02-07
97,LBLD88,8.5% Laxmi Bank Debenture,39.05,809.50,809.50,809.50,809.50,809.50,20.00,826.00,"16,190.00",2,-16.5,0.0,-2.0,0.0,0.0,0.00,0.00,960.40,790.70,2023-02-09
95,LBLD88,8.5% Laxmi Bank Debenture,32.14,777.70,777.70,777.70,777.70,777.70,25.00,793.40,"19,442.50",1,-15.7,0.0,-1.98,0.0,0.0,0.00,0.00,960.40,777.70,2023-02-20
97,LBLD88,8.5% Laxmi Bank Debenture,30.98,777.00,777.00,777.00,777.00,777.00,25.00,777.70,"19,425.00",1,-0.7,0.0,-0.09,0.0,0.0,0.00,0.00,960.40,777.00,2023-02-23
97,LBLD88,8.5% Laxmi Bank Debenture,29.34,761.50,761.50,761.50,761.50,761.50,10.00,777.00,"7,615.00",1,-15.5,0.0,-1.99,0.0,0.0,0.00,0.00,960.40,761.50,2023-02-28
96,LBLD88,8.5% Laxmi Bank Debenture,39.34,746.30,765.00,746.30,765.00,753.52,150.00,761.50,"113,028.00",4,3.5,18.7,0.46,2.51,1.5,0.00,0.00,960.40,746.30,2023-03-09
97,LBLD88,8.5% Laxmi Bank Debenture,29.54,751.00,751.00,751.00,751.00,751.00,10.00,765.00,"7,510.00",1,-14.0,0.0,-1.83,0.0,0.0,0.00,0.00,960.40,746.30,2023-03-12
97,LBLD88,8.5% Laxmi Bank Debenture,42.87,751.00,751.00,736.00,750.00,746.52,96.00,765.80,"71,666.00",3,-15.8,15.0,-2.06,2.04,0.46,0.00,0.00,960.40,736.00,2023-03-28
99,LBLD88,8.5% Laxmi Bank Debenture,40.83,750.00,750.00,750.00,750.00,750.00,75.00,750.00,"56,250.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,960.40,736.00,2023-04-04
97,LBLD88,8.5% Laxmi Bank Debenture,37.64,735.50,735.50,735.40,735.40,735.45,50.00,750.00,"36,772.70",2,-14.60,0.10,-1.95,0.01,-0.01,0.00,0.00,960.40,735.40,2023-04-11
97,LBLD88,8.5% Laxmi Bank Debenture,39.31,750.10,750.10,750.10,750.10,750.10,50.00,735.40,"37,505.00",1,14.7,0.0,2.0,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-16
96,LBLD88,8.5% Laxmi Bank Debenture,48.54,765.50,765.50,765.50,765.50,765.50,25.00,780.40,"19,137.50",1,-14.9,0.0,-1.91,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-19
98,LBLD88,8.5% Laxmi Bank Debenture,48.54,752.00,757.60,752.00,757.60,754.49,45.00,765.50,"33,952.00",2,-7.9,5.60,-1.03,0.74,0.41,0.00,0.00,960.40,735.40,2023-04-20
95,LBLD88,8.5% Laxmi Bank Debenture,44.79,772.70,772.70,772.70,772.70,772.70,50.00,757.60,"38,635.00",1,15.1,0.0,1.99,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-23
93,LBLD88,8.5% Laxmi Bank Debenture,34.51,758.70,758.70,758.70,758.70,758.70,20.00,772.70,"15,174.00",1,-14.0,0.0,-1.81,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-25
93,LBLD88,8.5% Laxmi Bank Debenture,36.9,755.00,755.00,755.00,755.00,755.00,25.00,758.70,"18,875.00",1,-3.7,0.0,-0.49,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-26
96,LBLD88,8.5% Laxmi Bank Debenture,38.39,770.00,770.00,770.00,770.00,770.00,10.00,755.00,"7,700.00",1,15.00,0.0,1.99,0.0,0.0,0.00,0.00,960.40,735.40,2023-04-27
95,LBLD88,8.5% Laxmi Bank Debenture,28.12,757.10,757.10,757.10,757.10,757.10,10.00,770.00,"7,571.00",1,-12.9,0.0,-1.68,0.0,0.0,0.00,0.00,960.40,735.40,2023-05-03
97,LBLD88,8.5% Laxmi Bank Debenture,38.56,772.20,772.20,772.20,772.20,772.20,10.00,757.10,"7,722.00",1,15.1,0.0,1.99,0.0,0.0,0.00,0.00,960.40,735.40,2023-05-09
93,LBLD88,8.5% Laxmi Bank Debenture,43.62,762.10,762.10,761.50,761.50,761.94,100.00,772.20,"76,194.30",4,-10.7,0.6,-1.39,0.08,-0.06,0.00,0.00,960.40,735.40,2023-05-10
98,LBLD88,8.5% Laxmi Bank Debenture,37.11,776.70,776.70,776.70,776.70,776.70,10.00,761.50,"7,767.00",1,15.2,0.0,2.0,0.0,0.0,0.00,0.00,960.40,735.40,2023-05-15
98,LBLD88,8.5% Laxmi Bank Debenture,42.48,763.90,763.90,763.90,763.90,763.90,25.00,776.70,"19,097.50",1,-12.80,0.00,-1.65,0.0,0.0,0.00,0.00,960.40,735.40,2023-05-23
