SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
94,LEMF,Laxmi Equity Fund,38.97,7.84,7.99,7.80,7.80,7.87,"4,750.00",7.69,"37,398.00",6,0.11,0.19,1.43,2.44,-0.94,8.73,9.28,11.17,7.24,2022-12-07
94,LEMF,Laxmi Equity Fund,38.97,7.84,7.99,7.80,7.80,7.87,"4,750.00",7.69,"37,398.00",6,0.11,0.19,1.43,2.44,-0.94,8.73,9.28,11.17,7.24,2022-12-09
97,LEMF,Laxmi Equity Fund,40.39,7.95,8.10,7.95,7.99,8.05,595.00,7.80,"4,791.30",3,0.19,0.15,2.44,1.89,-0.78,-,-,11.17,7.24,2022-12-11
96,LEMF,Laxmi Equity Fund,40.75,8.14,8.14,8.14,8.14,8.14,100.00,7.99,814.00,1,0.15,0.0,1.88,0.0,0.0,8.70,9.25,11.17,7.24,2022-12-12
95,LEMF,Laxmi Equity Fund,38.39,7.98,7.99,7.72,7.99,7.78,"13,025.00",8.14,"101,345.68",17,-0.15,0.27,-1.84,3.5,2.62,8.68,9.24,11.17,7.24,2022-12-13
96,LEMF,Laxmi Equity Fund,46.54,8.14,8.14,8.14,8.14,8.14,100.00,7.99,814.00,1,0.15,0.0,1.88,0.0,0.0,8.67,9.23,11.17,7.24,2022-12-14
100,LEMF,Laxmi Equity Fund,32.27,7.98,7.98,7.68,7.68,7.75,"14,764.00",8.14,"114,414.82",16,-0.46,0.3,-5.65,3.91,-0.91,8.65,9.21,11.17,7.24,2022-12-15
97,LEMF,Laxmi Equity Fund,24.87,7.55,7.65,7.55,7.65,7.60,"1,000.00",7.68,"7,600.00",2,-0.03,0.1,-0.39,1.32,0.65,8.64,9.20,11.17,7.24,2022-12-18
98,LEMF,Laxmi Equity Fund,31.5,7.54,7.54,7.54,7.54,7.54,"9,900.00",7.65,"74,646.00",1,-0.11,0.0,-1.44,0.0,0.0,8.62,9.18,11.17,7.24,2022-12-19
99,LEMF,Laxmi Equity Fund,31.5,7.54,7.54,7.54,7.54,7.54,"7,990.00",7.54,"60,244.60",3,0.0,0.0,0.0,0.0,0.0,8.60,9.17,11.17,7.24,2022-12-20
98,LEMF,Laxmi Equity Fund,30.92,7.57,7.57,7.57,7.57,7.57,300.00,7.54,"2,271.00",1,0.03,0.0,0.4,0.0,0.0,8.58,9.15,11.17,7.24,2022-12-21
96,LEMF,Laxmi Equity Fund,23.41,7.61,7.61,7.43,7.43,7.53,"9,789.00",7.57,"73,738.87",10,-0.14,0.18,-1.85,2.42,-1.38,8.56,9.13,11.17,7.24,2022-12-22
96,LEMF,Laxmi Equity Fund,30.15,7.33,7.98,7.33,7.98,7.55,"4,000.00",7.43,"30,218.50",11,0.55,0.65,7.4,8.87,5.33,8.54,9.12,11.17,7.24,2022-12-26
101,LEMF,Laxmi Equity Fund,44.81,7.85,8.01,7.85,8.00,7.89,"17,600.00",7.98,"138,950.00",9,0.02,0.16,0.25,2.04,1.31,8.53,9.10,11.17,7.24,2022-12-27
99,LEMF,Laxmi Equity Fund,47.5,8.04,8.04,7.88,7.88,7.93,"3,500.00",8.00,"27,740.00",2,-0.12,0.16,-1.5,2.03,-0.58,8.51,9.09,11.17,7.24,2022-12-28
101,LEMF,Laxmi Equity Fund,47.5,7.98,7.98,7.98,7.98,7.98,"1,000.00",7.88,"7,980.00",1,0.1,0.0,1.27,0.0,0.0,8.50,9.08,11.17,7.24,2022-12-29
102,LEMF,Laxmi Equity Fund,45.8,8.09,8.09,7.98,8.07,8.03,"49,000.00",7.98,"393,460.00",7,0.09,0.11,1.13,1.38,0.5,8.48,9.06,11.17,7.24,2023-01-01
96,LEMF,Laxmi Equity Fund,45.8,7.91,7.95,7.89,7.91,7.91,"30,200.00",8.07,"238,740.00",5,-0.16,0.06,-1.98,0.76,0.06,8.47,9.05,11.17,7.24,2023-01-02
98,LEMF,Laxmi Equity Fund,41.54,7.91,8.05,7.91,8.05,7.95,"8,064.00",7.91,"64,099.84",6,0.14,0.14,1.77,1.77,1.26,8.46,9.04,11.17,7.24,2023-01-03
99,LEMF,Laxmi Equity Fund,55.63,8.15,8.15,7.90,8.08,8.00,"37,900.00",8.05,"303,053.25",11,0.03,0.25,0.37,3.16,1.04,8.44,9.02,11.17,7.24,2023-01-04
98,LEMF,Laxmi Equity Fund,57.45,8.21,8.31,8.05,8.31,8.17,"92,025.00",8.08,"751,437.91",25,0.23,0.26,2.85,3.23,1.74,8.43,9.01,11.17,7.24,2023-01-05
101,LEMF,Laxmi Equity Fund,58.65,8.18,8.58,8.08,8.55,8.35,"119,331.00",8.31,"996,061.38",23,0.24,0.50,2.89,6.19,2.37,-,-,11.17,7.24,2023-01-08
98,LEMF,Laxmi Equity Fund,65.48,8.72,8.89,8.55,8.61,8.71,"201,225.00",8.55,"1,753,033.50",22,0.06,0.34,0.7,3.98,-1.18,8.41,8.99,11.17,7.24,2023-01-09
96,LEMF,Laxmi Equity Fund,64.53,8.70,8.89,8.69,8.69,8.80,"261,025.00",8.61,"2,297,403.00",18,0.08,0.2,0.93,2.3,-1.28,8.40,8.98,11.17,7.24,2023-01-10
99,LEMF,Laxmi Equity Fund,64.55,8.86,8.86,8.69,8.71,8.76,"84,300.00",8.69,"738,294.00",18,0.02,0.17,0.23,1.96,-0.55,8.39,8.97,11.17,7.24,2023-01-12
95,LEMF,Laxmi Equity Fund,55.36,8.71,8.86,8.71,8.72,8.75,"97,897.00",8.71,"856,931.32",12,0.01,0.15,0.11,1.72,-0.38,8.39,8.96,11.17,7.24,2023-01-17
96,LEMF,Laxmi Equity Fund,52.18,8.89,9.03,8.89,8.90,8.91,"222,600.00",8.72,"1,982,312.00",15,0.18,0.14,2.06,1.57,-0.06,8.38,8.95,11.17,7.24,2023-01-18
94,LEMF,Laxmi Equity Fund,54.38,8.90,9.43,8.90,9.43,9.29,"104,575.00",8.90,"971,204.60",29,0.53,0.53,5.96,5.96,1.51,8.38,8.95,11.17,7.24,2023-01-19
98,LEMF,Laxmi Equity Fund,51.59,9.60,9.60,9.27,9.50,9.38,"80,381.00",9.43,"754,326.37",10,0.07,0.33,0.74,3.56,1.22,8.38,8.94,11.17,7.24,2023-01-23
