SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
95,LICN,Life Insurance Corporation Nepal Limited,31.59,"1,469.00","1,469.00","1,415.20","1,417.90","1,425.14","5,272.00","1,450.00","7,513,346.60",66,-32.1,53.8,-2.21,3.8,-0.51,"1,360.91","1,478.50","2,493.00","1,065.00",2022-12-07
95,LICN,Life Insurance Corporation Nepal Limited,31.59,"1,469.00","1,469.00","1,415.20","1,417.90","1,425.14","5,272.00","1,450.00","7,513,346.60",66,-32.1,53.8,-2.21,3.8,-0.51,"1,360.91","1,478.50","2,493.00","1,065.00",2022-12-09
98,LICN,Life Insurance Corporation Nepal Limited,33.01,"1,417.90","1,417.90","1,392.00","1,410.00","1,401.23","6,756.00","1,417.90","9,466,704.30",76,-7.9,25.9,-0.56,1.86,0.62,-,-,"2,493.00","1,065.00",2022-12-11
97,LICN,Life Insurance Corporation Nepal Limited,31.23,"1,420.00","1,430.00","1,386.00","1,425.00","1,403.56","2,082.00","1,410.00","2,922,212.00",44,15.0,44.0,1.06,3.17,1.5,"1,366.15","1,471.54","2,493.00","1,065.00",2022-12-12
96,LICN,Life Insurance Corporation Nepal Limited,28.83,"1,411.00","1,428.00","1,400.00","1,428.00","1,408.45","1,444.00","1,425.00","2,033,801.40",34,3.0,28.0,0.21,2.0,1.37,"1,368.80","1,468.29","2,493.00","1,065.00",2022-12-13
97,LICN,Life Insurance Corporation Nepal Limited,26.58,"1,401.00","1,428.00","1,400.00","1,419.90","1,411.69",233.00,"1,428.00","328,923.00",12,-8.1,28.0,-0.57,2.0,0.58,"1,371.59","1,465.00","2,493.00","1,065.00",2022-12-14
101,LICN,Life Insurance Corporation Nepal Limited,24.83,"1,400.00","1,418.00","1,386.10","1,386.10","1,391.74","4,970.00","1,419.90","6,916,930.10",91,-33.8,31.9,-2.38,2.3,-0.41,"1,373.49","1,461.56","2,493.00","1,065.00",2022-12-15
98,LICN,Life Insurance Corporation Nepal Limited,27.81,"1,381.20","1,381.20","1,355.00","1,360.00","1,370.60","2,714.00","1,386.10","3,719,801.30",72,-26.1,26.2,-1.88,1.93,-0.78,"1,375.41","1,458.06","2,493.00","1,065.00",2022-12-18
99,LICN,Life Insurance Corporation Nepal Limited,28.54,"1,387.10","1,414.00","1,357.10","1,360.00","1,376.71","4,611.00","1,360.00","6,347,996.60",48,0.0,56.9,0.0,4.19,-1.23,"1,377.24","1,453.94","2,493.00","1,065.00",2022-12-19
100,LICN,Life Insurance Corporation Nepal Limited,28.54,"1,387.20","1,400.00","1,361.10","1,390.00","1,379.56","8,955.00","1,360.00","12,353,947.00",44,30.0,38.9,2.21,2.86,0.75,"1,378.57","1,449.79","2,493.00","1,065.00",2022-12-20
99,LICN,Life Insurance Corporation Nepal Limited,30.45,"1,407.00","1,407.00","1,371.00","1,378.00","1,376.83","1,767.00","1,390.00","2,432,852.00",36,-12.0,36.0,-0.86,2.63,0.09,"1,379.22","1,445.62","2,493.00","1,065.00",2022-12-21
97,LICN,Life Insurance Corporation Nepal Limited,25.53,"1,356.00","1,398.00","1,356.00","1,374.00","1,363.95","1,703.00","1,378.00","2,322,800.00",35,-4.0,42.0,-0.29,3.1,0.73,"1,378.85","1,441.55","2,493.00","1,065.00",2022-12-22
97,LICN,Life Insurance Corporation Nepal Limited,30.62,"1,401.00","1,429.00","1,370.00","1,410.10","1,411.80","16,242.00","1,374.00","22,930,438.80",130,36.1,59.0,2.63,4.31,-0.12,"1,378.35","1,437.60","2,493.00","1,065.00",2022-12-26
102,LICN,Life Insurance Corporation Nepal Limited,46.69,"1,415.00","1,499.00","1,415.00","1,489.00","1,468.15","27,609.00","1,410.10","40,534,207.90",246,78.9,84.00,5.6,5.94,1.4,"1,378.68","1,434.36","2,493.00","1,065.00",2022-12-27
100,LICN,Life Insurance Corporation Nepal Limited,47.75,"1,515.00","1,515.00","1,449.00","1,472.00","1,464.74","8,647.00","1,489.00","12,665,597.30",111,-17.0,66.0,-1.14,4.55,0.49,"1,378.54","1,431.14","2,493.00","1,065.00",2022-12-28
102,LICN,Life Insurance Corporation Nepal Limited,47.75,"1,447.00","1,560.00","1,447.00","1,517.00","1,488.79","13,036.00","1,472.00","19,407,812.20",150,45.0,113.0,3.06,7.81,1.86,"1,378.94","1,428.21","2,493.00","1,065.00",2022-12-29
103,LICN,Life Insurance Corporation Nepal Limited,55.62,"1,547.00","1,595.00","1,540.00","1,550.20","1,561.29","29,922.00","1,517.00","46,716,980.50",332,33.2,55.00,2.19,3.57,-0.72,"1,379.79","1,425.98","2,493.00","1,065.00",2023-01-01
97,LICN,Life Insurance Corporation Nepal Limited,55.62,"1,560.00","1,560.00","1,500.00","1,540.00","1,528.95","27,691.00","1,550.20","42,338,233.90",292,-10.2,60.0,-0.66,4.0,0.72,"1,380.59","1,423.60","2,493.00","1,065.00",2023-01-02
99,LICN,Life Insurance Corporation Nepal Limited,51.9,"1,560.00","1,560.00","1,500.00","1,519.00","1,512.62","18,733.00","1,540.00","28,335,978.90",185,-21.0,60.0,-1.36,4.0,0.42,"1,381.50","1,420.80","2,493.00","1,065.00",2023-01-03
100,LICN,Life Insurance Corporation Nepal Limited,58.5,"1,549.30","1,549.30","1,491.00","1,535.00","1,518.09","28,123.00","1,519.00","42,693,311.00",230,16.0,58.3,1.05,3.91,1.1,"1,381.38","1,418.34","2,493.00","1,065.00",2023-01-04
99,LICN,Life Insurance Corporation Nepal Limited,52.63,"1,529.90","1,579.00","1,526.00","1,576.00","1,551.49","31,755.00","1,535.00","49,267,634.20",337,41.0,53.0,2.67,3.47,1.56,"1,381.80","1,416.32","2,493.00","1,065.00",2023-01-05
102,LICN,Life Insurance Corporation Nepal Limited,53.83,"1,600.00","1,733.00","1,600.00","1,635.00","1,658.98","50,777.00","1,576.00","84,237,958.00",555,59.00,133.00,3.74,8.31,-1.47,-,-,"2,493.00","1,065.00",2023-01-08
99,LICN,Life Insurance Corporation Nepal Limited,56.94,"1,630.00","1,665.00","1,630.00","1,648.70","1,646.12","21,066.00","1,635.00","34,677,079.50",187,13.7,35.0,0.84,2.15,0.16,"1,384.89","1,413.18","2,493.00","1,065.00",2023-01-09
97,LICN,Life Insurance Corporation Nepal Limited,54.29,"1,680.00","1,713.60","1,599.00","1,615.00","1,622.12","22,733.00","1,648.70","36,875,752.90",286,-33.7,114.6,-2.04,7.17,-0.44,"1,386.73","1,411.80","2,493.00","1,065.00",2023-01-10
100,LICN,Life Insurance Corporation Nepal Limited,54.32,"1,620.00","1,622.00","1,558.20","1,558.40","1,574.56","13,955.00","1,615.00","21,973,017.40",201,-56.6,63.8,-3.5,4.09,-1.04,"1,388.00","1,410.12","2,493.00","1,065.00",2023-01-12
96,LICN,Life Insurance Corporation Nepal Limited,44.09,"1,589.00","1,589.30","1,541.00","1,563.00","1,564.41","7,402.00","1,558.40","11,579,773.80",112,4.6,48.3,0.3,3.13,-0.09,"1,389.35","1,408.70","2,493.00","1,065.00",2023-01-17
