SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
96,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,32.75,"1,052.00","1,055.00","1,047.00","1,047.00","1,049.77",188.00,"1,052.00","197,357.00",6,-5.0,8.0,-0.48,0.76,-0.26,"1,216.80","1,246.18","1,747.00","1,001.00",2022-12-07
96,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,32.75,"1,052.00","1,055.00","1,047.00","1,047.00","1,049.77",188.00,"1,052.00","197,357.00",6,-5.0,8.0,-0.48,0.76,-0.26,"1,216.80","1,246.18","1,747.00","1,001.00",2022-12-09
99,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,34.16,"1,028.00","1,040.00","1,028.00","1,028.00","1,032.21",489.00,"1,047.00","504,751.00",12,-19.0,12.0,-1.81,1.17,-0.41,-,-,"1,747.00","1,001.00",2022-12-11
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,35.56,"1,012.00","1,045.00","1,012.00","1,026.00","1,041.93",592.00,"1,028.00","616,822.00",14,-2.0,33.0,-0.19,3.26,-1.55,"1,214.87","1,242.17","1,747.00","1,001.00",2022-12-12
97,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,36.62,"1,015.00","1,024.00","1,012.10","1,024.00","1,021.14",148.00,"1,026.00","151,129.20",5,-2.0,11.9,-0.19,1.18,0.28,"1,213.74","1,239.99","1,747.00","1,001.00",2022-12-13
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,32.62,"1,006.00","1,035.00","1,006.00","1,035.00","1,023.16",151.00,"1,024.00","154,497.00",5,11.0,29.0,1.07,2.88,1.14,"1,212.89","1,238.02","1,747.00","1,001.00",2022-12-14
102,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,31.8,"1,014.30","1,050.00",978.10,"1,035.00","1,029.16",411.00,"1,035.00","422,985.00",13,0.0,71.9,0.0,7.35,0.56,"1,212.35","1,236.07","1,747.00",978.10,2022-12-15
99,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,39.17,"1,015.00","1,015.00",998.00,999.00,"1,004.85","1,567.00","1,035.00","1,574,597.00",21,-36.0,17.0,-3.48,1.7,-0.59,"1,211.30","1,233.78","1,747.00",978.10,2022-12-18
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,28.67,"1,000.00","1,000.00",988.00,999.90,992.54,289.00,999.00,"286,844.00",7,0.9,12.0,0.09,1.21,0.74,"1,210.22","1,231.44","1,747.00",978.10,2022-12-19
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,28.67,"1,015.00","1,019.80","1,000.00","1,000.00","1,003.13",786.00,999.90,"788,458.00",13,0.1,19.8,0.01,1.98,-0.31,"1,209.38","1,229.22","1,747.00",978.10,2022-12-20
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,33.39,986.00,"1,009.80",986.00,"1,009.80",990.29,570.00,"1,000.00","564,467.00",9,9.8,23.8,0.98,2.41,1.93,"1,208.46","1,227.06","1,747.00",978.10,2022-12-21
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,32.85,"1,000.00","1,025.00",998.70,"1,025.00","1,003.24",286.00,"1,009.80","286,927.20",9,15.2,26.3,1.51,2.63,2.12,"1,207.20","1,225.09","1,747.00",978.10,2022-12-22
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,39.45,"1,040.00","1,045.00","1,029.00","1,045.00","1,040.38",780.00,"1,025.00","811,495.00",12,20.0,16.0,1.95,1.55,0.44,"1,206.29","1,223.34","1,747.00",978.10,2022-12-26
103,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,48.2,"1,065.00","1,076.00","1,056.00","1,074.90","1,062.29","1,031.00","1,045.00","1,095,224.00",25,29.9,20.00,2.86,1.89,1.17,"1,205.84","1,221.54","1,747.00",978.10,2022-12-27
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,46.28,"1,053.50","1,067.00","1,038.00","1,060.00","1,047.79",262.00,"1,074.90","274,520.70",12,-14.9,29.0,-1.39,2.79,1.15,"1,204.93","1,219.64","1,747.00",978.10,2022-12-28
103,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,46.28,"1,060.00","1,146.00","1,051.00","1,146.00","1,088.44","5,392.00","1,060.00","5,868,871.20",21,86.0,95.0,8.11,9.04,5.02,"1,204.35","1,218.35","1,747.00",978.10,2022-12-29
104,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,53.35,"1,130.00","1,167.00","1,110.00","1,144.70","1,143.09","1,774.00","1,146.00","2,027,836.20",41,-1.3,57.00,-0.11,5.14,0.14,"1,204.14","1,217.05","1,747.00",978.10,2023-01-01
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,53.35,"1,143.00","1,145.00","1,121.00","1,121.00","1,126.20",729.00,"1,144.70","821,002.20",16,-23.7,24.0,-2.07,2.14,-0.46,"1,203.21","1,215.81","1,747.00",978.10,2023-01-02
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,52.13,"1,130.00","1,165.00","1,118.00","1,157.90","1,149.10","2,989.00","1,121.00","3,434,656.60",74,36.9,47.0,3.29,4.2,0.76,"1,202.28","1,214.81","1,747.00",978.10,2023-01-03
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,60.64,"1,181.00","1,249.00","1,158.00","1,249.00","1,218.49","5,881.00","1,157.90","7,165,939.00",67,91.1,91.0,7.87,7.86,2.44,"1,202.03","1,214.37","1,747.00",978.10,2023-01-04
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,60.42,"1,225.00","1,281.00","1,225.00","1,281.00","1,262.43","5,848.00","1,249.00","7,382,703.00",53,32.0,56.0,2.56,4.57,1.45,"1,202.07","1,214.07","1,747.00",978.10,2023-01-05
103,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,61.62,"1,290.00","1,290.00","1,265.00","1,270.00","1,276.87","1,912.00","1,281.00","2,441,376.30",35,-11.00,25.00,-0.86,1.98,-0.54,-,-,"1,747.00",978.10,2023-01-08
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,52.74,"1,290.00","1,295.00","1,250.00","1,260.00","1,258.63","1,008.00","1,270.00","1,268,698.00",17,-10.0,45.0,-0.79,3.6,0.11,"1,201.73","1,213.41","1,747.00",978.10,2023-01-09
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,53.2,"1,285.00","1,290.00","1,239.00","1,280.00","1,269.76","5,753.00","1,260.00","7,304,919.20",50,20.0,51.0,1.59,4.12,0.8,"1,202.16","1,213.16","1,747.00",978.10,2023-01-10
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,53.22,"1,285.00","1,285.00","1,235.00","1,260.00","1,250.87","1,698.00","1,280.00","2,123,978.00",32,-20.0,50.0,-1.56,4.05,0.72,"1,202.49","1,212.91","1,747.00",978.10,2023-01-12
97,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,45.09,"1,236.00","1,255.00","1,235.00","1,255.00","1,237.12","1,260.00","1,260.00","1,558,770.00",12,-5.0,20.0,-0.4,1.62,1.42,"1,201.87","1,212.57","1,747.00",978.10,2023-01-17
98,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,44.44,"1,255.00","1,357.00","1,255.00","1,269.00","1,286.53","2,256.00","1,255.00","2,902,421.00",25,14.0,102.0,1.12,8.13,-1.38,"1,201.69","1,212.43","1,747.00",978.10,2023-01-18
96,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,47.72,"1,243.70","1,245.00","1,195.60","1,200.00","1,208.78","3,331.00","1,269.00","4,026,453.40",62,-69.0,49.4,-5.44,4.13,-0.73,"1,201.07","1,211.91","1,699.00",978.10,2023-01-19
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,43.04,"1,195.00","1,245.00","1,195.00","1,211.00","1,205.22","3,095.00","1,200.00","3,730,159.50",30,11.0,50.0,0.92,4.18,0.48,"1,200.53","1,211.16","1,696.00",978.10,2023-01-23
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,43.05,"1,195.00","1,198.00","1,173.00","1,198.00","1,187.24",629.00,"1,211.00","746,773.90",10,-13.0,25.0,-1.07,2.13,0.9,"1,199.81","1,210.37","1,648.00",978.10,2023-01-24
99,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,36.57,"1,180.00","1,219.00","1,180.00","1,199.00","1,203.05",336.00,"1,198.00","404,226.00",8,1.0,39.0,0.08,3.31,-0.34,"1,198.89","1,209.83","1,648.00",978.10,2023-01-25
97,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,36.6,"1,176.00","1,207.60","1,158.00","1,158.00","1,175.86","2,768.00","1,199.00","3,254,792.20",33,-41.0,49.6,-3.42,4.28,-1.54,"1,197.63","1,208.80","1,629.20",978.10,2023-01-26
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,42.18,"1,135.20","1,179.00","1,135.20","1,171.00","1,171.44","1,030.00","1,158.00","1,206,585.00",12,13.0,43.8,1.12,3.86,-0.04,"1,196.55","1,207.91","1,629.20",978.10,2023-01-29
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,36.85,"1,160.00","1,160.00","1,131.00","1,131.00","1,142.20","1,840.00","1,171.00","2,101,647.00",23,-40.0,29.0,-3.42,2.56,-0.99,"1,195.31","1,207.08","1,629.20",978.10,2023-01-30
101,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,38.85,"1,111.00","1,160.00","1,111.00","1,145.00","1,128.62",602.00,"1,131.00","679,432.20",13,14.0,49.0,1.24,4.41,1.43,"1,193.57","1,206.36","1,629.20",978.10,2023-01-31
