SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
102,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,29.92,278.10,294.90,251.00,255.00,257.51,"73,692.00",278.10,"18,976,103.20","3,996",-23.1,43.9,-8.31,17.49,-0.98,0.00,0.00,294.90,251.00,2023-05-07
103,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,35.93,251.10,261.10,247.00,258.30,254.09,"10,970.00",256.10,"2,787,323.00","1,096",2.2,14.1,0.86,5.71,1.63,0.00,0.00,294.90,237.00,2023-05-09
99,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,17.99,253.20,255.00,246.20,253.00,250.02,"9,415.00",258.30,"2,353,939.50",698,-5.3,8.8,-2.05,3.57,1.18,0.00,0.00,294.90,237.00,2023-05-10
100,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,19.54,253.00,253.00,243.10,249.90,245.39,"7,708.00",253.00,"1,891,467.20",624,-3.1,9.9,-1.23,4.07,1.8,0.00,0.00,294.90,237.00,2023-05-11
100,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,18.97,245.00,246.00,235.00,238.70,240.12,"13,746.00",249.90,"3,300,644.40",604,-11.2,11.0,-4.48,4.68,-0.59,0.00,0.00,294.90,235.00,2023-05-14
102,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,20.7,234.20,249.00,230.00,240.00,238.58,"14,233.00",238.70,"3,395,733.10",657,1.3,19.0,0.54,8.26,0.59,0.00,0.00,294.90,230.00,2023-05-15
101,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,20.07,236.00,244.00,232.00,243.00,237.78,"8,788.00",240.00,"2,089,577.00",556,3.0,12.0,1.25,5.17,2.15,0.00,0.00,294.90,230.00,2023-05-16
101,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,43.04,250.00,263.00,244.00,258.00,255.42,"14,308.00",249.80,"3,654,576.00",587,8.2,19.0,3.28,7.79,1.0,0.00,0.00,294.90,230.00,2023-05-18
106,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,42.49,252.90,260.90,245.10,251.00,255.95,"15,445.00",258.00,"3,953,141.10",471,-7.00,15.80,-2.71,6.45,-1.97,0.00,0.00,294.90,230.00,2023-05-21
103,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,42.49,246.00,255.00,243.10,250.00,248.58,"6,560.00",251.00,"1,630,656.00",411,-1.00,11.90,-0.4,4.9,0.57,0.00,0.00,294.90,230.00,2023-05-22
104,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,39.67,250.00,263.00,250.00,261.20,259.62,"10,517.00",250.00,"2,730,466.00",412,11.20,13.00,4.48,5.2,0.6,0.00,0.00,294.90,230.00,2023-05-23
105,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,36.46,261.00,265.00,254.10,258.70,258.97,"10,570.00",261.20,"2,737,300.00",335,-2.50,10.90,-0.96,4.29,-0.1,0.00,0.00,294.90,230.00,2023-05-24
