SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
101,MEGA,Mega Bank Nepal Limited,37.53,214.00,216.00,212.60,212.80,213.24,"39,069.00",214.40,"8,331,077.80",232,-1.6,3.4,-0.75,1.6,-0.21,256.78,275.80,317.20,212.60,2022-12-07
101,MEGA,Mega Bank Nepal Limited,37.53,214.00,216.00,212.60,212.80,213.24,"39,069.00",214.40,"8,331,077.80",232,-1.6,3.4,-0.75,1.6,-0.21,256.78,275.80,317.20,212.60,2022-12-09
105,MEGA,Mega Bank Nepal Limited,38.94,205.00,205.00,196.20,196.30,199.17,"53,477.00",204.62,"10,651,099.80",268,-8.32,8.8,-4.07,4.49,-1.46,-,-,317.20,196.20,2022-12-11
103,MEGA,Mega Bank Nepal Limited,32.5,196.30,198.00,192.70,197.00,194.86,"51,482.00",196.30,"10,031,827.70",198,0.7,5.3,0.36,2.75,1.09,255.33,274.05,317.20,192.70,2022-12-12
102,MEGA,Mega Bank Nepal Limited,34.19,193.30,198.90,193.00,194.00,194.00,"33,003.00",197.00,"6,402,436.50",178,-3.0,5.9,-1.52,3.06,0.0,254.58,273.11,317.20,192.70,2022-12-13
103,MEGA,Mega Bank Nepal Limited,30.18,196.00,196.00,193.20,193.90,193.86,"9,217.00",194.00,"1,786,846.70",89,-0.1,2.8,-0.05,1.45,0.02,253.82,272.24,317.20,192.70,2022-12-14
107,MEGA,Mega Bank Nepal Limited,24.68,195.90,196.00,191.10,191.50,192.69,"24,900.00",193.90,"4,798,032.00",133,-2.4,4.9,-1.24,2.56,-0.62,252.98,271.32,317.20,191.10,2022-12-15
104,MEGA,Mega Bank Nepal Limited,33.63,194.50,194.50,185.00,185.00,186.66,"64,418.00",191.50,"12,024,032.50",267,-6.5,9.5,-3.39,5.14,-0.9,251.98,270.45,317.20,185.00,2022-12-18
105,MEGA,Mega Bank Nepal Limited,39.04,185.00,188.70,183.50,187.90,185.49,"68,725.00",185.00,"12,747,514.00",115,2.9,5.2,1.57,2.83,1.28,251.04,269.63,317.20,183.50,2022-12-19
106,MEGA,Mega Bank Nepal Limited,39.04,187.00,190.60,187.00,188.20,188.87,"28,668.00",187.90,"5,414,572.90",126,0.3,3.6,0.16,1.93,-0.36,250.07,268.87,317.20,183.50,2022-12-20
105,MEGA,Mega Bank Nepal Limited,35.69,186.00,192.00,186.00,190.40,191.07,"14,217.00",188.20,"2,716,392.90",80,2.2,6.0,1.17,3.23,-0.35,249.07,268.13,317.20,183.50,2022-12-21
103,MEGA,Mega Bank Nepal Limited,34.82,187.20,191.00,186.70,187.00,187.20,"71,436.00",190.40,"13,373,079.80",168,-3.4,4.3,-1.79,2.3,-0.11,248.06,267.34,317.20,183.50,2022-12-22
103,MEGA,Mega Bank Nepal Limited,43.04,190.70,198.00,186.70,196.50,192.75,"58,503.00",187.00,"11,276,699.60",233,9.5,11.3,5.08,6.05,1.91,247.13,266.57,317.20,183.50,2022-12-26
108,MEGA,Mega Bank Nepal Limited,46.75,197.00,210.00,197.00,204.60,202.67,"98,090.00",196.50,"19,880,159.80",379,8.1,13.00,4.12,6.6,0.94,246.32,265.86,317.20,183.50,2022-12-27
106,MEGA,Mega Bank Nepal Limited,50.66,203.90,204.90,200.00,203.10,201.96,"68,008.00",204.60,"13,734,974.50",211,-1.5,4.9,-0.73,2.45,0.56,245.48,265.15,317.20,183.50,2022-12-28
108,MEGA,Mega Bank Nepal Limited,50.66,201.10,204.90,200.00,204.80,203.25,"85,420.00",203.10,"17,361,666.60",245,1.7,4.9,0.84,2.45,0.76,244.64,264.46,317.20,183.50,2022-12-29
109,MEGA,Mega Bank Nepal Limited,56.35,207.00,208.50,203.20,205.00,205.58,"190,796.00",204.80,"39,223,245.80",373,0.2,5.30,0.1,2.61,-0.28,243.79,263.82,317.20,183.50,2023-01-01
103,MEGA,Mega Bank Nepal Limited,56.35,204.00,207.50,203.60,205.00,205.25,"88,555.00",205.00,"18,175,915.80",285,0.0,3.9,0.0,1.92,-0.12,242.91,263.28,317.20,183.50,2023-01-02
105,MEGA,Mega Bank Nepal Limited,51.1,204.20,207.00,204.00,207.00,205.06,"92,007.00",205.00,"18,867,309.70",244,2.0,3.0,0.98,1.47,0.94,242.06,262.70,317.20,183.50,2023-01-03
106,MEGA,Mega Bank Nepal Limited,58.06,206.00,207.00,204.00,206.90,205.20,"68,005.00",207.00,"13,954,423.90",297,-0.1,3.0,-0.05,1.47,0.82,241.22,262.13,317.20,183.50,2023-01-04
105,MEGA,Mega Bank Nepal Limited,58.88,207.00,210.00,205.00,205.90,206.66,"114,403.00",206.90,"23,642,899.90",345,-1.0,5.0,-0.48,2.44,-0.37,240.40,261.54,317.20,183.50,2023-01-05
108,MEGA,Mega Bank Nepal Limited,60.08,205.90,211.00,205.00,206.90,207.39,"185,890.00",205.90,"38,551,994.70",387,1.00,6.00,0.49,2.93,-0.24,-,-,317.20,183.50,2023-01-08
105,MEGA,Mega Bank Nepal Limited,60.61,207.00,217.00,207.00,217.00,210.50,"268,379.00",206.90,"56,493,182.10",504,10.1,10.0,4.88,4.83,3.0,239.06,260.27,317.20,183.50,2023-01-09
103,MEGA,Mega Bank Nepal Limited,59.4,218.00,230.00,213.00,219.00,221.75,"213,804.00",217.00,"47,411,744.70",674,2.0,17.0,0.92,7.98,-1.26,238.51,259.66,317.20,183.50,2023-01-10
